"MacroTrends Data Download"
"ATVI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1993-10-25,1.1084,1.1084,0.8313,0.8313,17196
1993-10-26,1.0899,1.0899,0.7574,0.7662,189000
1993-10-27,0.7662,0.7662,0.7662,0.7662,0
1993-10-28,0.6281,0.7389,0.5172,0.7300,29004
1993-10-29,0.7758,0.7758,0.7389,0.7389,172800
1993-11-01,0.7389,0.7758,0.7389,0.7758,76800
1993-11-02,0.7389,0.7758,0.7389,0.7758,11604
1993-11-03,0.7574,0.8682,0.7574,0.8497,48000
1993-11-04,0.8867,0.8867,0.8497,0.8497,24396
1993-11-05,0.7574,0.8867,0.7574,0.8867,4404
1993-11-08,0.8867,0.8867,0.8867,0.8867,0
1993-11-09,0.7758,0.7758,0.7758,0.7758,6600
1993-11-10,0.7943,0.7943,0.7943,0.7943,50004
1993-11-11,0.7943,0.7943,0.7943,0.7943,6600
1993-11-12,0.7943,0.7943,0.7943,0.7943,11604
1993-11-15,0.7943,0.7943,0.7943,0.7943,30804
1993-11-16,0.7943,0.9052,0.7943,0.9052,24396
1993-11-17,0.7943,0.9052,0.7943,0.8128,38400
1993-11-18,0.8128,0.8128,0.8128,0.8128,55596
1993-11-19,0.8409,0.8497,0.7574,0.7855,945204
1993-11-22,0.7855,0.8497,0.7855,0.8409,33996
1993-11-23,0.8128,0.8128,0.8128,0.8128,5196
1993-11-24,0.7758,0.7943,0.7758,0.7943,9600
1993-11-26,0.7855,0.7943,0.7855,0.7943,14004
1993-11-29,0.7758,0.8497,0.7758,0.8497,48204
1993-11-30,0.8497,0.8497,0.8497,0.8497,0
1993-12-01,0.8497,0.8497,0.8497,0.8497,0
1993-12-02,0.8128,0.8313,0.7943,0.8313,218796
1993-12-03,0.8128,0.8128,0.8128,0.8128,4404
1993-12-06,0.8128,0.8128,0.8128,0.8128,3204
1993-12-07,0.7943,0.7943,0.7758,0.7758,42804
1993-12-08,0.8313,0.8313,0.7574,0.7758,107604
1993-12-09,0.7758,0.8313,0.7662,0.7758,358404
1993-12-10,0.8313,0.8313,0.7574,0.7574,4404
1993-12-13,0.7758,0.7758,0.7574,0.7758,105600
1993-12-14,0.7574,0.8039,0.7574,0.7574,224004
1993-12-15,0.7662,0.7662,0.7662,0.7662,2004
1993-12-16,0.7943,0.7943,0.7574,0.7574,29004
1993-12-17,0.7574,0.7574,0.7574,0.7574,0
1993-12-20,0.7574,0.7943,0.7574,0.7943,28800
1993-12-21,0.7943,0.7943,0.7943,0.7943,11604
1993-12-22,0.7943,0.7943,0.7758,0.7943,54600
1993-12-23,0.7943,0.7943,0.7574,0.7574,7596
1993-12-27,0.8313,0.8313,0.7758,0.8313,73800
1993-12-28,0.8313,0.8867,0.8313,0.8867,81996
1993-12-29,0.8867,1.0529,0.8682,0.9975,270804
1993-12-30,1.0529,1.0529,0.9790,0.9790,57804
1993-12-31,1.0345,1.0345,0.9790,0.9790,144000
1994-01-03,1.0345,1.0345,0.9790,1.0345,36396
1994-01-04,1.0345,1.0345,0.9790,0.9790,33996
1994-01-05,1.0345,1.0345,1.0345,1.0345,3204
1994-01-06,0.9975,1.0345,0.9879,0.9879,96000
1994-01-07,0.9790,0.9790,0.9694,0.9694,35400
1994-01-10,0.9790,0.9790,0.9606,0.9606,9804
1994-01-11,0.9236,0.9421,0.9052,0.9421,5196
1994-01-12,0.8867,0.9790,0.8867,0.9790,29004
1994-01-13,0.9790,0.9790,0.9517,0.9517,59604
1994-01-14,0.9148,0.9790,0.9148,0.9790,60804
1994-01-17,0.9790,0.9790,0.9421,0.9790,67200
1994-01-18,0.9236,0.9421,0.9052,0.9052,101196
1994-01-19,0.9236,1.0160,0.8867,0.9606,134604
1994-01-20,0.9790,0.9790,0.8128,0.8128,122796
1994-01-21,0.8217,0.8217,0.6835,0.7758,158004
1994-01-24,0.7943,0.7943,0.6650,0.7204,403200
1994-01-25,0.6281,0.6281,0.6281,0.6281,6600
1994-01-26,0.7204,0.7204,0.6465,0.7204,24396
1994-01-27,0.7758,0.7943,0.7758,0.7943,4404
1994-01-28,0.8128,0.8128,0.8128,0.8128,23604
1994-01-31,0.8128,0.8128,0.6835,0.8128,14004
1994-02-01,0.6835,0.8128,0.6835,0.7204,32004
1994-02-02,0.8313,0.9052,0.8128,0.8128,99204
1994-02-03,0.7574,0.7662,0.7574,0.7662,552396
1994-02-04,0.7574,0.8128,0.7574,0.7574,28800
1994-02-07,0.7389,0.7758,0.7389,0.7758,7596
1994-02-08,0.7758,0.7758,0.7758,0.7758,0
1994-02-09,0.7758,0.8313,0.7758,0.8313,7596
1994-02-10,0.7389,0.8586,0.7389,0.7389,33996
1994-02-11,0.8313,0.8313,0.8313,0.8313,204
1994-02-14,0.8313,0.8313,0.8313,0.8313,0
1994-02-15,0.8313,0.8313,0.8313,0.8313,0
1994-02-16,0.8682,0.8682,0.7389,0.7389,4404
1994-02-17,0.8682,0.8682,0.7389,0.7389,3204
1994-02-18,0.8682,0.8682,0.8682,0.8682,5196
1994-02-22,0.8682,0.8682,0.8682,0.8682,0
1994-02-23,0.7389,0.7389,0.7389,0.7389,3204
1994-02-24,0.7389,0.7389,0.7389,0.7389,0
1994-02-25,0.7389,0.7389,0.7389,0.7389,3204
1994-02-28,0.7574,0.8497,0.7389,0.8497,9600
1994-03-01,0.8497,0.8497,0.8497,0.8497,0
1994-03-02,0.7389,0.7758,0.7389,0.7758,50004
1994-03-03,0.7758,0.7758,0.7758,0.7758,0
1994-03-04,0.7204,0.7204,0.7204,0.7204,204
1994-03-07,0.7389,0.7389,0.7389,0.7389,3204
1994-03-08,0.7204,0.7204,0.7204,0.7204,11604
1994-03-09,0.7204,0.7204,0.7204,0.7204,0
1994-03-10,0.7204,0.7204,0.7204,0.7204,0
1994-03-11,0.8128,0.8128,0.8128,0.8128,4404
1994-03-14,0.7204,0.7204,0.7020,0.7020,12804
1994-03-15,0.7758,0.7758,0.7020,0.7020,23604
1994-03-16,0.7020,0.7389,0.7020,0.7389,33996
1994-03-17,0.6746,0.6835,0.6281,0.6650,62004
1994-03-18,0.6465,0.6465,0.6281,0.6281,38400
1994-03-21,0.6465,0.6465,0.6096,0.6096,26796
1994-03-22,0.6746,0.6746,0.6465,0.6465,88404
1994-03-23,0.6096,0.6835,0.6096,0.6835,12804
1994-03-24,0.6281,0.6650,0.6096,0.6650,209196
1994-03-25,0.6096,0.6465,0.5911,0.6096,192000
1994-03-28,0.5911,0.6650,0.5911,0.6096,36396
1994-03-29,0.5911,0.6096,0.5911,0.6096,21204
1994-03-30,0.6650,0.6650,0.6650,0.6650,7596
1994-03-31,0.6281,0.6650,0.6281,0.6369,9804
1994-04-04,0.6369,0.6369,0.6369,0.6369,0
1994-04-05,0.6650,0.6650,0.6650,0.6650,11604
1994-04-06,0.6650,0.6650,0.6650,0.6650,204
1994-04-07,0.6650,0.6650,0.6650,0.6650,0
1994-04-08,0.6369,0.6465,0.6281,0.6281,128004
1994-04-11,0.6650,0.6650,0.6650,0.6650,5196
1994-04-12,0.5911,0.5911,0.5911,0.5911,204
1994-04-13,0.6192,0.6369,0.6192,0.6369,29004
1994-04-14,0.5911,0.5911,0.5911,0.5911,23604
1994-04-15,0.5726,0.5911,0.5542,0.5542,64200
1994-04-18,0.5911,0.6096,0.5172,0.5172,237000
1994-04-19,0.5172,0.5172,0.5172,0.5172,0
1994-04-20,0.4803,0.5172,0.4803,0.5172,185604
1994-04-21,0.4249,0.4337,0.4249,0.4337,45000
1994-04-22,0.4337,0.4337,0.4337,0.4337,0
1994-04-25,0.4337,0.4337,0.4337,0.4337,0
1994-04-26,0.4337,0.4337,0.4337,0.4337,0
1994-04-28,0.4064,0.4064,0.4064,0.4064,168396
1994-04-29,0.5172,0.5172,0.3879,0.4433,165204
1994-05-02,0.4618,0.4618,0.4618,0.4618,2004
1994-05-03,0.4618,0.4618,0.4618,0.4618,0
1994-05-04,0.4988,0.4988,0.4988,0.4988,3204
1994-05-05,0.4988,0.4988,0.4988,0.4988,0
1994-05-06,0.5357,0.5357,0.4249,0.4529,256200
1994-05-09,0.4529,0.4529,0.4529,0.4529,0
1994-05-10,0.4433,0.4618,0.4249,0.4249,33204
1994-05-11,0.5172,0.5172,0.4433,0.4433,21204
1994-05-12,0.4433,0.4433,0.4433,0.4433,0
1994-05-13,0.4433,0.5357,0.4249,0.5357,43596
1994-05-16,0.5357,0.5357,0.5357,0.5357,2004
1994-05-17,0.4249,0.4803,0.4249,0.4803,4404
1994-05-18,0.5172,0.5172,0.4249,0.4803,137604
1994-05-19,0.4433,0.4433,0.3879,0.3879,121800
1994-05-20,0.3879,0.3879,0.3879,0.3879,23604
1994-05-23,0.4803,0.4803,0.3879,0.3879,19404
1994-05-24,0.4064,0.4803,0.3695,0.3695,259200
1994-05-25,0.3879,0.3879,0.3695,0.3695,24396
1994-05-26,0.4433,0.4433,0.4433,0.4433,2004
1994-05-27,0.4064,0.4249,0.4064,0.4249,3204
1994-05-31,0.4249,0.4249,0.4249,0.4249,0
1994-06-01,0.3695,0.3879,0.3695,0.3879,7596
1994-06-02,0.3879,0.3879,0.3879,0.3879,0
1994-06-03,0.3879,0.3879,0.3879,0.3879,0
1994-06-06,0.3879,0.3879,0.3879,0.3879,0
1994-06-07,0.3879,0.4064,0.3879,0.4064,9804
1994-06-08,0.3695,0.4064,0.3695,0.4064,2004
1994-06-09,0.4064,0.4064,0.4064,0.4064,0
1994-06-10,0.3695,0.4988,0.3695,0.4988,12804
1994-06-13,0.4988,0.4988,0.4988,0.4988,204
1994-06-14,0.4064,0.4064,0.3695,0.3695,25800
1994-06-15,0.3695,0.3695,0.3695,0.3695,3204
1994-06-16,0.3695,0.3879,0.3695,0.3879,2004
1994-06-17,0.4064,0.4064,0.4064,0.4064,19404
