"MacroTrends Data Download"
"EDR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-01-26,25.0180,25.9879,24.9410,25.3259,2352164
2005-01-27,25.4798,26.0033,25.4644,25.8647,386466
2005-01-28,25.8647,25.9417,25.7877,25.7877,185300
2005-01-31,25.7877,26.1572,25.6646,25.8493,174033
2005-02-01,25.8493,26.2496,25.8493,26.0187,207733
2005-02-02,26.0957,26.3266,26.0187,26.1726,71133
2005-02-03,26.1726,26.4344,26.1726,26.4190,70833
2005-02-04,26.4805,26.7115,26.4805,26.5267,63200
2005-02-07,26.4036,26.4805,26.0957,26.4036,47333
2005-02-08,26.4498,26.6345,26.4036,26.4959,28200
2005-02-09,26.5421,26.6345,26.4344,26.4344,52633
2005-02-10,26.4190,26.7115,26.3420,26.6345,85267
2005-02-11,26.6345,26.8193,26.5575,26.6345,150400
2005-02-14,26.5575,26.8962,26.3882,26.8654,120333
2005-02-15,26.7885,27.4043,26.7885,27.1887,47867
2005-02-16,26.9732,27.1734,26.9424,27.1734,41667
2005-02-17,27.3273,27.3273,27.0964,27.1272,31333
2005-02-18,27.1734,27.1734,26.5729,26.5729,53267
2005-02-22,26.5729,26.6345,25.7262,25.8339,106933
2005-02-23,26.0649,26.4805,25.9417,26.4805,64800
2005-02-24,26.4036,26.4805,26.1264,26.2650,36333
2005-02-25,26.1726,26.6345,26.1726,26.3882,53667
2005-02-28,26.7731,26.7731,25.8955,26.0187,43867
2005-03-01,26.1726,26.7115,26.1726,26.2496,86533
2005-03-02,26.4805,26.9424,26.4036,26.4190,46900
2005-03-03,26.4036,26.6345,26.4036,26.4805,16000
2005-03-04,26.5575,26.5575,26.3728,26.4036,70167
2005-03-07,26.4805,26.6345,26.1110,26.4036,63633
2005-03-08,26.1726,26.2496,25.7877,25.9417,49333
2005-03-09,25.7877,26.0957,25.5568,25.7416,46400
2005-03-10,26.0495,26.0957,25.7108,25.8647,103200
2005-03-11,25.7877,26.0033,25.6338,25.9417,40133
2005-03-14,25.8647,26.0033,25.6492,25.7416,23800
2005-03-15,26.0033,26.0957,25.7416,25.8339,62767
2005-03-16,25.8185,25.8955,25.6954,25.8185,28400
2005-03-17,25.7877,25.9109,25.2489,25.5106,21833
2005-03-18,25.6338,26.1572,25.5260,25.8647,111033
2005-03-21,25.8801,26.0495,25.7416,25.9109,48267
2005-03-22,25.9417,25.9879,25.6338,25.6492,13833
2005-03-23,25.4798,25.9417,24.7870,25.1719,47633
2005-03-24,25.3259,25.6030,25.0949,25.4336,29700
2005-03-28,25.3721,25.4028,24.8486,25.0795,115767
2005-03-29,25.1719,26.1110,24.8024,25.6338,75500
2005-03-30,25.6492,25.9417,25.5722,25.9417,54100
2005-03-31,25.9417,26.0957,25.4644,25.6030,207666
2005-04-01,25.4028,25.6030,25.1873,25.3259,78900
2005-04-04,25.4028,25.4952,25.0180,25.4490,25667
2005-04-05,25.5260,25.7877,25.4028,25.7877,20867
2005-04-06,25.7877,25.8647,25.0334,25.5260,34133
2005-04-07,25.4490,25.7877,25.2489,25.7877,33367
2005-04-08,25.7877,25.7877,25.2489,25.5568,21567
2005-04-11,25.4798,25.5414,25.1257,25.4336,67967
2005-04-12,25.4336,25.4336,25.0949,25.3875,23200
2005-04-13,25.4644,25.4644,24.9718,25.1873,22700
2005-04-14,25.2218,25.2218,24.8167,24.9102,25000
2005-04-15,25.0348,25.0348,24.0689,24.3026,36133
2005-04-18,24.2870,24.8323,24.2092,24.6921,13033
2005-04-19,25.0037,25.0971,24.6765,24.8479,41733
2005-04-20,24.8479,25.1439,24.8011,25.0037,48133
2005-04-21,25.1127,25.2062,24.8479,25.1439,40733
2005-04-22,25.1127,25.1750,24.5207,24.8635,42500
2005-04-25,24.9413,25.2373,24.8946,25.2373,19167
2005-04-26,25.1594,25.2062,24.8479,25.1283,136733
2005-04-27,25.1283,25.2373,25.0037,25.1594,44433
2005-04-28,25.2062,25.3152,25.0037,25.0037,64900
2005-04-29,25.0504,25.1906,24.6142,24.9258,74533
2005-05-02,25.0037,25.0037,24.3026,24.5519,228500
2005-05-03,24.6142,24.9102,24.5363,24.6609,219433
2005-05-04,24.7388,24.8323,24.6142,24.7856,35200
2005-05-05,24.7700,25.0971,24.7077,24.9881,22933
2005-05-06,25.0816,25.2062,24.8479,24.9881,19033
2005-05-09,25.0816,25.4399,25.0816,25.1439,10833
2005-05-10,24.9258,25.1127,24.7700,24.7856,92400
2005-05-11,24.8323,24.8479,24.2403,24.8323,11867
2005-05-12,24.8323,24.8479,24.1468,24.2559,14167
2005-05-13,24.4584,24.5207,24.1468,24.3182,10067
2005-05-16,24.4740,24.7856,24.4428,24.7544,9433
2005-05-17,24.6765,24.9258,24.6298,24.9102,41600
2005-05-18,25.0504,25.0660,24.6921,24.9102,20633
2005-05-19,24.9102,24.9102,24.7232,24.8011,57867
2005-05-20,25.2373,25.3931,24.8946,25.0037,74133
2005-05-23,25.1594,25.7047,25.0971,25.1906,40900
2005-05-24,25.2997,25.6424,25.2997,25.6268,18000
2005-05-25,25.5489,25.7047,25.3308,25.4710,21700
2005-05-26,25.5489,25.6891,25.4399,25.5022,14367
2005-05-27,25.4243,26.0318,25.3931,25.9540,18833
2005-05-31,26.2655,26.9042,26.1097,26.7485,52700
2005-06-01,26.8575,27.1223,26.8419,27.1068,47400
2005-06-02,27.1068,27.2002,26.6394,26.8731,13467
2005-06-03,26.9510,27.0289,26.2967,26.9821,77233
2005-06-06,27.0445,27.0600,26.8887,27.0133,20567
2005-06-07,27.0289,27.2470,26.7952,26.9198,14167
2005-06-08,26.8731,27.1847,26.6394,26.7173,8433
2005-06-09,26.7485,27.2470,26.6861,27.2470,4133
2005-06-10,27.2470,27.2470,27.1223,27.1379,5267
2005-06-13,27.1847,27.3716,26.9666,27.0445,21367
2005-06-14,26.9977,27.1847,26.9198,27.1691,14667
2005-06-15,27.2314,28.0415,27.1847,27.9480,65867
2005-06-16,27.9169,27.9792,27.6520,27.8078,13800
2005-06-17,27.9636,28.1973,27.7611,28.1973,61200
2005-06-20,28.1973,28.2440,27.8078,27.8078,35900
2005-06-21,28.6491,28.6491,27.5741,28.0103,12767
2005-06-22,28.1661,28.1973,27.7299,28.1973,21467
2005-06-23,28.0415,28.6646,28.0415,28.1973,62133
2005-06-24,28.1973,29.3345,28.0415,29.2099,175600
2005-06-27,29.0074,29.2566,28.5712,28.5712,49000
2005-06-28,28.6646,28.8983,28.5244,28.5867,25500
2005-06-29,28.6023,28.7114,28.3531,28.4154,21633
2005-06-30,28.6179,28.7893,28.4310,28.5088,21033
2005-07-01,28.5088,28.5712,28.3063,28.4777,8367
2005-07-05,28.4310,28.7581,28.4310,28.4310,19533
2005-07-06,28.4310,28.4310,28.2129,28.2129,33500
2005-07-07,28.0415,28.3531,27.8545,28.3531,34500
2005-07-08,28.4310,28.8204,28.4310,28.8204,17733
2005-07-11,28.9295,29.1787,28.8360,29.0385,64367
2005-07-12,28.9606,29.3501,28.9606,29.3501,37533
2005-07-13,29.3501,30.1913,29.1787,29.7551,54600
2005-07-14,29.9976,30.7891,29.1270,29.4436,18533
2005-07-15,29.3328,29.9659,29.2853,29.6810,21433
2005-07-18,29.6810,29.8076,29.4752,29.7602,23900
2005-07-19,29.7602,30.1559,29.7127,29.9501,22067
2005-07-20,30.0609,30.2509,30.0609,30.2351,25367
2005-07-21,30.2351,30.5517,29.3328,29.3328,28533
2005-07-22,29.5069,30.3142,29.4594,30.1559,25467
2005-07-25,30.1242,30.6941,29.9343,30.3934,26267
2005-07-26,30.4567,31.5806,30.3617,31.1532,37200
2005-07-27,31.0899,31.4856,31.0899,31.4381,33500
2005-07-28,31.4381,33.0053,31.1848,32.1980,47667
2005-07-29,31.8180,32.2613,31.2640,31.3906,29033
2005-08-01,31.4065,32.4354,31.3431,31.5806,24900
2005-08-02,30.8841,31.5648,30.8841,31.4540,22567
2005-08-03,31.5014,31.7231,31.4223,31.5014,21867
2005-08-04,31.3906,31.6597,31.1848,31.3590,28000
2005-08-05,31.2007,31.2007,29.7602,30.1559,38167
2005-08-08,29.9976,30.1876,28.9687,28.9687,24767
2005-08-09,28.7945,28.8895,28.3038,28.4146,18500
2005-08-10,28.4938,28.9528,28.1772,28.1772,15733
2005-08-11,28.3988,29.7443,28.3988,29.1270,91967
2005-08-12,29.0478,29.1270,28.8420,29.0478,21200
2005-08-15,29.0003,29.1270,28.8895,28.9687,41033
2005-08-16,28.5096,28.6679,27.5440,28.4304,74300
2005-08-17,28.3196,28.3988,27.9872,28.1772,91800
2005-08-18,28.0980,28.0980,27.5440,27.7023,35300
2005-08-19,27.7181,28.0030,27.5440,27.5440,23500
2005-08-22,27.5598,28.0189,27.5440,27.8606,27567
2005-08-23,27.8922,28.9845,27.8922,28.3988,18000
2005-08-24,28.3355,28.6362,28.2563,28.3355,14967
2005-08-25,28.4463,28.5571,28.3988,28.4463,21167
2005-08-26,28.5571,29.4436,28.4146,29.2219,29333
2005-08-29,29.1270,29.2694,28.9528,29.0003,22567
2005-08-30,29.0003,29.2061,28.8104,29.0795,15267
2005-08-31,29.0162,29.2853,28.8104,29.2061,27033
2005-09-01,29.3644,29.7443,29.3644,29.5069,46367
2005-09-02,29.5069,29.5069,29.0795,29.0953,16267
2005-09-06,29.2536,29.5227,28.7629,28.8737,42667
2005-09-07,28.9687,29.0320,28.4463,28.6521,13267
2005-09-08,28.4938,28.6204,28.0347,28.5729,134267
2005-09-09,28.5729,28.5729,28.4463,28.5571,28033
2005-09-12,28.5254,29.1903,28.4938,28.8420,14733
2005-09-13,28.7312,28.7312,28.3196,28.3513,13700
2005-09-14,28.4621,28.5887,27.8289,27.8447,21200
2005-09-15,27.8606,27.8606,26.8475,27.0216,26967
2005-09-16,26.9424,27.2274,26.7050,27.1957,72000
2005-09-19,27.2432,27.2749,26.8791,26.8950,18067
2005-09-20,26.8950,26.9741,26.2776,26.2776,27433
2005-09-21,26.1668,26.5942,25.4069,26.1035,39033
2005-09-22,26.0243,26.5150,25.8818,26.0876,67167
2005-09-23,26.7208,26.7208,26.3251,26.4359,34400
2005-09-26,26.4359,27.3857,26.2776,27.1324,46600
2005-09-27,27.0533,27.3857,26.9108,27.1166,89867
2005-09-28,25.9610,26.1193,25.4861,25.9610,201233
2005-09-29,25.9768,26.5309,25.7235,26.5309,77900
2005-09-30,26.5309,26.5309,26.0718,26.4359,28300
2005-10-03,26.3092,26.5784,26.2143,26.3251,35367
2005-10-04,26.3251,26.4359,26.0797,26.2776,42667
2005-10-05,26.2776,26.5150,25.9293,26.1193,49567
2005-10-06,25.9610,26.3251,25.8027,25.9452,34000
2005-10-07,26.0243,26.1035,25.5336,25.6286,48367
2005-10-10,25.5178,25.6127,25.0745,25.2803,15567
2005-10-11,25.4069,25.6761,25.3278,25.4069,19000
2005-10-12,25.4069,25.4228,24.5205,24.6629,50400
2005-10-13,24.7737,25.4703,24.5363,25.3753,20267
2005-10-14,25.5652,25.8818,24.8212,25.7552,36333
2005-10-17,25.9293,26.1351,25.0903,25.2012,26367
2005-10-18,25.3120,25.3120,24.4097,24.6313,18333
2005-10-19,24.5521,25.1537,24.5521,25.0429,23733
2005-10-20,25.2495,25.3141,24.2937,24.3938,48500
2005-10-21,24.3938,24.7006,24.3131,24.5553,24033
2005-10-24,24.6199,25.4109,24.6199,25.2818,26333
2005-10-25,25.2818,25.2818,24.2970,24.8620,36933
2005-10-26,24.9912,25.2656,24.7651,24.9104,20000
2005-10-27,24.9266,24.9912,24.3777,24.6199,25100
2005-10-28,24.8297,24.9427,24.5391,24.8620,19967
2005-10-31,24.9427,25.6531,24.9427,25.0235,95100
2005-11-01,25.0235,25.4271,24.8620,25.1365,40733
2005-11-02,25.2656,25.8145,24.9427,25.8145,24433
2005-11-03,25.9598,26.2020,25.7499,26.0244,25567
2005-11-04,26.1858,26.2343,25.7499,26.1535,16500
2005-11-07,26.2827,26.2988,25.8145,25.9114,21500
2005-11-08,25.7499,26.2020,25.5401,25.8791,7233
2005-11-09,26.0405,26.0405,25.7338,25.8630,16967
2005-11-10,25.7499,25.7661,25.1365,25.7661,22567
2005-11-11,24.4584,25.4916,23.4736,25.1203,67033
2005-11-14,24.3131,24.3293,22.6018,22.7633,251166
2005-11-15,22.7471,22.7471,20.1963,20.3578,184766
2005-11-16,20.3578,20.6807,20.2125,20.4224,67867
2005-11-17,20.5677,21.0681,20.2286,20.2771,89667
2005-11-18,20.5354,21.7299,20.3094,20.6645,80867
2005-11-21,20.6645,21.1166,20.5354,20.8905,120367
2005-11-22,20.9874,20.9874,20.5031,20.7130,235800
2005-11-23,20.7130,20.9874,20.4224,20.9874,190866
2005-11-25,20.9874,21.1004,20.5677,20.5677,42667
2005-11-28,20.6645,20.7453,20.2771,20.3094,99333
2005-11-29,18.9694,19.8412,18.6949,19.6474,311266
2005-11-30,19.6474,20.6484,19.6152,20.1641,204000
2005-12-01,20.2125,20.7614,19.9219,20.1318,163733
2005-12-02,20.0995,20.2771,19.9380,20.1479,148900
2005-12-05,20.0833,20.3416,19.9542,20.2286,111567
2005-12-06,20.2609,20.5192,20.1641,20.1802,126933
2005-12-07,20.3416,20.6645,20.0833,20.5354,43667
2005-12-08,20.6968,21.6170,20.6645,21.1327,43133
2005-12-09,21.3910,22.1498,21.3264,22.1336,68767
2005-12-12,22.5373,22.9570,21.6655,22.3597,54533
2005-12-13,22.4081,22.5857,21.4395,22.4888,50467
2005-12-14,22.5857,22.6018,22.3274,22.5050,35567
2005-12-15,22.6664,22.8924,21.6332,21.7946,45933
2005-12-16,21.9399,22.3435,21.6170,21.9238,82600
2005-12-19,21.8753,21.9561,21.6655,21.7946,38900
2005-12-20,21.6655,21.6816,20.8260,21.3587,47433
2005-12-21,21.8915,22.0368,21.6493,21.9076,25367
2005-12-22,22.0691,22.2305,21.6816,21.6978,19633
2005-12-23,21.7946,21.9561,21.3910,21.3910,22700
2005-12-27,21.3103,21.7462,21.0681,21.4233,38667
2005-12-28,21.2619,21.3426,20.9874,21.2296,39333
2005-12-29,21.1489,21.5040,20.9713,21.2619,23567
2005-12-30,21.1004,21.1973,20.4708,20.8098,62733
2006-01-03,20.9067,21.8431,20.7453,21.7946,33367
