"MacroTrends Data Download"
"FOX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1987-12-30,1.8045,1.8719,1.7916,1.8045,271674
1987-12-31,1.8323,1.8323,1.7916,1.8045,100500
1988-01-04,1.8323,1.8847,1.8184,1.8847,104076
1988-01-05,1.9253,1.9382,1.9114,1.9253,234474
1988-01-06,1.9253,1.9382,1.9253,1.9253,46350
1988-01-07,1.8986,1.9382,1.8986,1.9382,99498
1988-01-08,1.9253,1.9253,1.8184,1.8184,127848
1988-01-11,1.8719,1.8986,1.8719,1.8986,238050
1988-01-12,1.8847,1.8847,1.8451,1.8590,65700
1988-01-13,1.8590,1.8590,1.8184,1.8184,70128
1988-01-14,1.8184,1.8184,1.8184,1.8184,2526
1988-01-15,1.8719,1.8986,1.8719,1.8986,29202
1988-01-18,1.8986,1.8986,1.8847,1.8986,9678
1988-01-19,1.8719,1.8847,1.8719,1.8719,37674
1988-01-20,1.8719,1.8719,1.8323,1.8323,32424
1988-01-21,1.8045,1.8184,1.7916,1.8184,85050
1988-01-22,1.8184,1.8184,1.8184,1.8184,32598
1988-01-25,1.8451,1.8590,1.8451,1.8451,24276
1988-01-26,1.8184,1.8184,1.8184,1.8184,8976
1988-01-27,1.8045,1.8045,1.7916,1.7916,20874
1988-01-28,1.7916,1.8045,1.7649,1.8045,12552
1988-01-29,1.8184,1.8184,1.7777,1.7777,2874
1988-02-01,1.8045,1.8184,1.8045,1.8045,10350
1988-02-02,1.8323,1.8323,1.8184,1.8323,49578
1988-02-03,1.8323,1.8590,1.8045,1.8045,279150
1988-02-04,1.7916,1.7916,1.7649,1.7916,91350
1988-02-05,1.7649,1.7777,1.7649,1.7649,10350
1988-02-08,1.6847,1.6986,1.6579,1.6579,55674
1988-02-09,1.6579,1.6579,1.5916,1.6173,278124
1988-02-10,1.6312,1.6312,1.6045,1.6312,102552
1988-02-11,1.6440,1.6708,1.6440,1.6579,188628
1988-02-12,1.6440,1.6708,1.6440,1.6708,99498
1988-02-16,1.6986,1.7253,1.6986,1.7253,108648
1988-02-17,1.7777,1.8184,1.7777,1.7916,305976
1988-02-18,1.7777,1.8184,1.7777,1.8045,136500
1988-02-19,1.8045,1.8323,1.8045,1.8323,42102
1988-02-22,1.8590,1.9114,1.8590,1.9114,179802
1988-02-23,1.8986,1.8986,1.8590,1.8719,52974
1988-02-24,1.8045,1.8323,1.7916,1.8184,333978
1988-02-25,1.7916,1.8045,1.7649,1.7649,404274
1988-02-26,1.7916,1.7916,1.7649,1.7916,24774
1988-02-29,1.7649,1.7916,1.7510,1.7916,40578
1988-03-01,1.8184,1.8184,1.7916,1.7916,49752
1988-03-02,1.8184,1.8451,1.8184,1.8451,39048
1988-03-03,1.8451,1.8451,1.8045,1.8184,219378
1988-03-04,1.8323,1.8590,1.8323,1.8451,226152
1988-03-07,1.9114,1.9660,1.8986,1.9382,139578
1988-03-08,1.9114,1.9253,1.8847,1.9253,357924
1988-03-09,1.9660,1.9927,1.9521,1.9660,182352
1988-03-10,1.9660,1.9788,1.9382,1.9382,352326
1988-03-11,1.9253,1.9521,1.9253,1.9521,16974
1988-03-14,1.9382,1.9521,1.9382,1.9521,262152
1988-03-15,1.9521,1.9521,1.9521,1.9521,40578
1988-03-16,1.9521,1.9660,1.9382,1.9660,124626
1988-03-17,1.9788,1.9788,1.9660,1.9788,71652
1988-03-18,2.0056,2.1125,2.0056,2.0997,144648
1988-03-21,2.0858,2.0858,2.0451,2.0451,51276
1988-03-22,2.0719,2.1928,2.0591,2.1264,646248
1988-03-23,2.1660,2.2997,2.1521,2.2462,1731948
1988-03-24,2.2462,2.2462,2.2056,2.2195,595974
1988-03-25,2.1928,2.2195,2.1789,2.2056,399024
1988-03-28,2.1264,2.1660,2.1264,2.1660,175728
1988-03-29,2.1789,2.1789,2.1660,2.1789,345702
1988-03-30,2.1928,2.1928,2.1521,2.1521,66552
1988-03-31,2.1616,2.2156,2.1616,2.2156,107802
1988-04-04,2.2156,2.2286,2.2156,2.2286,37350
1988-04-05,2.2016,2.2286,2.1886,2.2016,99828
1988-04-06,2.1886,2.2016,2.1616,2.2016,139902
1988-04-07,2.2016,2.2697,2.1616,2.2567,1024224
1988-04-08,2.2837,2.3097,2.2567,2.3097,607698
1988-04-11,2.3097,2.3237,2.3097,2.3237,188802
1988-04-12,2.3097,2.3097,2.2837,2.3097,32928
1988-04-13,2.3097,2.3097,2.2567,2.3097,249426
1988-04-14,2.2837,2.2837,2.2286,2.2427,261150
1988-04-15,2.2567,2.3097,2.2567,2.3097,353850
1988-04-18,2.2967,2.2967,2.2697,2.2967,135828
1988-04-19,2.2967,2.3637,2.2967,2.2967,441624
1988-04-20,2.2967,2.3097,2.2286,2.3097,413274
1988-04-21,2.3097,2.3367,2.2967,2.2967,204924
1988-04-22,2.3097,2.3097,2.2837,2.2837,97800
1988-04-25,2.2967,2.3097,2.2967,2.3097,28176
1988-04-26,2.3097,2.3097,2.2967,2.2967,127176
1988-04-27,2.3097,2.3097,2.2837,2.2967,38202
1988-04-28,2.3097,2.3367,2.2967,2.3367,366576
1988-04-29,2.3367,2.3637,2.3367,2.3367,52800
1988-05-02,2.3367,2.3507,2.3367,2.3367,43974
1988-05-03,2.3507,2.3507,2.3367,2.3367,86748
1988-05-04,2.3507,2.3507,2.3237,2.3237,173874
1988-05-05,2.2967,2.2967,2.2567,2.2567,139224
1988-05-06,2.2697,2.2697,2.2427,2.2427,46176
1988-05-09,2.2016,2.2016,2.1886,2.1886,129378
1988-05-10,2.1746,2.1746,2.1616,2.1616,137874
1988-05-11,2.1346,2.1346,2.0665,2.1076,140928
1988-05-12,2.0935,2.0935,2.0535,2.0535,124800
1988-05-13,2.0535,2.0665,2.0535,2.0535,180828
1988-05-16,2.0535,2.0665,2.0535,2.0535,69426
1988-05-17,2.0665,2.0665,2.0535,2.0535,113076
1988-05-18,2.0805,2.0805,2.0265,2.0265,141102
1988-05-19,1.9725,1.9725,1.9454,1.9725,221748
1988-05-20,1.9725,1.9725,1.9184,1.9314,56526
1988-05-23,1.9454,1.9454,1.8784,1.8784,488328
1988-05-24,1.8784,1.9184,1.8784,1.9044,90498
1988-05-25,1.9184,1.9725,1.9184,1.9454,239928
1988-05-26,1.9314,1.9454,1.9184,1.9314,101028
1988-05-27,1.9184,1.9314,1.9184,1.9314,2874
1988-05-31,1.9995,1.9995,1.9584,1.9865,354198
1988-06-01,1.9995,2.0265,1.9995,2.0135,222600
1988-06-02,1.9865,1.9865,1.9314,1.9454,159426
1988-06-03,1.9584,1.9865,1.9314,1.9454,292050
1988-06-06,1.9314,1.9454,1.9184,1.9454,71478
1988-06-07,1.9314,1.9314,1.9184,1.9184,148224
1988-06-08,1.9454,1.9725,1.9454,1.9454,229374
1988-06-09,1.9454,1.9454,1.9184,1.9314,35826
1988-06-10,1.9314,1.9314,1.9184,1.9184,23250
1988-06-13,1.9454,1.9454,1.8784,1.8784,275928
1988-06-14,1.8914,1.9044,1.8914,1.9044,200526
1988-06-15,1.9044,1.9314,1.9044,1.9314,174702
1988-06-16,1.9454,1.9454,1.9184,1.9454,403950
1988-06-17,1.9584,2.0265,1.9584,2.0265,372348
1988-06-20,2.0535,2.0665,2.0395,2.0535,217848
1988-06-21,2.0805,2.0935,2.0665,2.0665,64002
1988-06-22,2.0805,2.0805,2.0665,2.0805,123252
1988-06-23,2.0665,2.0805,2.0665,2.0805,113928
1988-06-24,2.0665,2.0665,2.0135,2.0265,242802
1988-06-27,1.9995,2.0135,1.9865,1.9995,195600
1988-06-28,1.9865,1.9865,1.9584,1.9725,74700
1988-06-29,1.9454,1.9454,1.9044,1.9044,126324
1988-06-30,1.9314,1.9584,1.9314,1.9584,42276
1988-07-01,1.9584,1.9865,1.9584,1.9725,162474
1988-07-05,1.9584,1.9584,1.9044,1.9314,428724
1988-07-06,1.9314,1.9314,1.9184,1.9184,320574
1988-07-07,1.9454,1.9454,1.9454,1.9454,347898
1988-07-08,1.9454,1.9454,1.9314,1.9314,26298
1988-07-11,1.9184,1.9184,1.9184,1.9184,5928
1988-07-12,1.9184,1.9184,1.8914,1.8914,205452
1988-07-13,1.9184,1.9184,1.9044,1.9184,35298
1988-07-14,1.9184,1.9314,1.9184,1.9184,25452
1988-07-15,1.9184,1.9314,1.9044,1.9184,58902
1988-07-18,1.9184,1.9314,1.9184,1.9314,19674
1988-07-19,1.9314,1.9454,1.9314,1.9314,201198
1988-07-20,1.9454,1.9584,1.9314,1.9584,129726
1988-07-21,1.9584,1.9725,1.9454,1.9454,73350
1988-07-22,1.9584,1.9584,1.9454,1.9454,181848
1988-07-25,1.9314,1.9454,1.9314,1.9454,1524
1988-07-26,1.9314,1.9314,1.9044,1.9044,68574
1988-07-27,1.8914,1.8914,1.8784,1.8784,74352
1988-07-28,1.8644,1.8784,1.8644,1.8784,160950
1988-07-29,1.8784,1.8784,1.8514,1.8784,9498
1988-08-01,1.8784,1.8784,1.8644,1.8644,64848
1988-08-02,1.8644,1.8914,1.8374,1.8374,494100
1988-08-03,1.8374,1.8374,1.7833,1.7833,672576
1988-08-04,1.7963,1.8233,1.7963,1.8103,15774
1988-08-05,1.8514,1.8784,1.8514,1.8644,24450
1988-08-08,1.8784,1.8914,1.8644,1.8644,425850
1988-08-09,1.8374,1.8374,1.8233,1.8233,221076
1988-08-10,1.8103,1.8103,1.7963,1.7963,75048
1988-08-11,1.7963,1.7963,1.7693,1.7833,439950
1988-08-12,1.7833,1.7833,1.7833,1.7833,343500
1988-08-15,1.7963,1.7963,1.7693,1.7693,38352
1988-08-16,1.7563,1.7693,1.7563,1.7693,132774
1988-08-17,1.7833,1.7963,1.7833,1.7963,176250
1988-08-18,1.7963,1.8103,1.7963,1.7963,33774
1988-08-19,1.8233,1.8374,1.8233,1.8374,12552
1988-08-22,1.8644,1.8644,1.8374,1.8374,311226
1988-08-23,1.8374,1.8374,1.8233,1.8233,64350
1988-08-24,1.8374,1.8644,1.8374,1.8644,51774
1988-08-25,1.8514,1.8644,1.8374,1.8644,63150
1988-08-26,1.8514,1.8514,1.8233,1.8233,51600
1988-08-29,1.8103,1.8233,1.7963,1.7963,52626
1988-08-30,1.7963,1.8103,1.7963,1.8103,74028
1988-08-31,1.7833,1.7963,1.7563,1.7693,126648
1988-09-01,1.7293,1.7293,1.6752,1.6752,40398
1988-09-02,1.7023,1.7433,1.7023,1.7433,62652
1988-09-06,1.7693,1.7833,1.7693,1.7693,10524
1988-09-07,1.7833,1.7833,1.7693,1.7693,5928
1988-09-08,1.7563,1.7693,1.7563,1.7563,42600
1988-09-09,1.7563,1.7693,1.7433,1.7563,8826
1988-09-12,1.7293,1.7293,1.7163,1.7163,1350
1988-09-13,1.7293,1.7433,1.7293,1.7433,20028
1988-09-14,1.7433,1.7433,1.7293,1.7433,106800
1988-09-15,1.7433,1.7433,1.7433,1.7433,28002
1988-09-16,1.7563,1.7563,1.7293,1.7433,39378
1988-09-19,1.7163,1.7163,1.7023,1.7163,14424
1988-09-20,1.7163,1.7433,1.7163,1.7293,109500
1988-09-21,1.7293,1.7293,1.7163,1.7163,19002
1988-09-22,1.7023,1.7163,1.6882,1.7023,96948
1988-09-23,1.7023,1.7163,1.6752,1.7163,25302
