"MacroTrends Data Download"
"GAIA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-10-29,5.3032,8.3163,5.1826,6.1468,895000
1999-11-01,6.3879,6.6897,6.2674,6.6289,144900
1999-11-02,6.6588,6.6897,6.2674,6.3879,158000
1999-11-03,6.3281,6.5084,6.3281,6.3879,54500
1999-11-04,6.3879,6.4486,6.3281,6.3281,21000
1999-11-05,6.3281,6.5084,6.2076,6.3281,48800
1999-11-08,6.3879,6.3879,6.3281,6.3281,31800
1999-11-09,6.3879,6.3879,6.0263,6.2674,163300
1999-11-10,6.2674,6.3879,6.1468,6.2674,145900
1999-11-11,6.2674,6.3879,6.2674,6.3879,31100
1999-11-12,6.2674,6.5084,6.2674,6.2674,37200
1999-11-15,6.2674,6.5692,6.2076,6.2076,15700
1999-11-16,6.2076,6.5084,6.0871,6.2674,5700
1999-11-17,6.2674,6.5084,6.2674,6.2674,6400
1999-11-18,6.2674,6.5084,6.2674,6.2674,20200
1999-11-19,6.6289,7.0513,6.2674,6.8102,20700
1999-11-22,7.0513,7.0513,6.7495,6.9905,6600
1999-11-23,6.9905,8.1958,6.9307,8.1958,54600
1999-11-24,8.2565,9.8832,8.1958,9.5216,79700
1999-11-26,9.4309,10.4906,9.3413,10.4906,49900
1999-11-29,11.5705,15.7938,10.4906,15.0706,90200
1999-11-30,13.7689,14.4631,11.2138,13.4989,101200
1999-12-01,13.4989,14.1064,12.0526,12.6601,36700
1999-12-02,13.1422,13.8653,12.1780,13.2579,37800
1999-12-03,13.4989,13.9232,13.3832,13.4989,21300
1999-12-06,13.4989,13.9232,13.3832,13.4989,14900
1999-12-07,13.4989,15.1285,13.4989,14.4631,44300
1999-12-08,14.4631,14.9453,14.4631,14.9453,11600
1999-12-09,14.5885,17.5968,14.4631,16.3916,78700
1999-12-10,16.3916,17.4811,16.2759,16.2759,12800
1999-12-13,17.1147,17.1147,16.2759,16.2759,8800
1999-12-14,16.8737,16.8737,16.1505,16.3916,8600
