"MacroTrends Data Download"
"GILT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1993-03-26,216.5028,245.0975,212.4178,239.0518,112400
1993-03-29,249.1825,257.3524,234.9668,236.9276,30700
1993-03-30,241.0126,241.0126,232.8426,236.9276,16500
1993-03-31,236.9276,239.0518,232.8426,236.9276,12900
1993-04-01,236.9276,239.0518,232.8426,232.8426,3200
1993-04-02,232.8426,234.9668,222.7119,230.8819,6300
1993-04-05,220.5878,230.8819,220.5878,224.6727,1200
1993-04-06,220.5878,228.7577,218.6270,220.5878,6900
1993-04-07,220.5878,232.8426,216.5028,228.7577,4800
1993-04-08,228.7577,232.8426,226.7969,228.7577,2300
1993-04-12,226.7969,236.9276,226.7969,228.7577,2100
1993-04-13,241.0126,241.0126,224.6727,226.7969,1800
1993-04-14,232.8426,236.9276,224.6727,232.8426,2900
1993-04-15,245.0975,247.2217,236.9276,241.0126,3000
1993-04-16,249.1825,259.4766,241.0126,259.4766,8100
1993-04-19,265.5223,281.8621,261.4373,269.6073,11500
1993-04-20,269.6073,281.8621,265.5223,271.7314,3800
1993-04-21,271.7314,271.7314,265.5223,265.5223,1900
1993-04-22,267.6465,271.7314,261.4373,265.5223,2600
1993-04-23,261.4373,269.6073,255.3916,261.4373,3800
1993-04-26,261.4373,261.4373,253.2674,261.4373,2800
1993-04-27,257.3524,261.4373,257.3524,261.4373,1100
1993-04-28,253.2674,257.3524,245.0975,251.3066,4100
1993-04-29,251.3066,251.3066,239.0518,245.0975,2800
1993-04-30,245.0975,249.1825,243.1367,245.0975,2600
1993-05-03,247.2217,251.3066,245.0975,247.2217,2900
1993-05-04,251.3066,257.3524,245.0975,255.3916,3500
1993-05-05,257.3524,265.5223,251.3066,261.4373,3300
1993-05-06,267.6465,269.6073,253.2674,261.4373,4000
1993-05-07,263.5615,263.5615,255.3916,261.4373,1100
1993-05-10,273.6922,273.6922,265.5223,271.7314,4200
1993-05-11,271.7314,271.7314,261.4373,265.5223,3000
1993-05-12,271.7314,271.7314,253.2674,255.3916,2200
1993-05-13,255.3916,263.5615,255.3916,257.3524,500
1993-05-14,263.5615,263.5615,255.3916,255.3916,500
1993-05-17,251.3066,263.5615,251.3066,255.3916,600
1993-05-18,261.4373,261.4373,249.1825,253.2674,1800
1993-05-19,245.0975,257.3524,245.0975,253.2674,800
1993-05-20,257.3524,257.3524,249.1825,249.1825,600
1993-05-21,255.3916,255.3916,249.1825,249.1825,300
1993-05-24,253.2674,253.2674,241.0126,247.2217,200
1993-05-25,245.0975,249.1825,245.0975,245.0975,1700
1993-05-26,247.2217,249.1825,247.2217,249.1825,300
1993-05-27,255.3916,255.3916,245.0975,253.2674,100
1993-05-28,249.1825,249.1825,245.0975,245.0975,300
1993-06-01,245.0975,249.1825,241.0126,241.0126,4300
1993-06-02,241.0126,245.0975,236.9276,241.0126,2000
1993-06-03,241.0126,241.0126,228.7577,232.8426,2700
1993-06-04,236.9276,236.9276,224.6727,226.7969,2700
1993-06-07,226.7969,236.9276,226.7969,228.7577,900
1993-06-08,232.8426,232.8426,220.5878,224.6727,5100
1993-06-09,222.7119,228.7577,222.7119,226.7969,4100
1993-06-10,222.7119,226.7969,222.7119,222.7119,3800
1993-06-11,222.7119,228.7577,222.7119,222.7119,4400
