"MacroTrends Data Download"
"INSE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2016-12-29,8.2500,8.2500,7.5000,8.1000,13988
2016-12-30,8.1000,8.4500,7.5000,8.4500,80924
2017-01-03,7.7500,8.0000,7.2715,8.0000,25914
2017-01-04,8.4000,8.4000,7.8500,7.8500,15335
2017-01-05,8.2000,8.2000,7.5000,7.9700,13573
2017-01-06,8.1000,8.1000,7.9000,7.9000,641
2017-01-09,7.9500,8.0000,7.5050,8.0000,5250
2017-01-10,7.5000,7.7000,7.5000,7.5000,23550
2017-01-11,7.5500,7.5500,7.3000,7.3500,1400
2017-01-12,7.5000,7.6500,7.5000,7.5500,10388
2017-01-13,7.5500,7.5500,7.5500,7.5500,0
2017-01-17,7.4000,7.6000,7.4000,7.5000,2400
2017-01-18,7.5000,7.8000,7.4500,7.4500,4270
2017-01-19,7.5000,7.7000,7.3000,7.3000,42793
2017-01-20,7.4000,7.5000,7.4000,7.5000,27304
2017-01-23,7.5000,7.5500,7.4000,7.5000,15089
2017-01-24,7.5000,7.6000,7.4500,7.5600,5425
2017-01-25,7.5000,7.5000,7.5000,7.5000,402
2017-01-26,7.5000,7.5500,7.5000,7.5000,1507
2017-01-27,7.5000,7.7500,7.5000,7.7000,3646
2017-01-30,7.7423,7.7423,7.6000,7.6500,809
2017-01-31,7.8000,7.9000,7.8000,7.9000,1920
2017-02-01,7.9500,8.2000,7.9500,8.2000,9842
2017-02-02,8.1500,8.2500,8.1250,8.1500,4627
2017-02-03,8.1000,8.3000,8.1000,8.2000,2722
2017-02-06,8.1000,8.2000,8.1000,8.1500,2541
2017-02-07,8.1500,8.2000,7.8250,8.0000,17537
2017-02-08,8.0000,8.3500,8.0000,8.1500,9108
2017-02-09,8.2000,8.5000,8.1500,8.1500,2369
2017-02-10,8.3500,8.7000,8.1500,8.5000,34781
2017-02-13,8.5000,8.5000,8.5000,8.5000,0
2017-02-14,8.6000,8.9500,8.4000,8.9500,1063
2017-02-15,8.4500,8.7500,8.1050,8.7500,4308
2017-02-16,8.7500,8.7500,8.7500,8.7500,0
2017-02-17,8.9000,9.5000,8.9000,9.2500,5196
2017-02-21,9.3500,9.4000,8.8500,9.0500,5036
2017-02-22,8.5000,9.0500,8.5000,8.6500,1621
2017-02-23,8.5000,8.9000,8.3500,8.3500,5273
2017-02-24,8.3500,8.3500,8.3500,8.3500,0
2017-02-27,8.7500,9.0000,8.7500,8.9500,1836
2017-02-28,9.0500,9.0500,9.0500,9.0500,794
2017-03-01,9.0500,9.0500,9.0500,9.0500,623
2017-03-02,9.0500,9.0500,9.0500,9.0500,636
2017-03-03,9.0500,9.0500,9.0500,9.0500,697
2017-03-06,9.0500,9.0500,9.0500,9.0500,0
2017-03-07,8.4000,9.1000,8.4000,9.0500,10334
2017-03-08,9.7500,9.7500,9.2500,9.5000,3296
2017-03-09,9.4500,9.7500,9.4500,9.5000,3608
2017-03-10,9.1500,10.0500,9.1500,10.0000,9537
2017-03-13,10.2500,11.3500,10.2500,10.9000,61125
2017-03-14,10.9500,11.0000,10.5500,10.9500,35528
2017-03-15,10.7500,10.8500,10.6000,10.8500,66093
2017-03-16,10.8000,10.8750,10.7371,10.8500,251246
2017-03-17,9.8500,10.9500,9.8500,10.2500,107845
2017-03-20,10.2000,10.6500,9.0500,10.4500,10302
2017-03-21,10.4500,11.3000,10.1000,10.9000,4886
2017-03-22,10.0500,11.2500,10.0000,10.8500,11555
2017-03-23,11.0000,11.2000,10.7000,10.9500,4751
2017-03-24,10.7000,10.9000,10.1000,10.7500,10954
2017-03-27,10.7500,10.9000,10.2000,10.4000,5446
2017-03-28,10.6000,10.8500,10.3845,10.4500,11390
2017-03-29,10.1500,10.1500,9.4000,10.0500,7333
2017-03-30,10.3000,10.5000,10.0000,10.4500,7231
2017-03-31,10.5000,10.8000,10.1590,10.6000,5517
2017-04-03,10.7000,10.8000,10.3000,10.5500,3562
2017-04-04,10.2738,10.5531,10.1500,10.1500,1193
2017-04-05,10.8795,10.8795,10.3000,10.4500,2618
2017-04-06,11.0000,11.0500,10.4000,10.5000,2584
2017-04-07,10.8500,11.5000,10.6500,10.8000,21819
2017-04-10,10.8500,10.8500,10.2000,10.3500,2218
2017-04-11,10.5000,10.6000,10.1500,10.3000,8712
2017-04-12,10.2000,10.3000,9.8000,10.2500,6701
2017-04-13,10.5000,10.5000,9.9500,10.0500,2639
2017-04-17,10.1000,10.1000,9.6500,9.6500,5233
2017-04-18,10.1000,10.1000,9.2500,9.3000,1597
2017-04-19,10.1000,10.2500,9.4000,10.0000,5837
2017-04-20,9.7084,10.0000,9.6500,9.6500,2828
2017-04-21,9.8000,9.8500,9.6250,9.8500,8390
2017-04-24,9.8000,9.8500,9.7500,9.8500,1202
2017-04-25,9.8500,9.9000,9.7500,9.9000,2966
2017-04-26,9.8500,9.9500,9.8025,9.9000,3254
2017-04-27,9.9500,10.7000,9.9000,10.1000,8940
2017-04-28,10.6500,10.6500,9.8500,10.1000,2859
2017-05-01,10.2500,10.4000,10.2000,10.3500,1311
2017-05-02,10.4000,10.7000,10.3000,10.3500,9982
2017-05-03,10.4000,10.7000,10.0000,10.3500,7721
2017-05-04,10.4000,10.7000,10.4000,10.5000,2297
2017-05-05,10.7500,10.7500,10.5000,10.5500,1932
2017-05-08,10.6000,10.7330,10.3000,10.3000,7813
2017-05-09,10.1000,10.2500,8.7550,10.2500,10914
2017-05-10,10.0000,10.4000,10.0000,10.3500,2891
2017-05-11,9.6500,10.9500,9.6500,10.4500,6063
2017-05-12,10.4500,10.7500,10.4500,10.7500,3413
2017-05-15,10.9500,11.1000,10.8500,11.0000,6447
2017-05-16,11.0000,11.3500,10.5500,11.2000,8579
2017-05-17,10.9500,11.2000,10.9000,11.2000,5488
2017-05-18,11.2000,11.4000,11.2000,11.4000,3626
2017-05-19,11.5000,12.1000,11.2000,11.9500,21207
2017-05-22,11.9000,12.2500,11.9000,12.1500,18437
2017-05-23,12.0250,12.1500,11.4000,11.5250,15896
2017-05-24,10.5000,11.5000,10.4500,10.8500,11991
2017-05-25,11.1500,12.2000,11.1500,11.7750,9550
2017-05-26,11.9500,12.0000,11.5000,11.8000,23762
2017-05-30,12.2000,12.2000,11.6000,11.7500,9028
2017-05-31,11.8500,12.2500,11.7500,12.2500,17739
2017-06-01,12.2000,12.2000,11.8500,11.9500,11224
2017-06-02,11.9250,12.3500,11.4000,12.1500,13699
2017-06-05,12.3858,12.3858,11.2500,12.2500,16994
2017-06-06,11.8500,12.1000,11.1000,11.6500,11423
2017-06-07,12.0500,12.7000,12.0500,12.4500,11898
2017-06-08,12.3500,13.0000,12.3500,12.9000,24960
2017-06-09,12.8000,13.3000,12.7500,13.0000,28553
2017-06-12,12.8000,12.8000,11.1500,11.2000,24179
2017-06-13,11.3500,11.9000,11.1750,11.2500,11316
2017-06-14,11.4500,12.4000,11.2500,11.6000,45746
2017-06-15,11.5000,12.1500,11.4500,11.6500,11525
2017-06-16,11.7500,12.1500,11.2000,11.2000,42278
2017-06-19,11.7000,11.7500,11.4000,11.5000,14943
2017-06-20,11.4000,12.2800,11.4000,11.9500,13917
2017-06-21,11.9000,12.2000,11.5500,11.8000,15042
2017-06-22,11.9000,12.0000,11.5500,11.7500,20766
2017-06-23,11.6500,11.7500,10.4500,10.9000,344200
2017-06-26,10.8000,12.3000,10.6500,12.1000,24467
2017-06-27,12.4000,12.4000,11.5000,11.9500,13946
2017-06-28,11.6500,12.4000,11.6500,12.0000,9510
2017-06-29,12.2000,13.3000,12.0500,13.1000,43302
2017-06-30,12.9500,13.7500,12.7500,13.0000,19049
2017-07-03,12.9000,13.4500,12.8000,13.1500,3426
2017-07-05,13.1500,13.1500,12.9500,13.0000,6094
2017-07-06,12.9000,12.9000,12.6500,12.6500,5070
2017-07-07,12.5000,12.6500,12.2500,12.5500,2762
2017-07-10,12.1500,12.4000,11.9500,12.1000,5485
2017-07-11,12.3000,12.3000,11.7500,11.9000,3500
2017-07-12,11.8500,12.3000,11.8500,12.2000,5741
2017-07-13,11.9500,12.1500,11.9500,12.1500,3233
2017-07-14,12.1000,12.1000,11.9000,11.9000,2892
2017-07-17,11.8500,12.4500,11.8000,12.1500,8660
2017-07-18,11.9500,12.2000,11.8500,12.1000,6077
2017-07-19,12.5000,12.5000,12.1500,12.1500,5589
2017-07-20,11.8000,11.9500,11.8000,11.9500,3037
2017-07-21,12.2000,12.6000,11.7750,12.1000,10011
2017-07-24,11.9500,12.3000,11.9500,12.1500,3489
2017-07-25,12.1500,12.1500,12.0500,12.0500,12602
2017-07-26,12.1500,12.1500,11.4500,11.6000,14630
2017-07-27,11.3500,12.1000,11.3000,11.5000,20065
2017-07-28,11.6000,11.6500,11.0000,11.0500,13087
2017-07-31,10.9500,11.6500,10.9500,11.1500,8092
2017-08-01,11.2000,11.4500,11.2000,11.4500,1309
2017-08-02,11.2500,11.2500,10.5000,10.7000,10629
2017-08-03,10.5500,10.9000,9.5000,9.7000,28382
2017-08-04,9.5500,10.1000,9.5000,10.1000,5668
2017-08-07,9.3500,10.0500,9.3500,10.0500,3066
2017-08-08,10.0500,11.1000,10.0500,10.2000,15240
2017-08-09,9.9000,10.3000,9.9000,10.0000,14362
2017-08-10,10.0000,10.1000,9.8500,10.1000,6501
2017-08-11,10.2000,10.2000,10.0000,10.1500,2676
2017-08-14,10.6000,10.9000,10.1000,10.7000,19590
2017-08-15,10.6500,10.6500,10.1500,10.4500,3425
2017-08-16,10.7000,10.7000,10.1500,10.2500,7496
2017-08-17,10.4000,10.4000,9.6000,10.2500,7289
2017-08-18,10.0000,10.2000,9.8500,10.1500,8175
2017-08-21,10.0000,10.3500,10.0000,10.1500,3150
2017-08-22,10.3000,10.8500,10.3000,10.5000,11934
2017-08-23,10.4000,11.8500,10.4000,11.5000,35774
2017-08-24,11.6500,12.0500,10.9000,11.0000,21859
2017-08-25,11.4500,11.4500,10.9000,11.0000,2804
2017-08-28,11.0000,11.2000,10.9500,10.9500,4211
2017-08-29,10.9500,11.0000,10.8000,10.9500,6227
2017-08-30,10.6500,10.9500,10.6500,10.8500,7541
2017-08-31,11.2500,11.4500,10.9548,11.1000,28153
2017-09-01,11.3000,11.9500,11.1500,11.7500,26293
2017-09-05,12.0000,12.5000,11.8000,12.0000,19758
2017-09-06,12.2000,12.7000,12.2000,12.3500,22729
2017-09-07,12.3500,12.3500,11.6000,12.0500,75267
2017-09-08,11.9500,12.5500,11.9500,12.2000,15247
2017-09-11,12.2000,12.7000,12.2000,12.6500,11034
2017-09-12,12.6947,12.7000,12.4000,12.4500,11206
2017-09-13,12.5000,12.6000,12.4500,12.6000,20374
2017-09-14,12.7500,13.0500,12.6000,13.0000,10333
2017-09-15,13.0500,13.3000,12.8500,13.1500,86578
2017-09-18,13.0500,13.6500,13.0500,13.4000,28039
2017-09-19,13.5550,13.6250,13.2000,13.6000,35074
2017-09-20,13.6000,13.6000,13.1500,13.2500,47805
2017-09-21,13.3500,13.4000,13.2000,13.3000,4701
2017-09-22,13.3500,13.9000,13.3500,13.6000,12302
2017-09-25,13.6000,13.6000,13.2500,13.4000,51342
2017-09-26,13.3500,13.5000,13.2500,13.4000,9098
2017-09-27,13.5000,13.5000,13.0500,13.4500,41282
2017-09-28,13.1500,13.4500,12.7000,13.3500,24090
2017-09-29,13.3000,13.5500,13.2000,13.2500,24108
2017-10-02,13.3500,14.0000,13.1500,13.2000,11667
2017-10-03,13.1500,13.3000,12.5000,13.0000,37896
2017-10-04,13.1500,13.2000,12.9500,13.0000,30436
2017-10-05,13.0500,13.2500,12.7500,13.1000,46547
2017-10-06,12.8000,13.0500,12.5500,12.8000,11868
2017-10-09,13.2500,13.2500,12.6000,12.6500,8500
2017-10-10,12.8000,12.9000,12.3500,12.4500,20137
2017-10-11,12.5500,12.7000,12.2500,12.4500,16003
2017-10-12,12.5500,12.8500,12.4000,12.7000,23203
2017-10-13,13.0000,13.3500,13.0000,13.2000,20100
2017-10-16,13.2500,13.2500,12.9500,13.2000,7024
2017-10-17,13.5000,13.5500,12.4500,12.6000,17930
2017-10-18,12.6500,12.9500,12.6500,12.7500,5037
2017-10-19,13.0500,13.3500,13.0000,13.1500,13384
2017-10-20,13.1500,13.3000,12.7500,13.1000,10298
2017-10-23,13.0500,13.0500,12.0000,12.0000,16462
2017-10-24,12.0500,12.2250,11.4500,11.5000,21338
2017-10-25,11.5500,11.7500,11.2500,11.5000,7444
