"MacroTrends Data Download"
"LEE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1987-11-05,68.9057,69.6088,68.9057,68.9057,8700
1987-11-06,68.9057,70.3119,68.9057,70.3119,11440
1987-11-09,69.9744,70.3119,69.6088,69.9744,1360
1987-11-10,69.2432,70.3119,68.5682,69.6088,4860
1987-11-11,69.6088,73.4619,69.6088,71.0150,4520
1987-11-12,70.6494,73.8275,70.6494,71.0150,5940
1987-11-13,70.6494,72.4213,70.6494,70.6494,2520
1987-11-16,70.6494,70.6494,70.3119,70.3119,3140
1987-11-17,69.6088,69.6088,67.1619,67.1619,2580
1987-11-18,67.8369,69.2432,67.8369,69.2432,860
1987-11-19,69.9744,71.0150,69.9744,70.3119,5260
1987-11-20,71.0150,71.0150,68.9057,69.2432,2380
1987-11-23,69.9744,69.9744,68.2025,68.9057,3040
1987-11-24,68.2025,71.7181,68.2025,69.6088,1620
1987-11-25,68.9057,69.6088,68.9057,69.6088,500
1987-11-27,68.9057,68.9057,68.9057,68.9057,40
1987-11-30,69.2432,69.2432,68.2025,68.2025,480
1987-12-01,67.6119,67.6119,67.2439,67.6119,260
1987-12-02,67.2439,67.2439,67.2439,67.2439,2100
1987-12-03,66.8758,67.6119,66.5360,67.2439,1460
1987-12-04,67.2439,67.2439,63.7047,63.7047,3680
1987-12-07,64.4125,64.4125,64.0445,64.0445,1760
1987-12-08,63.7047,65.1204,63.7047,65.1204,1580
1987-12-09,65.1204,67.9517,65.1204,67.9517,1640
1987-12-10,67.6119,68.6595,66.8758,66.8758,1280
1987-12-11,65.8282,65.8282,65.1204,65.1204,1880
1987-12-14,65.8282,67.2439,65.4601,67.2439,1080
1987-12-15,66.8758,67.6119,66.8758,67.6119,740
1987-12-16,68.2914,68.2914,67.9517,67.9517,1780
1987-12-17,67.9517,67.9517,65.4601,65.4601,2120
1987-12-18,66.5360,66.5360,64.0445,64.4125,1400
1987-12-21,64.4125,64.4125,63.3649,63.3649,11120
1987-12-22,62.9969,63.3649,62.2890,62.9969,2420
1987-12-23,63.7047,64.4125,63.7047,64.4125,760
1987-12-24,63.7047,64.4125,63.7047,63.7047,21720
1987-12-28,63.3649,63.3649,62.9969,62.9969,2720
1987-12-29,62.2890,63.7047,62.2890,62.2890,1240
1987-12-30,62.2890,63.7047,61.9493,63.7047,3060
1987-12-31,62.9969,67.9517,62.2890,67.9517,1980
1988-01-04,67.9517,69.0276,67.9517,69.0276,4520
1988-01-05,69.3673,70.7830,68.6595,68.6595,3700
1988-01-06,68.6595,68.6595,67.6119,68.2914,820
1988-01-07,69.3673,69.3673,68.6595,68.6595,520
1988-01-08,67.9517,68.2914,65.4601,65.4601,3920
1988-01-11,66.1963,66.1963,64.7806,64.7806,1620
1988-01-12,65.1204,65.1204,64.4125,64.4125,2920
1988-01-13,64.4125,64.4125,64.4125,64.4125,1000
1988-01-14,63.7047,63.7047,63.7047,63.7047,1060
1988-01-15,64.0445,65.8282,64.0445,65.8282,1300
1988-01-18,65.1204,65.1204,65.1204,65.1204,280
1988-01-19,64.7806,65.1204,64.4125,64.4125,1240
1988-01-20,64.7806,64.7806,62.6288,62.6288,1480
1988-01-21,63.3649,63.7047,61.5812,63.7047,4280
1988-01-22,63.3649,63.3649,63.3649,63.3649,60
1988-01-25,63.7047,65.1204,63.7047,64.4125,980
1988-01-26,65.1204,65.1204,64.4125,64.4125,1520
1988-01-27,64.7806,65.1204,63.7047,64.7806,14140
1988-01-28,64.7806,65.4601,64.7806,65.4601,3460
1988-01-29,65.1204,65.8282,65.1204,65.4601,3340
1988-02-01,66.1963,66.8758,64.7806,65.8282,1900
1988-02-02,66.5360,66.5360,65.8282,65.8282,21780
1988-02-03,66.5360,67.2439,66.1963,66.8758,3820
1988-02-04,66.1963,66.1963,65.1204,65.1204,2800
1988-02-05,65.8282,67.2439,65.8282,66.8758,2960
1988-02-08,67.6119,67.6119,67.2439,67.6119,340
1988-02-09,66.8758,66.8758,65.8282,65.8282,2580
1988-02-10,66.5360,67.2439,66.5360,67.2439,420
1988-02-11,67.6119,67.6119,67.6119,67.6119,280
1988-02-12,67.2439,68.2914,66.8758,67.9517,8460
1988-02-16,67.2439,67.6119,66.8758,67.6119,800
1988-02-17,67.6119,67.6119,67.6119,67.6119,1140
1988-02-18,67.6119,67.6119,66.8758,66.8758,1340
1988-02-19,66.5360,67.2439,66.5360,66.8758,880
1988-02-22,67.6119,67.9517,67.6119,67.9517,2800
1988-02-23,67.9517,69.3673,67.9517,68.2914,1340
1988-02-24,69.1057,70.1601,69.1057,70.1601,960
1988-02-25,69.8181,70.5306,69.8181,69.8181,500
1988-02-26,69.8181,70.9010,69.4762,70.1601,1600
1988-02-29,70.9010,71.9554,70.5306,71.9554,2100
1988-03-01,71.2430,71.2430,70.5306,70.9010,13800
1988-03-02,70.5306,71.2430,70.5306,71.2430,1940
1988-03-03,70.9010,71.9554,70.9010,71.5850,480
1988-03-04,71.5850,71.9554,70.9010,71.9554,2840
1988-03-07,71.2430,72.3259,71.2430,72.3259,5640
1988-03-08,73.3803,73.7508,73.0098,73.7508,1780
1988-03-09,73.0098,73.7508,73.0098,73.7508,2440
1988-03-10,74.0927,74.4347,73.7508,74.0927,5580
1988-03-11,73.7508,74.4347,73.3803,74.0927,21980
1988-03-14,74.8052,74.8052,73.7508,74.0927,1440
1988-03-15,73.7508,74.4347,73.7508,74.4347,1000
1988-03-16,75.1756,75.1756,74.4347,74.4347,16440
1988-03-17,74.0927,77.6549,74.0927,77.2844,10240
1988-03-18,77.2844,77.2844,76.9424,77.2844,2200
1988-03-21,77.2844,78.3673,77.2844,77.6549,1160
1988-03-22,77.2844,78.3673,77.2844,78.3673,3980
1988-03-23,78.0253,78.0253,76.9424,77.6549,2040
1988-03-24,76.9424,76.9424,74.8052,74.8052,2160
1988-03-25,75.1756,75.1756,71.9554,74.0927,4000
1988-03-28,74.8052,75.1756,73.7508,74.4347,13460
1988-03-29,74.4347,76.2300,74.4347,76.2300,4780
1988-03-30,75.5176,76.6005,75.5176,75.8596,900
1988-03-31,75.1756,77.2844,74.4347,75.8596,2560
1988-04-04,76.6005,76.6005,75.1756,75.1756,9420
1988-04-05,74.4347,75.5176,73.7508,75.5176,2440
1988-04-06,76.2300,76.2300,75.1756,75.5176,4200
1988-04-07,75.5176,76.9424,74.8052,76.6005,5660
1988-04-08,76.9424,77.2844,76.6005,76.9424,740
1988-04-11,77.2844,78.0253,77.2844,77.2844,1540
1988-04-12,78.0253,78.0253,77.2844,77.6549,1180
1988-04-13,78.3673,79.4502,78.3673,79.0797,1580
1988-04-14,78.7093,78.7093,77.6549,77.6549,1960
1988-04-15,77.6549,78.3673,77.6549,78.3673,900
1988-04-18,79.0797,79.0797,78.7093,79.0797,14400
1988-04-19,79.4502,80.5046,79.4502,79.7922,8980
1988-04-20,80.5046,80.5046,79.0797,79.7922,7800
1988-04-21,79.4502,79.4502,75.1756,75.1756,1300
1988-04-22,74.8052,74.8052,72.6679,72.6679,820
1988-04-25,73.0098,75.5176,73.0098,74.4347,1120
1988-04-26,74.8052,75.1756,74.4347,75.1756,17220
1988-04-27,76.2300,76.2300,75.8596,75.8596,320
1988-04-28,75.8596,75.8596,75.5176,75.5176,1200
1988-04-29,75.1756,76.9424,74.8052,76.9424,1080
1988-05-02,76.9424,77.6549,76.2300,77.2844,1260
1988-05-03,77.6549,77.6549,76.6005,76.6005,900
1988-05-04,76.6005,76.6005,75.8596,75.8596,80
1988-05-05,75.5176,76.6005,75.5176,76.2300,1380
1988-05-06,75.8596,76.2300,75.8596,76.2300,240
1988-05-09,75.8596,76.6005,75.5176,75.5176,980
1988-05-10,75.5176,75.5176,74.8052,75.5176,440
1988-05-11,75.1756,75.1756,74.4347,74.4347,1140
1988-05-12,74.4347,75.8596,73.7508,75.1756,1900
1988-05-13,75.8596,75.8596,74.8052,75.8596,1540
1988-05-16,76.2300,76.9424,76.2300,76.9424,3080
1988-05-17,76.9424,76.9424,76.2300,76.2300,500
1988-05-18,75.8596,76.9424,75.8596,76.9424,840
1988-05-19,76.6005,76.9424,76.2300,76.2300,940
1988-05-20,76.2300,76.2300,76.2300,76.2300,80
1988-05-23,77.2844,77.2844,75.5176,76.2300,2200
1988-05-24,76.2300,76.2300,74.8052,74.8052,4520
1988-05-25,74.5487,74.8928,73.8319,74.5487,560
1988-05-26,74.5487,74.5487,73.4591,73.4591,220
1988-05-27,73.1151,73.8319,73.1151,73.8319,4760
1988-05-31,73.8319,73.8319,73.4591,73.4591,240
1988-06-01,74.2046,75.9823,73.8319,75.2655,1680
1988-06-02,74.8928,75.6382,74.8928,75.6382,300
1988-06-03,75.6382,75.6382,75.6382,75.6382,160
1988-06-06,76.3264,76.3264,75.6382,75.9823,2820
1988-06-07,75.6382,76.6991,75.6382,76.6991,160
1988-06-08,76.3264,77.0719,76.3264,76.6991,1220
1988-06-09,75.9823,77.4159,75.9823,76.6991,1540
1988-06-10,77.4159,77.7600,77.4159,77.4159,980
1988-06-13,78.1328,78.1328,77.0719,77.4159,1980
1988-06-14,78.8496,78.8496,77.4159,77.4159,8100
1988-06-15,77.4159,78.8496,77.4159,78.5055,1900
1988-06-16,77.4159,78.8496,77.4159,78.5055,16820
1988-06-17,78.5055,78.8496,78.1328,78.1328,7000
1988-06-20,77.7600,77.7600,76.6991,76.6991,1060
