"MacroTrends Data Download"
"LUMN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1987-11-05,0.5706,0.5747,0.5667,0.5747,70197
1987-11-06,0.5866,0.5905,0.5825,0.5905,81899
1987-11-09,0.5985,0.6027,0.5947,0.5947,153098
1987-11-10,0.5985,0.6107,0.5985,0.6069,66704
1987-11-11,0.6027,0.6069,0.6027,0.6027,2802
1987-11-12,0.6027,0.6226,0.6027,0.6149,65701
1987-11-13,0.6149,0.6188,0.5985,0.5985,59497
1987-11-16,0.5985,0.6268,0.5985,0.6268,156697
1987-11-17,0.6226,0.6226,0.6107,0.6107,37802
1987-11-18,0.6107,0.6188,0.6107,0.6188,12097
1987-11-19,0.6226,0.6226,0.6149,0.6149,18104
1987-11-20,0.6069,0.6107,0.6069,0.6069,33701
1987-11-23,0.6069,0.6188,0.6069,0.6149,16304
1987-11-24,0.6188,0.6268,0.6188,0.6226,24399
1987-11-25,0.6226,0.6307,0.6226,0.6307,24399
1987-11-27,0.6268,0.6268,0.6268,0.6268,12097
1987-11-30,0.6226,0.6268,0.6107,0.6107,119700
1987-12-01,0.6069,0.6069,0.5985,0.5985,75702
1987-12-02,0.5985,0.5985,0.5947,0.5985,130499
1987-12-03,0.6027,0.6027,0.5947,0.5985,14998
1987-12-04,0.5905,0.5905,0.5747,0.5786,30299
1987-12-07,0.5667,0.5667,0.5587,0.5625,77798
1987-12-08,0.5667,0.5706,0.5587,0.5667,45897
1987-12-09,0.5625,0.5786,0.5625,0.5786,38402
1987-12-10,0.5747,0.5866,0.5747,0.5866,136900
1987-12-11,0.5905,0.5905,0.5866,0.5866,77798
1987-12-14,0.5905,0.5985,0.5905,0.5985,143097
1987-12-15,0.6027,0.6069,0.5985,0.6069,112600
1987-12-16,0.6107,0.6149,0.6069,0.6149,144600
1987-12-17,0.6188,0.6268,0.6149,0.6226,225003
1987-12-18,0.6268,0.6349,0.6188,0.6349,118797
1987-12-21,0.6429,0.6509,0.6268,0.6349,272198
1987-12-22,0.6387,0.6387,0.6268,0.6268,19501
1987-12-23,0.6307,0.6349,0.6226,0.6268,355600
1987-12-24,0.6268,0.6349,0.6268,0.6307,121500
1987-12-28,0.6349,0.6387,0.6307,0.6349,108097
1987-12-29,0.6307,0.6307,0.6188,0.6188,51903
1987-12-30,0.6226,0.6307,0.6226,0.6268,39700
1987-12-31,0.6226,0.6670,0.6226,0.6670,200399
1988-01-04,0.6631,0.6709,0.6631,0.6631,108097
1988-01-05,0.6709,0.6789,0.6670,0.6709,69703
1988-01-06,0.6750,0.6750,0.6709,0.6709,7298
1988-01-07,0.6670,0.6709,0.6670,0.6670,8999
1988-01-08,0.6590,0.6590,0.6471,0.6471,48600
1988-01-11,0.6471,0.6509,0.6429,0.6471,150698
1988-01-12,0.6509,0.6509,0.6429,0.6429,237100
1988-01-13,0.6387,0.6471,0.6307,0.6349,40604
1988-01-14,0.6307,0.6349,0.6268,0.6268,19501
1988-01-15,0.6349,0.6429,0.6226,0.6349,218700
1988-01-18,0.6429,0.6590,0.6429,0.6509,251999
1988-01-19,0.6471,0.6590,0.6471,0.6590,35197
1988-01-20,0.6590,0.6631,0.6509,0.6509,37802
1988-01-21,0.6509,0.6590,0.6509,0.6590,103503
1988-01-22,0.6590,0.6631,0.6551,0.6631,71100
1988-01-25,0.6590,0.6789,0.6590,0.6750,39298
1988-01-26,0.6750,0.6789,0.6750,0.6750,18400
1988-01-27,0.6750,0.6869,0.6750,0.6789,25599
1988-01-28,0.6831,0.6869,0.6831,0.6869,115304
1988-01-29,0.6869,0.6911,0.6869,0.6911,23100
1988-02-01,0.6911,0.6991,0.6911,0.6911,107497
1988-02-02,0.6953,0.6991,0.6953,0.6953,4199
1988-02-03,0.6953,0.6991,0.6953,0.6953,39700
1988-02-04,0.6991,0.7033,0.6953,0.6953,19501
1988-02-05,0.6953,0.6953,0.6953,0.6953,2802
1988-02-08,0.6953,0.6991,0.6911,0.6991,139604
1988-02-09,0.6953,0.6991,0.6953,0.6953,22500
1988-02-10,0.6991,0.7232,0.6789,0.7152,855398
1988-02-11,0.7232,0.7515,0.7232,0.7355,225998
1988-02-12,0.7313,0.7355,0.7152,0.7313,170100
1988-02-16,0.7313,0.7393,0.7271,0.7393,248999
1988-02-17,0.7355,0.7435,0.7355,0.7355,206497
1988-02-18,0.7313,0.7393,0.7313,0.7393,145800
1988-02-19,0.7393,0.7474,0.7355,0.7474,147698
1988-02-22,0.7435,0.7474,0.7393,0.7474,51402
1988-02-23,0.7474,0.7554,0.7435,0.7474,229597
1988-02-24,0.7515,0.7673,0.7515,0.7673,43801
1988-02-25,0.7697,0.7779,0.7697,0.7779,57599
1988-02-26,0.7697,0.7697,0.7658,0.7658,12097
1988-02-29,0.7619,0.7945,0.7619,0.7945,156097
1988-03-01,0.7984,0.8066,0.7945,0.7984,144000
1988-03-02,0.7984,0.7984,0.7984,0.7984,100002
1988-03-03,0.7945,0.7984,0.7903,0.7903,72900
1988-03-04,0.7945,0.7945,0.7945,0.7945,24399
1988-03-07,0.7945,0.7984,0.7945,0.7984,41401
1988-03-08,0.8066,0.8147,0.7984,0.7984,177398
1988-03-09,0.8027,0.8310,0.8027,0.8229,243000
1988-03-10,0.8310,0.8310,0.8147,0.8147,57599
1988-03-11,0.8147,0.8186,0.8147,0.8186,30603
1988-03-14,0.8147,0.8147,0.8066,0.8066,95400
1988-03-15,0.8105,0.8105,0.7945,0.7945,86402
1988-03-16,0.7945,0.8027,0.7945,0.8027,70197
1988-03-17,0.7984,0.8027,0.7984,0.7984,145899
1988-03-18,0.7984,0.7984,0.7903,0.7903,57599
1988-03-21,0.7903,0.7945,0.7903,0.7945,115600
1988-03-22,0.7903,0.7945,0.7903,0.7945,139900
1988-03-23,0.8027,0.8186,0.8027,0.8147,276299
1988-03-24,0.8147,0.8147,0.8027,0.8027,263199
1988-03-25,0.8105,0.8186,0.8105,0.8147,288897
1988-03-28,0.8147,0.8229,0.8105,0.8229,252401
1988-03-29,0.8186,0.8229,0.8147,0.8186,264597
1988-03-30,0.8229,0.8229,0.8105,0.8105,30603
1988-03-31,0.8147,0.8147,0.7984,0.8027,84997
1988-04-04,0.7984,0.8066,0.7945,0.7945,52799
1988-04-05,0.7984,0.8105,0.7984,0.8066,98499
1988-04-06,0.8066,0.8066,0.8027,0.8066,12302
