"MacroTrends Data Download"
"MYPS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-05-12,10.0000,10.0400,9.9000,9.9300,509374
2021-05-13,9.9500,10.0000,9.9500,9.9900,112820
2021-05-14,9.9700,9.9800,9.9200,9.9600,28112
2021-05-17,9.9600,10.0000,9.8900,9.9900,242598
2021-05-18,9.9900,10.0129,9.9500,10.0000,89391
2021-05-19,9.9900,10.0200,9.9201,9.9900,137961
2021-05-20,9.9900,10.0700,9.9600,10.0000,295481
2021-05-21,9.9600,10.0500,9.9400,9.9600,321725
2021-05-24,9.9600,10.0000,9.9500,9.9500,194289
2021-05-25,9.9500,9.9800,9.8900,9.8900,153115
2021-05-26,9.9300,9.9700,9.9300,9.9700,208107
2021-05-27,9.9700,9.9800,9.9500,9.9600,317052
2021-05-28,9.9600,9.9900,9.9600,9.9900,180133
2021-06-01,9.9700,9.9850,9.9700,9.9700,75420
2021-06-02,9.9800,9.9900,9.9700,9.9800,107671
2021-06-03,9.9900,10.0000,9.9700,10.0000,405484
2021-06-04,9.9900,9.9900,9.9700,9.9800,154353
2021-06-07,9.9900,10.0100,9.9700,10.0000,419059
2021-06-08,10.0000,10.0200,9.9800,9.9800,322003
2021-06-09,10.0200,10.0832,9.9900,10.0000,521876
2021-06-10,10.0000,10.0500,9.9950,10.0100,398503
2021-06-11,10.0200,10.0700,9.9900,10.0000,835301
2021-06-14,10.0000,10.0018,9.9900,10.0000,443275
2021-06-15,9.9800,10.0000,9.6800,9.8100,519745
2021-06-16,9.8300,9.8900,9.7800,9.8300,129624
2021-06-17,9.7700,9.8916,8.5600,8.7500,682766
2021-06-18,8.7500,8.8800,7.8700,8.2200,661916
2021-06-21,8.2400,8.5300,8.2400,8.3900,236431
2021-06-22,8.3900,8.3900,8.3900,8.3900,0
2021-06-23,8.2900,8.3400,8.1300,8.2400,181241
2021-06-24,8.1600,8.2300,7.8600,8.0000,253864
2021-06-25,8.1700,8.2300,7.9600,8.1000,149718
2021-06-28,8.1500,8.1500,7.9000,7.9400,135017
2021-06-29,8.0000,8.0700,7.8800,7.9200,203896
2021-06-30,7.8000,7.8415,7.2100,7.4200,389833
2021-07-01,7.5000,7.9000,7.4100,7.8800,662342
2021-07-02,7.7800,7.8800,7.7700,7.8000,259855
2021-07-06,7.8400,7.8400,7.2900,7.3200,270861
2021-07-07,7.5000,7.6200,7.2600,7.2800,244569
2021-07-08,7.2500,7.4300,7.0000,7.0000,416559
2021-07-09,7.1100,7.2700,6.9400,7.0700,289823
2021-07-12,7.1500,7.3199,6.9900,7.0100,202525
2021-07-13,6.9900,7.1000,6.8100,6.9600,330401
2021-07-14,7.0400,7.0600,6.0300,6.2200,519923
2021-07-15,6.2900,6.4990,6.2301,6.3600,295869
2021-07-16,6.9000,7.0000,6.6300,6.8100,488154
2021-07-19,6.7000,7.0000,6.4600,7.0000,346173
2021-07-20,6.9400,7.0400,6.8100,6.8800,236047
2021-07-21,6.8700,6.9431,6.6600,6.8000,134297
2021-07-22,6.8300,6.9700,6.6400,6.8400,157167
2021-07-23,6.8300,6.8300,6.5800,6.6300,146782
2021-07-26,6.6300,6.8300,6.1700,6.3000,419832
2021-07-27,6.2600,6.3000,5.8200,5.8800,425905
2021-07-28,5.9200,6.1100,5.8400,6.0800,192132
2021-07-29,6.0800,6.9500,6.0800,6.5700,798625
2021-07-30,6.6800,6.8900,6.5001,6.6000,298635
2021-08-02,6.5000,6.5000,5.5700,5.8300,1841768
2021-08-03,5.8000,5.9200,5.7000,5.8200,473863
2021-08-04,5.8000,5.9200,5.5900,5.6500,720776
2021-08-05,5.6400,5.9000,5.5210,5.7500,466737
2021-08-06,5.7500,5.7700,5.5500,5.7000,495197
2021-08-09,5.6600,6.2000,5.5500,6.0500,2171860
2021-08-10,6.0500,6.0600,5.7500,5.9300,698162
2021-08-11,6.0000,6.0500,5.7000,5.7500,858203
2021-08-12,5.3500,5.4172,4.4400,5.0900,1698635
2021-08-13,5.1400,5.1400,4.6600,5.0000,874023
2021-08-16,4.9100,5.0500,4.7000,4.7200,595602
2021-08-17,4.6900,4.6900,4.2700,4.3000,1756900
2021-08-18,4.3000,4.3300,4.0700,4.1700,1404439
2021-08-19,4.0700,4.1400,3.9200,4.0200,1548645
2021-08-20,4.0800,4.6300,4.0800,4.5900,673711
2021-08-23,4.5800,4.9800,4.5300,4.8500,973806
