"MacroTrends Data Download"
"NGMS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-11-19,21.1500,22.8900,19.5000,21.8700,2749774
2020-11-20,22.0500,22.1600,20.1200,20.7500,401250
2020-11-23,21.0000,21.2400,19.7100,19.9400,294358
2020-11-24,19.8500,21.0000,18.6700,20.1000,492818
2020-11-25,20.1500,22.1600,20.0400,20.7200,257262
2020-11-27,21.7500,22.0100,20.9101,21.5400,261016
2020-11-30,21.8900,22.4117,21.5000,21.9200,240738
2020-12-01,22.1100,24.2700,21.7500,23.4200,608723
2020-12-02,23.5000,23.6500,22.2200,22.7500,225353
2020-12-03,22.7500,23.1500,21.1900,21.8500,268490
2020-12-04,21.8800,22.5000,21.0200,21.7400,191001
2020-12-07,21.7000,22.1500,21.0800,21.5900,170574
2020-12-08,21.5900,21.9700,20.2262,20.3000,165793
2020-12-09,20.8200,21.3700,19.2700,20.6500,143406
2020-12-10,20.5000,20.7351,19.9100,20.1000,77924
2020-12-11,20.0000,20.4500,19.9900,20.2000,138383
2020-12-14,20.7400,22.1500,20.7400,21.8800,360496
2020-12-15,22.0800,23.0000,21.8683,22.1400,328645
2020-12-16,22.4700,23.7500,22.0595,22.6300,298393
2020-12-17,22.9800,24.8800,22.6800,24.2300,270424
2020-12-18,24.9500,27.5000,24.9500,27.2500,579545
2020-12-21,27.0000,29.7400,26.9454,29.0500,420974
2020-12-22,29.3300,31.7100,28.8500,30.7900,246005
2020-12-23,30.5500,33.7400,30.5500,33.5000,277480
2020-12-24,34.8100,36.4000,33.8100,35.4500,234369
2020-12-28,35.9000,37.0000,35.6000,35.6800,206712
2020-12-29,35.2700,36.1700,33.2500,34.4600,214049
2020-12-30,34.8100,35.9700,33.9500,34.9800,117247
2020-12-31,34.9800,38.3900,33.3000,37.9900,260433
2021-01-04,37.7900,38.7500,34.1200,34.6300,175155
2021-01-05,34.7500,35.9000,33.6900,34.3200,56217
2021-01-06,34.5000,35.0000,32.5300,34.9100,111369
2021-01-07,35.2300,36.8100,33.0000,33.0000,134619
2021-01-08,32.8000,33.8320,30.3400,31.3000,195796
2021-01-11,30.3500,32.3400,30.3500,31.2300,112889
2021-01-12,30.9400,31.9600,30.2400,31.3300,149708
2021-01-13,31.2600,32.0000,30.8600,31.5600,60837
2021-01-14,32.8000,34.2599,31.1900,32.5000,175401
2021-01-15,32.7000,32.7000,31.1700,31.9500,55939
2021-01-19,32.5600,32.6000,28.8700,29.8200,286688
2021-01-20,29.6100,30.8650,28.7900,29.3800,65662
2021-01-21,29.3700,30.2000,28.1000,29.5800,76176
2021-01-22,29.4700,30.4700,29.1800,30.0000,86970
2021-01-25,30.3300,30.6000,28.5200,29.5200,167347
2021-01-26,29.7500,30.5600,28.9000,28.9500,157130
2021-01-27,28.9400,29.7300,27.0000,27.5000,96672
2021-01-28,27.8800,29.6376,27.4800,28.8800,107028
2021-01-29,29.3900,29.3900,27.5100,28.9300,87844
2021-02-01,29.1700,29.6100,27.8900,28.8000,120955
2021-02-02,29.1600,29.1600,27.7800,27.9500,76002
2021-02-03,27.9500,29.4000,27.9500,28.7900,68835
2021-02-04,29.0000,29.3500,26.5300,27.9500,152730
2021-02-05,28.2000,30.2300,27.9800,29.6200,242065
2021-02-08,30.4400,30.6955,28.5200,28.8600,92572
2021-02-09,28.5600,30.4200,27.1400,28.9100,141493
2021-02-10,29.0200,29.6800,28.4000,29.0600,66845
2021-02-11,29.0550,29.1600,27.8000,28.1000,58449
2021-02-12,28.3400,30.1200,28.0000,29.2000,33736
2021-02-16,29.8100,29.8100,28.0200,28.3100,60030
2021-02-17,28.4100,30.4300,27.0300,30.1600,157391
2021-02-18,30.0000,31.1000,29.1000,30.1400,98072
2021-02-19,30.1800,31.0700,30.1800,30.8500,105060
2021-02-22,30.9200,32.8000,29.0300,30.8000,137135
2021-02-23,29.5100,32.2000,28.0529,31.1200,191161
2021-02-24,31.6900,34.3800,31.0100,32.0000,295170
2021-02-25,32.0000,32.8869,29.7850,31.2000,182582
2021-02-26,30.8500,31.9900,29.8100,30.3300,226859
2021-03-01,30.8100,31.3500,29.5000,30.2300,170356
2021-03-02,30.4000,30.7500,29.5128,30.1500,77983
2021-03-03,30.0000,31.9500,30.0000,30.8800,180661
2021-03-04,31.5000,31.5000,28.1100,28.4800,280540
2021-03-05,28.6800,29.3400,25.1200,28.2500,112340
2021-03-08,28.2600,30.0100,28.0200,28.4900,180708
2021-03-09,28.4900,30.7300,28.3689,29.7400,340732
2021-03-10,29.8900,30.3800,28.8600,29.9800,148663
2021-03-11,33.0000,34.0000,31.6500,33.0200,483505
2021-03-12,33.0000,35.7363,32.0501,35.3700,256551
2021-03-15,35.7900,38.0600,35.5700,37.3300,191339
2021-03-16,37.8700,39.9800,37.2200,39.0100,294644
2021-03-17,39.3900,40.8700,35.5200,39.8500,247060
2021-03-18,39.6200,42.3900,39.2350,40.9400,247741
2021-03-19,41.7100,42.1900,40.2700,40.7700,693284
2021-03-22,40.7300,43.6000,40.5000,42.7900,230365
2021-03-23,42.3000,43.6400,41.5300,42.5200,167640
2021-03-24,42.6800,42.9200,35.4800,36.3100,320977
2021-03-25,35.5700,40.1400,35.4500,37.4000,246841
2021-03-26,37.6900,38.5000,34.5800,35.0600,196092
2021-03-29,35.0300,36.4153,32.4400,32.4600,135763
2021-03-30,32.2000,34.4300,31.5200,33.2200,113444
2021-03-31,33.4300,35.9800,33.4000,35.7700,268174
2021-04-01,36.2800,36.6700,35.7400,36.0800,98039
2021-04-05,36.1700,37.3600,35.3550,36.7000,59966
2021-04-06,36.6100,38.3100,36.6100,37.4700,149834
2021-04-07,37.6300,37.7700,35.3400,35.9800,55448
2021-04-08,36.2800,38.2100,34.3100,36.9400,114863
2021-04-09,36.8600,37.0400,35.5700,36.3700,39778
2021-04-12,36.3100,37.9800,34.3201,35.5400,50027
2021-04-13,35.5000,36.3600,34.8000,35.9200,52639
2021-04-14,35.8400,36.0900,35.0700,35.9100,35119
2021-04-15,36.1800,37.4600,35.1238,37.0200,83186
2021-04-16,37.2500,37.9999,35.9550,37.0400,101255
2021-04-19,36.7700,37.8100,35.2434,37.4800,165724
2021-04-20,37.3200,38.3100,36.3600,38.1800,115516
2021-04-21,38.2900,42.0000,38.2900,41.4000,200512
2021-04-22,41.1800,41.9485,39.8800,40.6600,66259
2021-04-23,41.0400,41.9400,40.0750,40.9200,81302
2021-04-26,40.7400,43.3900,40.2300,42.9500,79536
2021-04-27,43.2500,45.2298,43.2500,45.0100,75565
2021-04-28,45.5800,47.6500,45.5800,47.3400,70462
2021-04-29,47.2500,48.5000,45.2600,48.0100,99670
2021-04-30,48.4200,49.8480,46.5300,49.0900,90187
2021-05-03,49.1900,49.2100,47.3201,48.5100,96055
2021-05-04,47.7300,50.0800,45.3900,49.5400,169668
2021-05-05,50.3400,51.9900,48.5200,49.6900,108745
2021-05-06,49.6200,49.7000,47.4010,48.5800,145481
2021-05-07,48.9700,49.9900,48.6300,48.8800,49749
2021-05-10,48.8300,49.1600,45.9400,47.2300,117902
2021-05-11,46.0400,47.1230,45.0900,45.9700,240023
2021-05-12,45.3600,46.6900,43.4200,44.1300,110497
2021-05-13,44.0400,44.9700,40.9201,41.9000,78260
2021-05-14,44.9900,47.0100,43.5100,46.0400,184108
2021-05-17,47.5100,49.6200,47.2300,47.6200,134908
2021-05-18,47.1700,49.7900,46.6300,47.0800,140762
2021-05-19,44.7300,46.2700,41.2100,46.0400,318373
2021-05-20,46.8400,48.2900,45.8800,48.1800,100279
2021-05-21,48.4900,50.2700,47.7550,48.3000,213626
2021-05-24,48.9500,51.8800,47.0200,51.6700,336193
2021-05-25,51.9500,57.2650,51.8600,56.8600,359594
2021-05-26,56.6600,59.2400,55.1800,57.5600,268816
2021-05-27,57.6600,60.6300,56.0000,59.2400,408999
2021-05-28,59.2400,65.3800,58.3500,64.1000,474225
2021-06-01,64.0000,67.4200,62.4500,62.6500,585768
2021-06-02,61.5600,70.3900,60.5400,68.3800,1704331
2021-06-03,65.7500,65.7700,57.7700,60.7800,700205
2021-06-04,61.6000,63.3250,59.6800,62.7800,196117
2021-06-07,63.0000,68.5450,63.0000,67.3500,280444
2021-06-08,67.7000,72.3900,66.0600,71.9800,316396
2021-06-09,73.4100,73.4259,69.9300,71.0500,344619
2021-06-10,71.0500,71.3700,65.5200,66.2000,107296
2021-06-11,66.3900,70.6300,65.2100,70.6000,108149
2021-06-14,70.6000,70.9800,66.8900,68.1200,199506
2021-06-15,67.7400,68.8727,66.4300,67.9900,139346
2021-06-16,68.0800,71.0650,67.2000,70.4000,118889
2021-06-17,69.5500,71.6300,68.1400,68.7300,131259
2021-06-18,68.3200,69.5700,66.5000,67.8700,144018
2021-06-21,68.3100,71.8900,66.8600,69.9600,165782
2021-06-22,70.2000,73.5400,67.7600,69.7300,337959
2021-06-23,69.6200,69.6200,64.3400,65.4600,173433
2021-06-24,65.7000,66.0800,63.5700,64.1300,212433
2021-06-25,63.6700,63.6900,59.6200,61.2900,287731
2021-06-28,61.1600,61.8100,59.8300,61.5500,122743
2021-06-29,61.4300,62.1900,60.8900,61.5800,74972
2021-06-30,61.5100,62.2250,60.4601,61.4700,63040
2021-07-01,61.0000,62.0600,60.4000,61.0000,61011
2021-07-02,61.0000,61.4800,59.2701,61.1700,64583
2021-07-06,62.4300,62.4500,58.6500,59.4500,69444
2021-07-07,60.0000,61.9600,56.0100,59.1200,99610
2021-07-08,57.7900,59.1100,56.3746,58.2700,49899
2021-07-09,59.0900,59.6799,58.2300,59.3300,54186
2021-07-12,59.2400,59.7600,58.2600,58.8200,62474
2021-07-13,58.7700,58.8400,55.2400,56.0100,99019
2021-07-14,56.6900,56.6900,53.7300,54.1500,52521
2021-07-15,53.9700,53.9700,51.3850,52.7300,69155
2021-07-16,53.4200,54.4700,49.5750,50.0200,69844
2021-07-19,49.1400,50.1000,47.3824,49.4700,90481
2021-07-20,49.9900,52.0400,48.5400,51.5600,101145
2021-07-21,52.4800,53.8500,52.0000,53.2400,82635
2021-07-22,53.0200,53.2300,51.4500,52.3500,45293
2021-07-23,52.6000,53.2300,50.7600,51.3500,47612
2021-07-26,51.6900,53.1700,50.5650,50.7100,33422
2021-07-27,50.6800,51.7900,47.8300,49.9800,81268
2021-07-28,50.6200,51.0743,49.0500,50.4400,169699
2021-07-29,50.9000,50.9800,46.4300,46.6700,64183
2021-07-30,46.6600,48.5800,46.6600,48.2500,49979
2021-08-02,49.1350,50.8900,48.3400,50.0500,49198
2021-08-03,50.1900,50.9800,48.4250,50.0400,55603
2021-08-04,50.0200,52.7260,50.0200,52.1300,73773
2021-08-05,52.1900,53.4499,51.9100,53.1100,72420
2021-08-06,53.0700,54.3394,52.3200,53.2000,38575
2021-08-09,53.2100,54.8000,52.4400,54.2900,27609
2021-08-10,54.3800,54.8800,53.7200,54.7000,39291
2021-08-11,54.7600,56.5000,53.6200,55.9600,75928
2021-08-12,51.0400,51.5200,45.0000,47.7100,243259
2021-08-13,47.7500,48.8979,45.3000,45.5100,107670
2021-08-16,45.0300,45.0300,40.9400,42.1200,174697
2021-08-17,41.9500,42.0000,40.3200,40.5400,85837
2021-08-18,40.3200,41.0800,40.2000,40.2900,82712
2021-08-19,40.1000,40.4331,39.1800,39.5500,113325
2021-08-20,39.2700,40.1400,38.9400,40.1000,76884
2021-08-23,40.3900,41.6550,40.3000,40.6400,60588
2021-08-24,40.5800,42.2900,40.2700,40.8200,60578
2021-08-25,39.1900,40.7200,36.1006,40.4000,386917
2021-08-26,40.4500,40.9100,39.2350,40.7400,144276
2021-08-27,40.7800,42.5400,40.7800,42.1800,111557
2021-08-30,42.1700,42.5100,40.8900,42.3500,164924
2021-08-31,42.0700,42.5200,40.7200,41.2100,866456
2021-09-01,41.5600,41.6300,40.1700,40.5000,116790
2021-09-02,40.6400,41.2900,39.5200,41.0900,75673
2021-09-03,41.0600,42.3800,40.0900,41.7100,71199
2021-09-07,41.7300,44.4400,41.7300,44.2700,64651
2021-09-08,42.9100,44.2600,36.0900,39.8900,318417
2021-09-09,39.8981,39.8981,36.5300,36.5300,324836
2021-09-10,37.9700,39.3494,36.8300,37.7900,271181
2021-09-13,37.3400,38.3600,36.2800,37.1500,167683
2021-09-14,36.2500,38.3600,36.2100,38.1800,1420221
2021-09-15,38.1800,38.6500,36.1961,37.6000,260264
2021-09-16,37.6500,38.9900,36.3600,38.3300,400034
2021-09-17,38.6100,38.6500,35.6250,36.0000,460809
2021-09-20,35.2600,36.6800,33.9900,36.1200,238748
2021-09-21,36.6200,37.0700,35.3600,35.9500,179610
2021-09-22,36.3900,39.3400,36.1900,38.6000,192498
2021-09-23,38.4500,39.1800,37.2200,37.7300,176105
2021-09-24,37.6000,39.3500,37.4773,38.4300,71326
2021-09-27,38.3000,39.2150,36.6400,37.8400,52915
2021-09-28,37.7000,38.9500,36.5700,37.3500,126007
2021-09-29,37.4600,38.4000,36.5900,37.4300,72624
2021-09-30,37.2400,38.1900,36.0200,36.7200,135404
2021-10-01,37.1300,38.3600,36.5350,37.2100,128012
2021-10-04,37.1500,37.1500,35.4300,36.1000,120967
2021-10-05,36.4000,36.8500,35.7000,36.0000,117171
2021-10-06,35.8000,36.7600,35.8000,36.0300,54242
2021-10-07,36.6300,36.8200,35.9000,36.3100,65770
2021-10-08,36.1300,36.5500,35.8400,36.3900,59981
2021-10-11,36.6800,36.8800,35.8800,35.9000,152636
2021-10-12,36.1300,37.9800,35.6100,37.8400,99171
2021-10-13,38.0700,39.5100,37.4200,37.9200,98275
2021-10-14,38.2300,41.4700,37.6600,40.5400,130711
2021-10-15,41.1300,42.4700,39.9300,41.8600,305606
2021-10-18,41.2900,41.2900,37.9800,38.5300,78006
2021-10-19,38.9200,39.9300,38.6926,39.6300,56227
2021-10-20,39.9200,40.6700,39.5500,40.0400,49713
2021-10-21,39.9300,40.9500,38.7600,38.9100,67983
