"MacroTrends Data Download"
"ORAN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1997-10-20,8.8188,8.9622,8.8188,8.8649,2520200
1997-10-21,8.9955,9.0902,8.9315,8.9955,968000
1997-10-22,9.0595,9.0595,8.9955,9.0595,670400
1997-10-23,8.8034,8.9622,8.7394,8.8675,494000
1997-10-24,8.8982,8.9315,8.7701,8.7701,518500
1997-10-27,8.8342,8.8675,8.4501,8.4501,573500
1997-10-28,8.8342,8.8982,8.3553,8.8982,585300
1997-10-29,8.9955,9.0902,8.9955,8.9955,338800
1997-10-30,9.1542,9.3463,9.1235,9.2515,328400
1997-10-31,9.6024,9.7304,9.5716,9.6997,151000
1997-11-03,9.6024,9.6356,9.5076,9.6024,57400
1997-11-04,9.6664,9.7637,9.6356,9.7637,48400
1997-11-05,9.6356,9.6664,9.5716,9.6024,239500
1997-11-06,9.6177,9.6510,9.6177,9.6356,85300
1997-11-07,9.5716,9.5716,9.2183,9.2183,235100
1997-11-10,9.2976,9.3309,9.2336,9.2823,11100
1997-11-11,9.2515,9.3309,9.2336,9.2515,34000
1997-11-12,9.1542,9.3309,9.1056,9.1542,280100
1997-11-13,9.3156,9.3796,9.1389,9.2823,237700
1997-11-14,9.4897,9.5537,9.4103,9.4743,350600
1997-11-17,9.5383,9.5383,9.4590,9.4743,233600
1997-11-18,9.4743,9.5383,9.4257,9.4590,32600
1997-11-19,9.5076,9.5870,9.4897,9.5870,278900
1997-11-20,9.6024,9.6510,9.5716,9.6024,81100
1997-11-21,9.4743,9.5383,9.4103,9.5076,148400
1997-11-24,9.4257,9.4257,9.2183,9.2336,14300
1997-11-25,9.2669,9.2823,9.1542,9.1542,7400
1997-11-26,9.2515,9.3463,9.2515,9.2976,4400
1997-11-28,9.2823,9.3463,9.2823,9.2823,13200
1997-12-01,9.2823,9.3617,9.2515,9.3617,23800
1997-12-02,9.3949,9.3949,9.2823,9.3156,25100
1997-12-03,9.3796,9.3796,9.2976,9.2976,7000
1997-12-04,9.2976,9.3796,9.2976,9.3463,111100
1997-12-05,9.3463,9.3463,9.2515,9.2515,2400
1997-12-08,9.2515,9.3463,9.2336,9.2515,10500
1997-12-09,9.2336,9.2669,9.2336,9.2515,3400
