"MacroTrends Data Download"
"SPOK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2004-11-17,8.4446,8.7318,8.3733,8.5135,323700
2004-11-18,8.5480,8.5480,8.1665,8.5135,345600
2004-11-19,8.3940,8.5572,8.3894,8.5342,250400
2004-11-22,8.3917,8.5801,8.3917,8.5595,59600
2004-11-23,8.5801,8.6399,8.4698,8.5135,121100
2004-11-24,8.5135,8.5640,8.4124,8.4974,106200
2004-11-26,8.5480,8.6238,8.4790,8.4859,10800
2004-11-29,8.4836,8.5089,8.2998,8.3894,119700
2004-11-30,8.4055,8.4216,8.2998,8.3549,179700
2004-12-01,8.3687,8.5066,8.2975,8.4538,169700
2004-12-02,8.3251,8.5595,8.3251,8.5595,85200
2004-12-03,8.5686,8.5686,8.3320,8.4101,165100
2004-12-06,8.3297,8.5457,8.1872,8.2423,226800
2004-12-07,8.2148,8.3412,8.2148,8.2768,84600
2004-12-08,8.2722,8.3802,7.9620,8.1229,200400
2004-12-09,8.0080,8.1229,7.8816,8.1045,69500
2004-12-10,8.0309,8.0930,7.9643,7.9965,308300
2004-12-13,8.0424,8.0861,7.7828,7.7966,251600
2004-12-14,7.7943,7.8517,7.6794,7.8150,226900
2004-12-15,7.8609,7.8632,7.7621,7.8632,104700
2004-12-16,7.7736,7.9390,7.7161,7.8172,224300
2004-12-17,7.7001,7.8609,7.7001,7.8127,90100
2004-12-20,7.8127,7.8287,7.7736,7.7874,83900
2004-12-21,7.8471,7.8471,7.7047,7.7552,60700
2004-12-22,7.6978,7.7943,7.6817,7.7322,16400
2004-12-23,7.8058,7.8058,7.6403,7.6587,32000
2004-12-27,7.8058,7.8471,7.6748,7.8356,89600
2004-12-28,7.9275,7.9275,7.7897,7.8954,46500
2004-12-29,7.7897,7.9069,7.7782,7.8425,59400
2004-12-30,7.9069,8.1344,7.7920,8.0309,79800
2004-12-31,8.1504,8.1642,8.0332,8.1137,144600
2005-01-03,8.0562,8.1757,7.7736,7.8333,182300
2005-01-04,8.0241,8.0309,7.6426,7.6426,246700
2005-01-05,7.6403,7.8586,7.5944,7.8127,87600
2005-01-06,7.8678,7.9321,7.7253,7.9321,313400
2005-01-07,7.9850,7.9850,7.7920,7.8862,56600
2005-01-10,7.8540,7.9597,7.8127,7.9597,120100
2005-01-11,7.9804,8.1504,7.8218,8.0700,112500
2005-01-12,7.9919,8.1849,7.9919,8.1573,165200
2005-01-13,8.2148,8.2998,8.1964,8.2883,170300
2005-01-14,8.2952,8.3618,8.1872,8.2630,102500
2005-01-18,8.2791,8.2837,8.1849,8.2515,97300
2005-01-19,8.2791,8.2791,7.9919,8.0884,650600
2005-01-20,8.1389,8.2332,8.0424,8.0516,96600
2005-01-21,8.1734,8.1734,7.7782,7.8747,243800
2005-01-24,7.8931,7.8931,7.8127,7.8127,222900
2005-01-25,7.8172,7.8770,7.6955,7.7299,87300
2005-01-26,7.8586,7.8586,7.6978,7.7529,54300
2005-01-27,7.6587,7.9229,7.6587,7.8724,51200
2005-01-28,7.8724,8.0884,7.8287,7.8931,95700
2005-01-31,7.9735,8.1734,7.9735,8.1688,231200
2005-02-01,8.2148,8.2263,8.1573,8.2194,147700
