"MacroTrends Data Download"
"TEF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1987-06-12,0.5733,0.5960,0.5603,0.5863,60298724
1987-06-15,0.6025,0.6059,0.5863,0.5897,20810084
1987-06-16,0.5897,0.5897,0.5634,0.5668,17668463
1987-06-17,0.5733,0.5733,0.5634,0.5702,5095189
1987-06-18,0.5702,0.5960,0.5702,0.5960,10160666
1987-06-19,0.5929,0.6351,0.5863,0.6223,16621857
1987-06-22,0.6254,0.6450,0.6254,0.6450,14134776
1987-06-23,0.6418,0.6418,0.6254,0.6351,5041480
1987-06-24,0.6145,0.6312,0.6145,0.6145,3138753
1987-06-25,0.6246,0.6477,0.6246,0.6410,9864547
1987-06-26,0.6445,0.6477,0.6347,0.6378,7322329
1987-06-29,0.6378,0.6378,0.6246,0.6378,2304835
1987-06-30,0.6312,0.6312,0.6214,0.6246,4213653
1987-07-01,0.6312,0.6312,0.6046,0.6078,6282523
1987-07-02,0.6046,0.6145,0.6014,0.6046,2752403
1987-07-06,0.6113,0.6214,0.6113,0.6179,2542583
1987-07-07,0.6179,0.6347,0.6179,0.6277,5315041
1987-07-08,0.6312,0.6477,0.6113,0.6445,11942730
1987-07-09,0.6477,0.6676,0.6445,0.6610,17014287
1987-07-10,0.6711,0.6745,0.6511,0.6511,8878095
1987-07-13,0.6445,0.6477,0.6410,0.6477,5901189
1987-07-14,0.6445,0.6477,0.6378,0.6410,6800277
1987-07-15,0.6477,0.6711,0.6445,0.6676,11725391
1987-07-16,0.6745,0.7043,0.6745,0.7043,15181382
1987-07-17,0.7141,0.7309,0.7141,0.7242,18715433
1987-07-20,0.7242,0.7242,0.7109,0.7109,9314932
1987-07-21,0.7043,0.7109,0.7008,0.7008,11678836
1987-07-22,0.6942,0.6976,0.6745,0.6745,4933707
1987-07-23,0.6844,0.6976,0.6809,0.6809,8298038
1987-07-24,0.6844,0.7141,0.6844,0.6942,8013381
1987-07-27,0.7008,0.7109,0.6878,0.6910,4281326
1987-07-28,0.6976,0.7141,0.6976,0.7109,5150337
1987-07-29,0.7277,0.7340,0.7210,0.7309,10329667
1987-07-30,0.7410,0.7441,0.7340,0.7340,5458627
1987-07-31,0.7473,0.7707,0.7473,0.7707,5120969
1987-08-03,0.7707,0.7774,0.7508,0.7508,1925650
1987-08-04,0.7540,0.7609,0.7410,0.7609,3700195
1987-08-05,0.7441,0.7441,0.7309,0.7309,7877680
1987-08-06,0.7375,0.7375,0.7277,0.7309,2077818
1987-08-07,0.7375,0.7707,0.7375,0.7609,3380798
1987-08-10,0.7742,0.7840,0.7707,0.7774,4166389
1987-08-11,0.7808,0.7808,0.7641,0.7774,4490071
1987-08-12,0.7808,0.7808,0.7707,0.7742,3811544
1987-08-13,0.7641,0.7673,0.7574,0.7609,1688256
1987-08-14,0.7673,0.7673,0.7410,0.7441,5444663
1987-08-17,0.7410,0.7410,0.7309,0.7340,2737730
1987-08-18,0.7410,0.7410,0.7309,0.7375,2167340
1987-08-19,0.7309,0.7309,0.7242,0.7277,2532561
1987-08-20,0.7375,0.7375,0.7242,0.7340,2944681
1987-08-21,0.7410,0.7410,0.7309,0.7375,776277
1987-08-24,0.7410,0.7609,0.7410,0.7508,1021899
1987-08-25,0.7540,0.7574,0.7508,0.7540,3943668
1987-08-26,0.7574,0.7574,0.7441,0.7441,3499678
1987-08-27,0.7473,0.7609,0.7441,0.7574,3711291
1987-08-28,0.7540,0.7707,0.7441,0.7540,1713671
1987-08-31,0.7609,0.7641,0.7574,0.7574,1275771
1987-09-01,0.7574,0.7609,0.7441,0.7441,1398936
1987-09-02,0.7441,0.7441,0.7277,0.7309,5043628
1987-09-03,0.7210,0.7277,0.7176,0.7277,1303700
1987-09-04,0.7375,0.7574,0.7375,0.7508,12835728
1987-09-08,0.7508,0.7508,0.7309,0.7340,7670363
1987-09-09,0.7340,0.7340,0.7242,0.7309,2494600
1987-09-10,0.7410,0.7410,0.7375,0.7410,3051745
1987-09-11,0.7441,0.7508,0.7410,0.7473,1860834
1987-09-14,0.7574,0.7641,0.7540,0.7641,2224272
1987-09-15,0.7574,0.7574,0.7441,0.7540,2565141
1987-09-16,0.7540,0.7540,0.7473,0.7473,1558635
1987-09-17,0.7540,0.7540,0.7508,0.7508,2782480
1987-09-18,0.7574,0.7609,0.7410,0.7410,4762913
1987-09-21,0.7473,0.7473,0.7277,0.7340,4078660
1987-09-22,0.7309,0.7309,0.7077,0.7176,1475568
1987-09-23,0.7176,0.7210,0.7141,0.7210,3175275
1987-09-24,0.7176,0.7210,0.7141,0.7141,816731
1987-09-25,0.7141,0.7141,0.7008,0.7043,1874444
1987-09-28,0.7008,0.7309,0.7008,0.7176,2508929
1987-09-29,0.7277,0.7340,0.7242,0.7277,1357409
1987-09-30,0.7109,0.7176,0.7109,0.7141,1963601
1987-10-01,0.7210,0.7277,0.7176,0.7242,1846869
1987-10-02,0.7242,0.7277,0.7210,0.7242,3212152
1987-10-05,0.7340,0.7340,0.7277,0.7340,1865850
1987-10-06,0.7309,0.7340,0.7109,0.7141,2669337
1987-10-07,0.7141,0.7141,0.7043,0.7043,1830402
1987-10-08,0.7109,0.7109,0.7043,0.7043,1159760
1987-10-09,0.7077,0.7077,0.6844,0.6844,2076744
1987-10-12,0.6809,0.6844,0.6511,0.6578,3432004
1987-10-13,0.6777,0.6976,0.6777,0.6976,4866389
1987-10-14,0.6976,0.6976,0.6809,0.6809,3478548
1987-10-15,0.6942,0.6942,0.6844,0.6878,8299467
1987-10-16,0.7008,0.7008,0.6809,0.6844,13611286
1987-10-19,0.6378,0.6378,0.5780,0.5847,9151657
1987-10-20,0.5980,0.6046,0.4252,0.6046,13218856
1987-10-21,0.5714,0.6014,0.5682,0.5913,9334976
1987-10-22,0.5714,0.5714,0.5050,0.5515,8364992
1987-10-23,0.5315,0.5581,0.5315,0.5547,3260855
1987-10-26,0.5050,0.5050,0.4550,0.4584,4770787
1987-10-27,0.5182,0.5182,0.4850,0.5050,8064587
1987-10-28,0.4717,0.5081,0.4683,0.4752,6537103
1987-10-29,0.4550,0.5182,0.4518,0.4951,8493539
1987-10-30,0.5382,0.5382,0.5151,0.5315,6766978
1987-11-02,0.5350,0.5847,0.5350,0.5815,4601786
1987-11-03,0.5648,0.5714,0.5483,0.5547,5611160
1987-11-04,0.5382,0.5515,0.5382,0.5483,2154805
1987-11-05,0.5483,0.5881,0.5483,0.5682,2289431
1987-11-06,0.5515,0.5648,0.5515,0.5581,832844
1987-11-09,0.5547,0.5547,0.5182,0.5249,1370299
1987-11-10,0.5050,0.5050,0.4882,0.4951,5108799
1987-11-11,0.5081,0.5283,0.4983,0.5283,2865557
1987-11-12,0.5714,0.5714,0.5515,0.5613,2348877
1987-11-13,0.5613,0.5613,0.5315,0.5414,2362121
1987-11-16,0.5448,0.5515,0.5414,0.5448,1236735
1987-11-17,0.5382,0.5382,0.5315,0.5315,3601370
1987-11-18,0.5283,0.5448,0.5283,0.5414,2154805
1987-11-19,0.5382,0.5448,0.5382,0.5414,1249271
1987-11-20,0.5382,0.5483,0.5350,0.5448,2623147
1987-11-23,0.5515,0.5648,0.5515,0.5648,1418991
1987-11-24,0.5648,0.5648,0.5515,0.5515,2673633
1987-11-25,0.5515,0.5581,0.5515,0.5515,668859
1987-11-27,0.5448,0.5682,0.5448,0.5581,713255
1987-11-30,0.5483,0.5515,0.5315,0.5448,2415476
1987-12-01,0.5414,0.5448,0.5382,0.5414,1859405
1987-12-02,0.5315,0.5382,0.5283,0.5350,1121798
1987-12-03,0.5350,0.5382,0.5182,0.5214,2116134
1987-12-04,0.5116,0.5182,0.5116,0.5116,1111422
1987-12-07,0.5081,0.5214,0.5081,0.5182,2147285
1987-12-08,0.5151,0.5214,0.5116,0.5214,2405443
1987-12-09,0.5214,0.5382,0.5214,0.5315,1689330
1987-12-10,0.5214,0.5648,0.5214,0.5581,1815364
1987-12-11,0.5448,0.5648,0.5448,0.5648,1185175
1987-12-14,0.5648,0.5648,0.5515,0.5613,873308
1987-12-15,0.5613,0.5613,0.5581,0.5613,1655665
1987-12-16,0.5581,0.5746,0.5581,0.5682,3425914
1987-12-17,0.5980,0.6145,0.5945,0.6113,3154866
1987-12-18,0.6113,0.6214,0.5945,0.6113,3305251
1987-12-21,0.6145,0.6277,0.6145,0.6214,1276845
1987-12-22,0.6246,0.6246,0.6179,0.6179,2057774
1987-12-23,0.6214,0.6277,0.6179,0.6246,2496039
1987-12-24,0.6179,0.6410,0.6179,0.6378,501642
1987-12-28,0.6312,0.6312,0.5780,0.5913,1856902
1987-12-29,0.5881,0.5945,0.5881,0.5913,869366
1987-12-30,0.5881,0.6046,0.5881,0.6046,1010803
1987-12-31,0.5980,0.6046,0.5913,0.5945,1826825
1988-01-04,0.6056,0.6259,0.6056,0.6259,1085276
1988-01-05,0.6597,0.6632,0.6497,0.6497,1533574
1988-01-06,0.6497,0.6597,0.6497,0.6597,2065293
1988-01-07,0.6497,0.6497,0.6394,0.6497,4502607
1988-01-08,0.6465,0.6530,0.5888,0.5888,2413327
1988-01-11,0.6226,0.6429,0.6159,0.6394,2978346
1988-01-12,0.6362,0.6394,0.6159,0.6159,3171698
1988-01-13,0.6191,0.6329,0.6159,0.6226,2008362
1988-01-14,0.6226,0.6429,0.6226,0.6429,1102828
1988-01-15,0.6700,0.6700,0.6465,0.6565,1771322
1988-01-18,0.6362,0.6465,0.6362,0.6362,2109334
1988-01-19,0.6362,0.6362,0.6159,0.6159,4048583
1988-01-20,0.6126,0.6226,0.6091,0.6126,5089818
1988-01-21,0.6091,0.6126,0.6056,0.6056,1884466
1988-01-22,0.6091,0.6226,0.6091,0.6226,3705200
1988-01-25,0.6226,0.6362,0.6226,0.6259,2709801
1988-01-26,0.6259,0.6294,0.6226,0.6259,1105331
1988-01-27,0.6294,0.6329,0.6226,0.6294,3215740
1988-01-28,0.6329,0.6497,0.6294,0.6497,7354554
1988-01-29,0.6565,0.6597,0.6429,0.6465,5522003
1988-02-01,0.6394,0.6429,0.6191,0.6191,5805587
1988-02-02,0.6191,0.6329,0.6191,0.6226,4627212
1988-02-03,0.6226,0.6226,0.6091,0.6126,4946598
1988-02-04,0.6191,0.6191,0.6126,0.6159,1402524
1988-02-05,0.6191,0.6191,0.6159,0.6159,963185
1988-02-08,0.6159,0.6226,0.6159,0.6191,938113
1988-02-09,0.6226,0.6226,0.6126,0.6159,1931021
1988-02-10,0.6191,0.6191,0.6091,0.6126,2868780
1988-02-11,0.6126,0.6126,0.6091,0.6126,1710814
