"MacroTrends Data Download"
"TIMB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-11-16,8.0999,8.2587,8.0999,8.2206,73800
1998-11-17,8.2587,8.4176,8.2206,8.3350,83500
1998-11-18,8.2587,9.2498,8.2587,9.2498,147100
1998-11-19,9.2498,9.3324,8.9703,9.2879,292600
1998-11-20,9.8088,10.8761,9.8088,10.8380,121600
1998-11-23,11.4352,14.0970,11.4352,13.1441,353400
1998-11-24,13.3029,15.4438,12.7057,15.3676,265600
1998-11-25,15.8441,19.2174,15.8441,17.7880,528100
1998-11-27,17.1909,18.9824,16.6382,16.7589,265100
1998-11-30,15.9584,16.1236,14.3702,14.4528,133400
1998-12-01,13.9763,15.7234,12.7057,15.7234,97000
1998-12-02,15.7234,15.7234,13.9763,14.4528,86100
1998-12-03,13.0234,14.4528,12.8646,14.2940,144200
1998-12-04,14.2940,14.4528,12.6295,13.0996,115000
1998-12-07,12.7820,14.7704,12.4643,14.4528,96000
1998-12-08,14.6116,14.6116,13.5824,13.7349,79800
1998-12-09,13.6587,13.7349,12.5088,13.2648,83300
1998-12-10,13.4173,14.1351,13.2648,13.3410,50700
1998-12-11,13.0234,13.0996,12.0705,12.4643,127400
1998-12-14,12.3119,12.3119,11.3145,11.3589,100600
1998-12-15,11.5114,11.5940,10.9587,11.4352,58400
1998-12-16,11.3589,11.7528,10.7999,10.8761,47700
1998-12-17,10.7237,11.6766,10.7237,11.5940,39000
1998-12-18,11.5114,11.5114,11.3145,11.4352,43100
1998-12-21,12.0705,14.0526,11.9942,13.6206,56700
1998-12-22,13.4999,13.5380,13.1822,13.3792,32900
1998-12-23,13.3410,13.3410,13.1822,13.3410,17000
1998-12-24,13.3410,13.4173,13.3410,13.3410,2400
1998-12-28,13.4173,13.4173,11.7528,11.9942,76300
1998-12-29,11.7528,11.7528,10.9968,11.1175,46900
1998-12-30,11.2764,11.2764,10.4822,10.8761,38700
1998-12-31,10.7237,11.1938,10.5585,11.0794,8700
1999-01-04,10.7489,11.8889,10.7489,11.5241,20200
1999-01-05,11.5241,13.1071,11.5241,12.8661,2056000
1999-01-06,13.1918,13.4329,12.9508,13.1071,73600
1999-01-07,12.5795,12.9508,12.4166,12.7814,72600
1999-01-08,13.1918,13.1918,12.7032,13.0290,68800
1999-01-11,12.8661,12.8661,12.1756,12.5404,147500
1999-01-12,12.3775,12.8661,12.2993,12.8661,125100
1999-01-13,10.5860,13.6804,10.5860,12.0127,56500
1999-01-14,12.1756,13.0290,11.1528,12.3775,75100
1999-01-15,12.3775,13.0290,11.6023,12.7814,111800
1999-01-19,13.1071,13.1918,11.9736,12.3775,37300
1999-01-20,12.0518,12.0518,10.9964,11.4785,141800
1999-01-21,11.3222,11.3222,10.8271,11.0746,398300
1999-01-22,10.9118,11.5632,10.6707,10.7880,313000
1999-01-25,10.6251,10.8727,10.5469,10.8727,485900
1999-01-26,10.8271,11.6870,10.5013,11.1137,287000
1999-01-27,10.9964,10.9964,10.5860,10.7489,244300
1999-01-28,10.6707,10.9118,10.2603,10.5013,50800
1999-01-29,10.5013,12.0518,10.3450,10.5860,123400
1999-02-01,10.5013,11.6870,10.5013,11.5632,38900
1999-02-02,11.8042,12.9899,11.3222,12.8661,41600
1999-02-03,12.7032,13.0290,11.4003,11.4003,22400
1999-02-04,11.4003,11.7261,10.9118,11.0746,73900
1999-02-05,10.9118,11.0746,10.5860,10.7880,41700
1999-02-08,10.9508,10.9964,10.6251,10.6251,2020000
1999-02-09,10.5860,10.5860,10.0193,10.1756,86200
1999-02-10,10.0974,11.5632,10.0974,10.9964,33200
1999-02-11,11.0746,11.4003,11.0746,11.1137,29300
1999-02-12,10.9964,11.7261,10.9964,11.4003,11200
1999-02-16,11.3222,11.6870,11.3222,11.4003,28200
1999-02-17,11.1528,11.3222,10.9118,10.9118,23500
1999-02-18,11.0746,11.8042,11.0746,11.7261,25600
1999-02-19,11.8042,11.8042,11.4785,11.6479,24000
1999-02-22,11.6870,11.7651,11.5632,11.7261,16800
1999-02-23,11.5632,11.5632,10.9964,11.1528,20400
1999-02-24,10.9964,10.9964,10.5013,10.5469,25700
1999-02-25,10.4232,10.4232,10.2603,10.2994,156600
1999-02-26,10.1365,10.5013,10.1365,10.5013,72600
1999-03-01,10.6251,10.7489,10.5013,10.5469,26000
1999-03-02,10.6251,10.6251,10.4623,10.5013,124600
1999-03-03,10.4232,10.6251,10.3450,10.5013,123100
1999-03-04,10.6707,11.3222,10.5860,11.3222,48900
1999-03-05,11.4785,11.5632,10.9964,10.9964,13200
1999-03-08,10.8271,12.0127,10.8271,12.0127,33200
1999-03-09,11.9280,11.9280,10.9118,11.1984,17100
1999-03-10,11.2375,11.4785,11.0355,11.1984,38400
1999-03-11,11.1528,12.0909,10.7880,10.7880,55800
1999-03-12,10.7098,10.7880,10.3450,10.4623,25800
1999-03-15,10.5469,11.0355,10.5469,10.9118,22700
1999-03-16,10.9964,11.4785,10.8271,11.1984,74400
1999-03-17,11.3613,11.3613,11.0355,11.0746,51400
1999-03-18,11.2375,11.8042,11.1137,11.4785,58600
1999-03-19,11.5632,11.9280,11.1137,11.1528,63000
1999-03-22,11.3222,11.3222,10.3450,10.5469,25900
1999-03-23,10.5860,11.0355,10.5860,10.8271,19100
1999-03-24,10.7489,11.3222,10.7489,11.1528,18900
1999-03-25,11.6870,11.8889,11.4785,11.7651,32500
1999-03-26,11.7651,12.8661,11.7651,12.5013,42100
1999-03-29,12.5013,12.9052,12.5013,12.7814,9300
1999-03-30,12.7814,13.1071,12.5404,12.7032,36300
1999-03-31,12.6641,12.7032,12.2993,12.4557,22200
1999-04-01,12.3775,12.3775,12.1300,12.2537,13200
1999-04-05,12.2993,12.6251,12.2993,12.5404,9200
1999-04-06,12.5404,12.7814,12.5404,12.5404,31200
1999-04-07,12.5404,12.7032,12.5404,12.6641,39300
1999-04-08,12.6641,14.1299,12.6641,14.0061,115500
1999-04-09,14.3319,14.7358,13.6804,13.6804,44300
1999-04-12,13.6022,13.6804,13.1918,13.6804,21800
1999-04-13,13.8433,14.0843,13.2309,13.3156,48000
1999-04-14,13.8433,13.8433,13.1527,13.1918,32000
1999-04-15,13.4785,14.1690,13.4785,14.1299,29100
1999-04-16,14.0843,15.3872,14.0061,14.9051,99100
