"MacroTrends Data Download"
"VISL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2012-04-18,1637997.3792,1637997.3792,1637997.3792,1637997.3792,0
2012-04-19,1637997.3792,1637997.3792,1637997.3792,1637997.3792,0
2012-04-20,1637997.3792,1637997.3792,1637997.3792,1637997.3792,0
2012-04-23,1637997.3792,1637997.3792,1637997.3792,1637997.3792,0
2012-04-24,2141996.5728,2141996.5728,2141996.5728,2141996.5728,0
2012-04-25,2141996.5728,2141996.5728,2141996.5728,2141996.5728,0
2012-04-26,2141996.5728,2141996.5728,2141996.5728,2141996.5728,0
2012-04-27,2141996.5728,2141996.5728,2141996.5728,2141996.5728,0
2012-04-30,2041196.7341,2041196.7341,2041196.7341,2041196.7341,0
2012-05-01,2041196.7341,2041196.7341,2041196.7341,2041196.7341,0
2012-05-02,2041196.7341,2041196.7341,2041196.7341,2041196.7341,0
2012-05-03,2041196.7341,2041196.7341,2041196.7341,2041196.7341,0
2012-05-04,2041196.7341,2041196.7341,2041196.7341,2041196.7341,0
2012-05-07,2041196.7341,2041196.7341,2041196.7341,2041196.7341,0
2012-05-08,2041196.7341,2041196.7341,2041196.7341,2041196.7341,0
2012-05-09,2041196.7341,2041196.7341,2041196.7341,2041196.7341,0
2012-05-10,2015996.7744,2015996.7744,2015996.7744,2015996.7744,0
2012-05-11,2015996.7744,2015996.7744,2015996.7744,2015996.7744,0
2012-05-14,2015996.7744,2015996.7744,2015996.7744,2015996.7744,0
2012-05-15,2015996.7744,2015996.7744,2015996.7744,2015996.7744,0
2012-05-16,2015996.7744,2015996.7744,2015996.7744,2015996.7744,0
2012-05-17,1637997.3792,1738797.2179,1637997.3792,1688397.2986,0
2012-05-18,1637997.3792,1637997.3792,1637997.3792,1637997.3792,0
2012-05-21,1637997.3792,1637997.3792,1637997.3792,1637997.3792,0
2012-05-22,1637997.3792,1637997.3792,1637997.3792,1637997.3792,0
2012-05-23,1259997.9840,1259997.9840,1259997.9840,1259997.9840,0
2012-05-24,1259997.9840,1259997.9840,1259997.9840,1259997.9840,0
2012-05-25,1461597.6614,1461597.6614,1259997.9840,1259997.9840,0
2012-05-29,1259997.9840,1259997.9840,1259997.9840,1259997.9840,0
2012-05-30,1259997.9840,1259997.9840,1259997.9840,1259997.9840,0
2012-05-31,1259997.9840,1259997.9840,1259997.9840,1259997.9840,0
2012-06-01,1259997.9840,1259997.9840,1259997.9840,1259997.9840,0
2012-06-04,1259997.9840,1259997.9840,1259997.9840,1259997.9840,0
2012-06-05,1259997.9840,1259997.9840,1259997.9840,1259997.9840,0
