"MacroTrends Data Download"
"CPG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2006-07-20,10.0804,10.0804,10.0804,10.0804,0
2006-07-21,10.0700,10.0700,10.0700,10.0700,5200
2006-07-24,10.0959,10.0959,9.9459,10.0959,11800
2006-07-25,10.1528,10.2510,10.1062,10.1528,3100
2006-07-26,10.4579,13.4577,10.4579,10.4579,13300
2006-07-27,10.4010,10.4734,10.4010,10.4010,2500
2006-07-28,10.3959,10.4010,10.3959,10.3959,1800
2006-07-31,10.5096,10.5355,10.3545,10.5096,9600
2006-08-01,10.4683,10.5769,10.3803,10.4683,4300
2006-08-02,10.6958,10.7010,10.6596,10.6958,3000
2006-08-03,10.6958,10.6958,10.6079,10.6958,5000
2006-08-04,10.7217,10.7269,10.6390,10.7217,2400
2006-08-07,10.7217,10.7217,10.7217,10.7217,0
2006-08-08,10.8045,10.8510,10.7320,10.8045,15300
2006-08-09,10.7838,10.8562,10.7838,10.7838,4300
2006-08-10,10.6441,10.6441,10.6441,10.6441,1500
2006-08-11,10.6441,10.7217,10.6441,10.6441,4100
2006-08-14,10.5872,10.6545,10.4579,10.5872,5600
2006-08-15,10.6545,10.7010,10.6493,10.6545,4800
2006-08-16,10.5614,10.7527,10.5510,10.5614,14100
2006-08-17,10.3855,10.5355,10.3079,10.3855,10000
2006-08-18,10.5614,10.5614,10.4941,10.5614,6100
2006-08-21,10.7320,10.7838,10.7114,10.7320,2500
2006-08-22,10.8924,10.9493,10.7941,10.8924,2400
2006-08-23,10.9286,10.9751,10.8407,10.9286,28300
2006-08-24,10.9907,11.0062,10.9441,10.9907,5400
2006-08-25,10.9855,11.1768,10.9803,10.9855,8100
2006-08-28,10.9855,10.9855,10.9855,10.9855,200
2006-08-29,10.7372,10.8200,10.7010,10.7372,9400
2006-08-30,10.6338,10.9027,10.4941,10.6338,8600
2006-08-31,10.6752,10.7217,10.6131,10.6752,1400
2006-09-01,10.9855,10.9855,10.7269,10.9855,1600
2006-09-05,10.6286,11.6630,10.5821,10.6286,17800
2006-09-06,10.3131,10.5407,10.3079,10.3131,12500
2006-09-07,10.2097,10.4062,10.0752,10.2097,12300
2006-09-08,10.1424,10.2407,10.1424,10.1424,5300
2006-09-11,9.1028,10.1062,9.0511,9.1028,44000
2006-09-12,9.0563,9.2735,8.9994,9.0563,102800
2006-09-13,8.9322,9.1339,8.8132,8.9322,52700
2006-09-14,8.8184,9.0149,8.7615,8.8184,50400
2006-09-15,8.7149,8.7356,8.4563,8.7149,10700
2006-09-18,8.7305,8.8494,8.6891,8.7305,64300
2006-09-19,8.6167,8.7925,8.6167,8.6167,34000
2006-09-20,8.4770,8.7356,8.4770,8.4770,34800
2006-09-21,8.5701,8.6477,8.4615,8.5701,4200
2006-09-22,8.4874,8.6839,8.4874,8.4874,14700
2006-09-25,8.3788,8.4615,8.1770,8.3788,14000
2006-09-26,8.3529,8.4512,8.3270,8.3529,28300
2006-09-27,8.3736,8.4046,8.2236,8.3736,30700
2006-09-28,8.3994,8.3994,8.2857,8.3994,24800
2006-09-29,8.3839,8.5287,8.3529,8.3839,17800
2006-10-02,8.4356,8.5391,8.4046,8.4356,21200
2006-10-03,7.8357,8.3788,7.7322,7.8357,39100
2006-10-04,7.7374,7.8098,7.3909,7.7374,55100
2006-10-05,8.0943,8.0943,7.9443,8.0943,31700
2006-10-06,8.0271,8.1046,7.9288,8.0271,28400
2006-10-09,8.0271,8.0271,8.0271,8.0271,0
2006-10-10,8.0271,8.1564,7.9908,8.0271,33400
2006-10-11,8.0012,8.0788,8.0012,8.0012,21900
2006-10-12,8.0943,8.1408,8.0167,8.0943,32300
2006-10-13,8.5443,8.5443,8.2701,8.5443,77700
2006-10-16,8.9063,8.9063,8.5701,8.9063,37600
2006-10-17,9.0253,9.0718,8.7977,9.0253,37500
2006-10-18,9.0201,9.1804,8.9787,9.0201,30400
2006-10-19,9.2063,9.2321,9.1028,9.2063,31600
2006-10-20,9.2011,9.3097,9.1908,9.2011,49600
2006-10-23,8.9787,9.0925,8.9373,8.9787,4500
2006-10-24,9.0563,9.0718,8.9580,9.0563,28100
2006-10-25,9.3459,9.3459,9.3459,9.3459,23700
2006-10-26,9.4959,9.5683,9.4959,9.4959,10100
2006-10-27,9.3149,9.4908,9.2477,9.3149,5500
2006-10-30,9.2839,9.2839,9.1597,9.2839,22100
2006-10-31,9.2270,9.2270,9.1235,9.2270,12200
2006-11-01,7.6909,8.3632,7.5874,7.6909,60200
2006-11-02,7.2357,7.7374,7.0082,7.2357,81100
2006-11-03,7.9081,7.9702,7.3392,7.9081,50900
2006-11-06,7.9650,8.2339,7.9598,7.9650,26300
2006-11-07,7.6391,8.1098,7.5823,7.6391,74000
2006-11-08,7.6960,7.7891,7.6391,7.6960,21200
2006-11-09,7.5202,7.7995,7.5202,7.5202,29700
2006-11-10,7.3443,7.6754,7.2409,7.3443,20500
2006-11-13,7.1271,7.1375,6.8944,7.1271,67800
2006-11-14,7.1013,7.1271,7.0288,7.1013,49900
2006-11-15,7.5357,7.6702,7.0857,7.5357,41000
2006-11-16,7.0599,7.7529,7.0599,7.0599,43400
