"MacroTrends Data Download"
"F - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1972-06-01,0.5993,0.6001,0.5934,0.5946,1089198
1972-06-02,0.5946,0.6001,0.5912,0.5934,1173502
1972-06-05,0.5934,0.5991,0.5912,0.5934,5208101
1972-06-06,0.5934,0.5957,0.5845,0.5867,1421394
1972-06-07,0.5867,0.5901,0.5834,0.5834,671797
1972-06-08,0.5834,0.5879,0.5789,0.5789,1036601
1972-06-09,0.5789,0.5800,0.5643,0.5755,6589198
1972-06-12,0.5755,0.5822,0.5710,0.5755,1430107
1972-06-13,0.5755,0.5811,0.5755,0.5800,931407
1972-06-14,0.5822,0.5946,0.5822,0.5889,2939304
1972-06-15,0.5889,0.5946,0.5856,0.5867,1460700
1972-06-16,0.5867,0.5889,0.5800,0.5889,750392
1972-06-19,0.5889,0.5923,0.5834,0.5856,529293
1972-06-20,0.5856,0.5912,0.5856,0.5879,894097
1972-06-21,0.5879,0.5889,0.5822,0.5822,1608806
1972-06-22,0.5811,0.5811,0.5733,0.5789,1282195
1972-06-23,0.5777,0.5777,0.5722,0.5777,1273305
1972-06-26,0.5777,0.5777,0.5733,0.5755,621303
1972-06-27,0.5755,0.5800,0.5755,0.5800,877696
1972-06-28,0.5800,0.5834,0.5777,0.5789,904101
1972-06-29,0.5789,0.5811,0.5767,0.5767,447994
1972-06-30,0.5733,0.5733,0.5665,0.5722,825099
1972-07-03,0.5722,0.5722,0.5665,0.5699,438203
1972-07-05,0.5699,0.5710,0.5610,0.5665,1395007
1972-07-06,0.5688,0.5789,0.5688,0.5733,1173502
1972-07-07,0.5733,0.5767,0.5665,0.5710,1351105
1972-07-10,0.5710,0.5722,0.5643,0.5643,523709
1972-07-11,0.5643,0.5688,0.5610,0.5610,546596
1972-07-12,0.5610,0.5688,0.5565,0.5565,1801803
1972-07-13,0.5565,0.5576,0.5498,0.5565,680298
1972-07-14,0.5565,0.5598,0.5543,0.5553,941198
1972-07-17,0.5553,0.5598,0.5531,0.5553,583004
1972-07-18,0.5553,0.5621,0.5464,0.5610,1337991
1972-07-19,0.5610,0.5733,0.5598,0.5643,1707408
1972-07-20,0.5643,0.5665,0.5565,0.5565,492903
1972-07-21,0.5565,0.5665,0.5565,0.5643,602498
1972-07-24,0.5688,0.5834,0.5688,0.5800,1456405
1972-07-25,0.5800,0.5811,0.5755,0.5777,1552904
1972-07-26,0.5777,0.5777,0.5744,0.5755,430497
1972-07-27,0.5755,0.5767,0.5733,0.5733,1108992
1972-07-28,0.5755,0.5834,0.5755,0.5789,1814900
1972-07-31,0.5789,0.5834,0.5767,0.5789,1259202
1972-08-01,0.5789,0.5800,0.5733,0.5789,1424699
1972-08-02,0.5789,0.5867,0.5789,0.5867,2140397
1972-08-03,0.5901,0.6024,0.5901,0.5968,4331200
1972-08-04,0.5968,0.5991,0.5968,0.5991,1187994
1972-08-07,0.5991,0.6024,0.5991,0.6001,1929797
1972-08-08,0.6001,0.6001,0.5957,0.5979,948002
1972-08-09,0.5979,0.5991,0.5856,0.5889,2822003
1972-08-10,0.5889,0.5901,0.5856,0.5901,1203194
1972-08-11,0.5912,0.5957,0.5912,0.5946,1283309
1972-08-14,0.5968,0.6013,0.5968,0.5979,1888193
