"MacroTrends Data Download"
"FFIE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-09-02,10.0000,10.0000,9.6500,9.6500,700
2020-09-03,9.7200,9.7200,9.6900,9.6900,26821
2020-09-04,9.7000,9.7600,9.6900,9.7400,637713
2020-09-08,9.7400,9.7400,9.7400,9.7400,29
2020-09-09,9.7300,9.7400,9.7100,9.7400,8353
2020-09-10,9.7500,9.7500,9.7100,9.7500,1463081
2020-09-11,9.7200,9.8100,9.7200,9.7300,10613
2020-09-14,9.7300,9.7500,9.7000,9.7500,340590
2020-09-15,10.0000,10.6900,9.7100,9.7100,86422
2020-09-16,9.7200,9.7200,9.7100,9.7199,76503
2020-09-17,9.7400,9.7500,9.7200,9.7400,1090978
2020-09-18,9.8450,9.8450,9.7300,9.7700,228687
2020-09-21,9.7393,9.7700,9.7393,9.7700,547728
2020-09-22,9.7600,9.7600,9.7500,9.7500,99024
2020-09-23,9.7500,9.7700,9.7500,9.7600,514604
2020-09-24,9.7500,9.7600,9.7500,9.7500,315225
2020-09-25,9.7500,9.7600,9.7500,9.7500,165303
2020-09-28,9.7500,9.7600,9.7500,9.7600,1308
2020-09-29,9.7600,9.8000,9.7600,9.7700,829764
2020-09-30,9.7700,9.9000,9.7500,9.8100,609523
2020-10-01,9.8000,9.8100,9.7600,9.7700,209612
2020-10-02,9.7500,9.7600,9.7500,9.7500,356572
2020-10-05,9.8000,9.8000,9.8000,9.8000,129
2020-10-06,9.7700,9.7700,9.7600,9.7600,16543
2020-10-07,9.7700,9.7700,9.7700,9.7700,1223
2020-10-08,9.7600,9.7700,9.7600,9.7700,20613
2020-10-09,9.7600,9.7600,9.7400,9.7400,23786
2020-10-12,9.7500,9.7650,9.7500,9.7600,3542
2020-10-13,9.7100,9.7300,9.7000,9.7300,153329
2020-10-14,9.7300,9.7300,9.7300,9.7300,311536
2020-10-15,9.7300,9.7300,9.7200,9.7200,105563
2020-10-16,9.7300,9.7900,9.7298,9.7300,14415
2020-10-19,9.7300,9.7800,9.7300,9.7300,80153
2020-10-20,9.7300,9.7300,9.7300,9.7300,5630
2020-10-21,9.7300,9.7300,9.7300,9.7300,113
2020-10-22,9.7100,9.7200,9.6800,9.7200,207060
2020-10-23,9.7200,9.7200,9.6800,9.7000,2372
2020-10-26,9.6800,9.7500,9.6800,9.7500,115055
2020-10-27,9.6800,9.7000,9.6800,9.6850,9623
2020-10-28,9.6800,9.7100,9.6700,9.7100,161621
2020-10-29,9.6800,9.7000,9.6593,9.6700,125104
2020-10-30,9.6800,9.6800,9.6600,9.6600,100489
2020-11-02,9.7000,9.7000,9.6500,9.6500,20082
2020-11-03,9.6600,9.7000,9.6500,9.6600,23430
2020-11-04,9.6700,9.7000,9.6700,9.7000,8177
2020-11-05,9.7000,9.7100,9.7000,9.7100,3239
