"MacroTrends Data Download"
"GOOS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-03-16,18.0000,18.4000,15.8500,16.0800,22839925
2017-03-17,16.5900,17.6900,16.5400,17.2300,9366957
2017-03-20,17.1000,17.2000,16.5500,17.1000,2252963
2017-03-21,17.0700,17.3200,16.5000,16.5200,1785613
2017-03-22,16.4700,16.5300,16.0000,16.0500,1047949
2017-03-23,16.0700,16.2500,15.7500,15.9600,1256039
2017-03-24,15.8300,16.0800,15.6300,15.6400,710198
2017-03-27,15.5400,15.6300,15.3300,15.4000,797406
2017-03-28,15.3300,16.3600,15.2000,16.3500,1844397
2017-03-29,16.2200,16.5500,16.0200,16.4900,799260
2017-03-30,16.5300,16.5400,16.2101,16.4100,484919
2017-03-31,16.3700,16.3900,15.8300,15.9600,692188
2017-04-03,16.0700,16.0800,15.5000,15.6600,431162
2017-04-04,15.6600,16.1000,15.6100,16.0800,743245
2017-04-05,16.1000,16.5400,16.0800,16.4700,967385
2017-04-06,16.4600,16.7000,16.1000,16.7000,849401
2017-04-07,16.6900,16.8100,16.5108,16.7500,566843
2017-04-10,17.0700,17.2300,16.6100,16.8000,1699932
2017-04-11,16.9100,17.0000,16.1000,16.2400,1034610
2017-04-12,16.2400,16.3000,15.8200,16.0400,527529
2017-04-13,16.0000,16.2300,15.8600,16.1500,608142
2017-04-17,16.2600,16.3000,15.9900,16.0100,264755
2017-04-18,15.9400,16.3200,15.9100,16.3100,438873
2017-04-19,16.2600,16.3500,16.2455,16.2900,189998
2017-04-20,16.2500,16.3000,16.0850,16.1100,265277
2017-04-21,16.1200,16.2000,15.9500,15.9900,191188
2017-04-24,15.9000,16.0000,15.8100,15.9200,351750
2017-04-25,15.9400,16.3800,15.8400,16.3700,448201
2017-04-26,16.3700,16.8800,16.3000,16.8600,581227
2017-04-27,16.7300,16.8264,16.4300,16.7500,348727
2017-04-28,16.8400,16.8400,16.6180,16.8300,194970
2017-05-01,16.8500,17.0400,16.3900,16.5900,446168
2017-05-02,16.5500,16.7200,16.1400,16.1500,455511
2017-05-03,16.1700,16.5000,15.9843,16.3900,252776
2017-05-04,16.3900,17.3400,16.2580,17.1400,886003
2017-05-05,17.1500,17.4690,17.0300,17.2900,793592
2017-05-08,17.3200,17.3700,17.0800,17.1900,333672
2017-05-09,17.1500,17.3900,17.0700,17.1000,233294
2017-05-10,17.1000,17.2500,16.8400,17.2000,204763
2017-05-11,17.1000,17.3500,17.0505,17.2300,303682
2017-05-12,17.2100,17.8390,17.1400,17.7300,547324
2017-05-15,17.8500,18.1000,17.3100,18.0000,501151
2017-05-16,18.0400,18.7200,17.9000,18.4200,1547580
2017-05-17,18.2200,18.2900,17.4700,17.4900,1162322
2017-05-18,17.4400,17.7500,17.3600,17.4200,410741
2017-05-19,17.4300,17.7600,17.3700,17.5200,340215
2017-05-22,17.5800,18.2990,17.5774,18.1100,381841
2017-05-23,18.1400,18.7100,18.1400,18.3400,683574
2017-05-24,18.3000,18.3300,17.8600,18.0000,418209
2017-05-25,18.0900,18.2500,17.9363,18.0300,228909
2017-05-26,18.0800,18.2700,17.9000,18.0100,418126
2017-05-30,18.0500,18.2000,17.9300,17.9900,280349
2017-05-31,18.0700,18.0900,17.6000,18.0500,492895
2017-06-01,18.0800,19.4300,18.0200,18.7100,1328928
2017-06-02,20.8200,21.7800,20.1000,21.6400,4910129
2017-06-05,21.6700,22.5500,21.2000,22.5000,2001483
2017-06-06,22.3900,24.1600,22.1100,23.4200,2013855
2017-06-07,23.5500,24.3200,22.9100,22.9600,1616140
2017-06-08,23.0900,23.2099,21.6700,22.1500,1271176
2017-06-09,22.2400,22.7000,21.8045,22.1100,734497
2017-06-12,22.1300,22.2490,20.7800,21.3500,682754
2017-06-13,21.4500,22.4394,21.4110,22.4000,588669
2017-06-14,21.6700,22.0900,21.2300,21.6100,761143
2017-06-15,21.3900,21.5400,20.8000,21.1900,657798
2017-06-16,21.1500,21.2900,20.5000,20.5500,539243
2017-06-19,20.6300,21.2700,20.6300,21.1400,441725
2017-06-20,21.0500,21.1305,20.6800,20.8800,356969
2017-06-21,20.9500,22.3800,20.9500,22.3500,1430490
2017-06-22,22.5400,22.7500,22.0000,22.1500,627095
2017-06-23,22.2400,22.3500,21.6100,21.9200,409075
2017-06-26,21.1800,21.3900,20.4200,21.3100,1671757
2017-06-27,21.4100,22.1000,21.0400,21.1300,1513298
2017-06-28,20.6300,20.9500,20.2500,20.7500,9143888
2017-06-29,20.7900,20.8900,19.5000,19.7000,2990840
2017-06-30,19.9600,20.0700,19.4500,19.7500,1434988
2017-07-03,19.9200,20.0200,19.5000,19.7800,346766
2017-07-05,19.7500,19.8372,19.3800,19.5000,1299710
2017-07-06,19.5000,19.6599,18.8400,19.0300,1333255
2017-07-07,19.0700,19.3700,18.9200,19.2500,583666
2017-07-10,19.3200,19.4600,18.5000,19.0200,1014183
2017-07-11,19.0200,19.2200,18.9000,19.0500,946582
2017-07-12,19.1700,19.3300,18.8200,18.9800,792232
2017-07-13,19.0200,19.3900,18.8300,19.0200,791286
2017-07-14,19.0300,19.7200,18.9800,19.2900,872575
2017-07-17,19.2800,19.3300,18.9400,19.0800,656571
2017-07-18,19.1100,19.4800,19.0400,19.1000,423559
2017-07-19,19.2200,19.5500,19.0800,19.4500,680959
2017-07-20,19.5300,19.9500,19.4500,19.9400,834185
2017-07-21,19.9200,20.1200,19.6500,20.0400,616524
2017-07-24,19.9800,20.4000,19.9000,20.0100,814116
2017-07-25,20.1000,20.2000,19.6500,19.6800,558375
2017-07-26,19.7000,19.8100,19.2700,19.5100,729326
2017-07-27,19.6200,19.6200,19.1200,19.2000,599683
2017-07-28,19.2000,19.2600,18.7500,19.0300,602388
2017-07-31,19.2400,19.2400,18.8401,19.0600,294011
2017-08-01,19.0400,19.5100,18.6400,19.4600,853134
2017-08-02,19.3300,19.4500,18.6500,18.8900,512675
2017-08-03,18.9800,19.2900,18.8000,18.8600,369551
2017-08-04,18.7900,19.1140,18.2400,18.4100,708117
2017-08-07,18.5100,19.0500,18.1800,18.9000,518567
2017-08-08,18.8800,19.5700,18.7450,19.1300,898588
2017-08-09,18.9500,19.0400,18.7300,18.9500,826375
2017-08-10,20.3000,20.3400,18.1100,18.3200,3097299
2017-08-11,18.2900,19.2990,18.2600,18.9800,1453852
2017-08-14,19.2000,19.4000,18.8600,19.1100,736946
2017-08-15,19.2100,19.2100,18.8100,18.8600,651043
2017-08-16,18.9300,18.9300,18.6700,18.7300,379919
2017-08-17,18.7500,18.8700,18.3400,18.3700,638786
2017-08-18,18.4200,18.4600,17.7460,17.9100,821133
2017-08-21,18.0600,18.0600,16.9600,17.1500,1097695
2017-08-22,17.2100,18.5000,17.1700,17.3500,721077
2017-08-23,17.2000,17.6400,17.1300,17.4200,336623
2017-08-24,17.6200,17.9900,17.5400,17.7900,461754
2017-08-25,17.8800,17.9600,17.5200,17.5200,382659
2017-08-28,17.5300,18.0200,17.4500,17.8800,381567
2017-08-29,17.6200,17.6800,17.3200,17.6000,423973
2017-08-30,17.6100,17.6200,17.3400,17.6000,338489
2017-08-31,17.7100,17.7600,17.3500,17.5300,536914
2017-09-01,17.6900,18.2200,17.5500,18.1700,622419
2017-09-05,18.1700,18.6300,17.8900,18.2500,749247
2017-09-06,18.4000,18.6300,18.1700,18.5000,818444
2017-09-07,18.6500,19.3010,18.5600,19.0500,1381194
2017-09-08,19.0700,19.4700,18.7900,18.8400,967474
2017-09-11,19.1500,19.3400,18.9700,19.0900,654328
2017-09-12,19.1900,19.7400,19.1900,19.6200,785132
2017-09-13,19.5800,20.6200,19.5794,20.5000,1819194
2017-09-14,20.6300,20.6300,19.7938,20.0200,1061750
2017-09-15,20.0600,20.1600,19.6900,19.8600,518462
2017-09-18,19.9500,20.0000,19.4100,19.6600,579911
2017-09-19,19.7000,20.2300,19.6100,19.8000,749878
2017-09-20,19.8200,19.9500,19.3000,19.5100,639763
2017-09-21,19.4900,19.6100,19.3000,19.4900,389223
2017-09-22,19.3700,19.6500,19.2900,19.3400,389648
2017-09-25,19.2600,19.4601,19.0500,19.1300,477132
2017-09-26,19.2000,19.9800,19.1800,19.9100,1077332
2017-09-27,20.0000,20.3800,19.8300,20.2900,1160043
2017-09-28,20.2900,20.9700,20.0100,20.2800,822665
2017-09-29,20.0700,20.8800,20.0610,20.5500,1220385
2017-10-02,20.7000,21.1800,20.6400,20.9800,1045946
2017-10-03,21.1400,21.1800,20.5700,20.9600,691838
2017-10-04,20.8100,21.0000,20.5900,20.7600,493206
2017-10-05,20.3100,20.7600,20.3100,20.5500,673126
2017-10-06,20.5300,21.1100,20.2100,21.0500,954410
2017-10-09,21.1100,21.1600,20.6600,20.8200,487212
2017-10-10,20.9800,21.7410,20.9000,21.1000,903942
2017-10-11,21.2800,21.3500,21.0900,21.2300,523922
2017-10-12,21.1100,21.2100,20.7500,20.9300,416073
2017-10-13,20.7600,20.9699,20.6200,20.7900,444617
2017-10-16,20.7600,20.7800,20.3500,20.5900,370825
2017-10-17,20.7000,20.7870,20.3700,20.3900,436983
2017-10-18,20.4000,20.5800,20.3400,20.5700,326778
2017-10-19,20.5100,20.5500,20.3000,20.5100,283812
2017-10-20,20.4800,20.8400,20.4300,20.8300,327940
2017-10-23,20.9800,20.9800,20.3300,20.3300,571525
2017-10-24,20.4000,20.7900,20.3400,20.6000,779083
2017-10-25,20.6500,20.6946,19.9500,20.1400,469947
2017-10-26,20.1700,20.5600,20.1600,20.5600,417215
2017-10-27,20.5600,20.9400,20.4700,20.8100,358368
2017-10-30,20.8800,21.7500,20.6500,21.6000,833743
2017-10-31,21.5500,22.0000,21.1300,21.4800,631071
2017-11-01,21.5300,21.5946,21.1100,21.4200,544727
2017-11-02,21.3900,21.5608,20.4600,20.7200,643864
2017-11-03,20.7200,21.1700,20.6600,21.1200,566416
2017-11-06,21.1000,21.7500,21.0800,21.5900,590549
2017-11-07,21.7300,21.9400,21.3000,21.9300,680514
2017-11-08,21.8700,22.3700,21.6000,21.7300,945046
2017-11-09,23.7000,25.3000,23.3200,24.7900,4339095
2017-11-10,25.0300,26.0800,24.8200,26.0000,2060640
2017-11-13,25.6900,25.7900,24.3500,24.9800,1376252
2017-11-14,24.7700,25.0600,24.0910,24.3300,812909
2017-11-15,24.1100,24.6000,23.4600,24.1100,771884
2017-11-16,24.2700,25.5300,24.2700,25.0600,972655
2017-11-17,25.5700,26.4000,25.3900,26.3800,996241
2017-11-20,26.3700,27.3800,26.2500,26.8000,1330008
2017-11-21,27.2500,27.2500,26.3100,26.7900,719101
2017-11-22,26.9000,27.2850,26.7300,27.0700,652473
2017-11-24,27.2700,27.7700,27.2700,27.4800,456645
2017-11-27,28.0000,28.0050,26.3500,26.7500,897170
2017-11-28,26.8000,27.0900,26.1200,26.1200,996944
2017-11-29,26.2200,26.9500,26.0468,26.6700,756116
2017-11-30,26.6800,27.1300,26.4400,26.8800,753905
2017-12-01,27.1400,27.4100,26.7100,27.2100,885739
2017-12-04,27.4900,27.8300,27.1300,27.4100,610336
2017-12-05,27.4000,27.7500,27.1300,27.6000,647639
2017-12-06,27.5700,27.7000,26.9200,27.1300,544438
2017-12-07,27.2000,27.9400,27.0200,27.8800,624094
2017-12-08,27.9700,28.8000,27.7100,28.0600,697052
2017-12-11,28.0900,28.3800,27.9700,28.2600,449294
2017-12-12,28.3100,28.8900,28.1900,28.2700,595392
2017-12-13,28.2700,28.5150,27.6900,27.7200,650922
2017-12-14,27.9750,28.1900,27.4100,27.5800,600766
2017-12-15,27.3500,27.6700,26.2800,26.4500,1157211
2017-12-18,27.0500,27.6300,26.8800,27.6100,842145
2017-12-19,27.6050,27.9600,27.3500,27.3600,680877
2017-12-20,27.4250,28.0000,27.4000,27.8600,495453
2017-12-21,28.3000,29.3100,27.9200,29.3100,1236997
2017-12-22,29.3400,29.7799,28.7121,29.7100,1215060
2017-12-26,29.9300,30.8800,29.8400,30.7300,708171
2017-12-27,30.7000,31.3764,30.6200,31.0000,1012809
2017-12-28,31.3300,31.9500,31.0000,31.6300,935857
2017-12-29,31.9100,31.9100,31.0900,31.5600,848110
2018-01-02,31.7900,32.2200,31.2500,31.8000,857234
2018-01-03,31.9500,33.4300,31.8400,32.8700,1261879
2018-01-04,33.3500,33.6900,32.6700,33.6000,922390
2018-01-05,33.8500,33.9600,33.0500,33.4300,1382786
2018-01-08,33.6100,33.6100,32.3400,33.0100,1469379
2018-01-09,33.3800,33.5099,32.7400,33.2100,838251
2018-01-10,32.9800,33.3600,32.6000,32.7400,714607
2018-01-11,32.4500,33.2400,32.3400,32.7600,848138
2018-01-12,32.8800,32.9900,32.3000,32.3800,663572
2018-01-16,33.1500,33.1500,31.1600,31.8300,1096742
2018-01-17,31.8300,32.6800,31.8300,32.6000,1422754
2018-01-18,32.8600,33.5000,32.6000,32.7900,614275
2018-01-19,32.7900,33.0200,32.5500,32.6100,635526
2018-01-22,32.6000,33.2500,32.0500,33.1500,698103
2018-01-23,33.2800,35.4100,33.1500,35.2300,3318016
2018-01-24,35.6300,35.6675,34.5730,35.0600,1152537
2018-01-25,35.2200,35.6100,34.4100,35.3300,916686
2018-01-26,35.3600,35.5700,34.8400,35.5600,1010434
2018-01-29,35.3000,35.5401,34.7650,34.8500,1488444
2018-01-30,34.4000,35.1100,33.6800,35.0000,800294
2018-01-31,35.0000,36.4900,35.0000,35.9400,1081894
2018-02-01,35.6400,35.9700,35.4100,35.7200,595964
2018-02-02,35.5000,37.1000,35.2200,35.8000,1364531
2018-02-05,35.7400,37.5100,34.7450,35.7100,1884301
2018-02-06,34.9900,37.3300,34.8600,37.0900,1611827
2018-02-07,37.6100,38.2500,36.9600,38.1200,2650127
2018-02-08,34.0500,34.7000,31.0500,31.7900,8843244
2018-02-09,32.7500,33.3600,28.4100,30.4600,4553308
2018-02-12,31.0400,32.1500,30.3800,31.7400,1526067
2018-02-13,31.2600,33.4500,31.1600,33.1700,1430930
2018-02-14,32.9500,34.9800,32.6100,34.8500,1516378
2018-02-15,35.2300,35.2300,33.6600,34.0100,1663550
2018-02-16,34.0000,34.5100,33.6200,34.0000,944752
2018-02-20,33.6100,34.0400,33.3500,33.5400,715324
2018-02-21,33.5100,34.1700,33.3300,33.6300,572356
2018-02-22,33.6400,33.7300,32.0010,32.0700,873160
2018-02-23,32.3000,33.0600,32.2500,32.7800,577689
2018-02-26,33.0400,33.6900,32.7300,33.6000,527284
2018-02-27,33.4900,33.7000,32.7600,32.7600,434912
2018-02-28,33.0900,33.0900,31.6300,31.6300,865838
2018-03-01,31.7800,32.1500,30.7600,31.3200,693936
2018-03-02,31.0000,32.1900,30.5000,32.0700,655344
2018-03-05,31.7700,33.0000,31.7700,32.4100,471203
2018-03-06,32.6100,32.8900,32.0900,32.3000,353496
2018-03-07,32.0800,32.4100,31.6000,31.7100,573648
2018-03-08,31.7100,32.2200,31.5500,32.0100,357032
2018-03-09,32.2600,32.9400,32.0200,32.4800,577763
2018-03-12,32.4900,33.1200,32.4900,33.0400,478658
2018-03-13,33.3900,33.8699,32.9600,33.3100,466330
2018-03-14,33.3900,33.6100,32.6700,32.8800,439286
2018-03-15,32.8700,33.3100,32.6000,33.3000,268416
2018-03-16,33.2900,34.8600,33.0700,34.7400,961918
2018-03-19,34.6600,34.7500,33.4600,34.1500,709645
2018-03-20,34.2200,36.0000,34.1500,35.7400,1240436
2018-03-21,35.8100,36.6600,35.4800,36.4400,623016
2018-03-22,35.7900,36.5500,34.5200,34.5400,701973
2018-03-23,34.6300,35.7400,33.8500,33.9600,994681
2018-03-26,34.5800,35.0815,33.9800,34.7100,421544
2018-03-27,34.9500,35.3800,33.6500,34.0000,506141
2018-03-28,33.7400,34.0000,32.6100,32.8400,727279
2018-03-29,33.0700,33.7500,33.0700,33.4200,506011
2018-04-02,33.3900,33.7100,32.3700,32.7500,694239
2018-04-03,32.9400,33.8500,32.6800,33.8300,512094
2018-04-04,33.0300,34.9100,33.0300,34.8100,599724
2018-04-05,35.0500,35.1300,34.3200,35.0300,540602
2018-04-06,34.6700,35.1500,33.7900,34.0900,287538
2018-04-09,34.3400,35.3500,34.3200,34.6600,383222
2018-04-10,35.2400,35.5600,34.7200,35.3900,391569
2018-04-11,34.8200,35.2000,34.4900,34.7100,447291
2018-04-12,34.8800,35.1000,34.5400,34.6300,278010
2018-04-13,34.6900,35.2300,33.7300,34.0200,395266
2018-04-16,34.2200,34.4600,33.6700,34.2500,400484
2018-04-17,34.3300,34.7700,34.3300,34.4600,303858
2018-04-18,34.5800,35.4900,34.3500,34.9900,405555
2018-04-19,35.4100,37.2200,35.1775,36.5700,1721503
2018-04-20,36.7900,37.4900,36.0100,36.5000,759598
2018-04-23,36.9400,37.0900,34.6400,35.0900,970692
2018-04-24,35.0800,36.5300,34.7633,35.5600,818037
2018-04-25,35.4600,35.6200,34.1800,35.1800,565173
2018-04-26,35.2100,36.1500,34.9108,36.0900,300934
2018-04-27,36.1200,37.3700,36.1200,36.5800,588758
2018-04-30,36.7700,37.8000,36.6800,37.0800,526039
2018-05-01,36.7600,36.9700,35.7810,36.8000,317595
2018-05-02,36.8000,37.5658,36.7200,37.0900,396051
2018-05-03,37.0300,37.4000,36.6500,36.7900,357199
2018-05-04,36.5500,37.3400,36.0200,37.1500,345769
2018-05-07,37.2300,38.4600,37.1808,38.1800,634728
2018-05-08,38.2300,38.4000,36.9200,37.1500,501885
2018-05-09,37.1800,38.0200,37.1800,37.4300,348006
2018-05-10,37.2200,37.8000,36.9200,37.0600,411044
2018-05-11,37.0000,37.3700,36.6100,37.0400,358719
2018-05-14,37.0700,37.9500,36.6700,37.8500,456818
2018-05-15,37.5900,39.4900,37.4000,39.1000,1472248
2018-05-16,39.3100,40.4600,39.2512,40.3600,682415
2018-05-17,40.4800,41.1100,39.8500,40.8700,771040
2018-05-18,40.8700,41.1900,39.7100,40.9700,755320
2018-05-21,41.3600,41.5000,38.3700,39.3500,972975
2018-05-22,39.9300,41.1100,39.6000,39.9000,700024
2018-05-23,39.6700,40.6612,39.3500,39.9600,695224
2018-05-24,40.2800,40.2800,39.3400,39.6000,594549
2018-05-25,39.3600,39.7800,39.1500,39.7300,325741
2018-05-29,39.3300,40.8900,39.3200,39.8100,496007
2018-05-30,39.9200,40.9733,39.5800,39.8200,755450
2018-05-31,40.9300,42.3300,40.3500,42.0500,1259464
2018-06-01,42.3600,42.9970,41.3400,42.5400,798961
2018-06-04,42.8200,43.7140,42.6800,43.1700,738165
2018-06-05,43.1600,44.0400,42.8910,43.8600,544912
2018-06-06,44.6200,44.8000,43.9100,44.2200,639056
2018-06-07,43.8100,44.2000,42.4600,42.7100,806944
2018-06-08,42.5400,43.4000,42.2500,43.2300,855205
2018-06-11,43.4600,44.3100,43.3000,43.5200,591028
2018-06-12,43.8200,45.0700,43.4500,44.7700,583158
2018-06-13,44.8100,45.8000,44.8000,45.1700,860777
2018-06-14,45.4000,46.3300,45.0050,45.8500,1613494
2018-06-15,59.0200,61.6900,53.1800,61.0200,13793087
2018-06-18,60.1000,66.3000,60.0100,64.7300,6466067
2018-06-19,64.0100,67.7400,63.2500,67.4200,2942927
2018-06-20,68.2800,68.7500,63.7500,64.0000,3961662
2018-06-21,63.3000,63.6300,61.8100,62.1500,5080602
2018-06-22,62.6600,62.9100,57.2800,57.6100,4429845
2018-06-25,57.4300,59.7600,55.7700,58.8400,3950304
2018-06-26,59.6300,60.3500,55.9800,57.3500,3097923
