"MacroTrends Data Download"
"H - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2009-11-05,26.4536,27.6882,25.2289,27.4334,19384900
2009-11-06,27.3158,29.8828,27.1787,27.4334,2698600
2009-11-09,27.6196,28.5014,27.4138,28.3152,1886200
2009-11-10,28.4132,29.2950,27.9037,28.7071,813700
2009-11-11,28.4426,28.9031,27.9331,28.6483,1290300
2009-11-12,28.3544,29.1088,28.3544,28.5112,705800
2009-11-13,28.4426,28.6385,28.2662,28.3936,1036800
2009-11-16,28.3936,28.6777,28.0213,28.3152,1036000
2009-11-17,28.1780,28.4230,27.6196,28.0899,785600
2009-11-18,28.0311,29.0696,27.9919,28.9031,995200
2009-11-19,28.8051,28.8541,28.1878,28.6091,79800
2009-11-20,28.5601,29.0794,28.3446,28.9227,1019200
2009-11-23,29.1186,29.3440,28.1780,28.2662,579400
2009-11-24,28.4524,28.4524,27.4922,27.9625,509200
2009-11-25,27.8743,28.3446,27.7371,28.0311,275300
2009-11-27,27.2081,27.9037,27.1885,27.7763,386800
2009-11-30,27.7959,28.3544,27.7861,28.1682,519500
2009-12-01,28.3054,29.3831,28.1486,29.1088,562600
2009-12-02,29.1480,29.3929,28.1192,28.7757,418100
2009-12-03,28.9129,29.0500,28.5112,28.6875,242200
2009-12-04,28.8541,29.0500,28.5405,28.9031,91800
2009-12-07,28.7855,28.7855,27.9429,28.1388,878000
2009-12-08,27.9723,27.9723,27.0905,27.3354,793200
2009-12-09,27.4922,27.7175,27.3452,27.5216,342900
2009-12-10,27.7273,28.5601,27.5020,28.2172,176900
2009-12-11,28.1682,28.5895,28.0899,28.4622,156400
2009-12-14,28.6581,29.0108,28.3054,28.9129,315500
2009-12-15,29.6085,29.8828,29.0990,29.5399,758600
2009-12-16,29.6575,30.0004,29.2754,29.6967,708700
2009-12-17,29.7555,29.7653,29.3440,29.4125,377200
2009-12-18,29.7261,29.7653,28.9814,29.5105,2682700
2009-12-21,29.4811,29.5791,29.1970,29.5791,380800
2009-12-22,29.4909,30.0788,29.4321,29.6575,292500
2009-12-23,29.5595,29.7065,29.4419,29.5889,193900
2009-12-24,29.8828,29.8828,29.4223,29.5693,130300
2009-12-28,29.6673,30.0102,29.3048,29.4811,289800
2009-12-29,29.5399,29.6379,29.1382,29.1872,121300
2009-12-30,29.0402,29.4321,29.0402,29.2950,37600
2009-12-31,29.2754,29.5791,28.9814,29.2068,572600
2010-01-04,29.2068,29.9808,29.0500,29.3538,482700
2010-01-05,29.4517,29.5693,29.2068,29.3929,554100
