"MacroTrends Data Download"
"HD - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1981-09-22,0.0182,0.0182,0.0182,0.0182,7435800
1981-09-23,0.0182,0.0182,0.0182,0.0182,7380100
1981-09-24,0.0182,0.0182,0.0182,0.0182,5065639
1981-09-25,0.0182,0.0182,0.0182,0.0182,7306630
1981-09-28,0.0182,0.0182,0.0182,0.0182,5794525
1981-09-29,0.0182,0.0182,0.0182,0.0182,3953003
1981-09-30,0.0182,0.0182,0.0182,0.0182,5248800
1981-10-01,0.0182,0.0182,0.0182,0.0182,4374000
1981-10-02,0.0182,0.0242,0.0182,0.0182,3479722
1981-10-05,0.0182,0.0242,0.0182,0.0182,1766003
1981-10-06,0.0182,0.0242,0.0182,0.0182,2514708
1981-10-07,0.0182,0.0242,0.0182,0.0182,4190839
1981-10-08,0.0182,0.0242,0.0182,0.0182,126436
1981-10-09,0.0182,0.0242,0.0182,0.0182,5612730
1981-10-12,0.0182,0.0242,0.0182,0.0182,363930
1981-10-13,0.0182,0.0242,0.0182,0.0182,1146808
1981-10-14,0.0182,0.0242,0.0182,0.0182,363930
1981-10-15,0.0182,0.0242,0.0182,0.0182,3097680
1981-10-16,0.0182,0.0242,0.0182,0.0182,291486
1981-10-19,0.0182,0.0242,0.0182,0.0182,1220278
1981-10-20,0.0242,0.0242,0.0242,0.0242,1493994
1981-10-21,0.0242,0.0242,0.0242,0.0242,7106725
1981-10-22,0.0242,0.0242,0.0242,0.0242,6377839
1981-10-23,0.0242,0.0305,0.0242,0.0242,3917122
1981-10-26,0.0242,0.0305,0.0242,0.0242,4300530
1981-10-27,0.0242,0.0305,0.0242,0.0242,1238730
1981-10-28,0.0242,0.0305,0.0242,0.0242,3425730
1981-10-29,0.0242,0.0305,0.0242,0.0242,599716
1981-10-30,0.0242,0.0305,0.0242,0.0242,417922
1981-11-02,0.0305,0.0305,0.0305,0.0305,837211
1981-11-03,0.0305,0.0305,0.0305,0.0305,1092817
1981-11-04,0.0305,0.0305,0.0305,0.0305,1110586
1981-11-05,0.0305,0.0305,0.0305,0.0305,4244830
1981-11-06,0.0305,0.0305,0.0305,0.0305,126436
1981-11-09,0.0305,0.0305,0.0242,0.0242,4427992
1981-11-10,0.0242,0.0305,0.0242,0.0242,2786716
1981-11-11,0.0242,0.0305,0.0242,0.0242,363930
1981-11-12,0.0242,0.0305,0.0242,0.0242,673186
1981-11-13,0.0242,0.0305,0.0242,0.0242,291486
1981-11-16,0.0242,0.0305,0.0242,0.0242,2860186
1981-11-17,0.0305,0.0305,0.0305,0.0305,145914
1981-11-18,0.0305,0.0305,0.0305,0.0305,363930
1981-11-19,0.0305,0.0305,0.0305,0.0305,145914
1981-11-20,0.0305,0.0305,0.0305,0.0305,2660280
1981-11-23,0.0305,0.0305,0.0305,0.0305,910680
1981-11-24,0.0305,0.0305,0.0305,0.0305,327708
1981-11-25,0.0305,0.0305,0.0305,0.0305,199905
1981-11-27,0.0305,0.0305,0.0305,0.0305,145914
1981-11-30,0.0305,0.0305,0.0305,0.0305,89872
1981-12-01,0.0305,0.0305,0.0305,0.0305,145914
1981-12-02,0.0305,0.0305,0.0305,0.0305,363930
1981-12-03,0.0305,0.0305,0.0305,0.0305,1693900
1981-12-04,0.0305,0.0365,0.0305,0.0305,4773811
1981-12-07,0.0365,0.0365,0.0365,0.0365,3953003
1981-12-08,0.0365,0.0365,0.0365,0.0365,2860186
1981-12-09,0.0365,0.0365,0.0365,0.0365,1220278
1981-12-10,0.0365,0.0365,0.0365,0.0365,745630
1981-12-11,0.0365,0.0365,0.0365,0.0365,272008
1981-12-14,0.0365,0.0365,0.0305,0.0305,1657678
1981-12-15,0.0305,0.0305,0.0305,0.0305,2860186
1981-12-16,0.0305,0.0305,0.0305,0.0305,145914
1981-12-17,0.0305,0.0305,0.0305,0.0305,1911916
1981-12-18,0.0305,0.0305,0.0305,0.0305,545725
1981-12-21,0.0305,0.0305,0.0305,0.0305,837211
1981-12-22,0.0305,0.0305,0.0305,0.0305,1384644
1981-12-23,0.0305,0.0305,0.0305,0.0305,1146808
1981-12-24,0.0305,0.0305,0.0305,0.0305,1766003
1981-12-28,0.0305,0.0305,0.0305,0.0305,417922
1981-12-29,0.0305,0.0305,0.0305,0.0305,399811
1981-12-30,0.0305,0.0365,0.0305,0.0305,417922
1981-12-31,0.0305,0.0365,0.0305,0.0305,272008
1982-01-04,0.0305,0.0365,0.0305,0.0305,126436
1982-01-05,0.0305,0.0365,0.0305,0.0305,399811
1982-01-06,0.0305,0.0365,0.0305,0.0305,291486
1982-01-07,0.0305,0.0365,0.0305,0.0305,3061800
1982-01-08,0.0365,0.0365,0.0365,0.0365,399811
1982-01-11,0.0365,0.0365,0.0365,0.0365,363930
1982-01-12,0.0365,0.0365,0.0365,0.0365,291486
1982-01-13,0.0365,0.0365,0.0365,0.0365,16403
1982-01-14,0.0365,0.0365,0.0365,0.0365,53992
1982-01-15,0.0365,0.0365,0.0365,0.0365,272008
1982-01-18,0.0365,0.0365,0.0365,0.0365,145914
1982-01-19,0.0365,0.0365,0.0365,0.0365,1146808
1982-01-20,0.0364,0.0364,0.0364,0.0364,121196
1982-01-21,0.0364,0.0364,0.0364,0.0364,2514594
1982-01-22,0.0364,0.0364,0.0364,0.0364,637192
1982-01-25,0.0364,0.0364,0.0364,0.0364,782992
1982-01-26,0.0364,0.0364,0.0364,0.0364,453803
1982-01-27,0.0364,0.0364,0.0364,0.0364,1328603
1982-01-28,0.0364,0.0364,0.0364,0.0364,417808
1982-01-29,0.0364,0.0364,0.0364,0.0364,199792
1982-02-01,0.0364,0.0364,0.0364,0.0364,89986
1982-02-02,0.0364,0.0364,0.0364,0.0364,818986
1982-02-03,0.0364,0.0364,0.0364,0.0364,910794
1982-02-04,0.0364,0.0364,0.0364,0.0364,181794
