"MacroTrends Data Download"
"JILL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-03-09,52.9846,53.8988,50.9068,52.5690,1978871
2017-03-10,52.7768,54.9377,52.1535,53.8157,266893
2017-03-13,53.8573,55.8520,53.7742,54.4391,113641
2017-03-14,55.0624,55.0624,52.9430,53.6079,88440
2017-03-15,53.4001,53.8157,52.1119,52.1119,69613
2017-03-16,52.9430,52.9846,52.1950,52.8184,51181
2017-03-17,53.4417,53.5506,51.9457,52.9846,61280
2017-03-20,52.7352,53.1924,51.9457,52.2366,29336
2017-03-21,51.9872,52.5690,50.9068,51.2808,96535
2017-03-22,50.7405,52.7352,49.8678,50.9899,81703
2017-03-23,50.9068,54.8546,50.6574,54.0235,62728
2017-03-24,53.6495,54.7300,53.1508,53.8573,40466
2017-03-27,53.7326,54.7300,52.8188,54.4391,19885
2017-03-28,54.0651,55.4776,54.0235,54.9377,42328
2017-03-29,54.5637,55.1871,54.0900,54.4806,41028
2017-03-30,56.0182,57.8051,55.2702,57.5558,125150
2017-03-31,57.7636,59.0103,57.7636,58.5947,60116
2017-04-03,59.6336,59.8414,58.0545,58.6363,94908
2017-04-04,58.8856,58.8856,57.0987,58.6778,41375
2017-04-05,58.5947,58.5947,56.7662,58.3869,51101
2017-04-06,57.9298,59.2181,57.5974,59.0103,121657
2017-04-07,59.0103,59.2181,55.5611,55.5611,74934
2017-04-10,55.4780,57.3272,54.9793,55.0624,51368
2017-04-11,55.3117,57.1402,55.1040,55.6858,23083
2017-04-12,55.3949,55.9767,53.1924,54.6884,44785
2017-04-13,54.4806,55.9767,53.4417,53.6910,29898
2017-04-17,53.5248,55.2079,53.2339,54.8962,38698
2017-04-18,54.6884,55.3325,53.4001,54.7300,46309
2017-04-19,54.8546,57.1402,54.6468,55.6858,61870
2017-04-20,55.3949,57.7220,55.3949,57.0987,45476
2017-04-21,57.2233,58.5532,55.4364,56.9325,57890
2017-04-24,57.1402,58.0129,54.6053,55.2702,22514
2017-04-25,55.1871,56.7247,53.8573,54.7715,54935
2017-04-26,54.9793,56.8078,54.8546,56.3091,32034
2017-04-27,55.8935,56.6000,55.1493,55.4780,16211
2017-04-28,55.6858,55.6858,54.4848,54.8546,13967
2017-05-01,54.6884,55.3944,54.0443,54.6053,18083
