"MacroTrends Data Download"
"LCII - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1989-05-03,0.6260,0.6260,0.6260,0.6260,5000
1989-05-04,0.6260,0.6260,0.6052,0.6052,2300
1989-05-05,0.6052,0.6484,0.6052,0.6484,5900
1989-05-08,0.6260,0.6260,0.6260,0.6260,200
1989-05-09,0.6260,0.6260,0.6260,0.6260,3900
1989-05-10,0.6484,0.6917,0.6484,0.6917,36400
1989-05-11,0.6709,0.6709,0.6484,0.6709,4200
1989-05-12,0.6917,0.8214,0.6917,0.7781,21700
1989-05-15,0.7781,0.7781,0.6917,0.6917,27500
1989-05-16,0.6917,0.6917,0.6917,0.6917,700
1989-05-17,0.6917,0.6917,0.6917,0.6917,300
1989-05-18,0.6917,0.6917,0.6917,0.6917,1200
1989-05-19,0.6917,0.7124,0.6484,0.7124,3500
1989-05-22,0.7124,0.7124,0.7124,0.7124,1000
1989-05-23,0.6484,0.6484,0.6484,0.6484,500
1989-05-24,0.6484,0.6917,0.6484,0.6917,1500
1989-05-25,0.6484,0.6484,0.6484,0.6484,1000
1989-05-26,0.6484,0.6484,0.6484,0.6484,100
1989-05-30,0.6484,0.6709,0.6484,0.6709,1300
1989-05-31,0.6709,0.6709,0.6484,0.6709,0
1989-06-01,0.6709,0.6709,0.6484,0.6484,14900
1989-06-02,0.6260,0.6260,0.6260,0.6260,300
1989-06-05,0.6260,0.6260,0.6260,0.6260,0
1989-06-06,0.6260,0.6260,0.6052,0.6052,4300
1989-06-07,0.6052,0.6484,0.6052,0.6484,9400
1989-06-08,0.6484,0.6484,0.6260,0.6260,6600
1989-06-09,0.6260,0.6484,0.6260,0.6260,27300
1989-06-12,0.6260,0.6260,0.6260,0.6260,1700
1989-06-13,0.6260,0.6484,0.6052,0.6260,55300
1989-06-14,0.6260,0.6260,0.6260,0.6260,3000
1989-06-15,0.6484,0.6484,0.6484,0.6484,4500
1989-06-16,0.6484,0.6484,0.6260,0.6484,1300
1989-06-19,0.6260,0.6260,0.6260,0.6260,700
1989-06-20,0.6260,0.6260,0.6260,0.6260,800
1989-06-21,0.6260,0.6484,0.6260,0.6260,1700
1989-06-22,0.6484,0.6484,0.6484,0.6484,5700
1989-06-23,0.6484,0.6484,0.6484,0.6484,400
1989-06-26,0.6484,0.6917,0.6484,0.6917,1300
1989-06-27,0.6484,0.6484,0.6260,0.6260,2800
1989-06-28,0.6917,0.6917,0.6917,0.6917,100
1989-06-29,0.6260,0.6260,0.6052,0.6260,5400
1989-06-30,0.6052,0.6052,0.6052,0.6052,4000
1989-07-03,0.6052,0.6052,0.6052,0.6052,0
1989-07-05,0.6052,0.6052,0.6052,0.6052,0
1989-07-06,0.6052,0.6484,0.5620,0.5620,2200
1989-07-07,0.5620,0.5620,0.5620,0.5620,300
1989-07-10,0.5620,0.5620,0.5620,0.5620,700
1989-07-11,0.5620,0.5620,0.5620,0.5620,300
1989-07-12,0.5620,0.5620,0.5395,0.5395,500
1989-07-13,0.5395,0.5395,0.5395,0.5395,400
1989-07-14,0.5395,0.5395,0.5395,0.5395,500
1989-07-17,0.5395,0.6052,0.5395,0.5620,13200
1989-07-18,0.5620,0.5620,0.5395,0.5620,7300
1989-07-19,0.5395,0.5395,0.5395,0.5395,500
1989-07-20,0.5395,0.5395,0.5395,0.5395,100
1989-07-21,0.5395,0.5395,0.5395,0.5395,15500
1989-07-24,0.5395,0.6052,0.5395,0.5395,1000
1989-07-25,0.5395,0.5395,0.5395,0.5395,11600
1989-07-26,0.5395,0.5395,0.5395,0.5395,4000
1989-07-27,0.5395,0.5395,0.5395,0.5395,6800
1989-07-28,0.5395,0.5620,0.5395,0.5620,2600
1989-07-31,0.5620,0.6052,0.5395,0.6052,17600
1989-08-01,0.6052,0.6484,0.6052,0.6484,2800
1989-08-02,0.5395,0.5395,0.5395,0.5395,2100
1989-08-03,0.5395,0.5395,0.5395,0.5395,300
1989-08-04,0.5395,0.5620,0.5395,0.5395,1300
1989-08-07,0.5395,0.5620,0.5395,0.5395,0
1989-08-08,0.5395,0.5395,0.5395,0.5395,500
1989-08-09,0.5395,0.5395,0.5395,0.5395,0
1989-08-10,0.5395,0.5395,0.5395,0.5395,300
1989-08-11,0.5395,0.5395,0.5395,0.5395,2200
1989-08-14,0.5395,0.5395,0.5395,0.5395,1600
1989-08-15,0.5395,0.6052,0.5395,0.6052,800
1989-08-16,0.5395,0.5395,0.5395,0.5395,100
1989-08-17,0.5395,0.5395,0.5395,0.5395,500
1989-08-18,0.5395,0.5395,0.5395,0.5395,1600
1989-08-21,0.5395,0.5395,0.5395,0.5395,200
1989-08-22,0.5395,0.5395,0.5395,0.5395,0
1989-08-23,0.5395,0.5620,0.5395,0.5395,17500
1989-08-24,0.5395,0.5620,0.5395,0.5620,5000
1989-08-25,0.5620,0.5620,0.5395,0.5395,13500
1989-08-28,0.5395,0.5620,0.5395,0.5620,11200
1989-08-29,0.5620,0.6052,0.5395,0.5845,24300
1989-08-30,0.5845,0.6917,0.5845,0.6260,18200
1989-08-31,0.6260,0.6917,0.6260,0.6484,5600
1989-09-01,0.6260,0.6260,0.6260,0.6260,300
1989-09-05,0.6260,0.6709,0.6260,0.6260,1200
