"MacroTrends Data Download"
"MAT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1982-01-04,1.5029,1.5194,1.4849,1.5029,159500
1982-01-05,1.4669,1.5029,1.4158,1.4338,492601
1982-01-06,1.4338,1.4504,1.3993,1.4338,419498
1982-01-07,1.5194,1.5885,1.4338,1.5885,636200
1982-01-08,1.6230,1.6576,1.5705,1.6576,1082699
1982-01-11,1.6064,1.6576,1.5540,1.5540,893298
1982-01-12,1.5885,1.6064,1.5540,1.5885,378501
1982-01-13,1.6064,1.6410,1.5705,1.5705,1052201
1982-01-14,1.6064,1.6410,1.5705,1.6230,486998
1982-01-15,1.6741,1.7100,1.6230,1.7100,936299
1982-01-18,1.7612,1.8136,1.6921,1.8136,1931199
1982-01-19,1.7777,1.8302,1.7100,1.7266,717601
1982-01-20,1.7446,1.7777,1.7100,1.7446,607701
1982-01-21,1.7612,1.8482,1.6741,1.7777,689099
1982-01-22,1.7612,1.7777,1.7266,1.7777,524301
1982-01-25,1.7446,1.7612,1.7100,1.7100,463499
1982-01-26,1.7446,1.7612,1.7100,1.7446,351500
1982-01-27,1.7266,1.7612,1.6921,1.7266,549598
1982-01-28,1.8136,1.8813,1.7266,1.8813,896301
1982-01-29,1.8648,1.8993,1.8136,1.8302,1526499
1982-02-01,1.7777,1.8136,1.7446,1.7612,428199
1982-02-02,1.7957,1.8482,1.7446,1.8136,356301
1982-02-03,1.8648,1.8993,1.8136,1.8302,677201
1982-02-04,1.8648,1.8993,1.8302,1.8993,499999
1982-02-05,1.9683,2.0029,1.9338,1.9849,1144102
1982-02-08,1.9172,1.9849,1.8482,1.8482,688499
1982-02-09,1.8302,1.8813,1.7612,1.8302,954302
1982-02-10,1.8813,1.9172,1.8302,1.8813,281199
1982-02-11,1.8813,1.8993,1.8648,1.8993,424999
1982-02-12,1.8993,1.9172,1.8813,1.8813,206602
1982-02-16,1.9172,1.9683,1.8482,1.9683,521301
1982-02-17,2.0208,2.0719,1.9683,2.0554,2399498
1982-02-18,2.1244,2.1755,2.0719,2.1065,1671801
1982-02-19,2.0554,2.1590,1.9338,1.9849,1271499
1982-02-22,2.0208,2.1065,1.9338,1.9338,1138499
1982-02-23,1.9683,2.0208,1.8993,2.0029,1286602
1982-02-24,2.0885,2.1244,2.0374,2.1244,936200
1982-02-25,2.1755,2.2446,2.1065,2.1921,2030698
1982-02-26,2.2101,2.2446,2.1755,2.2280,1195302
1982-03-01,2.2280,2.2626,2.1921,2.2101,1156501
1982-03-02,2.1755,2.2280,2.1244,2.1590,823099
1982-03-03,2.1921,2.2280,2.1590,2.1755,1305798
1982-03-04,2.1755,2.1921,2.1410,2.1590,683199
1982-03-05,2.1921,2.2280,2.1590,2.1755,922701
1982-03-08,2.1921,2.2626,2.1065,2.1410,1327200
1982-03-09,2.1065,2.1590,2.0554,2.1065,1346499
1982-03-10,2.1244,2.1755,2.0719,2.0719,807499
1982-03-11,2.0885,2.1590,2.0029,2.0208,1192200
1982-03-12,1.9683,2.0029,1.9172,1.9338,949299
1982-03-15,1.9518,1.9849,1.8993,1.9518,758701
1982-03-16,2.0029,2.0374,1.9518,2.0208,563199
1982-03-17,2.0374,2.0554,2.0029,2.0554,505602
1982-03-18,2.1410,2.2101,2.0554,2.2101,1971801
1982-03-19,2.3316,2.3662,2.2791,2.3316,2124100
1982-03-22,2.3482,2.3662,2.3137,2.3316,1220299
1982-03-23,2.2791,2.3316,2.2280,2.2446,1296500
1982-03-24,2.2446,2.2791,2.1921,2.1921,641602
1982-03-25,2.2446,2.2957,2.1921,2.2280,1292600
1982-03-26,2.2446,2.2626,2.2101,2.2280,297100
1982-03-29,2.2446,2.2957,2.1755,2.2957,750300
1982-03-30,2.2626,2.2791,2.2280,2.2791,908800
1982-03-31,2.2626,2.2957,2.2280,2.2446,1319601
1982-04-01,2.3137,2.3662,2.2446,2.3482,551199
1982-04-02,2.3482,2.3993,2.2957,2.2957,910100
1982-04-05,2.2626,2.3137,2.2101,2.2626,687499
1982-04-06,2.2791,2.3137,2.2446,2.3137,310602
1982-04-07,2.3316,2.3662,2.2957,2.3482,768801
1982-04-08,2.3482,2.3662,2.3316,2.3482,955701
1982-04-12,2.3316,2.3662,2.2791,2.2791,373700
1982-04-13,2.2446,2.2626,2.2101,2.2280,553099
