"MacroTrends Data Download"
"MGM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1990-01-12,3.6285,3.6865,3.5983,3.5983,52800
1990-01-15,3.6285,3.6285,3.5704,3.5704,50000
1990-01-16,3.5704,3.6285,3.5704,3.6285,44400
1990-01-17,3.6285,3.7144,3.6285,3.6865,57600
1990-01-18,3.6865,3.6865,3.5704,3.5704,39600
1990-01-19,3.5983,3.5983,3.5704,3.5704,18400
1990-01-22,3.5403,3.5403,3.5124,3.5124,32400
1990-01-23,3.5403,3.5403,3.4822,3.5403,34400
1990-01-24,3.5124,3.5403,3.4822,3.5124,23200
1990-01-25,3.4822,3.5124,3.4822,3.5124,25600
1990-01-26,3.4544,3.4822,3.3662,3.3963,78000
1990-01-29,3.4242,3.4242,3.3963,3.4242,1200
1990-01-30,3.4544,3.4544,3.3662,3.4242,18800
1990-01-31,3.4242,3.4242,3.3963,3.3963,10000
1990-02-01,3.4242,3.4242,3.3963,3.3963,94400
1990-02-02,3.4242,3.4242,3.3662,3.4242,40000
1990-02-05,3.4242,3.4242,3.3963,3.3963,3600
1990-02-06,3.3662,3.3662,3.3383,3.3383,16000
1990-02-07,3.3662,3.4544,3.3662,3.4544,37200
1990-02-08,3.5060,3.5060,3.4196,3.4196,7600
1990-02-09,3.4476,3.4476,3.4196,3.4476,2800
1990-02-12,3.4714,3.4714,3.4125,3.4125,4800
1990-02-13,3.4431,3.4431,3.2949,3.2949,679200
1990-02-14,3.2666,3.3255,3.2360,3.3255,35600
1990-02-15,3.2949,3.3255,3.2666,3.2949,20000
1990-02-16,3.2949,3.3255,3.2360,3.2360,26800
1990-02-20,3.1772,3.2078,3.1184,3.1184,35600
1990-02-21,3.1490,3.1490,3.0007,3.0007,28000
1990-02-22,3.0313,3.0313,2.9724,3.0007,24800
1990-02-23,2.9724,3.0313,2.9724,3.0313,9600
1990-02-26,3.0313,3.0595,3.0007,3.0595,15200
1990-02-27,3.0901,3.1490,3.0595,3.1490,27200
1990-02-28,3.1490,3.2666,3.1490,3.2360,47200
1990-03-01,3.2666,3.2949,3.2666,3.2949,19200
1990-03-02,3.3255,3.4125,3.3255,3.4125,36000
1990-03-05,3.4125,3.4431,3.4125,3.4431,15600
1990-03-06,3.4714,3.4714,3.4431,3.4714,10000
1990-03-07,3.4431,3.5302,3.4431,3.5302,14400
1990-03-08,3.5020,3.5020,3.4125,3.4714,38400
1990-03-09,3.4431,3.4714,3.3843,3.4431,31200
1990-03-12,3.4125,3.4431,3.3843,3.4125,28800
1990-03-13,3.3843,3.3843,3.3537,3.3537,8800
1990-03-14,3.3537,3.3843,3.3537,3.3843,4400
1990-03-15,3.3843,3.3843,3.3537,3.3843,17200
