"MacroTrends Data Download"
"MLCO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2006-12-19,17.4367,18.6652,16.7234,17.0800,52517300
2006-12-20,17.4288,17.4367,15.7009,16.0338,13510700
2006-12-21,15.7564,16.2003,14.9638,15.8991,14750400
2006-12-22,15.9665,15.9942,15.3364,15.4632,3800500
2006-12-26,15.6138,15.9061,15.3760,15.7564,1749000
2006-12-27,15.8515,16.6441,15.8515,16.4063,4178400
2006-12-28,16.2557,16.7392,16.1289,16.6600,3032000
2006-12-29,16.8343,17.0483,16.6441,16.8502,2690600
2007-01-03,17.1434,17.2623,16.8105,17.0872,3335300
2007-01-04,17.1593,17.4367,17.0642,17.1593,2697800
2007-01-05,17.1196,17.1196,16.2557,16.4697,3467100
2007-01-08,16.4460,16.4539,15.7564,15.8515,1539200
2007-01-09,15.8515,15.9070,15.4544,15.7485,2911100
2007-01-10,15.6455,17.0404,15.4790,16.6124,4175900
2007-01-11,16.7154,16.7788,16.0417,16.3350,3482700
2007-01-12,16.4063,16.4856,16.0576,16.3508,1371300
2007-01-16,16.5965,16.7075,16.2082,16.4380,2138700
2007-01-17,16.4777,16.9453,16.3350,16.8105,2450500
2007-01-18,16.9294,17.6110,16.8819,17.5952,4721200
2007-01-19,17.4367,17.7062,16.9294,17.2940,4010000
2007-01-22,17.4922,17.4922,16.8422,16.8977,1374300
2007-01-23,16.7234,16.9453,16.4222,16.6758,1782900
2007-01-24,16.6917,17.2861,16.5252,16.7551,3267900
2007-01-25,17.0800,17.0800,16.2478,16.3667,4701100
2007-01-26,16.3667,16.4856,16.0497,16.1606,2353100
2007-01-29,16.1289,16.2478,15.8595,15.8912,1210200
2007-01-30,16.0259,16.0259,15.1620,15.2095,4009800
2007-01-31,15.3760,15.7723,15.2571,15.3364,3478500
2007-02-01,15.5741,16.1527,15.4552,16.0259,3106400
2007-02-02,16.2082,16.2478,16.0338,16.1844,1740300
2007-02-05,16.2795,16.4063,15.7564,15.8119,1595900
2007-02-06,15.7247,15.9942,15.5266,15.5345,1997100
2007-02-07,15.6692,15.6692,15.1699,15.2175,3059600
2007-02-08,15.2809,15.2967,14.7023,14.9401,4921900
2007-02-09,15.0272,15.1382,14.5834,14.7578,3436400
2007-02-12,14.5755,14.6072,13.6085,13.8305,4688200
2007-02-13,13.8305,14.1633,13.6878,13.9810,4143100
2007-02-14,14.2981,14.6151,14.1554,14.4328,3085900
2007-02-15,14.2981,14.4170,14.1079,14.3298,2232800
2007-02-16,14.2267,14.7578,14.1871,14.5438,1830000
2007-02-20,14.5834,14.8529,14.4407,14.6151,1108700
2007-02-21,14.6310,14.7578,14.5041,14.6151,795700
2007-02-22,14.5834,14.7261,14.4249,14.7102,970500
2007-02-23,14.5834,14.6230,14.4804,14.5834,890200
2007-02-26,14.8053,14.8212,14.2030,14.3952,1857700
2007-02-27,13.8701,13.9493,12.8397,13.4738,4057200
2007-02-28,13.5044,13.7274,13.0854,13.1568,2764900
2007-03-01,12.6812,13.6165,12.3008,13.2360,2851700
2007-03-02,13.2360,13.5531,12.9586,13.0459,1025100
2007-03-05,12.5227,12.6733,12.3166,12.6020,2815200
2007-03-06,12.9983,13.4579,12.7843,13.2836,1355100
2007-03-07,13.1409,13.1409,12.8714,12.9269,975800
2007-03-08,13.0775,13.2301,12.5703,12.6257,2381000
2007-03-09,12.4910,12.7684,12.3325,12.6495,1568500
2007-03-12,12.6812,12.7462,12.3404,12.3642,1370400
2007-03-13,12.2532,12.2770,11.5003,11.5478,2486000
2007-03-14,11.5003,12.1423,11.1912,12.1026,2619600
2007-03-15,12.0868,12.6416,11.9838,12.2691,2635200
2007-03-16,12.2849,12.3958,12.0947,12.2929,606600
2007-03-19,12.4117,12.4593,12.0868,12.1026,913000
2007-03-20,12.0234,12.6020,11.9441,12.4752,1932700
2007-03-21,12.5782,13.3866,12.4038,13.1409,3165100
2007-03-22,13.2994,13.5531,13.1726,13.3985,1636000
2007-03-23,13.4738,13.7750,13.0062,13.1092,1334100
2007-03-26,13.4262,13.5610,12.8477,12.9269,1150700
2007-03-27,12.8794,12.9983,12.4831,12.5069,1474000
2007-03-28,12.7129,12.7843,12.4672,12.5306,968800
2007-03-29,12.8239,12.8318,12.3880,12.6020,1181500
2007-03-30,12.8873,12.9348,12.5386,12.7922,1830900
2007-04-02,12.8001,12.8477,12.6416,12.6812,1140700
2007-04-03,12.9348,13.0775,12.8239,12.9983,1367900
2007-04-04,13.0775,13.1013,12.7209,12.7526,832500
2007-04-05,12.8318,12.9824,12.6971,12.9190,611400
2007-04-09,13.0300,13.4738,12.9190,13.2994,780100
2007-04-10,13.4579,13.8622,13.3153,13.8067,1497600
2007-04-11,13.8939,13.8939,12.8952,13.1092,1695700
2007-04-12,13.0379,13.2202,12.9190,13.0339,1008300
2007-04-13,12.9983,13.1568,12.6654,13.1330,1581100
2007-04-16,13.2202,13.2360,13.0078,13.1726,1017200
2007-04-17,13.1964,13.2994,13.0617,13.2281,511800
2007-04-18,13.2677,14.5993,13.1964,14.5121,4015200
2007-04-19,14.2902,15.4156,14.0920,14.7102,6084100
2007-04-20,15.2571,15.2650,14.8213,14.9876,2287900
2007-04-23,15.2967,15.3443,14.9876,15.1144,1349300
2007-04-24,15.0827,15.1778,14.6706,14.7023,1617600
2007-04-25,14.7498,14.7974,13.9969,14.4249,2361700
2007-04-26,14.2426,14.5438,14.0920,14.4724,1196800
2007-04-27,14.2664,14.4011,14.1079,14.2109,1171000
2007-04-30,14.1475,14.1633,13.7353,13.8067,1278200
2007-05-01,13.7591,14.0286,13.6561,13.9176,778600
2007-05-02,13.9176,14.8767,13.7591,14.6467,2325800
2007-05-03,14.3298,14.3853,13.9493,14.1554,2000700
2007-05-04,14.1871,14.3536,14.0682,14.1396,952100
2007-05-07,14.2188,14.2584,13.4738,13.6323,1993500
2007-05-08,13.7908,13.8067,12.9665,13.0300,3338100
2007-05-09,13.0775,13.5134,13.0696,13.3549,1533400
2007-05-10,13.3945,13.3945,12.7763,12.8556,1565100
2007-05-11,13.0775,13.3074,12.8556,13.1330,1306100
2007-05-14,13.2281,13.2519,11.9124,11.9521,4945000
2007-05-15,12.0868,12.2453,10.8979,11.5082,7896000
2007-05-16,11.3814,11.5399,11.0961,11.1674,4035600
2007-05-17,11.1753,11.2070,10.7870,11.1119,4623700
2007-05-18,11.2229,11.2229,11.0010,11.0961,1621000
2007-05-21,11.0802,11.1436,10.9059,10.9930,2063200
2007-05-22,11.4527,11.6112,11.0564,11.2546,4299800
2007-05-23,11.3338,11.3338,11.0089,11.0564,1741900
2007-05-24,11.0168,11.0406,10.7790,10.8187,1270500
2007-05-25,10.6998,11.0002,10.5096,10.7711,2215200
2007-05-29,10.6839,10.9869,10.6047,10.7870,1883300
2007-05-30,10.6205,10.8979,10.4620,10.8028,1566800
2007-05-31,10.8979,11.1198,10.6522,11.1119,1551400
2007-06-01,11.2546,11.2625,10.9059,11.0961,1585100
2007-06-04,10.9376,11.0168,10.6998,10.8345,2543200
2007-06-05,10.8187,10.9296,10.5413,10.7315,2413000
2007-06-06,10.6205,10.6998,10.4620,10.5650,3072700
2007-06-07,10.6998,10.7315,10.3035,10.5809,2327600
2007-06-08,10.5571,10.5650,10.3828,10.5056,1421800
2007-06-11,10.5413,10.6919,10.3669,10.4224,2099800
2007-06-12,10.4382,10.4462,9.6694,9.7883,6022400
2007-06-13,9.8042,9.9706,9.6694,9.7566,2001800
2007-06-14,9.7487,9.7487,9.5188,9.5743,2603000
2007-06-15,9.9072,10.0182,9.7091,10.0023,5317200
2007-06-18,10.0261,10.2084,9.8042,9.8359,2593400
2007-06-19,9.7883,9.8993,9.7091,9.8279,1630600
2007-06-20,9.8279,9.8279,9.5426,9.6457,1962100
2007-06-21,9.6694,9.6694,9.0354,9.3524,4028500
2007-06-22,9.2890,9.2960,9.0433,9.1542,1424300
2007-06-25,9.1146,9.3207,8.9482,9.2494,3446700
2007-06-26,9.2573,9.5822,9.0909,9.1860,1844400
2007-06-27,9.2731,9.5505,9.2731,9.3841,3968000
2007-06-28,9.4317,9.8549,9.3920,9.7487,2126500
2007-06-29,9.7566,10.1371,9.7566,9.9548,2115000
2007-07-02,10.0657,10.1767,9.7091,9.8517,1352600
2007-07-03,9.9231,10.0657,9.6457,9.6853,998600
2007-07-05,10.1450,10.4858,9.9151,10.4620,4103900
2007-07-06,10.4779,10.9376,10.4382,10.8345,2554400
2007-07-09,11.0010,11.0010,10.6205,10.6998,1217600
2007-07-10,10.5809,10.6316,10.1053,10.4462,2301900
2007-07-11,10.3114,10.4699,10.2639,10.3986,728000
2007-07-12,10.4462,10.6998,10.3510,10.4937,969700
2007-07-13,10.6681,11.0881,10.5967,11.0327,2121600
2007-07-16,11.1753,11.3259,10.9534,10.9772,1730400
2007-07-17,11.0564,11.0881,10.6205,10.8662,1174100
2007-07-18,10.9613,11.0010,10.6205,10.6998,1118600
2007-07-19,10.8187,10.8344,10.3748,10.4620,1328300
2007-07-20,10.4224,10.4224,10.2242,10.3035,1145900
2007-07-23,10.5650,10.5730,10.2322,10.2480,1385000
2007-07-24,10.2559,10.3035,9.8279,9.8993,1219000
2007-07-25,9.9072,10.1053,9.5268,9.7566,1966800
2007-07-26,9.6298,9.6694,9.4158,9.6219,3281300
2007-07-27,9.5188,9.9072,9.5188,9.7328,1659000
2007-07-30,9.8279,10.3431,9.7962,10.2242,2977700
2007-07-31,10.4303,10.7473,10.3669,10.5096,2621200
2007-08-01,10.4303,10.4462,9.8914,10.1133,1945200
2007-08-02,10.1212,10.3907,10.0182,10.1688,1421800
2007-08-03,10.2322,10.5096,10.1371,10.1371,1272100
2007-08-06,10.1053,10.1846,9.6060,10.0420,1987000
2007-08-07,10.5967,11.0881,10.3590,10.8741,4620000
2007-08-08,10.8583,11.0961,10.6919,10.8979,2212000
2007-08-09,10.4224,10.6998,10.3669,10.5175,1835700
2007-08-10,10.3669,10.5492,10.2322,10.5175,1557100
2007-08-13,10.5413,10.6142,10.2401,10.3669,735700
2007-08-14,10.2876,10.4620,9.9072,9.9627,967900
2007-08-15,9.6853,9.7091,8.6074,8.9165,5537300
2007-08-16,8.6708,8.6708,7.8861,8.0050,4591300
2007-08-17,8.7183,9.3920,8.7104,9.0988,3665600
2007-08-20,9.5268,9.7883,9.2811,9.4713,1514100
2007-08-21,9.5109,9.7962,9.4317,9.6774,1031600
2007-08-22,9.8993,10.4145,9.8279,10.3828,1339000
2007-08-23,10.4779,10.5492,9.9072,9.9706,995400
2007-08-24,10.1053,10.3431,10.0737,10.2797,5321500
2007-08-27,10.3669,10.8583,10.3669,10.6602,1687100
2007-08-28,10.6760,10.7632,10.1688,10.2876,1356000
2007-08-29,10.3114,10.6681,10.2401,10.5730,921800
2007-08-30,10.4303,10.5016,10.3035,10.4858,533900
2007-08-31,10.4858,10.4858,10.2876,10.3273,939900
2007-09-04,10.3035,10.8662,10.2718,10.7870,1120300
2007-09-05,10.7790,10.9772,10.5413,10.7870,1367000
2007-09-06,10.8187,11.1753,10.8187,11.0168,1722100
2007-09-07,10.9693,10.9693,10.5492,10.8345,960800
2007-09-10,10.8028,10.8092,10.3669,10.5096,638900
2007-09-11,10.5096,10.9138,10.5096,10.7236,942500
2007-09-12,10.7236,11.0961,10.7236,10.9613,1443500
2007-09-13,11.0961,11.8886,10.9851,11.8173,3870600
2007-09-14,11.7301,12.9190,11.5082,12.0392,5545100
2007-09-17,11.9600,11.9758,11.5795,11.6509,2353700
2007-09-18,11.6350,12.0234,11.4290,11.8252,2309100
2007-09-19,11.9679,12.0472,11.6509,11.7301,1271500
2007-09-20,11.6271,12.1819,11.5811,12.0551,1833700
2007-09-21,12.2374,12.4038,12.1502,12.2928,2517400
2007-09-24,12.4038,13.4738,12.3642,13.4183,3884600
2007-09-25,13.3945,13.4183,12.5306,12.6415,3919600
2007-09-26,12.9507,13.0379,12.4276,12.6020,2562600
2007-09-27,12.6416,13.4659,12.5703,13.1251,2976700
2007-09-28,13.1092,13.4738,12.8318,13.0775,2316700
2007-10-01,13.4104,14.7023,13.3866,14.6635,8727200
2007-10-02,14.4962,15.1303,14.1792,14.9955,9438200
2007-10-03,13.9493,14.6072,13.7671,14.0920,7791600
2007-10-04,14.0682,14.4883,13.4738,14.2981,4057200
2007-10-05,14.5422,14.8053,14.3932,14.7419,2599300
2007-10-08,14.7419,15.0193,14.4645,14.7340,1316900
2007-10-09,14.8212,15.0352,14.3060,14.4566,2798100
2007-10-10,14.3615,14.9163,13.9969,14.0841,1694700
2007-10-11,14.3456,14.4249,13.3153,14.2664,5044300
2007-10-12,14.2902,14.8846,14.1475,14.6231,2823700
2007-10-15,14.6310,14.6310,14.0950,14.4249,1939100
2007-10-16,14.3853,14.6389,14.1950,14.3219,1215200
2007-10-17,14.4804,14.4804,14.0920,14.3853,1669800
2007-10-18,14.2426,14.3615,13.3311,13.5848,3594600
2007-10-19,13.3787,13.5531,13.2360,13.3470,3271900
2007-10-22,13.0775,13.4817,12.8001,13.3074,2007400
2007-10-23,13.6402,13.7512,13.2360,13.2757,1109100
2007-10-24,13.1568,13.2122,12.9348,13.1488,1360600
2007-10-25,13.2519,13.2598,12.4831,12.5148,2317700
2007-10-26,12.0947,12.6416,11.9758,12.1026,3444600
2007-10-29,12.1660,13.5134,12.0868,13.4342,3701400
2007-10-30,13.2757,13.2760,12.7446,13.2360,1445900
2007-10-31,12.6812,13.2757,12.3008,12.6020,3507700
2007-11-01,11.9679,12.0551,11.5241,11.5320,14942800
2007-11-02,11.4210,11.6746,11.0881,11.5003,4874400
2007-11-05,11.2387,11.4368,10.7870,10.8741,6157600
2007-11-06,11.1833,11.4924,10.0182,10.7790,11469600
2007-11-07,10.4224,10.8821,10.2401,10.3034,2925400
2007-11-08,10.4224,10.5254,9.6853,10.1450,2629300
2007-11-09,10.1053,11.3814,10.1053,10.9613,5039500
2007-11-12,11.0010,11.0564,10.5254,10.8741,2181300
2007-11-13,11.0881,11.6905,10.8424,11.5795,3177200
2007-11-14,11.1674,12.2453,11.1198,11.2150,3249800
2007-11-15,11.0961,11.6984,11.0406,11.6905,1906500
2007-11-16,11.8490,11.9045,11.4369,11.8807,3407400
2007-11-19,11.5716,11.6905,11.1119,11.1119,2057300
2007-11-20,11.1198,11.4686,10.6998,10.7553,2074700
2007-11-21,10.6998,10.7394,10.1053,10.3510,2292100
2007-11-23,10.4382,10.6142,10.1053,10.2797,830000
2007-11-26,10.6205,10.7949,10.2163,10.4620,1990300
2007-11-27,10.4303,11.0881,10.4299,11.0010,2530200
2007-11-28,11.0564,11.7301,10.9772,11.6429,5143300
2007-11-29,11.5003,12.0075,11.4924,11.8886,3717800
2007-11-30,11.7539,11.7539,11.1515,11.4844,3625600
2007-12-03,11.2467,11.4924,10.1846,10.3510,3079600
2007-12-04,10.5809,11.5715,10.4936,10.7473,3906300
2007-12-05,11.0881,11.0961,10.3510,10.5175,1658400
2007-12-06,10.5175,10.6760,10.2639,10.4382,2958000
2007-12-07,10.5016,10.6205,10.2005,10.2401,1479400
2007-12-10,10.3035,10.6760,10.2876,10.6205,873700
2007-12-11,10.6205,10.8107,10.3114,10.3114,1294500
2007-12-12,10.4699,10.8583,10.2718,10.3431,833900
2007-12-13,10.2480,10.3590,9.6853,9.7487,2130000
2007-12-14,9.8359,9.8359,9.1939,9.2969,2454200
2007-12-17,9.1701,10.5492,9.1701,9.9865,5424800
2007-12-18,10.3748,10.3748,9.5664,9.6853,1947200
2007-12-19,9.7962,10.0261,9.6853,9.7487,1415000
2007-12-20,9.7170,9.8596,9.5426,9.6774,1145500
2007-12-21,9.6774,9.7487,9.5505,9.6457,974700
2007-12-24,9.6060,9.6932,9.5426,9.5902,396200
2007-12-26,9.5188,9.5902,9.3524,9.4871,1004100
2007-12-27,9.3603,9.5664,9.2335,9.3128,1228800
2007-12-28,9.4951,9.5109,9.2335,9.3365,974500
2007-12-31,9.3128,9.4317,8.9878,9.1622,1442400
2008-01-02,9.2414,9.4317,8.8848,9.0829,1070000
2008-01-03,9.1860,9.1939,8.2745,8.4885,3237100
2008-01-04,8.5598,8.8293,8.3696,8.6470,1996000
2008-01-07,8.7263,8.7897,7.8703,8.1635,4305600
2008-01-08,8.3379,8.4013,7.4344,7.5215,4733600
2008-01-09,7.6880,8.1635,7.3630,8.1635,4723600
2008-01-10,8.0764,8.3300,7.7752,8.2032,1529000
2008-01-11,8.1952,8.1952,7.8069,7.8861,2575200
2008-01-14,8.0367,8.0367,7.6087,7.6642,2309700
2008-01-15,7.6880,7.6880,6.4991,6.8399,11332700
2008-01-16,6.6576,8.1715,6.6299,7.6959,8458200
2008-01-17,7.9971,8.3612,7.6801,7.9099,2356600
2008-01-18,7.9416,8.0526,7.3710,7.5453,1715000
2008-01-22,6.7765,7.5533,6.7765,7.4661,1726600
2008-01-23,7.2124,8.3458,7.1332,7.8069,1969000
2008-01-24,7.9258,8.2666,7.7593,8.1398,1529600
2008-01-25,8.3221,9.1860,8.3221,9.1860,4168300
2008-01-28,8.7263,9.5109,8.7183,9.2811,2702400
2008-01-29,9.2811,9.9468,9.2811,9.8676,3143800
2008-01-30,9.8676,10.0816,9.2097,9.5664,2277900
2008-01-31,9.4237,9.5981,9.1939,9.5902,2785600
2008-02-01,9.5585,10.1053,9.4951,9.8121,2265400
2008-02-04,9.9706,9.9706,9.3445,9.4475,2071100
2008-02-05,9.5109,9.7408,9.2731,9.3841,2156000
2008-02-06,9.4317,9.4317,8.8532,8.9799,1252900
2008-02-07,8.8214,9.0909,8.5757,9.0433,1717500
2008-02-08,9.0274,9.1622,8.6074,8.6074,1137200
2008-02-11,8.7025,9.0116,8.5598,8.9799,982400
2008-02-12,9.0354,9.5743,9.0037,9.3445,1441600
2008-02-13,9.1146,9.5109,9.0512,9.1463,849100
2008-02-14,9.1146,9.4879,9.0988,9.3286,625600
2008-02-15,9.1226,9.5981,9.1226,9.4634,1812100
2008-02-19,9.5426,9.7883,9.3683,9.7249,2565400
2008-02-20,9.8834,10.0578,9.4555,10.0578,1906800
