"MacroTrends Data Download"
"NKE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-12-02,0.0584,0.0597,0.0584,0.0584,100710400
1980-12-03,0.0578,0.0578,0.0571,0.0571,25177600
1980-12-04,0.0590,0.0597,0.0590,0.0590,22694400
1980-12-05,0.0571,0.0571,0.0559,0.0559,7590400
1980-12-08,0.0533,0.0533,0.0527,0.0527,5414400
1980-12-09,0.0527,0.0527,0.0514,0.0514,5824000
1980-12-10,0.0501,0.0501,0.0482,0.0482,5875200
1980-12-11,0.0470,0.0470,0.0457,0.0457,5440000
1980-12-12,0.0476,0.0482,0.0476,0.0476,8153600
1980-12-15,0.0495,0.0501,0.0495,0.0495,6643200
1980-12-16,0.0495,0.0495,0.0482,0.0482,6630400
1980-12-17,0.0476,0.0476,0.0464,0.0464,4672000
1980-12-18,0.0476,0.0488,0.0476,0.0476,11251200
1980-12-19,0.0495,0.0501,0.0495,0.0495,10035200
1980-12-22,0.0495,0.0508,0.0495,0.0495,1856000
1980-12-23,0.0508,0.0520,0.0508,0.0508,5696000
1980-12-24,0.0527,0.0539,0.0527,0.0527,2444800
1980-12-26,0.0533,0.0546,0.0533,0.0533,1459200
1980-12-29,0.0533,0.0539,0.0527,0.0527,1740800
1980-12-30,0.0539,0.0546,0.0539,0.0539,4364800
1980-12-31,0.0539,0.0546,0.0533,0.0533,2918400
1981-01-02,0.0546,0.0559,0.0546,0.0546,1574400
1981-01-05,0.0568,0.0578,0.0568,0.0568,5824000
