"MacroTrends Data Download"
"NKLA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2018-06-11,9.5700,9.5800,9.5700,9.5800,402644
2018-06-12,9.5600,9.5600,9.5600,9.5600,300000
2018-06-13,9.5700,9.5800,9.5600,9.5700,179115
2018-06-14,9.5700,9.5700,9.5700,9.5700,0
2018-06-15,9.5700,9.5700,9.5700,9.5700,2
2018-06-18,9.5400,9.5800,9.5400,9.5800,300
2018-06-19,9.5700,9.5700,9.5700,9.5700,300500
2018-06-20,9.5400,9.5900,9.5400,9.5900,900
2018-06-21,9.5900,9.5900,9.5900,9.5900,0
2018-06-22,9.5800,9.5800,9.5800,9.5800,100
2018-06-25,9.5800,9.5800,9.5800,9.5800,0
2018-06-26,9.5400,9.5900,9.5400,9.5800,658100
2018-06-27,9.5800,9.5800,9.5800,9.5800,0
2018-06-28,9.5800,9.5800,9.5800,9.5800,0
2018-06-29,9.5800,9.5800,9.5800,9.5800,0
2018-07-02,9.5800,9.5800,9.5800,9.5800,0
2018-07-03,9.5800,9.5800,9.5800,9.5800,0
2018-07-05,9.5800,9.5800,9.5800,9.5800,0
2018-07-06,9.5800,9.5800,9.5800,9.5800,0
2018-07-09,9.5800,9.5800,9.5800,9.5800,0
2018-07-10,9.5400,9.5400,9.5400,9.5400,100000
2018-07-11,9.5400,9.5400,9.5400,9.5400,100000
2018-07-12,9.5400,9.5400,9.5400,9.5400,170000
2018-07-13,9.5400,9.5400,9.5400,9.5400,11300
2018-07-16,9.5300,9.5900,9.5200,9.5440,551500
2018-07-17,9.5400,9.5700,9.5400,9.5700,201067
2018-07-18,9.5673,9.5673,9.5500,9.5500,125900
2018-07-19,9.5428,9.5428,9.5400,9.5410,80000
2018-07-20,9.5410,9.5410,9.5410,9.5410,0
2018-07-23,9.5441,9.5441,9.5441,9.5441,1000
2018-07-24,9.5466,9.5500,9.5466,9.5500,4433
2018-07-25,9.5500,9.5500,9.5500,9.5500,21300
2018-07-26,9.5500,9.5500,9.5400,9.5400,350000
2018-07-27,9.5400,9.5400,9.5400,9.5400,0
2018-07-30,9.5499,9.5500,9.5499,9.5500,51925
2018-07-31,9.5684,9.5684,9.5600,9.5600,6500
2018-08-01,9.5100,9.5500,9.5100,9.5500,6644
2018-08-02,9.5500,9.5500,9.5500,9.5500,0
2018-08-03,9.5499,9.5499,9.5499,9.5499,284
2018-08-06,9.5500,9.5500,9.5500,9.5500,21000
2018-08-07,9.5500,9.5500,9.5500,9.5500,0
2018-08-08,9.5500,9.5500,9.5500,9.5500,0
2018-08-09,9.5500,9.5500,9.5500,9.5500,0
2018-08-10,9.5500,9.5500,9.5500,9.5500,0
2018-08-13,9.5500,9.5500,9.5500,9.5500,0
2018-08-14,9.5500,9.5500,9.5500,9.5500,0
2018-08-15,9.5100,9.5700,9.5100,9.5600,20750
2018-08-16,9.5600,9.5600,9.5600,9.5600,0
2018-08-17,9.5600,9.5600,9.5600,9.5600,0
2018-08-20,9.5999,9.5999,9.5800,9.5800,1100
2018-08-21,9.5800,9.5800,9.5800,9.5800,0
2018-08-22,9.6400,9.6400,9.5200,9.5700,285099
2018-08-23,9.5800,9.5800,9.5600,9.5800,5799
2018-08-24,9.5800,9.5800,9.5600,9.5800,5199
2018-08-27,9.5800,9.5800,9.5500,9.5700,26997
2018-08-28,9.5500,9.5800,9.5500,9.5700,76700
2018-08-29,9.5800,9.5800,9.5400,9.5800,354700
2018-08-30,9.5800,9.5800,9.5800,9.5800,5024
2018-08-31,9.5800,9.5800,9.5799,9.5800,14143
2018-09-04,9.5800,9.5800,9.5500,9.5700,505200
2018-09-05,9.5700,9.5700,9.5700,9.5700,4700
2018-09-06,9.5800,9.6500,9.5700,9.6000,1991251
2018-09-07,9.6000,9.6000,9.5700,9.5900,154800
2018-09-10,9.5800,9.5900,9.5700,9.5899,283350
2018-09-11,9.5899,9.5899,9.5899,9.5899,0
2018-09-12,9.5899,9.5899,9.5899,9.5899,0
2018-09-13,9.5800,9.5800,9.5800,9.5800,65500
2018-09-14,9.5999,9.6000,9.5999,9.6000,2658
2018-09-17,9.5700,9.6000,9.5700,9.6000,7343
2018-09-18,9.5700,9.5700,9.5100,9.5100,25900
2018-09-19,9.5300,9.5300,9.5100,9.5100,21121
2018-09-20,9.5700,9.5700,9.5699,9.5699,9100
2018-09-21,9.5800,9.5800,9.5700,9.5700,4268
2018-09-24,9.5700,9.5700,9.5700,9.5700,1366756
2018-09-25,9.5700,9.5800,9.5700,9.5800,76025
2018-09-26,9.5699,9.5699,9.5699,9.5699,2076
2018-09-27,9.5699,9.5699,9.5699,9.5699,5217
2018-09-28,9.5187,9.5700,9.5187,9.5700,717
2018-10-01,9.5700,9.5700,9.5700,9.5700,0
2018-10-02,9.5700,9.5700,9.5700,9.5700,0
2018-10-03,9.5700,9.5700,9.5700,9.5700,426200
2018-10-04,9.5700,9.5700,9.5700,9.5700,135
2018-10-05,9.5500,9.5500,9.5500,9.5500,230
2018-10-08,9.5500,9.5500,9.5500,9.5500,17
2018-10-09,9.5700,9.6000,9.5600,9.5700,21125
2018-10-10,9.5700,9.5700,9.5700,9.5700,37
2018-10-11,9.5100,9.5100,9.5100,9.5100,428
2018-10-12,9.5300,9.5300,9.5300,9.5300,292
2018-10-15,9.5427,9.5427,9.5300,9.5300,32457
2018-10-16,9.5300,9.5300,9.5300,9.5300,0
2018-10-17,9.5300,9.5700,9.5100,9.5100,161808
2018-10-18,9.5200,9.5200,9.5200,9.5200,50117
2018-10-19,9.5300,9.5300,9.5300,9.5300,238816
2018-10-22,9.5300,9.5300,9.5300,9.5300,0
2018-10-23,9.5600,9.5770,9.5600,9.5770,187654
2018-10-24,9.5700,9.5900,9.5600,9.5900,20322
2018-10-25,9.6400,9.6400,9.5800,9.5900,187100
2018-10-26,9.5900,9.5900,9.5900,9.5900,0
2018-10-29,9.5899,9.5900,9.5899,9.5900,1580
2018-10-30,9.5900,9.5900,9.5700,9.5900,10580
2018-10-31,9.5900,9.5900,9.5900,9.5900,3170
2018-11-01,9.6500,9.6500,9.5900,9.5900,10571
2018-11-02,9.5899,9.5899,9.5899,9.5899,575
2018-11-05,9.5900,9.5900,9.5900,9.5900,70000
2018-11-06,9.5900,9.5900,9.5900,9.5900,0
2018-11-07,9.6199,9.6500,9.5500,9.6400,20601
2018-11-08,9.6100,9.6500,9.5800,9.6500,489701
2018-11-09,9.6800,9.6800,9.6800,9.6800,1000
2018-11-12,9.6800,9.6800,9.6800,9.6800,0
2018-11-13,9.6800,9.6800,9.6800,9.6800,0
2018-11-14,9.6800,9.6800,9.6800,9.6800,0
2018-11-15,9.6800,9.6800,9.6500,9.6800,601
2018-11-16,9.6800,9.6800,9.6800,9.6800,0
2018-11-19,9.6800,9.6800,9.6800,9.6800,0
2018-11-20,9.6500,9.6500,9.6500,9.6500,1100
2018-11-21,9.6500,9.6500,9.6500,9.6500,97
2018-11-23,9.6500,9.6500,9.6500,9.6500,0
2018-11-26,9.6500,9.6500,9.6500,9.6500,13
2018-11-27,9.6340,9.7500,9.6339,9.7300,52175
2018-11-28,9.7500,9.7500,9.7400,9.7500,24018
2018-11-29,9.7500,9.7500,9.7100,9.7100,151998
2018-11-30,9.7400,9.7400,9.6600,9.6900,389050
2018-12-03,9.7800,9.7800,9.7600,9.7600,1773
2018-12-04,9.7301,9.7301,9.7301,9.7301,7993
2018-12-06,9.7301,9.7301,9.7301,9.7301,20
2018-12-07,9.7301,9.7301,9.7301,9.7301,0
2018-12-10,9.7301,9.7301,9.7301,9.7301,0
2018-12-11,9.7301,9.7301,9.7301,9.7301,0
2018-12-12,9.7301,9.7301,9.7301,9.7301,24
2018-12-13,9.7301,9.7301,9.7301,9.7301,42300
2018-12-14,9.7301,9.7301,9.7301,9.7301,0
2018-12-17,9.7301,9.7301,9.7301,9.7301,0
2018-12-18,9.6700,9.7800,9.6600,9.6700,984408
2018-12-19,9.6700,9.6700,9.6700,9.6700,0
2018-12-20,9.6500,9.6500,9.6500,9.6500,691425
2018-12-21,9.6500,9.6500,9.6500,9.6500,0
2018-12-24,9.6500,9.6500,9.6500,9.6500,200000
2018-12-26,9.6500,9.8000,9.6500,9.6500,121374
2018-12-27,9.6500,9.6500,9.6500,9.6500,0
2018-12-28,9.7500,9.7500,9.7500,9.7500,1461
2018-12-31,9.7300,9.7300,9.6600,9.7000,1300
2019-01-02,9.7000,9.7000,9.7000,9.7000,0
2019-01-03,9.7250,9.7250,9.7250,9.7250,100
2019-01-04,9.7250,9.7250,9.7250,9.7250,0
2019-01-07,9.7250,9.7250,9.7250,9.7250,0
2019-01-08,9.7250,9.7250,9.7250,9.7250,0
2019-01-09,9.7000,9.7000,9.7000,9.7000,165279
2019-01-10,9.7000,9.7000,9.7000,9.7000,5
2019-01-11,9.7500,9.7500,9.7500,9.7500,500160
2019-01-14,9.7800,9.8000,9.7600,9.8000,238310
2019-01-15,9.7800,9.9100,9.7800,9.8000,42699
2019-01-16,9.8000,9.8000,9.8000,9.8000,0
2019-01-17,9.8000,9.8000,9.8000,9.8000,0
2019-01-18,9.8000,9.8000,9.8000,9.8000,0
2019-01-22,9.8500,9.8500,9.8000,9.8400,138327
2019-01-23,9.8400,9.8400,9.8400,9.8400,0
2019-01-24,9.8100,9.8500,9.8100,9.8500,27062
2019-01-25,9.8500,9.8500,9.8500,9.8500,100000
2019-01-28,9.8500,9.8800,9.8500,9.8800,2520
2019-01-29,9.8500,9.8500,9.8500,9.8500,1100
2019-01-30,9.8500,9.8600,9.8500,9.8600,173969
2019-01-31,9.8700,9.9450,9.8700,9.9000,358100
2019-02-01,9.9000,9.9000,9.9000,9.9000,4800
2019-02-04,9.9000,10.0000,9.9000,9.9500,14968
2019-02-05,9.9500,9.9500,9.9500,9.9500,0
2019-02-06,9.9000,9.9300,9.9000,9.9300,62051
2019-02-07,9.9000,9.9000,9.9000,9.9000,551
2019-02-08,9.9000,9.9000,9.8973,9.9000,4000
2019-02-11,9.9000,9.9000,9.9000,9.9000,0
2019-02-12,9.9100,9.9300,9.9100,9.9200,172600
2019-02-13,9.9000,9.9300,9.9000,9.9253,2940
2019-02-14,9.9300,9.9300,9.8700,9.8700,4021
2019-02-15,9.9100,9.9500,9.9100,9.9300,90880
2019-02-19,9.9200,9.9400,9.9200,9.9400,2200
2019-02-20,9.9200,9.9200,9.9200,9.9200,12855
2019-02-21,9.9500,9.9500,9.9500,9.9500,2200
2019-02-22,9.9500,9.9500,9.9499,9.9500,14900
2019-02-25,9.9500,9.9700,9.9500,9.9700,6143
2019-02-26,9.9700,9.9700,9.9700,9.9700,64
2019-02-27,9.9200,9.9700,9.9200,9.9700,432
2019-02-28,9.9200,9.9200,9.9200,9.9200,191
2019-03-01,9.9800,9.9800,9.9200,9.9200,2827
2019-03-04,9.9599,9.9599,9.9599,9.9599,675
2019-03-05,9.9599,9.9599,9.9599,9.9599,0
2019-03-06,9.9500,9.9600,9.9500,9.9600,46199
2019-03-07,9.9700,10.0500,9.9700,9.9800,75421
2019-03-08,9.8500,10.0000,9.8500,9.9800,45196
