"MacroTrends Data Download"
"PEV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2022-06-08,6.5000,6.5000,4.0100,4.0600,1881842
2022-06-09,3.9000,3.9500,3.3500,3.3600,650816
2022-06-10,3.1200,3.4200,3.1000,3.2200,297992
2022-06-13,3.1000,3.1900,2.9000,3.1100,137139
2022-06-14,3.1100,3.2100,3.0000,3.0300,90371
2022-06-15,3.2900,3.2900,3.0300,3.0700,200072
2022-06-16,3.0700,3.1698,3.0500,3.1600,79473
2022-06-17,3.1500,3.3500,3.1101,3.3500,62499
2022-06-21,3.3400,3.4400,3.2756,3.4200,86168
2022-06-22,3.5100,8.4000,3.4500,5.8300,56282345
2022-06-23,7.5500,8.5000,6.2900,6.6400,54960473
2022-06-24,5.7200,6.4393,5.5100,6.1400,3567500
2022-06-27,6.0700,7.0400,5.8423,6.6900,2074045
2022-06-28,6.2200,6.3000,4.9100,5.0000,735362
2022-06-29,5.0900,5.0900,4.5500,4.6600,236846
2022-06-30,4.5100,5.2200,4.4000,4.7400,867121
2022-07-01,4.7800,5.0600,4.5500,4.6500,288400
2022-07-05,4.5500,4.6700,3.4787,3.6100,862877
2022-07-06,3.6500,3.9700,3.6500,3.7000,326780
2022-07-07,3.6600,3.7701,3.2600,3.2900,342429
2022-07-08,3.3300,3.6700,3.2800,3.5200,398212
2022-07-11,3.6000,3.6000,3.1050,3.1200,276132
2022-07-12,3.1100,3.2789,3.0800,3.1000,142218
2022-07-13,3.0900,3.1500,3.0000,3.0300,155939
2022-07-14,3.0400,3.1600,3.0100,3.0300,161795
2022-07-15,3.0400,3.0899,2.7000,2.7700,276496
2022-07-18,2.7900,2.9471,2.7700,2.8900,124484
2022-07-19,2.9300,3.1400,2.8600,3.1400,237859
2022-07-20,3.1200,3.1300,2.8600,2.8700,122340
2022-07-21,2.8900,3.1981,2.8200,2.8700,375390
2022-07-22,2.8800,2.9662,2.7200,2.7800,176938
2022-07-25,2.7800,2.8583,2.6800,2.7500,100758
2022-07-26,2.7200,2.7500,2.6200,2.6500,79734
2022-07-27,2.6400,2.7200,2.5400,2.7000,108836
2022-07-28,2.7000,3.1900,2.6400,2.8800,694931
2022-07-29,2.8600,2.9000,2.7000,2.7800,287265
2022-08-01,2.7100,2.9300,2.7000,2.7400,373047
2022-08-02,2.7000,2.9000,2.6800,2.8423,254355
2022-08-03,2.8500,3.6500,2.7500,3.2400,1828207
2022-08-04,3.1900,3.5533,3.1100,3.4300,544274
2022-08-05,3.4600,3.7300,3.3000,3.6100,281316
2022-08-08,3.7800,3.8900,3.6200,3.8100,199881
2022-08-09,3.7100,3.8500,3.5600,3.7400,145918
2022-08-10,3.7200,3.8099,3.6000,3.6927,68705
2022-08-11,3.6800,4.3300,3.4200,3.9500,816021
2022-08-12,3.8800,3.9600,3.6000,3.7300,118967
2022-08-15,3.7700,3.7899,3.5176,3.6000,106111
2022-08-16,3.7500,3.7600,3.5014,3.6200,50094
2022-08-17,3.6300,3.6600,3.4500,3.5300,28673
2022-08-18,3.5300,3.5300,3.2500,3.4300,46525
2022-08-19,3.4700,3.4700,3.2700,3.3700,24025
2022-08-22,3.2300,3.4700,3.0800,3.1300,182438
2022-08-23,3.1000,3.1200,3.0200,3.1200,56811
2022-08-24,3.1200,3.3000,3.0500,3.2300,76562
2022-08-25,3.3000,3.4000,3.1102,3.2300,67491
2022-08-26,3.1821,3.3200,2.3300,2.6000,372262
2022-08-29,2.6900,2.7899,2.6300,2.6800,38731
2022-08-30,2.7100,2.9200,2.5000,2.5500,548828
2022-08-31,2.6000,2.8000,2.4200,2.6500,180699
2022-09-01,2.5200,2.6300,2.4500,2.6000,71154
2022-09-02,2.5200,2.5500,2.4200,2.4500,67001
2022-09-06,2.4000,2.4494,2.3500,2.3600,39554
2022-09-07,2.3600,2.4100,2.3501,2.3700,13991
2022-09-08,2.3900,2.3900,2.0600,2.1400,189700
2022-09-09,2.1700,2.2200,2.1400,2.1700,52634
2022-09-12,2.2200,2.2400,2.1687,2.2200,36664
2022-09-13,2.2200,2.2200,2.0600,2.0600,47719
2022-09-14,2.1100,2.1100,1.9800,2.0800,55305
2022-09-15,2.1000,2.2917,2.0901,2.1800,55043
2022-09-16,2.1200,2.2300,1.8800,1.9000,75759
2022-09-19,2.0000,2.0199,1.8801,1.9400,96721
2022-09-20,1.9500,2.0300,1.8800,1.9800,182318
2022-09-21,1.9200,1.9400,1.8100,1.8100,54511
2022-09-22,1.8300,1.8400,1.6007,1.6700,52414
2022-09-23,1.6100,1.7000,1.5700,1.6300,27420
2022-09-26,1.5800,1.6549,1.5700,1.5900,20514
2022-09-27,1.6273,1.9700,1.5800,1.6900,106583
2022-09-28,1.7300,1.8088,1.6100,1.6400,44065
2022-09-29,1.5900,1.6550,1.5200,1.5300,21704
2022-09-30,1.5200,1.6200,1.5200,1.5700,23826
2022-10-03,1.5650,1.5700,1.5200,1.5400,22795
2022-10-04,1.5600,1.6711,1.5200,1.6100,59703
2022-10-05,1.6300,1.9424,1.5600,1.8600,114675
2022-10-06,1.7700,2.1800,1.7700,2.1400,147607
2022-10-07,2.1200,2.2170,1.9248,2.0200,78591
2022-10-10,2.0300,2.3900,2.0142,2.3700,71657
2022-10-11,2.3800,2.4800,2.2300,2.2900,83365
2022-10-12,2.2100,2.2900,2.0200,2.2600,11232
2022-10-13,2.1550,2.3350,2.1200,2.2701,14485
2022-10-14,2.4400,2.4499,2.1801,2.2600,38273
2022-10-17,2.4000,2.4000,2.1401,2.1700,19360
2022-10-18,2.3050,2.3400,2.1389,2.2600,18321
2022-10-19,2.2500,2.3100,2.1865,2.2500,16455
2022-10-20,2.2310,2.3900,2.2201,2.3200,27793
2022-10-21,2.4100,2.4100,2.2200,2.2400,9233
