"MacroTrends Data Download"
"PII - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1987-09-16,0.3163,0.3182,0.3163,0.3182,753600
1987-09-17,0.3182,0.3182,0.3163,0.3182,169200
1987-09-18,0.3182,0.3182,0.3163,0.3163,163200
1987-09-21,0.3163,0.3223,0.3163,0.3163,169200
1987-09-22,0.3182,0.3202,0.3182,0.3182,76800
1987-09-23,0.3202,0.3223,0.3202,0.3202,164400
1987-09-24,0.3202,0.3223,0.3202,0.3202,56400
1987-09-25,0.3202,0.3223,0.3182,0.3202,43200
1987-09-28,0.3202,0.3202,0.3202,0.3202,14400
1987-09-29,0.3223,0.3261,0.3223,0.3242,232800
1987-09-30,0.3242,0.3242,0.3223,0.3242,84000
1987-10-01,0.3242,0.3261,0.3223,0.3242,93600
1987-10-02,0.3242,0.3261,0.3223,0.3242,158400
1987-10-05,0.3242,0.3300,0.3242,0.3300,550800
1987-10-06,0.3300,0.3440,0.3261,0.3261,597600
1987-10-07,0.3285,0.3305,0.3265,0.3305,216000
1987-10-08,0.3305,0.3324,0.3265,0.3305,116400
1987-10-09,0.3305,0.3324,0.3265,0.3265,140400
1987-10-12,0.3265,0.3285,0.3246,0.3265,67200
1987-10-13,0.3265,0.3265,0.3246,0.3265,142800
1987-10-14,0.3265,0.3285,0.3226,0.3265,79200
1987-10-15,0.3265,0.3265,0.3186,0.3186,118800
1987-10-16,0.3186,0.3205,0.3146,0.3146,229200
1987-10-19,0.3146,0.3167,0.2588,0.2608,620400
1987-10-20,0.2608,0.2768,0.2270,0.2329,508800
1987-10-21,0.2410,0.3066,0.2410,0.2907,528000
1987-10-22,0.2907,0.2907,0.2748,0.2867,159600
1987-10-23,0.2867,0.2867,0.2727,0.2827,136800
1987-10-26,0.2788,0.2788,0.2668,0.2668,138000
1987-10-27,0.2668,0.2768,0.2628,0.2668,127200
1987-10-28,0.2649,0.2649,0.2588,0.2608,88800
1987-10-29,0.2608,0.2689,0.2608,0.2649,175200
1987-10-30,0.2649,0.2689,0.2608,0.2689,92400
1987-11-02,0.2689,0.2689,0.2649,0.2668,72000
1987-11-03,0.2668,0.2668,0.2588,0.2588,52800
1987-11-04,0.2588,0.2588,0.2529,0.2549,52800
1987-11-05,0.2549,0.2549,0.2488,0.2529,157200
1987-11-06,0.2529,0.2588,0.2529,0.2588,156000
1987-11-09,0.2588,0.2588,0.2529,0.2568,88800
1987-11-10,0.2549,0.2549,0.2488,0.2488,178800
1987-11-11,0.2509,0.2549,0.2509,0.2529,118800
1987-11-12,0.2588,0.2608,0.2588,0.2588,102000
1987-11-13,0.2588,0.2628,0.2509,0.2509,140400
1987-11-16,0.2509,0.2588,0.2509,0.2549,99600
1987-11-17,0.2549,0.2549,0.2488,0.2549,103200
1987-11-18,0.2549,0.2608,0.2529,0.2549,198000
1987-11-19,0.2549,0.2588,0.2549,0.2568,164400
1987-11-20,0.2568,0.2727,0.2568,0.2689,217200
1987-11-23,0.2689,0.2689,0.2628,0.2689,63600
1987-11-24,0.2689,0.2727,0.2689,0.2708,120000
1987-11-25,0.2727,0.2748,0.2727,0.2748,30000
1987-11-27,0.2748,0.2748,0.2689,0.2689,68400
1987-11-30,0.2689,0.2689,0.2608,0.2628,141600
1987-12-01,0.2649,0.2748,0.2649,0.2689,73200
1987-12-02,0.2689,0.2727,0.2668,0.2708,213600
1987-12-03,0.2708,0.2748,0.2628,0.2649,246000
