"MacroTrends Data Download"
"PLYA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-03-13,11.9999,11.9999,10.5500,10.6500,10662
2017-03-14,10.5800,10.5801,10.3500,10.4600,47035
2017-03-15,10.5000,10.7950,10.3200,10.5000,333927
2017-03-16,10.7900,10.7900,10.4000,10.4000,301048
2017-03-17,10.3000,10.5000,10.3000,10.4800,179600
2017-03-20,10.5300,10.5300,10.3000,10.3100,126295
2017-03-21,10.3000,10.4700,10.1500,10.1600,1481189
2017-03-22,10.1900,10.4500,10.0700,10.1600,148914
2017-03-23,10.2500,10.3500,10.0500,10.3000,162788
2017-03-24,10.3600,10.3900,10.1500,10.2000,139832
2017-03-27,10.1900,10.2300,9.8600,10.1400,187655
2017-03-28,10.0500,10.2100,10.0500,10.1500,115436
2017-03-29,10.1900,10.2600,10.1600,10.2000,105904
2017-03-30,10.2000,10.2600,10.1200,10.1300,444686
2017-03-31,10.1500,10.5800,10.1500,10.5000,268694
2017-04-03,10.5100,10.5100,10.2010,10.4500,160215
2017-04-04,10.4400,10.4900,10.2400,10.4000,779926
2017-04-05,10.5000,10.5000,10.3000,10.4300,195359
2017-04-06,10.5000,10.5000,10.1600,10.4500,187365
2017-04-07,10.5000,10.5000,10.1500,10.4500,75037
2017-04-10,10.4400,10.4500,10.2010,10.3900,107279
2017-04-11,10.3600,10.4400,10.2703,10.3400,31439
2017-04-12,10.3200,10.4200,10.2600,10.3100,483730
2017-04-13,10.3000,10.3700,10.2100,10.3000,32385
2017-04-17,10.3000,10.4300,10.2000,10.2800,113466
2017-04-18,10.2400,10.3600,10.2100,10.2800,129229
2017-04-19,10.4448,10.4448,10.2600,10.2700,219750
2017-04-20,10.2900,10.4000,10.2300,10.3000,427175
2017-04-21,10.1300,10.3500,10.1300,10.2600,134500
2017-04-24,10.5000,10.5000,10.2600,10.3900,306831
2017-04-25,10.4200,10.6400,10.3800,10.5700,1371984
2017-04-26,10.5600,10.6250,10.5100,10.5700,278256
2017-04-27,10.5700,10.5700,10.3400,10.4200,121625
2017-04-28,10.6500,10.6600,10.1400,10.3900,124540
2017-05-01,10.4300,10.4300,10.2500,10.2700,66933
2017-05-02,10.3100,10.3600,10.2500,10.2900,67242
2017-05-03,10.2100,10.6700,10.2100,10.3000,54310
2017-05-04,10.6136,10.6136,10.1300,10.1600,105705
2017-05-05,10.2000,10.5800,9.8106,10.4000,121456
2017-05-08,10.5000,10.5850,10.3600,10.5200,359805
2017-05-09,10.7300,10.7400,10.1900,10.3000,742748
2017-05-10,10.3200,10.5000,10.2500,10.3300,153687
2017-05-11,10.2900,10.4900,10.2900,10.4400,121929
2017-05-12,10.4700,10.5200,10.3950,10.4200,170976
2017-05-15,10.4500,10.5000,10.3300,10.3900,258303
2017-05-16,10.4100,10.4100,10.1800,10.2000,230276
2017-05-17,10.3200,10.4000,9.9900,10.0300,261085
2017-05-18,10.0000,10.2950,9.9400,10.1500,277120
2017-05-19,10.1300,10.4000,9.8253,10.2500,258897
2017-05-22,10.3100,10.3100,9.9000,10.2500,109706
2017-05-23,10.0700,10.2800,9.9600,10.1800,666378
2017-05-24,10.2400,10.2500,10.0800,10.1000,292966
2017-05-25,10.1300,10.2800,10.0100,10.1800,599568
2017-05-26,10.1500,10.2500,10.1000,10.1800,162984
2017-05-30,10.2200,10.4000,10.1700,10.2500,462253
2017-05-31,10.2500,10.6000,10.2400,10.4600,251698
2017-06-01,10.2400,10.5000,10.2400,10.5000,442446
2017-06-02,10.4900,10.5000,10.3400,10.4800,90527
2017-06-05,10.4900,10.6100,10.2800,10.3600,79064
2017-06-06,10.4100,10.4265,10.1550,10.2400,69746
2017-06-07,10.2500,10.3500,10.1750,10.2300,55043
2017-06-08,10.2800,10.2800,10.1000,10.1800,62581
2017-06-09,10.2600,10.3200,10.0100,10.0800,128482
2017-06-12,10.2700,10.5000,10.0600,10.3700,388553
2017-06-13,10.2700,10.6450,10.2700,10.5700,473505
2017-06-14,10.6000,10.6200,10.5400,10.6000,720290
2017-06-15,10.6000,11.0200,10.5700,10.7100,1069102
2017-06-16,10.6900,11.0100,10.4900,10.5100,2362243
2017-06-19,10.5700,11.0250,10.5100,10.9000,368013
2017-06-20,10.9400,11.1000,10.4800,11.0000,207223
2017-06-21,11.1300,11.4700,10.9300,11.4000,726368
2017-06-22,11.4500,11.8100,11.3800,11.7500,973834
2017-06-23,11.7700,11.9300,11.3300,11.5900,259843
2017-06-26,11.5800,11.7500,11.3900,11.7200,1165221
2017-06-27,11.7400,12.0600,11.6850,11.7900,1175294
2017-06-28,11.9100,11.9900,11.7500,11.8800,498646
2017-06-29,11.7700,11.9500,11.7400,11.8600,355527
2017-06-30,11.9500,12.0993,11.8000,11.9500,433038
2017-07-03,12.0200,12.2700,11.9500,11.9800,61464
2017-07-05,11.9800,12.1600,11.8900,11.9900,502686
2017-07-06,11.9600,12.1500,11.4850,11.7400,462997
2017-07-07,11.8000,11.8600,11.5600,11.6000,262602
2017-07-10,11.5900,11.7100,11.5100,11.6800,236136
2017-07-11,11.7100,11.9250,11.7000,11.8800,138060
2017-07-12,11.9400,11.9900,11.8100,11.8400,228378
2017-07-13,11.8200,12.0000,11.7100,11.9400,147561
2017-07-14,12.0000,12.0100,11.7100,11.7800,279492
2017-07-17,11.8500,12.0800,11.8500,12.0300,549839
2017-07-18,12.0900,12.0900,11.9400,11.9900,140001
2017-07-19,12.0100,12.2400,11.9297,12.0600,324455
2017-07-20,12.1700,12.2400,12.0200,12.1000,247017
2017-07-21,12.1600,12.2600,11.7900,12.0200,155694
2017-07-24,12.0200,12.1600,11.8800,12.0400,119170
2017-07-25,12.0900,12.1700,11.8100,11.8200,111991
2017-07-26,11.8700,11.9600,11.6000,11.7200,89676
2017-07-27,11.7500,11.8600,11.7200,11.7900,98090
2017-07-28,11.8300,11.9500,11.6200,11.7400,108013
2017-07-31,11.6900,11.9500,11.6900,11.8200,128553
2017-08-01,11.8600,12.0600,11.8200,11.8300,166543
2017-08-02,11.7600,11.9300,11.7000,11.7900,136645
2017-08-03,11.7300,11.9500,11.5100,11.6700,221791
2017-08-04,11.3200,12.0600,11.2000,11.9000,866897
2017-08-07,11.8900,11.9000,11.0366,11.9000,299076
2017-08-08,11.8100,11.8700,11.5400,11.5900,199439
2017-08-09,11.5100,11.9800,11.2200,11.5200,208764
2017-08-10,11.5000,11.9300,11.2900,11.4100,87495
2017-08-11,11.4400,11.9400,11.1900,11.2300,215362
2017-08-14,11.3100,11.4600,11.1007,11.4000,78081
2017-08-15,11.4000,11.4000,11.2400,11.3100,56228
2017-08-16,11.4000,11.4800,11.3000,11.4400,370036
2017-08-17,11.4400,11.8000,11.0900,11.1400,90624
2017-08-18,11.1800,11.1800,11.0500,11.1100,160664
2017-08-21,11.1381,11.2700,10.9500,11.0500,32446
2017-08-22,11.1300,11.4700,10.9200,11.1800,69580
2017-08-23,11.1700,11.4000,10.8500,11.0200,86525
2017-08-24,11.0100,11.4500,10.9200,11.2500,195954
2017-08-25,11.2200,11.2200,10.8200,10.9800,370730
2017-08-28,10.9800,11.2100,10.5000,10.8700,335213
2017-08-29,10.7200,10.9000,10.4100,10.6500,471459
2017-08-30,10.5700,10.7000,10.1700,10.3900,778921
2017-08-31,10.3000,10.4500,10.2100,10.3700,314457
2017-09-01,10.4300,10.9500,10.4000,10.8500,187736
2017-09-05,10.6700,11.0100,10.6700,10.7900,501847
2017-09-06,10.7500,10.8500,10.5500,10.7600,221361
2017-09-07,10.9800,11.0700,10.7900,10.9000,266999
2017-09-08,10.9100,11.0000,10.7350,10.8700,86103
