"MacroTrends Data Download"
"PSNY - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-05-18,10.0000,10.0000,10.0000,10.0000,500
2021-05-19,9.7800,9.7800,9.7800,9.7800,1089
2021-05-20,9.9000,9.9000,9.7200,9.7600,2505
2021-05-21,9.8000,9.8000,9.7600,9.7600,4967
2021-05-24,9.7600,9.7600,9.7600,9.7600,1
2021-05-25,9.7400,9.7400,9.7201,9.7300,402
2021-05-26,9.7300,9.7300,9.7300,9.7300,1
2021-05-27,9.7400,9.7770,9.7300,9.7503,3236
2021-05-28,9.7700,9.7800,9.7000,9.7000,42137
2021-06-01,9.7500,9.7800,9.7100,9.7600,49816
2021-06-02,9.7800,9.7800,9.7800,9.7800,50005
2021-06-03,9.8000,9.8400,9.8000,9.8000,320038
2021-06-04,9.9999,9.9999,9.7600,9.7600,264459
2021-06-07,9.8200,9.8200,9.7600,9.7600,65209
2021-06-08,9.7632,9.8200,9.7632,9.8000,49216
2021-06-09,9.8000,9.8700,9.7700,9.8000,8704
2021-06-10,9.7700,9.7900,9.7688,9.7900,8538
2021-06-11,9.8000,9.8000,9.7700,9.7700,32383
2021-06-14,9.7800,9.8240,9.7800,9.7968,27296
2021-06-15,9.8000,9.8000,9.7800,9.8000,10335
2021-06-16,9.8000,9.8000,9.8000,9.8000,25755
2021-06-17,9.7900,9.8200,9.7900,9.8000,3356
2021-06-18,9.7600,9.8000,9.7600,9.8000,64802
2021-06-21,9.7700,9.7869,9.7700,9.7869,752
2021-06-22,9.8000,9.8300,9.7500,9.8300,10250
2021-06-23,9.7900,9.8600,9.7700,9.7900,29049
2021-06-24,9.7600,9.7800,9.7600,9.7800,824
2021-06-25,9.7900,9.7900,9.7600,9.7900,3889
2021-06-28,9.7900,9.8500,9.7400,9.7900,152543
2021-06-29,9.7800,9.7800,9.7500,9.7600,3117
2021-06-30,9.7650,9.7650,9.7650,9.7650,2578
2021-07-01,9.7500,9.7650,9.7000,9.7400,279297
2021-07-02,9.7200,9.7300,9.7199,9.7300,6203
2021-07-06,9.7300,9.7500,9.7200,9.7500,4783
2021-07-07,9.7300,9.7300,9.7200,9.7300,4100
2021-07-08,9.7400,10.4800,9.7400,10.2300,6615080
2021-07-09,10.6400,10.6900,10.2300,10.3000,6771511
2021-07-12,10.3900,10.3900,10.2300,10.2600,3686953
2021-07-13,10.2700,10.2700,10.0600,10.1500,2357693
2021-07-14,10.1200,10.1600,9.9900,10.0400,1630718
2021-07-15,10.0300,10.0400,9.9300,9.9900,1291619
2021-07-16,10.0400,10.0463,9.9700,10.0100,739701
2021-07-19,9.9500,10.0000,9.8900,9.9400,856369
2021-07-20,9.9800,10.0000,9.9000,9.9300,856565
2021-07-21,9.9700,10.0000,9.9100,9.9500,797999
2021-07-22,9.9800,10.0000,9.9300,9.9900,897066
2021-07-23,10.0000,10.0000,9.9500,10.0000,459487
2021-07-26,9.9900,10.0100,9.9300,9.9600,526870
2021-07-27,9.9800,9.9900,9.9200,9.9400,712132
2021-07-28,9.9600,9.9600,9.8500,9.9300,642209
2021-07-29,9.9300,9.9758,9.8700,9.9100,438542
2021-07-30,9.9000,9.9400,9.8900,9.9000,460823
2021-08-02,9.9400,9.9400,9.8600,9.9000,449238
2021-08-03,9.9000,9.9400,9.8800,9.9000,331747
2021-08-04,9.9100,9.9230,9.8900,9.8900,288155
2021-08-05,9.9000,9.9100,9.8700,9.8900,575920
2021-08-06,9.9000,9.9300,9.8800,9.8900,408575
2021-08-09,9.8900,9.9200,9.8700,9.9000,1017638
2021-08-10,9.9000,9.9200,9.8400,9.8800,1191260
2021-08-11,9.8668,9.8900,9.8400,9.8600,2860338
2021-08-12,9.9000,9.9000,9.8600,9.8800,626920
2021-08-13,9.8910,9.9100,9.8700,9.9100,1135994
2021-08-16,9.9100,9.9400,9.8400,9.8700,1617565
2021-08-17,9.8900,9.8900,9.8400,9.8700,608116
2021-08-18,9.8800,9.8800,9.8200,9.8400,714037
2021-08-19,9.8400,9.8600,9.8200,9.8300,502769
2021-08-20,9.8300,9.8500,9.8100,9.8200,523720
2021-08-23,9.8200,9.8200,9.7300,9.7600,1203854
2021-08-24,9.7500,9.7700,9.7500,9.7600,327771
2021-08-25,9.7600,9.7900,9.7500,9.7800,274391
2021-08-26,9.8100,9.9100,9.7700,9.8500,677329
2021-08-27,9.8500,9.8800,9.8200,9.8700,497221
2021-08-30,9.8500,9.8800,9.8100,9.8300,617145
2021-08-31,9.8400,9.9000,9.8200,9.8300,655506
2021-09-01,9.8000,9.8506,9.7600,9.8500,558128
2021-09-02,9.8500,9.8700,9.8200,9.8700,366363
2021-09-03,9.8600,9.9800,9.8500,9.9600,730502
2021-09-07,9.9800,10.0300,9.9699,10.0000,878511
2021-09-08,9.9900,10.0000,9.9600,9.9900,337369
2021-09-09,10.0000,10.0200,9.9500,10.0000,532780
2021-09-10,9.9500,10.0200,9.9500,10.0000,315120
2021-09-13,10.0300,10.0300,9.9500,9.9900,502730
2021-09-14,9.9800,9.9800,9.8600,9.8700,485939
2021-09-15,9.8800,9.9250,9.8700,9.9200,744917
2021-09-16,9.9200,9.9600,9.9100,9.9400,435801
2021-09-17,9.9200,9.9900,9.9100,9.9700,712163
2021-09-20,9.8800,9.9600,9.8624,9.9300,586508
2021-09-21,9.9500,9.9500,9.9000,9.9400,488582
2021-09-22,9.9500,9.9700,9.9000,9.9500,550433
2021-09-23,9.9200,9.9900,9.9200,9.9500,434050
2021-09-24,9.9700,9.9900,9.9600,9.9800,859023
2021-09-27,10.2400,10.5500,10.1800,10.4500,43271859
2021-09-28,10.4400,10.4900,10.2500,10.3100,7734448
2021-09-29,10.3300,10.4000,10.2300,10.3100,3176447
2021-09-30,10.2800,10.3000,10.2000,10.2200,3008838
2021-10-01,10.2400,10.2700,10.1500,10.2400,3312156
2021-10-04,10.2400,10.2600,10.1000,10.1700,2131613
2021-10-05,10.1700,10.1800,10.1300,10.1400,1280360
2021-10-06,10.1400,10.1700,10.1300,10.1400,2194909
2021-10-07,10.1500,10.1800,10.1250,10.1300,2341009
2021-10-08,10.1224,10.1900,10.1200,10.1500,2200174
2021-10-11,10.1400,10.1600,10.1000,10.1100,1148324
2021-10-12,10.1200,10.1300,10.0500,10.1100,1309139
2021-10-13,10.0900,10.1200,10.0600,10.0600,1345589
2021-10-14,10.0600,10.0700,10.0200,10.0600,1867654
2021-10-15,10.0700,10.1050,10.0100,10.0100,1898968
2021-10-18,10.0300,10.0300,10.0100,10.0100,1166589
2021-10-19,10.0100,10.0400,10.0100,10.0300,1184863
2021-10-20,10.0200,10.0870,10.0100,10.0500,2074445
2021-10-21,10.0400,10.2700,10.0050,10.2000,5362184
2021-10-22,10.2000,10.3000,10.0801,10.2200,2743074
