"MacroTrends Data Download"
"RACE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2015-10-21,57.9541,58.8910,53.1246,53.1246,22497204
2015-10-22,55.1240,56.2155,53.8007,54.8149,4544483
2015-10-23,55.8001,56.0223,54.3513,54.4575,1967749
2015-10-26,55.0564,55.0564,52.6754,53.1439,1466277
2015-10-27,52.9314,53.1149,47.6769,52.0138,5949011
2015-10-28,52.1780,52.3132,48.3917,50.1013,2411335
2015-10-29,50.1013,50.6809,49.0263,49.2803,1362776
2015-10-30,49.8019,50.0337,47.9667,48.7104,1355141
2015-11-02,49.1257,51.3570,48.1888,51.2701,890164
2015-11-03,51.2797,53.1246,50.3428,50.5939,1022909
2015-11-04,51.1541,52.1973,50.9513,51.6178,753333
2015-11-05,51.6274,52.0138,49.8502,49.9757,820228
2015-11-06,50.4201,50.6422,50.0337,50.6422,513473
2015-11-09,51.0189,51.8206,50.2269,51.3860,442763
2015-11-10,51.8689,52.1587,51.2797,52.1587,376897
2015-11-11,52.1587,52.6416,51.2218,52.4871,472541
2015-11-12,52.4774,52.5450,51.4439,52.2746,379346
2015-11-13,52.1104,52.1104,48.7973,49.6473,1337040
2015-11-16,50.1786,50.1786,47.1650,47.8218,1297619
2015-11-17,48.5655,49.0387,47.1457,47.3099,897287
2015-11-18,47.7059,47.7866,45.6002,45.6678,1102515
2015-11-19,45.8417,46.2280,44.2673,45.9769,2164214
2015-11-20,46.2377,46.8366,45.9963,46.4405,542692
2015-11-23,46.4599,46.6433,44.4122,44.4315,1389115
2015-11-24,44.4315,44.8758,43.1275,44.7019,1036697
2015-11-25,44.9144,45.2332,43.9485,44.1031,868893
2015-11-27,44.0354,44.8371,43.8519,44.4894,285304
2015-11-30,44.7212,45.2718,44.3156,44.7695,566401
2015-12-01,44.9144,46.6144,44.8565,46.0155,667107
2015-12-02,46.2474,46.4869,45.2525,45.6002,614830
2015-12-03,45.8224,46.2280,44.6729,45.4553,528504
2015-12-04,45.7258,47.1843,45.4843,46.8945,583181
2015-12-07,46.9911,48.6718,45.8900,46.3536,861394
2015-12-08,46.8366,47.3292,45.3974,45.9962,842515
2015-12-09,45.8224,47.7542,45.5326,46.1218,507606
2015-12-10,46.4309,47.6769,46.2474,47.3099,526825
2015-12-11,46.3729,47.5417,45.9706,47.1263,480320
2015-12-14,46.4116,47.0394,44.4315,45.3298,698837
2015-12-15,45.3298,47.4161,45.3008,45.9286,760842
2015-12-16,46.6724,47.3002,45.6776,46.8462,534452
2015-12-17,46.9911,47.3195,45.4167,45.8610,547134
2015-12-18,45.3587,45.8610,44.4315,44.7792,461167
2015-12-21,44.6729,46.1701,44.5184,45.7934,623108
2015-12-22,45.8610,47.0684,44.9724,45.0303,448854
2015-12-23,45.4360,46.3536,45.2139,45.4457,232171
2015-12-24,45.0303,45.8900,45.0207,45.1559,150583
2015-12-28,45.6775,45.8803,44.6971,44.8468,269347
2015-12-29,45.2428,46.4985,45.1124,46.2957,505537
2015-12-30,46.2957,46.8945,45.8803,46.7593,296968
2015-12-31,46.6144,47.2181,45.8127,46.3633,390523
2016-01-04,45.6775,46.1798,44.8275,45.7741,2507000
2016-01-05,46.9428,47.0684,45.8320,46.8366,1934423
2016-01-06,46.1218,46.2280,44.9917,45.4650,2555013
2016-01-07,44.8371,45.4746,44.5860,45.0593,1775301
2016-01-08,45.0110,45.0400,41.6400,41.6400,5116849
2016-01-11,41.7269,42.3644,40.6645,41.9008,2307651
2016-01-12,42.4514,42.5866,41.3985,42.1713,1933833
2016-01-13,41.9491,42.0940,40.7610,41.2150,1441197
2016-01-14,41.0218,41.1088,39.1866,40.5582,3631266
2016-01-15,39.0900,39.3508,38.3077,38.6554,1878269
2016-01-19,39.3025,40.8576,39.1770,40.2491,1396808
2016-01-20,39.5826,39.5826,37.0520,38.5395,2620799
2016-01-21,38.9065,39.4764,38.2594,39.1576,1573221
2016-01-22,39.8048,40.5630,39.6309,40.4230,1244007
2016-01-25,40.0559,40.1912,38.3752,38.8679,1388283
2016-01-26,38.9065,40.8673,38.8582,40.0366,967450
2016-01-27,39.9014,40.3843,39.1142,39.2253,1125069
2016-01-28,39.4281,39.5054,37.8247,38.5974,1155097
2016-01-29,38.1338,38.6940,37.6219,38.4139,1480501
2016-02-01,37.5929,38.6844,37.5253,38.5684,1185462
2016-02-02,38.4815,38.6361,32.8706,33.7872,7485135
2016-02-03,35.9702,36.2889,34.1446,35.8253,4631556
2016-02-04,35.0139,38.1241,34.7725,37.5543,1902698
2016-02-05,37.4094,37.4190,35.9170,36.4145,861393
2016-02-08,35.7770,35.8736,33.6713,34.7242,1537796
2016-02-09,33.2656,34.1833,32.4504,32.8020,1653293
2016-02-10,33.8355,33.8838,31.9520,32.1355,1481838
2016-02-11,31.1890,31.3725,30.5804,30.9088,1447647
2016-02-12,31.2373,33.1594,31.0731,32.9855,1950320
2016-02-16,33.4395,34.5793,32.9476,34.4344,1263451
2016-02-17,35.1298,37.9888,35.1202,37.7667,1762469
2016-02-18,37.4383,37.5736,36.7429,37.4383,1327771
2016-02-19,36.6077,37.4480,36.3952,37.1969,507425
2016-02-22,38.0758,38.7809,37.9116,38.5781,1045540
2016-02-23,37.9116,38.1038,37.3611,37.6122,578073
2016-02-24,35.9991,37.3321,35.9026,37.2548,583141
2016-02-25,36.9071,37.4673,36.6270,37.3804,376312
2016-02-26,37.4480,37.5349,36.9554,37.1486,381005
2016-02-29,37.1775,37.4094,36.6753,36.6849,488338
2016-03-01,37.4577,38.1434,37.1148,38.1434,678102
2016-03-02,37.7378,38.2304,37.5929,38.1917,338806
2016-03-03,37.7667,38.2787,37.6798,38.0565,386720
2016-03-04,37.9020,38.5684,37.6616,38.3849,404662
2016-03-07,37.7764,39.3615,37.7764,39.2156,971626
2016-03-08,40.5002,40.6065,39.6117,39.8145,944039
2016-03-09,40.2974,40.9156,39.9883,40.5968,483523
2016-03-10,40.5485,40.6693,39.4571,40.1525,643119
2016-03-11,40.6548,41.4565,40.5775,41.3116,564011
2016-03-14,41.1184,41.3502,40.5147,40.6065,724345
2016-03-15,40.0463,40.3747,39.6986,39.9980,307947
2016-03-16,39.7082,41.1281,39.6986,40.8190,494824
2016-03-17,41.0412,41.5338,40.7224,41.2537,271475
2016-03-18,41.2730,41.5917,40.9542,40.9542,491770
2016-03-21,40.9349,41.0508,40.5389,40.6065,338587
2016-03-22,40.2201,40.5679,40.0849,40.2395,271223
2016-03-23,40.2395,40.2395,39.2929,39.2929,225861
2016-03-24,38.8582,39.7951,38.7809,39.7468,218436
2016-03-28,39.6406,40.0753,39.1480,39.6986,205663
2016-03-29,39.4764,40.1332,39.3315,40.1042,312351
2016-03-30,40.6645,41.0508,40.4906,40.8673,463447
2016-03-31,40.1718,40.4326,39.9014,40.2781,344278
2016-04-01,39.3412,39.7758,39.2736,39.6503,425403
2016-04-04,39.8338,40.2878,39.6309,39.7468,1250133
2016-04-05,38.8389,39.1866,38.6844,38.8775,392147
2016-04-06,38.8196,40.2878,38.7423,39.9787,619156
2016-04-07,39.4861,39.7855,39.0031,39.2639,640511
2016-04-08,39.8531,40.0076,39.4378,39.7275,503636
2016-04-11,39.7662,40.4423,39.6841,39.9690,497138
2016-04-12,39.8338,40.0047,39.3605,39.9304,333473
2016-04-13,40.5099,40.5775,40.2008,40.5196,362686
2016-04-14,40.6258,41.4662,40.2974,41.0315,466399
2016-04-15,41.8332,42.4997,41.5821,42.4707,674598
2016-04-18,42.3355,42.6832,42.1713,42.4224,307281
2016-04-19,42.9247,43.3400,42.9247,43.2434,514935
2016-04-20,43.1372,43.2627,42.8474,42.9826,589599
2016-04-21,43.0695,43.0695,42.0892,42.1326,495576
2016-04-22,42.0167,42.0650,41.3696,41.5144,378840
2016-04-25,41.7656,41.8235,41.3117,41.4951,211647
2016-04-26,42.2485,42.6590,42.0554,42.5576,491647
2016-04-27,42.3258,42.6542,42.2292,42.4610,377728
2016-04-28,42.5576,43.9389,42.4514,43.4656,1041890
2016-04-29,43.8230,44.5474,43.3497,44.2866,1267304
2016-05-02,44.9144,44.9627,42.0650,43.0116,1323326
2016-05-03,42.3548,42.5905,42.1616,42.4514,450630
2016-05-04,42.6252,43.0889,42.3934,42.4321,614434
2016-05-05,42.2968,42.2968,41.1184,41.4662,682071
2016-05-06,41.5724,42.2002,41.4565,41.7559,472192
2016-05-09,41.6207,41.6883,41.2730,41.4565,299432
2016-05-10,41.7076,42.0409,41.6980,41.9491,501072
2016-05-11,41.7076,42.1423,41.6207,41.6883,383251
2016-05-12,42.0457,42.1519,41.3309,41.6593,307944
2016-05-13,42.0843,42.9633,42.0747,42.1616,613182
2016-05-16,42.2389,42.5190,42.0457,42.1326,446321
2016-05-17,41.3213,41.4275,40.5775,40.6451,454813
2016-05-18,40.6838,41.2440,40.2395,40.4133,416209
2016-05-19,40.3071,40.3747,38.7423,39.1383,1007557
2016-05-20,39.7951,39.9110,39.3701,39.6309,355608
2016-05-23,39.0997,39.3508,38.6844,38.7326,245710
2016-05-24,39.5440,40.1042,39.4764,39.9207,728338
2016-05-25,40.7804,40.9059,40.3940,40.5679,389568
2016-05-26,40.6741,40.8576,40.2491,40.4713,209710
2016-05-27,40.6162,40.6741,40.1333,40.5485,212165
2016-05-31,40.9446,41.2150,40.8093,40.9832,440880
2016-06-01,40.9059,41.1667,40.6258,41.0894,562574
2016-06-02,41.2537,42.0554,41.1281,42.0457,496501
2016-06-03,41.5338,41.7656,41.2923,41.7076,614508
2016-06-06,41.1957,41.7076,41.1764,41.5144,351496
2016-06-07,42.0554,42.9150,42.0554,42.7894,494700
2016-06-08,42.4803,42.6928,42.1423,42.2099,184858
2016-06-09,41.6786,42.2002,41.6304,42.0167,330717
2016-06-10,40.7127,40.8383,40.4423,40.7224,665700
2016-06-13,39.5730,40.1139,39.5150,39.9690,885269
2016-06-14,39.5537,39.8434,39.5150,39.7468,367114
2016-06-15,39.4378,40.6258,39.4378,40.2298,425905
2016-06-16,39.1866,40.0463,39.0224,39.9883,522942
2016-06-17,40.1815,40.9156,40.1429,40.7031,267958
2016-06-20,41.9394,42.0360,41.5144,41.5434,436099
2016-06-21,41.8911,41.9008,41.0218,41.1474,259513
2016-06-22,41.6400,41.7269,40.6838,40.7321,523819
2016-06-23,42.0554,42.3008,41.6497,42.2872,479108
2016-06-24,39.2832,39.9400,39.1190,39.2059,1137069
2016-06-27,38.3559,38.3559,37.3900,37.5543,1103649
2016-06-28,38.6554,39.2542,38.3753,38.7326,671902
2016-06-29,38.5588,39.0514,38.4299,38.7230,865364
2016-06-30,39.0031,39.6213,38.6844,39.5343,516279
2016-07-01,40.2878,40.4229,39.8434,40.0656,322757
2016-07-05,39.5343,39.5730,38.4429,38.6264,597893
2016-07-06,37.5736,38.7326,37.4770,38.7230,767228
2016-07-07,38.4429,38.8582,38.1434,38.1917,475573
2016-07-08,39.5633,40.5292,39.3508,39.8434,697794
2016-07-11,40.8963,40.9156,40.5389,40.5968,433237
2016-07-12,41.3792,41.5047,41.1088,41.1184,339821
2016-07-13,41.2440,41.2730,40.4520,40.6451,327062
2016-07-14,41.2537,41.5241,41.0991,41.3502,230180
2016-07-15,41.0894,41.1377,40.9059,40.9252,127029
2016-07-18,40.8383,41.2150,40.6258,40.7707,444561
2016-07-19,40.3843,40.9059,40.3554,40.7031,209954
2016-07-20,40.8480,40.9059,40.5688,40.7031,249396
2016-07-21,40.8190,41.3845,40.8093,41.2247,529281
2016-07-22,41.3599,41.5338,41.2054,41.4565,234614
2016-07-25,41.7076,42.1326,41.4758,41.9877,347536
2016-07-26,41.7849,42.3644,41.7849,42.1133,214793
2016-07-27,43.2820,43.4656,42.9247,43.2434,626679
2016-07-28,43.2338,43.2434,42.1713,42.6832,515170
2016-07-29,43.5139,43.6394,43.1468,43.6298,748436
2016-08-01,43.4945,44.2576,43.3207,44.2190,961540
2016-08-02,44.0451,45.4746,43.4656,44.9241,1898587
2016-08-03,44.8468,45.6195,44.7985,45.2911,777912
2016-08-04,45.1173,45.4360,44.7937,45.0690,493937
2016-08-05,45.3974,45.4843,45.2042,45.2815,316502
2016-08-08,45.7741,45.9286,45.4746,45.8320,1460529
2016-08-09,45.8996,46.1894,45.6002,45.8417,406562
2016-08-10,46.2957,46.4792,46.1121,46.3150,356485
2016-08-11,46.4309,46.5661,46.1894,46.4116,212510
2016-08-12,46.7110,46.9428,46.6144,46.7593,313003
2016-08-15,46.7593,47.0394,46.7593,47.0201,150107
2016-08-16,46.2474,46.4792,45.9479,46.2957,331579
2016-08-17,45.9962,46.7400,45.9479,46.7303,505386
2016-08-18,46.4212,47.0008,46.3246,47.0008,340728
2016-08-19,45.8127,46.7496,45.7354,46.7496,609263
2016-08-22,46.1315,46.9042,46.1025,46.7593,470618
2016-08-23,47.2133,47.4354,46.9814,47.4354,498224
2016-08-24,46.8462,46.9911,46.7207,46.8752,305093
2016-08-25,46.4019,46.7786,46.4019,46.7496,246672
2016-08-26,46.7013,47.2712,46.6144,47.0780,884499
2016-08-29,46.7496,47.1167,46.5082,47.0104,331029
2016-08-30,46.7400,46.9428,46.7013,46.8945,392828
2016-08-31,46.5468,46.8366,46.3246,46.4985,729173
2016-09-01,46.6241,46.9332,46.2957,46.6724,305924
2016-09-02,46.6047,46.9332,46.4212,46.8462,428295
2016-09-06,46.6047,47.0587,46.6047,47.0104,364210
2016-09-07,47.8604,48.3820,47.6189,48.0633,389433
2016-09-08,47.4258,48.0150,47.2712,47.7831,368919
2016-09-09,47.5417,47.6093,46.5565,46.5565,486834
2016-09-12,45.7451,47.0925,45.6871,46.9814,377719
2016-09-13,46.4695,46.7207,45.8030,45.9576,278283
2016-09-14,45.8996,46.2280,45.7837,45.8513,161366
2016-09-15,45.3491,46.3440,45.2911,46.2184,219052
2016-09-16,44.9627,45.2042,44.8082,45.0593,485122
2016-09-19,45.9383,46.2957,45.8900,46.1025,204864
2016-09-20,45.8707,46.0155,45.6485,45.9479,202902
2016-09-21,46.8945,47.4837,46.6530,47.4258,472640
2016-09-22,48.7104,48.8939,48.4979,48.8070,684575
2016-09-23,48.9229,49.2223,48.4593,48.5076,472294
2016-09-26,48.5655,48.6718,48.3530,48.6235,351977
2016-09-27,48.3723,48.9229,48.1651,48.4110,353432
2016-09-28,48.9229,49.7826,48.8650,49.7343,730993
2016-09-29,49.7343,49.8405,48.7104,49.0388,331744
2016-09-30,49.6667,50.4007,49.4155,50.1013,699875
2016-10-03,50.1496,50.3331,49.9854,50.2848,347819
2016-10-04,50.7581,51.1638,50.4539,50.8740,425454
2016-10-05,51.4922,51.8303,51.1928,51.8110,647048
2016-10-06,51.4729,51.6661,51.2990,51.3377,436735
2016-10-07,51.5019,51.7337,51.3183,51.6661,339039
2016-10-10,52.3325,52.4774,51.8013,52.0041,239974
2016-10-11,51.5985,51.7144,51.1252,51.5019,327052
2016-10-12,51.2894,51.7530,51.1155,51.6854,564695
2016-10-13,51.0865,51.3183,50.6036,50.7195,1170064
2016-10-14,51.0479,51.2024,50.8354,50.9223,818621
2016-10-17,50.9513,50.9610,50.3138,50.4297,361217
2016-10-18,50.9320,50.9706,50.1689,50.6132,365653
2016-10-19,50.2365,50.8933,50.1786,50.7581,204766
2016-10-20,50.6905,51.1445,50.5939,50.9803,216244
2016-10-21,50.2462,50.8064,50.2172,50.8064,155138
2016-10-24,51.0286,51.5308,51.0189,51.4343,364106
2016-10-25,51.1831,51.2411,50.7871,51.2024,269194
2016-10-26,50.9899,51.4729,50.8547,51.2990,323003
2016-10-27,51.3087,51.3473,50.9513,51.1928,217379
2016-10-28,50.8354,51.3763,50.7485,51.0672,231152
2016-10-31,50.9320,51.0382,50.4780,50.9706,213593
2016-11-01,51.2797,51.2894,49.2803,49.5604,520710
2016-11-02,49.3962,49.9468,49.1644,49.5604,418889
2016-11-03,49.2320,49.5894,48.7394,48.7780,352697
2016-11-04,48.7104,49.6860,48.6718,49.3286,554062
2016-11-07,51.6950,53.1149,51.2990,53.0183,896755
2016-11-08,52.5740,52.9024,52.3036,52.5644,837010
2016-11-09,52.1490,52.4485,51.8593,52.3615,641851
2016-11-10,51.6371,52.3615,51.0286,51.7047,750832
2016-11-11,51.5598,53.0183,51.3666,52.6127,942041
