"MacroTrends Data Download"
"RAVE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1993-09-01,4.5337,4.7397,3.9154,4.2245,108500
1993-09-02,4.2245,4.2245,4.0185,4.2245,84600
1993-09-03,4.2245,4.3276,4.0704,4.3276,26500
1993-09-07,4.3276,4.3276,3.9154,3.9154,49100
1993-09-08,3.9154,3.9154,3.7094,3.7094,117400
1993-09-09,3.7094,3.7094,3.5033,3.7094,66700
1993-09-10,3.7094,3.7094,3.5033,3.5033,4200
1993-09-13,3.5033,3.7094,3.5033,3.7094,21800
1993-09-14,3.7094,3.7094,3.4002,3.6063,35100
1993-09-15,3.4002,3.6063,3.4002,3.4002,16400
1993-09-16,3.5033,3.6063,3.4002,3.6063,6900
1993-09-17,3.5033,3.7094,3.5033,3.7094,4000
1993-09-20,3.7094,3.7094,3.4002,3.5033,14600
1993-09-21,3.7094,3.8124,3.5552,3.5552,80800
1993-09-22,3.7094,3.7094,3.4522,3.6063,21100
1993-09-23,3.4522,3.6063,3.4002,3.5033,38500
1993-09-24,3.4522,3.5552,3.4522,3.5552,29200
1993-09-27,3.4002,3.5552,3.2972,3.2972,58000
1993-09-28,3.3491,3.4002,3.0400,3.3491,177000
1993-09-29,3.4002,3.4002,3.1942,3.4002,61700
1993-09-30,3.4002,3.4002,3.2972,3.2972,34400
1993-10-01,3.5033,3.6582,3.4002,3.4522,211000
1993-10-04,3.5033,3.5033,3.4002,3.5033,77800
1993-10-05,3.5033,3.6582,3.4522,3.5552,218100
1993-10-06,3.5552,3.6063,3.5033,3.5552,31000
1993-10-07,3.5552,3.7094,3.5033,3.5033,21200
1993-10-08,3.5033,3.6582,3.5033,3.6582,12400
1993-10-11,3.5033,3.5033,3.3491,3.5033,36500
1993-10-12,3.4002,3.4522,3.3491,3.4522,28800
1993-10-13,3.4002,3.4522,3.3491,3.4522,13300
1993-10-14,3.4522,3.4522,3.3491,3.3491,23800
1993-10-15,3.4522,3.4522,3.4002,3.4002,95700
1993-10-18,3.4002,3.4522,3.2972,3.3491,53500
1993-10-19,3.2972,3.4002,3.2972,3.2972,32700
1993-10-20,3.3491,3.3491,3.1942,3.1942,27200
1993-10-21,3.2972,3.2972,3.0911,3.2972,89100
1993-10-22,3.2972,3.2972,3.0911,3.1942,76400
1993-10-25,3.1942,3.1942,3.1431,3.1942,23000
1993-10-26,3.1431,3.1431,2.9881,3.0911,123500
1993-10-27,3.0400,3.1431,3.0400,3.0400,45400
1993-10-28,3.0400,3.1942,3.0400,3.1942,31500
1993-10-29,3.1942,3.4522,3.1431,3.4522,49700
1993-11-01,3.2461,3.4522,3.2461,3.2461,60000
1993-11-02,3.3228,3.4522,3.2972,3.4522,56700
1993-11-03,3.4258,3.5033,3.4002,3.4258,56400
1993-11-04,3.4258,3.5033,3.4002,3.4002,21800
1993-11-05,3.4002,3.5033,3.4002,3.4522,8700
1993-11-08,3.4002,3.5033,3.3491,3.3491,20500
1993-11-09,3.3491,3.4002,3.1942,3.1942,22300
1993-11-10,3.4002,3.5033,3.1942,3.4002,72400
1993-11-11,3.5033,3.6063,3.4002,3.6063,158000
1993-11-12,3.5033,3.7094,3.4522,3.5552,126400
1993-11-15,3.5552,3.5552,3.5033,3.5552,19800
1993-11-16,3.6063,3.6063,3.5033,3.5033,38700
1993-11-17,3.6063,3.6063,3.4522,3.6063,81500
1993-11-18,3.6063,3.7094,3.5552,3.5552,56400
1993-11-19,3.6063,3.7094,3.6063,3.6063,65900
1993-11-22,3.7094,3.7094,3.4522,3.4522,40300
1993-11-23,3.6063,3.6063,3.4522,3.5552,55900
1993-11-24,3.5552,3.5552,3.4522,3.4522,24100
1993-11-26,3.5033,3.5033,3.4522,3.4522,8100
1993-11-29,3.5033,3.5033,3.4522,3.5033,5100
1993-11-30,3.5033,3.5552,3.4522,3.5552,29400
1993-12-01,3.5552,3.5552,3.4522,3.5033,45400
1993-12-02,3.5552,3.6063,3.5033,3.5033,24400
1993-12-03,3.6063,3.6063,3.4522,3.5033,22700
1993-12-06,3.4522,3.5552,3.4522,3.5552,20100
1993-12-07,3.4522,3.5552,3.4522,3.4777,15700
1993-12-08,3.4522,3.5552,3.4522,3.5552,3000
1993-12-09,3.5552,3.5552,3.4002,3.5033,24300
1993-12-10,3.4002,3.5033,3.4002,3.4002,13800
1993-12-13,3.5033,3.5033,3.2461,3.4002,42900
1993-12-14,3.2461,3.4002,3.2461,3.3491,16200
1993-12-15,3.4002,3.4002,3.2461,3.2972,5200
1993-12-16,3.2461,3.2461,3.2461,3.2461,9800
1993-12-17,3.3491,3.3491,3.1942,3.1942,21000
1993-12-20,3.2461,3.3491,3.1942,3.2972,27800
1993-12-21,3.2972,3.2972,3.1942,3.2461,50500
1993-12-22,3.2461,3.2972,3.2461,3.2461,57500
1993-12-23,3.2461,3.2972,3.2461,3.2461,5400
1993-12-27,3.2461,3.2972,3.2461,3.2461,91300
1993-12-28,3.2972,3.2972,3.1942,3.2197,50900
1993-12-29,3.2972,3.2972,3.1942,3.2972,8600
1993-12-30,3.2972,3.2972,3.1942,3.2972,11600
1993-12-31,3.2717,3.5033,3.2717,3.3491,80400
1994-01-03,3.4002,3.6063,3.4002,3.6063,88300
1994-01-04,3.5552,3.8124,3.5552,3.6582,202800
1994-01-05,3.8124,3.8124,3.5552,3.6582,23400
1994-01-06,3.5552,3.7094,3.5552,3.7094,9500
1994-01-07,3.7094,3.7094,3.5552,3.6063,56700
1994-01-10,3.6582,3.7094,3.6063,3.6582,33500
1994-01-11,3.6582,3.8124,3.6063,3.8124,87400
1994-01-12,3.8124,4.1215,3.7613,4.0185,75400
1994-01-13,4.0704,4.0704,3.7613,3.9674,131700
1994-01-14,3.9674,4.0185,3.9154,3.9154,113000
1994-01-17,3.9674,3.9674,3.8643,3.9674,69900
1994-01-18,3.9154,3.9674,3.8124,3.9154,75300
1994-01-19,3.9154,3.9674,3.6063,3.6063,109000
1994-01-20,3.7094,3.7094,3.4002,3.7094,97500
1994-01-21,3.7094,3.7094,3.5033,3.5552,88100
1994-01-24,3.7613,3.8643,3.7094,3.8124,174500
1994-01-25,3.8643,3.9154,3.8124,3.9154,95300
1994-01-26,4.0185,4.0704,3.9154,3.9154,177400
1994-01-27,4.0185,4.1215,3.9410,4.1215,109900
1994-01-28,4.1215,4.1215,3.9154,4.0704,360000
1994-01-31,4.0704,4.0704,3.9154,3.9674,17700
1994-02-01,4.0704,4.0704,3.8643,4.0185,63300
1994-02-02,4.0185,4.0185,3.9154,3.9154,20200
1994-02-03,3.9154,4.0185,3.9154,3.9674,24700
1994-02-04,4.0185,4.0185,3.8124,3.8124,66600
1994-02-07,3.8124,3.9674,3.7613,3.9154,27600
1994-02-08,3.9154,3.9154,3.7613,3.9154,29100
1994-02-09,3.9154,3.9154,3.7613,3.8124,13000
1994-02-10,3.8643,3.8643,3.7613,3.8124,17000
1994-02-11,3.8643,3.9674,3.8124,3.8124,36300
1994-02-14,3.9154,3.9154,3.8124,3.9154,15200
1994-02-15,3.9154,4.0185,3.8124,3.8643,17300
1994-02-16,3.8643,4.0185,3.8124,3.8124,37100
1994-02-17,3.9154,4.0185,3.7094,3.8124,82600
1994-02-18,3.8124,3.9154,3.7613,3.7613,16200
1994-02-22,3.9154,3.9154,3.7094,3.7613,25900
1994-02-23,3.7613,3.8643,3.7613,3.7613,3300
1994-02-24,3.8643,3.8643,3.7613,3.8124,19500
1994-02-25,3.7613,3.7613,3.6063,3.7094,32400
1994-02-28,3.7613,3.8124,3.6582,3.8124,9500
1994-03-01,3.6582,3.8124,3.6063,3.6063,35400
1994-03-02,3.7094,3.7094,3.6063,3.6063,14400
1994-03-03,3.6063,3.7094,3.5552,3.6063,60000
1994-03-04,3.6063,3.6063,3.5033,3.5033,19900
1994-03-07,3.6063,3.6063,3.5033,3.6063,11100
1994-03-08,3.6063,3.6063,3.4522,3.5033,41100
1994-03-09,3.5033,3.6063,3.4522,3.6063,19300
