"MacroTrends Data Download"
"RENT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-10-27,23.0000,24.7700,18.7500,19.2900,9131614
2021-10-28,19.6100,19.6799,18.8500,18.8500,1743413
2021-10-29,18.7300,19.2500,17.0200,17.2500,1686972
2021-11-01,17.4900,17.6099,16.5000,16.8500,1201522
2021-11-02,17.7500,17.7500,16.0000,16.0100,1142996
2021-11-03,16.0600,16.1500,15.0585,15.8700,1029584
2021-11-04,15.5200,16.2812,15.5200,16.0300,462233
2021-11-05,16.3300,16.7200,16.0192,16.6400,756235
2021-11-08,16.5000,18.0600,16.2600,17.8300,598581
2021-11-09,18.1200,18.6100,17.1300,18.1800,851779
2021-11-10,18.6000,18.6000,16.5100,17.0900,2438975
2021-11-11,17.1000,18.3600,17.0300,17.9400,574798
2021-11-12,18.0800,18.3900,17.0000,17.0600,509395
2021-11-15,17.0600,17.6100,16.0000,16.0400,771586
2021-11-16,16.0000,16.4850,15.4900,15.5800,475142
2021-11-17,15.5900,16.4900,15.3500,16.4000,411306
2021-11-18,16.1700,16.9500,16.0300,16.3200,354744
2021-11-19,16.5200,16.8900,16.0000,16.2000,391761
2021-11-22,17.4000,18.4600,15.7800,15.9200,1770736
2021-11-23,16.0000,16.9900,15.0000,15.0000,1285207
2021-11-24,15.0000,16.3800,14.5200,15.8200,931901
2021-11-26,15.5000,16.0000,15.1400,15.8800,438078
2021-11-29,15.7400,15.8800,14.3600,14.6000,938794
2021-11-30,14.5700,14.7900,13.0000,13.5200,754391
2021-12-01,14.0000,14.0000,12.1500,12.2500,1204483
2021-12-02,12.1600,12.6200,12.0100,12.5800,877294
2021-12-03,12.9800,13.0000,11.5000,12.1300,1142768
2021-12-06,12.2500,12.3500,10.8800,10.9900,1415544
2021-12-07,11.6100,13.3700,11.1200,12.8100,1528914
2021-12-08,12.5000,13.2399,11.3000,11.5000,2480917
2021-12-09,10.4000,11.1800,9.8101,11.0200,2554752
2021-12-10,11.0000,11.2650,9.5000,10.1100,1685879
2021-12-13,10.1900,10.4100,9.5600,9.6800,945474
2021-12-14,9.7000,10.1494,9.4700,9.8000,1109999
2021-12-15,9.6800,9.9900,8.9100,9.9100,1986638
2021-12-16,9.8900,10.7400,8.8000,8.8900,1703522
2021-12-17,8.9100,9.0500,8.0600,8.6400,4663227
2021-12-20,8.6400,9.1800,8.4600,8.6900,915908
2021-12-21,8.9000,9.2000,8.6800,8.8600,582619
2021-12-22,8.8500,9.1200,8.3000,8.4000,559002
2021-12-23,8.4600,9.2450,8.2411,8.8000,787966
2021-12-27,8.8100,9.2000,8.6000,8.9400,394904
2021-12-28,8.9400,9.1900,7.8700,8.0400,1136189
2021-12-29,8.0400,8.3600,7.6900,8.2900,701400
2021-12-30,8.1200,8.7500,8.1200,8.3800,579898
2021-12-31,8.3600,8.6600,8.0800,8.1500,449008
2022-01-03,8.3000,8.5100,7.9000,8.4000,483227
2022-01-04,8.4000,8.5000,7.5800,7.9400,847893
2022-01-05,7.8700,8.1500,7.0700,7.3100,1040471
2022-01-06,7.2500,7.5800,6.9100,7.4200,1054727
2022-01-07,7.4600,7.5000,6.5550,6.6200,1189568
2022-01-10,6.5200,6.6800,6.0947,6.6600,1875451
2022-01-11,6.5500,6.9000,6.3600,6.7000,1098410
2022-01-12,6.8000,6.9600,6.3700,6.3800,605106
2022-01-13,6.3800,6.5100,5.6900,5.7100,724665
2022-01-14,5.6500,5.7950,5.2450,5.4300,1101838
2022-01-18,5.3700,5.4900,5.0100,5.0500,1213563
2022-01-19,5.1900,5.5400,5.0100,5.2100,1028875
2022-01-20,5.2400,5.6400,4.9600,5.0100,703434
2022-01-21,4.9700,5.1100,4.6500,4.7300,1095899
2022-01-24,4.6100,5.3900,4.3700,5.3500,1862611
2022-01-25,5.1900,5.4900,5.0700,5.1900,774568
2022-01-26,5.3400,5.6000,4.9200,5.0400,953226
2022-01-27,5.0800,5.3300,4.8300,4.8700,709526
2022-01-28,4.8800,5.1900,4.6400,5.1800,717655
2022-01-31,5.1700,6.0200,5.1200,5.7700,1216541
2022-02-01,5.9200,5.9500,5.4600,5.9200,1082071
2022-02-02,5.9300,5.9300,4.9800,5.1000,1481257
2022-02-03,4.9900,5.3900,4.9303,4.9900,736688
2022-02-04,5.0300,5.5000,4.7100,5.4300,1102943
2022-02-07,5.4800,5.8240,5.3500,5.5900,727630
2022-02-08,5.5500,6.1100,5.4000,6.0600,459856
2022-02-09,6.2700,6.3200,5.9200,6.1100,431476
2022-02-10,5.9500,6.5300,5.8300,6.0100,761096
2022-02-11,6.0000,6.1963,5.6000,5.8000,518924
2022-02-14,5.7000,6.0650,5.7000,5.7900,227570
2022-02-15,5.9100,6.3200,5.8500,6.1900,380832
2022-02-16,6.1900,6.2000,5.5000,5.5500,663226
2022-02-17,5.5800,5.8200,5.5700,5.7950,435174
2022-02-18,5.7000,5.7700,5.5600,5.5600,588618
2022-02-22,5.6400,5.7600,5.2400,5.4400,388660
2022-02-23,5.5100,5.6800,5.3000,5.3800,328067
2022-02-24,4.9900,5.9400,4.9800,5.9000,536061
2022-02-25,5.9500,6.1800,5.6578,6.1200,508623
2022-02-28,6.1200,6.2800,5.9500,6.0700,308324
2022-03-01,6.0200,6.1500,5.6800,5.7600,308552
2022-03-02,5.7400,6.0500,5.5600,5.7700,365704
2022-03-03,5.8300,5.8300,5.4400,5.4900,274715
2022-03-04,5.4600,5.5300,5.2100,5.2400,237643
2022-03-07,5.2200,5.4700,5.0600,5.1800,612362
2022-03-08,5.2000,5.5900,5.0400,5.2900,378436
2022-03-09,5.3600,5.6200,5.2500,5.4800,308043
2022-03-10,5.4000,5.4200,5.1350,5.3700,312838
2022-03-11,5.4200,5.4700,5.1200,5.1700,214639
2022-03-14,5.1400,5.1900,4.8000,4.9000,410343
2022-03-15,4.9900,5.3600,4.8600,5.2200,291341
2022-03-16,5.3300,5.5000,5.2000,5.3700,366039
2022-03-17,5.2700,5.6800,5.2500,5.6600,586916
2022-03-18,5.8700,7.4900,5.8200,6.7500,2780088
2022-03-21,6.8000,6.8000,5.9000,6.0200,846802
2022-03-22,6.0100,6.8100,6.0100,6.7700,667522
2022-03-23,6.4000,6.6981,6.2600,6.4900,566238
2022-03-24,6.5200,6.6000,5.8250,5.9900,978264
2022-03-25,6.1900,6.2000,5.9100,6.1400,545614
2022-03-28,6.1500,6.4800,6.0200,6.4300,745633
2022-03-29,6.5700,6.8400,6.2200,6.6500,791347
2022-03-30,6.6200,7.1000,6.5100,6.7400,638089
2022-03-31,6.7700,6.9300,6.4000,6.8900,639611
2022-04-01,7.0000,7.0000,6.2900,6.5200,912990
2022-04-04,6.5100,7.1000,6.3200,6.8500,808905
2022-04-05,6.8800,6.9500,6.2500,6.2700,769478
2022-04-06,6.1300,6.1300,5.3700,5.6800,1522933
2022-04-07,5.7300,5.7490,5.1800,5.5100,672098
2022-04-08,5.4400,5.6050,5.2100,5.4200,972713
2022-04-11,5.4200,5.4200,5.1200,5.2000,612474
2022-04-12,5.2800,5.7400,5.2322,5.3600,876906
2022-04-13,5.4700,5.8400,5.2400,5.7200,2017948
2022-04-14,5.6700,5.8800,5.3600,5.7200,2022859
2022-04-18,5.7000,5.7900,5.3800,5.6500,1445770
2022-04-19,5.6800,5.9400,5.5000,5.9000,887801
2022-04-20,5.9500,6.1100,5.6000,5.7500,639580
2022-04-21,5.8200,6.1000,5.4800,5.6800,594370
2022-04-22,5.6000,5.7900,5.4700,5.5500,764086
2022-04-25,5.4700,6.0500,5.4700,5.8700,986154
2022-04-26,5.8300,6.2100,5.7400,5.8900,659707
2022-04-27,5.9000,6.2000,5.8250,6.1100,739120
2022-04-28,6.2600,6.4900,6.0100,6.4500,764545
2022-04-29,6.3300,6.7200,6.2700,6.3400,775099
2022-05-02,6.2700,6.4500,6.1000,6.4300,864731
2022-05-03,6.4700,6.5700,6.1400,6.3700,930273
2022-05-04,6.4100,6.7100,6.1200,6.6400,917984
2022-05-05,6.6000,6.6600,6.2600,6.3800,651773
2022-05-06,6.2900,6.3800,5.9900,6.1000,1051875
2022-05-09,5.9100,6.3100,5.4900,5.6200,1373386
2022-05-10,5.8000,5.9200,5.4900,5.5700,810725
2022-05-11,5.4600,5.5900,4.9400,4.9800,1310762
2022-05-12,4.8300,4.8800,4.0600,4.1400,2298186
2022-05-13,4.4400,4.4490,4.0050,4.0700,1123669
2022-05-16,4.0000,4.0800,3.6900,3.9600,1568243
2022-05-17,4.0800,4.2350,3.9600,4.1800,903105
2022-05-18,3.7900,4.2300,3.7900,4.2100,1214093
2022-05-19,4.1600,4.3000,4.0000,4.2000,1675848
2022-05-20,4.2300,4.3000,3.7100,3.8600,1488787
2022-05-23,3.8600,3.9200,3.5300,3.7000,1401685
2022-05-24,3.6000,3.6200,3.2300,3.2600,1095088
2022-05-25,3.2000,3.5100,3.2000,3.4900,749979
2022-05-26,3.5000,3.7350,3.4600,3.6800,1651407
2022-05-27,3.7500,4.4300,3.7500,4.4000,1658306
2022-05-31,4.4400,4.5100,4.2700,4.3300,677239
2022-06-01,4.3700,4.3948,4.0500,4.0600,445893
2022-06-02,4.0400,4.5400,4.0400,4.4900,589238
2022-06-03,4.3700,4.4600,4.2300,4.4200,620665
2022-06-06,4.5200,4.5700,4.3700,4.4500,822145
2022-06-07,4.3000,4.3100,3.8400,4.0600,1193398
2022-06-08,4.0200,4.0820,3.6100,3.7300,1871316
2022-06-09,3.8300,3.8300,3.3600,3.5300,2196950
2022-06-10,3.6900,4.2400,3.3400,3.3900,8394521
2022-06-13,3.1900,3.3483,3.0500,3.1400,1212487
2022-06-14,3.2800,3.3400,3.1300,3.2200,1125216
2022-06-15,3.2700,3.4800,3.2300,3.3600,2043136
2022-06-16,3.3000,3.3046,3.0200,3.1100,1380150
2022-06-17,3.1200,3.2400,3.0000,3.2100,1330150
2022-06-21,3.2700,3.5700,3.2700,3.3600,964809
2022-06-22,3.3400,3.5099,3.3049,3.3900,680543
2022-06-23,3.4000,3.6000,3.3700,3.4900,690329
2022-06-24,3.5100,3.9100,3.4500,3.8500,4299267
2022-06-27,3.8600,3.9700,3.4800,3.4800,838194
2022-06-28,3.5500,3.6000,3.2900,3.2900,643328
2022-06-29,3.3000,3.3850,3.2000,3.2900,437460
2022-06-30,3.3800,3.3800,3.0400,3.0700,883718
2022-07-01,3.0600,3.1800,3.0100,3.1100,618869
2022-07-05,3.0700,3.5000,2.9900,3.4100,885651
2022-07-06,3.4200,3.5600,3.3404,3.5200,438895
2022-07-07,3.5500,3.7800,3.4400,3.7500,733853
2022-07-08,3.6700,3.9950,3.6600,3.9100,737396
2022-07-11,3.8000,3.8900,3.6100,3.7300,566152
2022-07-12,3.7200,3.9400,3.7200,3.9300,608100
2022-07-13,3.7900,3.9000,3.5500,3.5500,496373
2022-07-14,3.4800,3.6000,3.4200,3.4900,416204
2022-07-15,3.5600,3.7600,3.4000,3.7300,698159
2022-07-18,3.8000,3.9700,3.7900,3.8300,664967
2022-07-19,3.9300,4.4800,3.9300,4.4100,1367151
2022-07-20,4.3700,4.9300,4.2000,4.5700,941264
2022-07-21,4.6000,4.6300,4.3000,4.6300,502149
2022-07-22,4.6400,4.6400,4.1550,4.2100,483602
2022-07-25,4.2100,4.2600,4.0411,4.1900,310414
2022-07-26,4.0900,4.1900,3.8050,4.0500,404657
2022-07-27,4.1300,4.3900,4.1200,4.3300,712459
2022-07-28,4.3300,4.4400,4.1200,4.4200,343866
2022-07-29,4.4300,4.9000,4.3500,4.4400,687871
2022-08-01,4.4300,4.7300,4.3900,4.5800,588311
2022-08-02,4.5000,4.6500,4.4802,4.5900,375328
2022-08-03,4.7000,4.9600,4.6700,4.7200,364359
2022-08-04,4.6500,4.7600,4.5200,4.6300,739073
2022-08-05,4.7600,4.7600,4.4900,4.6900,517438
2022-08-08,4.7900,5.4000,4.6800,5.3400,1041800
2022-08-09,5.2300,5.3100,4.9900,5.1300,1484557
2022-08-10,5.3000,5.3200,5.0000,5.2100,458422
2022-08-11,5.3400,5.6800,5.2500,5.3100,668811
2022-08-12,5.3800,5.3800,5.2000,5.2900,489179
2022-08-15,5.2400,5.3100,5.0600,5.1600,484181
2022-08-16,5.1000,5.6600,4.8100,5.4800,1409421
2022-08-17,5.3300,5.4500,5.1100,5.1600,753485
2022-08-18,5.1400,5.4200,4.9590,5.3900,430221
2022-08-19,5.2100,5.2700,5.0601,5.2400,727623
2022-08-22,5.0700,5.3700,5.0500,5.3400,1095795
2022-08-23,5.3100,5.7100,5.3100,5.5300,1174544
2022-08-24,5.5400,5.7400,5.4800,5.5000,339871
2022-08-25,5.5400,5.7400,5.4600,5.7100,427121
2022-08-26,5.7000,5.7400,5.2300,5.2600,558222
2022-08-29,5.2200,5.3600,4.9900,5.0200,492135
2022-08-30,5.0500,5.1300,4.5600,4.7000,721715
2022-08-31,4.7500,4.7500,4.3950,4.4500,679691
2022-09-01,4.4100,4.4200,4.1500,4.1900,605017
2022-09-02,4.3200,4.3200,3.8200,3.8700,1056126
2022-09-06,3.9900,3.9900,3.7500,3.7900,645612
2022-09-07,3.8400,4.0500,3.7700,4.0300,445999
2022-09-08,3.9700,4.2700,3.9200,4.2400,652735
2022-09-09,4.3100,4.5200,4.3100,4.4800,396026
2022-09-12,4.5300,5.0000,4.5100,4.9300,1813381
2022-09-13,3.4000,3.7397,2.9800,3.0200,10254492
2022-09-14,3.1000,3.1100,2.6500,2.9200,3515737
2022-09-15,2.9200,3.3300,2.8700,3.3200,2701803
2022-09-16,3.1200,3.1212,2.8900,2.9000,3368361
2022-09-19,2.9100,3.0100,2.8200,2.9050,1489037
2022-09-20,2.8400,2.8650,2.6550,2.6700,1726268
2022-09-21,2.6900,2.7300,2.5500,2.5900,1432647
2022-09-22,2.5900,2.6000,2.3300,2.4200,1977953
2022-09-23,2.3200,2.4600,2.2800,2.3800,1143274
2022-09-26,2.3600,2.5350,2.2600,2.3600,927940
2022-09-27,2.4500,2.5000,2.3500,2.3800,596710
2022-09-28,2.3900,2.4300,2.3500,2.3500,470988
2022-09-29,2.3200,2.3350,2.1450,2.2200,1031180
2022-09-30,2.2200,2.3108,2.1200,2.2000,606575
2022-10-03,2.2000,2.2700,2.1000,2.1900,688104
2022-10-04,2.3400,2.4300,2.3100,2.3900,672937
2022-10-05,2.3400,2.4000,2.2200,2.2800,423596
2022-10-06,2.2600,2.4050,2.2500,2.3200,546017
2022-10-07,2.2700,2.3350,2.2300,2.3200,435855
2022-10-10,2.3100,2.3100,2.1500,2.1700,349172
2022-10-11,2.1600,2.1800,1.9600,1.9800,848797
2022-10-12,2.0000,2.0200,1.9200,2.0000,689441
2022-10-13,1.9400,2.0100,1.8401,1.9600,1418851
2022-10-14,2.0000,2.0050,1.7500,1.7900,1206684
2022-10-17,1.8300,1.9200,1.8150,1.8700,540133
2022-10-18,1.9500,2.0400,1.8800,1.9300,586228
2022-10-19,1.9100,1.9100,1.7000,1.7200,741038
2022-10-20,1.6900,1.8600,1.6900,1.7900,677257
2022-10-21,1.7900,1.8000,1.7000,1.7700,487005
2022-10-24,1.7900,1.7900,1.6000,1.7300,791633
2022-10-25,1.7300,1.9650,1.7100,1.8900,803122
2022-10-26,1.8800,2.0100,1.8200,1.8400,517558
2022-10-27,1.8800,1.9650,1.7700,1.7800,321089
2022-10-28,1.8100,1.8700,1.7300,1.8350,334346
