"MacroTrends Data Download"
"TLYS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2012-05-04,11.9650,12.2768,10.6985,10.6985,9219800
2012-05-07,10.5966,10.9403,10.3548,10.8512,587000
2012-05-08,11.0103,11.0103,10.6030,10.8194,502300
2012-05-09,10.5966,10.8767,10.5266,10.7239,292000
2012-05-10,10.7939,11.0740,10.7621,11.0740,25400
2012-05-11,10.9530,11.2012,10.8448,11.1058,252000
2012-05-14,10.8576,11.6531,10.8576,11.5513,274900
2012-05-15,11.5067,11.8695,11.3158,11.7613,244000
2012-05-16,11.8059,11.8059,11.4813,11.7549,167300
2012-05-17,11.6786,11.6977,11.2331,11.5704,241200
2012-05-18,11.6595,11.6595,11.1376,11.3285,270400
2012-05-21,11.2012,11.2458,10.7175,10.8448,164900
2012-05-22,10.8066,10.8194,10.4566,10.5012,266900
2012-05-23,10.5012,10.5839,10.3548,10.4948,59000
2012-05-24,10.4630,10.6157,10.2211,10.6094,218400
2012-05-25,10.5712,11.1058,10.5330,11.0740,204400
2012-05-29,11.1694,11.1694,10.7557,10.9021,182000
2012-05-30,10.8130,10.8130,9.9793,9.9793,951300
2012-05-31,10.8194,10.8194,9.8647,10.3611,233600
2012-06-01,10.1575,10.1957,9.7374,9.8902,103800
2012-06-04,9.5847,9.7502,9.5465,9.7311,88800
2012-06-05,9.6993,10.0366,9.6738,9.8011,60000
2012-06-06,9.8202,9.8711,9.4256,9.4829,129900
