"MacroTrends Data Download"
"TM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1976-08-18,14.1731,14.1731,14.1731,14.1731,3900
1976-08-19,14.1005,14.1005,14.1005,14.1005,100
1976-08-20,14.0279,14.0279,14.0279,14.0279,1600
1976-08-23,13.6091,13.6091,13.6091,13.6091,200
1976-08-24,13.4695,13.4695,13.4695,13.4695,1500
1976-08-25,13.3354,13.3354,13.3354,13.3354,1600
1976-08-26,13.3354,13.3354,13.3354,13.3354,100
1976-08-27,13.8213,13.8213,13.8213,13.8213,500
1976-08-30,13.5421,13.5421,13.5421,13.5421,8000
1976-08-31,13.5421,13.5421,13.5421,13.5421,100
1976-09-01,13.6091,13.6091,13.6091,13.6091,100
1976-09-02,13.4024,13.4024,13.4024,13.4024,13000
1976-09-03,13.1902,13.1902,13.1902,13.1902,100
1976-09-07,12.8440,12.8440,12.8440,12.8440,6700
1976-09-08,12.9166,12.9166,12.9166,12.9166,6400
1976-09-09,12.8440,12.8440,12.8440,12.8440,200
1976-09-10,13.0506,13.0506,13.0506,13.0506,100
1976-09-13,12.7714,12.7714,12.7714,12.7714,22900
1976-09-14,12.7044,12.7044,12.7044,12.7044,4500
1976-09-15,12.7044,12.7044,12.7044,12.7044,6400
1976-09-16,12.4978,12.4978,12.4978,12.4978,13400
1976-09-17,12.4978,12.4978,12.4978,12.4978,100
1976-09-20,12.4978,12.4978,12.4978,12.4978,100
1976-09-21,12.4978,12.4978,12.4978,12.4978,16100
1976-09-22,12.4978,12.4978,12.4978,12.4978,200
1976-09-23,12.4978,12.4978,12.4978,12.4978,100
1976-09-24,12.4978,12.4978,12.4978,12.4978,500
1976-09-27,12.4252,12.4252,12.4252,12.4252,100
1976-09-28,12.4252,12.4252,12.4252,12.4252,8800
1976-09-29,12.5648,12.5648,12.5648,12.5648,4500
1976-09-30,12.4978,12.4978,12.4978,12.4978,100
1976-10-01,12.4252,12.4252,12.4252,12.4252,5200
1976-10-04,12.4252,12.4252,12.4252,12.4252,100
1976-10-05,12.4978,12.4978,12.4978,12.4978,1600
1976-10-06,12.5648,12.5648,12.5648,12.5648,2000
1976-10-07,12.7714,12.7714,12.7714,12.7714,1600
1976-10-08,12.8440,12.8440,12.8440,12.8440,6200
1976-10-11,12.7714,12.7714,12.7714,12.7714,500
1976-10-12,12.4978,12.4978,12.4978,12.4978,3400
1976-10-13,12.5648,12.5648,12.5648,12.5648,1500
1976-10-14,12.6318,12.6318,12.6318,12.6318,100
1976-10-15,12.4978,12.4978,12.4978,12.4978,100
1976-10-18,12.9166,12.9166,12.9166,12.9166,100
1976-10-19,12.5648,12.5648,12.5648,12.5648,500
1976-10-20,12.4978,12.4978,12.4978,12.4978,100
1976-10-21,12.7714,12.7714,12.7714,12.7714,8800
1976-10-22,12.8440,12.8440,12.8440,12.8440,3000
1976-10-25,13.1232,13.1232,13.1232,13.1232,3000
1976-10-26,13.1232,13.1232,13.1232,13.1232,500
1976-10-27,13.4695,13.4695,13.4695,13.4695,1500
1976-10-28,13.7543,13.7543,13.7543,13.7543,100
1976-10-29,13.6091,13.6091,13.6091,13.6091,100
1976-11-01,13.6091,13.6091,13.6091,13.6091,200
1976-11-03,13.1902,13.1902,13.1902,13.1902,5000
1976-11-04,13.1232,13.1232,13.1232,13.1232,7000
1976-11-05,12.7714,12.7714,12.7714,12.7714,500
1976-11-08,12.7714,12.7714,12.7714,12.7714,1600
1976-11-09,12.7714,12.7714,12.7714,12.7714,100
1976-11-10,12.7714,12.7714,12.7714,12.7714,200
1976-11-11,13.4024,13.4024,13.4024,13.4024,1800
1976-11-12,13.7543,13.7543,13.7543,13.7543,1800
1976-11-15,13.3354,13.3354,13.3354,13.3354,100
1976-11-16,13.0506,13.0506,13.0506,13.0506,100
1976-11-17,12.9166,12.9166,12.9166,12.9166,100
1976-11-18,12.7714,12.7714,12.7714,12.7714,3700
1976-11-19,12.8440,12.8440,12.8440,12.8440,500
1976-11-22,13.1902,13.1902,13.1902,13.1902,100
1976-11-23,13.1902,13.1902,13.1902,13.1902,2000
1976-11-24,13.1232,13.1232,13.1232,13.1232,100
1976-11-26,13.0506,13.0506,13.0506,13.0506,100
1976-11-29,13.0506,13.0506,13.0506,13.0506,500
1976-11-30,12.8440,12.8440,12.8440,12.8440,100
1976-12-01,12.9836,12.9836,12.9836,12.9836,500
1976-12-02,12.9836,12.9836,12.9836,12.9836,500
1976-12-03,13.6091,13.6091,13.6091,13.6091,2000
1976-12-06,14.9381,14.9381,14.9381,14.9381,4500
1976-12-07,15.4296,15.4296,15.4296,15.4296,6700
1976-12-08,15.6362,15.6362,15.6362,15.6362,500
1976-12-09,15.5636,15.5636,15.5636,15.5636,100
1976-12-10,15.5636,15.5636,15.5636,15.5636,100
1976-12-13,16.2672,16.2672,16.2672,16.2672,4500
1976-12-14,16.4068,16.4068,16.4068,16.4068,1500
1976-12-15,16.8927,16.8927,16.8927,16.8927,600
1976-12-16,16.6134,16.6134,16.6134,16.6134,500
1976-12-17,16.8257,16.8257,16.8257,16.8257,100
1976-12-20,16.4068,16.4068,16.4068,16.4068,100
1976-12-21,16.3342,16.3342,16.3342,16.3342,100
1976-12-22,16.6860,16.6860,16.6860,16.6860,1800
1976-12-23,17.5907,17.5907,17.5907,17.5907,200
1976-12-27,19.1264,19.1264,19.1264,19.1264,6400
1976-12-28,19.0538,19.0538,19.0538,19.0538,500
1976-12-29,18.9868,18.9868,18.9868,18.9868,200
1976-12-30,19.0538,19.0538,19.0538,19.0538,500
1976-12-31,19.0538,19.0538,19.0538,19.0538,500
1977-01-03,19.1264,19.1264,19.1264,19.1264,100
1977-01-04,18.2888,18.2888,18.2888,18.2888,100
1977-01-05,18.7076,18.7076,18.7076,18.7076,6400
1977-01-06,18.0095,18.0095,18.0095,18.0095,3900
1977-01-07,17.7303,17.7303,17.7303,17.7303,100
1977-01-10,18.1491,18.1491,18.1491,18.1491,500
1977-01-11,17.5237,17.5237,17.5237,17.5237,3700
1977-01-12,17.3785,17.3785,17.3785,17.3785,100
1977-01-13,18.3613,18.3613,18.3613,18.3613,500
1977-01-14,18.2888,18.2888,18.2888,18.2888,500
1977-01-17,17.5907,17.5907,17.5907,17.5907,100
1977-01-18,17.3115,17.3115,17.3115,17.3115,100
1977-01-19,18.7076,18.7076,18.7076,18.7076,4500
1977-01-20,18.2888,18.2888,18.2888,18.2888,4000
1977-01-21,19.1934,19.1934,19.1934,19.1934,500
1977-01-24,19.7574,19.7574,19.7574,19.7574,3900
1977-01-25,19.3386,19.3386,19.3386,19.3386,100
1977-01-26,20.0367,20.0367,20.0367,20.0367,11600
1977-01-27,19.7574,19.7574,19.7574,19.7574,1900
1977-01-28,19.7574,19.7574,19.7574,19.7574,100
1977-01-31,18.9198,18.9198,18.9198,18.9198,100
1977-02-01,19.1264,19.1264,19.1264,19.1264,3900
1977-02-02,20.0367,20.0367,20.0367,20.0367,1900
1977-02-03,19.4056,19.4056,19.4056,19.4056,1900
1977-02-04,19.8244,19.8244,19.8244,19.8244,500
1977-02-07,20.8687,20.8687,20.8687,20.8687,200
1977-02-08,21.0139,21.0139,21.0139,21.0139,3000
