"MacroTrends Data Download"
"UNF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1988-01-05,4.5649,4.6675,4.5649,4.6675,6000
1988-01-06,4.7701,4.7701,4.7701,4.7701,26800
1988-01-07,4.7701,4.7701,4.7701,4.7701,0
1988-01-08,4.7701,4.7701,4.7701,4.7701,7200
1988-01-11,4.7701,4.8214,4.7701,4.8214,7600
1988-01-12,4.7701,4.7701,4.7701,4.7701,3600
1988-01-13,4.7701,4.7701,4.7701,4.7701,10800
1988-01-14,4.7701,4.8727,4.7701,4.8727,14800
1988-01-15,4.9239,5.0778,4.9239,5.0778,40800
1988-01-18,5.1291,5.2317,5.1291,5.2317,94400
1988-01-19,5.1804,5.1804,5.1804,5.1804,7200
1988-01-20,5.2317,5.2317,5.1804,5.2317,7200
1988-01-21,5.1804,5.1804,5.1804,5.1804,16800
1988-01-22,5.1804,5.1804,5.1291,5.1291,45600
1988-01-25,5.1291,5.1291,5.1291,5.1291,3200
1988-01-26,5.1291,5.2317,5.1291,5.2317,9200
1988-01-27,5.2317,5.2317,5.2317,5.2317,0
1988-01-28,5.2317,5.2317,5.2317,5.2317,3200
1988-01-29,5.2317,5.3343,5.2317,5.3343,6400
1988-02-01,5.4369,5.4369,5.3856,5.3856,9600
1988-02-02,5.3589,5.3589,5.3589,5.3589,2400
1988-02-03,5.4369,5.4369,5.4369,5.4369,2400
1988-02-04,5.3856,5.3856,5.3856,5.3856,4800
1988-02-05,5.4882,5.4882,5.4882,5.4882,20800
1988-02-08,5.4882,5.4882,5.4369,5.4369,1600
1988-02-09,5.3856,5.3856,5.3856,5.3856,2400
1988-02-10,5.3856,5.3856,5.3856,5.3856,3200
1988-02-11,5.3343,5.3856,5.3343,5.3856,98000
1988-02-12,5.3589,5.3856,5.3343,5.3343,11600
1988-02-16,5.3589,5.3589,5.3589,5.3589,4400
1988-02-17,5.3589,5.3589,5.3589,5.3589,0
1988-02-18,5.3589,5.3589,5.3589,5.3589,0
1988-02-19,5.3343,5.3856,5.3343,5.3856,76400
1988-02-22,5.4369,5.4369,5.3856,5.3856,9200
1988-02-23,5.3343,5.3856,5.3343,5.3856,4000
1988-02-24,5.3856,5.3856,5.3856,5.3856,5600
1988-02-25,5.4369,5.4369,5.3589,5.3589,17200
1988-02-26,5.3589,5.3589,5.3589,5.3589,4400
1988-02-29,5.3589,5.4122,5.3589,5.4122,2400
1988-03-01,5.4369,5.4369,5.3856,5.3856,4400
1988-03-02,5.3856,5.3856,5.2317,5.3343,79600
1988-03-03,5.3856,5.3856,5.3589,5.3589,8400
1988-03-04,5.3343,5.3343,5.3343,5.3343,800
1988-03-07,5.3343,5.3343,5.3343,5.3343,0
1988-03-08,5.3589,5.3589,5.3589,5.3589,4800
1988-03-09,5.3200,5.3200,5.2932,5.2932,6400
1988-03-10,5.3446,5.3446,5.3200,5.3200,72800
1988-03-11,5.3200,5.3446,5.3200,5.3446,800
1988-03-14,5.3200,5.3200,5.2932,5.2932,6800
1988-03-15,5.3200,5.3446,5.2419,5.2419,12800
1988-03-16,5.2932,5.2932,5.2419,5.2932,56400
1988-03-17,5.2932,5.2932,5.2932,5.2932,6000
1988-03-18,5.3200,5.3446,5.3200,5.3200,74800
1988-03-21,5.2932,5.2932,5.2665,5.2665,12400
1988-03-22,5.2665,5.2665,5.2172,5.2172,4800
1988-03-23,5.2665,5.2665,5.1637,5.1637,13600
1988-03-24,5.1144,5.1144,5.1144,5.1144,2800
1988-03-25,5.0877,5.0877,5.0877,5.0877,1600
1988-03-28,5.0610,5.0610,5.0610,5.0610,800
1988-03-29,5.0610,5.0610,5.0363,5.0363,5600
1988-03-30,5.0610,5.0610,4.9335,4.9335,21600
1988-03-31,4.9088,4.9088,4.8307,4.8821,23200
1988-04-04,4.8554,4.8554,4.8554,4.8554,400
1988-04-05,4.8554,4.8554,4.8554,4.8554,400
1988-04-06,4.8307,4.8821,4.8307,4.8821,2400
1988-04-07,4.8554,4.8554,4.8307,4.8307,3200
1988-04-08,4.8307,4.8307,4.8307,4.8307,0
1988-04-11,4.8307,4.8307,4.8307,4.8307,0
1988-04-12,4.8307,4.8307,4.7793,4.7793,4000
1988-04-13,4.8061,4.8061,4.8061,4.8061,1600
1988-04-14,4.7793,4.7793,4.7793,4.7793,17600
1988-04-15,4.8061,4.8307,4.8061,4.8307,4800
1988-04-18,4.8821,4.9849,4.8821,4.9849,5600
1988-04-19,4.9849,4.9849,4.9335,4.9849,4400
1988-04-20,4.9849,4.9849,4.9335,4.9335,7200
1988-04-21,4.9335,4.9335,4.9335,4.9335,1200
1988-04-22,4.9849,4.9849,4.9849,4.9849,800
1988-04-25,4.9849,4.9849,4.9849,4.9849,0
1988-04-26,4.9849,4.9849,4.9849,4.9849,0
1988-04-27,4.9849,4.9849,4.9335,4.9335,2800
1988-04-28,4.9335,4.9582,4.9335,4.9335,5600
1988-04-29,4.9088,4.9335,4.9088,4.9335,6400
1988-05-02,4.9088,4.9088,4.8821,4.8821,4800
1988-05-03,4.9335,4.9335,4.9335,4.9335,76800
1988-05-04,4.9088,4.9088,4.9088,4.9088,800
1988-05-05,4.9088,4.9335,4.9088,4.9335,11600
1988-05-06,4.9335,4.9335,4.9335,4.9335,0
1988-05-09,4.9335,4.9335,4.9335,4.9335,0
1988-05-10,4.9088,4.9088,4.8821,4.8821,28000
1988-05-11,4.9335,4.9335,4.9335,4.9335,25600
1988-05-12,4.9088,4.9088,4.9088,4.9088,1200
1988-05-13,4.8821,4.9335,4.8821,4.9335,6000
1988-05-16,4.9582,4.9582,4.9582,4.9582,2400
1988-05-17,4.9335,4.9335,4.9335,4.9335,2800
1988-05-18,4.9335,4.9335,4.9335,4.9335,800
1988-05-19,4.9582,4.9582,4.9582,4.9582,400
1988-05-20,4.9335,4.9335,4.9335,4.9335,2000
1988-05-23,4.9335,4.9335,4.9335,4.9335,19200
1988-05-24,4.9582,4.9582,4.9335,4.9335,39600
1988-05-25,4.9335,4.9335,4.9335,4.9335,5600
1988-05-26,4.9335,4.9335,4.9335,4.9335,0
1988-05-27,4.9335,4.9849,4.9335,4.9849,4800
1988-05-31,5.0363,5.0363,5.0363,5.0363,2400
1988-06-01,5.0116,5.0363,5.0116,5.0363,800
1988-06-02,5.0363,5.0363,5.0363,5.0363,0
1988-06-03,5.0363,5.0363,5.0363,5.0363,0
1988-06-06,5.0363,5.0363,4.9849,5.0363,3600
1988-06-07,5.0116,5.0610,5.0116,5.0116,1600
1988-06-08,5.0877,5.1391,5.0877,5.1391,8800
1988-06-09,5.2172,5.2172,5.2172,5.2172,5200
1988-06-10,5.2172,5.2172,5.2172,5.2172,0
1988-06-13,5.2009,5.2009,5.1247,5.1247,10000
1988-06-14,5.1247,5.1247,5.1247,5.1247,800
1988-06-15,5.1247,5.1247,5.1247,5.1247,0
1988-06-16,5.1741,5.1741,5.1741,5.1741,1600
1988-06-17,5.1494,5.2524,5.1494,5.2009,8000
1988-06-20,5.1494,5.3039,5.1494,5.3039,6400
1988-06-21,5.2524,5.3039,5.2524,5.3039,2000
1988-06-22,5.3307,5.3307,5.3307,5.3307,400
1988-06-23,5.3039,5.3039,5.3039,5.3039,400
1988-06-24,5.3039,5.3039,5.3039,5.3039,0
1988-06-27,5.3039,5.3039,5.3039,5.3039,0
1988-06-28,5.2771,5.3307,5.2524,5.2771,10400
1988-06-29,5.2524,5.2524,5.2524,5.2524,2400
1988-06-30,5.3039,5.3039,5.2524,5.3039,10800
1988-07-01,5.2524,5.3039,5.2524,5.3039,4400
1988-07-05,5.3039,5.3039,5.3039,5.3039,0
1988-07-06,5.3039,5.3554,5.3039,5.3554,2800
1988-07-07,5.4069,5.4069,5.4069,5.4069,1600
1988-07-08,5.4069,5.4584,5.4069,5.4336,26000
1988-07-11,5.4584,5.4584,5.4584,5.4584,800
1988-07-12,5.4584,5.4584,5.3801,5.3801,3600
1988-07-13,5.3554,5.3801,5.3554,5.3554,3600
1988-07-14,5.3554,5.3554,5.3554,5.3554,1600
1988-07-15,5.3554,5.3554,5.3554,5.3554,400
1988-07-18,5.4069,5.4069,5.3039,5.3039,2400
1988-07-19,5.3554,5.3554,5.3307,5.3554,2400
1988-07-20,5.3801,5.3801,5.3801,5.3801,1200
1988-07-21,5.3554,5.3554,5.3554,5.3554,400
1988-07-22,5.3307,5.3307,5.3307,5.3307,400
1988-07-25,5.3554,5.3554,5.2524,5.2524,41600
1988-07-26,5.2524,5.2524,5.2524,5.2524,0
1988-07-27,5.2524,5.2524,5.2524,5.2524,800
1988-07-28,5.2524,5.2524,5.2277,5.2277,2000
1988-07-29,5.2771,5.2771,5.2277,5.2277,2400
1988-08-01,5.2771,5.3801,5.2771,5.3801,11600
1988-08-02,5.4336,5.4336,5.4336,5.4336,1600
1988-08-03,5.4831,5.4831,5.4831,5.4831,6000
1988-08-04,5.4584,5.4584,5.4584,5.4584,1200
1988-08-05,5.4584,5.4584,5.4584,5.4584,400
1988-08-08,5.4584,5.4584,5.4584,5.4584,3200
1988-08-09,5.4584,5.4584,5.4336,5.4336,3600
1988-08-10,5.3801,5.3801,5.3801,5.3801,400
1988-08-11,5.3554,5.3554,5.3307,5.3307,5600
1988-08-12,5.3039,5.3554,5.3039,5.3554,3200
1988-08-15,5.3801,5.4069,5.3801,5.4069,1200
1988-08-16,5.3801,5.4336,5.3801,5.4336,3200
1988-08-17,5.4069,5.4069,5.4069,5.4069,152400
1988-08-18,5.3801,5.4336,5.3801,5.4336,10800
1988-08-19,5.3801,5.3801,5.3801,5.3801,2800
1988-08-22,5.3801,5.3801,5.3801,5.3801,0
1988-08-23,5.3554,5.3554,5.3554,5.3554,400
1988-08-24,5.3554,5.3554,5.3554,5.3554,10000
1988-08-25,5.3554,5.3554,5.3554,5.3554,0
1988-08-26,5.3554,5.3554,5.3554,5.3554,4400
1988-08-29,5.3554,5.3554,5.3554,5.3554,0
1988-08-30,5.3039,5.3039,5.3039,5.3039,1200
1988-08-31,5.3039,5.3307,5.3039,5.3307,2400
1988-09-01,5.3307,5.3307,5.2771,5.2771,40400
1988-09-02,5.2771,5.2771,5.2524,5.2524,4400
1988-09-06,5.2380,5.2380,5.2380,5.2380,28000
1988-09-07,5.2483,5.2979,5.2483,5.2483,4000
1988-09-08,5.2214,5.2214,5.2214,5.2214,1200
1988-09-09,5.2483,5.2483,5.2483,5.2483,3600
1988-09-12,5.2214,5.2214,5.2214,5.2214,400
1988-09-13,5.1945,5.1945,5.1945,5.1945,1200
1988-09-14,5.1945,5.1945,5.1945,5.1945,0
1988-09-15,5.1945,5.1945,5.1945,5.1945,0
1988-09-16,5.1945,5.1945,5.1945,5.1945,0
1988-09-19,5.1945,5.1945,5.1945,5.1945,0
