"MacroTrends Data Download"
"WEN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-03-17,1.3884,1.4505,1.3884,1.4292,74600
1992-03-18,1.4505,1.4505,1.3884,1.3884,29300
1992-03-19,1.3884,1.4080,1.3688,1.3688,44800
1992-03-20,1.3884,1.3884,1.3476,1.3476,61300
1992-03-23,1.3688,1.3688,1.3067,1.3263,46400
1992-03-24,1.3067,1.3263,1.3067,1.3067,17800
1992-03-25,1.3067,1.4080,1.2871,1.3884,73200
1992-03-26,1.3884,1.4701,1.3884,1.3884,82700
1992-03-27,1.3688,1.4505,1.3476,1.4292,128600
1992-03-30,1.4080,1.5109,1.3884,1.4292,143100
1992-03-31,1.4292,1.4292,1.3884,1.4292,41100
1992-04-01,1.3884,1.4292,1.3688,1.4080,52000
1992-04-02,1.4292,1.4292,1.3688,1.3884,43600
1992-04-03,1.3884,1.4080,1.3476,1.4080,85500
1992-04-06,1.3884,1.4292,1.3476,1.4080,62000
1992-04-07,1.4080,1.4080,1.3067,1.3476,44200
1992-04-08,1.3263,1.3688,1.2871,1.3688,102700
1992-04-09,1.3476,1.3688,1.3067,1.3476,35700
1992-04-10,1.3476,1.3688,1.3263,1.3263,20500
1992-04-13,1.3476,1.4080,1.3263,1.3476,71500
1992-04-14,1.3688,1.3688,1.3067,1.3688,33000
1992-04-15,1.3263,1.4292,1.3263,1.4292,111300
1992-04-16,1.4292,1.4897,1.4080,1.4292,123900
1992-04-20,1.4080,1.4080,1.3688,1.3884,31900
1992-04-21,1.3688,1.4080,1.3688,1.4080,28600
1992-04-22,1.3884,1.4080,1.3688,1.3688,27400
1992-04-23,1.3884,1.3884,1.3476,1.3476,38600
1992-04-24,1.3263,1.3476,1.3067,1.3476,48700
1992-04-27,1.3067,1.4505,1.3067,1.4080,86900
