"MacroTrends Data Download"
"ADM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1983-04-05,3.5465,3.5465,3.4833,3.5465,2311301
1983-04-06,3.5465,3.5687,3.5038,3.5687,1735000
1983-04-07,3.5687,3.6097,3.5687,3.5892,1425799
1983-04-08,3.5892,3.6542,3.5243,3.5687,2981600
1983-04-11,3.5687,3.5892,3.5465,3.5687,979601
1983-04-12,3.5465,3.5687,3.5038,3.5465,511201
1983-04-13,3.5243,3.5465,3.4183,3.4405,3254600
1983-04-14,3.4405,3.4833,3.3551,3.4610,1689501
1983-04-15,3.4833,3.4833,3.3961,3.4405,6907400
1983-04-18,3.4405,3.4833,3.3328,3.4405,6438201
1983-04-19,3.4405,3.5465,3.3961,3.4610,5320499
1983-04-20,3.5038,3.5687,3.4833,3.5243,4040699
1983-04-21,3.9311,3.9738,3.8661,3.8883,15391701
1983-04-22,3.8661,4.1225,3.8661,3.9943,6328199
1983-04-25,3.9738,4.0797,3.8456,3.8883,3506301
1983-04-26,3.8883,3.9943,3.7824,3.9738,7526102
1983-04-27,3.9738,4.0592,3.8661,3.9533,5773100
1983-04-28,3.9533,3.9943,3.9105,3.9533,1269402
1983-04-29,3.9311,3.9738,3.8661,3.9105,1873999
1983-05-02,3.8456,3.8661,3.8029,3.8456,1643898
1983-05-03,3.8456,3.8456,3.7601,3.8456,1266101
1983-05-04,3.8456,3.8883,3.8029,3.8456,1155600
1983-05-05,3.8456,3.8883,3.7824,3.7824,1160501
1983-05-06,3.8029,3.8456,3.6542,3.8029,6305702
1983-05-09,3.8029,3.8251,3.7379,3.7824,2233599
1983-05-10,3.8029,3.8883,3.8029,3.8883,1225999
1983-05-11,3.9105,3.9533,3.8883,3.8883,2397701
1983-05-12,3.9311,4.0165,3.9105,4.0165,5866800
1983-05-13,4.0592,4.1447,4.0165,4.0797,6361200
1983-05-16,4.0592,4.1020,3.9943,4.1020,1910601
1983-05-17,4.1020,4.1447,4.0592,4.0592,3171099
1983-05-18,4.0797,4.1447,4.0387,4.0387,5561700
1983-05-19,4.1020,4.1020,3.9943,4.0387,2345301
1983-05-20,4.0592,4.0797,3.8883,3.9943,1051502
1983-05-23,3.9533,4.0387,3.9311,4.0165,1288001
1983-05-24,4.0165,4.0797,3.9943,4.0387,2082800
1983-05-25,4.0797,4.1225,4.0592,4.1020,1571501
1983-05-26,4.1225,4.3583,4.1225,4.3156,4629201
1983-05-27,4.3806,4.4438,4.3583,4.3806,2074501
1983-05-31,4.4233,4.4233,4.3361,4.3806,2817200
1983-06-01,4.3806,4.4438,4.3583,4.4438,3320899
1983-06-02,4.4643,4.5293,4.4438,4.5293,8165401
1983-06-03,4.5293,4.5293,4.4011,4.4233,2057201
1983-06-06,4.4643,4.4643,4.3583,4.4011,1001201
1983-06-07,4.4233,4.4643,4.3806,4.4233,1401300
1983-06-08,4.4011,4.4011,4.2524,4.2729,1217899
1983-06-09,4.2524,4.2951,4.1874,4.2729,2204000
1983-06-10,4.2951,4.3156,4.2302,4.2951,1880000
1983-06-13,4.3361,4.3583,4.3156,4.3361,2240598
1983-06-14,4.3361,4.3806,4.3156,4.3583,1364000
1983-06-15,4.3156,4.3361,4.2524,4.2951,670501
1983-06-16,4.3361,4.3361,4.2079,4.2302,2000001
1983-06-17,4.2302,4.2302,4.1874,4.2302,986600
1983-06-20,4.2729,4.2951,4.1874,4.2729,2305101
1983-06-21,4.3156,4.3806,4.2729,4.3806,1612302
1983-06-22,4.4233,4.4438,4.3806,4.4233,2143000
1983-06-23,4.4233,4.4233,4.3806,4.4011,1524002
1983-06-24,4.4011,4.4438,4.3806,4.4011,1403501
1983-06-27,4.4011,4.4438,4.3361,4.4438,681899
1983-06-28,4.4438,4.4438,4.3361,4.3583,1117901
1983-06-29,4.3806,4.4438,4.3361,4.3583,852599
1983-06-30,4.3156,4.3583,4.2729,4.3156,1415701
1983-07-01,4.2729,4.3583,4.2729,4.3583,170900
1983-07-05,4.3583,4.3583,4.3156,4.3156,360501
1983-07-06,4.3583,4.3806,4.3156,4.3156,957700
1983-07-07,4.3361,4.4438,4.3156,4.4438,2028301
1983-07-08,4.4438,4.4643,4.3156,4.3361,2284700
1983-07-11,4.3583,4.4011,4.3156,4.3583,411301
1983-07-12,4.3583,4.3583,4.2302,4.2951,412601
1983-07-13,4.2729,4.3361,4.2729,4.2729,1647500
1983-07-14,4.2729,4.3156,4.2729,4.2729,2367401
1983-07-15,4.2951,4.2951,4.2729,4.2951,1144398
1983-07-18,4.2729,4.2951,4.1225,4.1669,1150301
1983-07-19,4.1447,4.1669,4.0797,4.1020,2075699
1983-07-20,4.1669,4.1874,4.1225,4.1669,1700200
1983-07-21,4.1447,4.1669,4.0387,4.0592,3220300
1983-07-22,3.8986,4.0592,3.7379,3.9105,1463400
1983-07-25,3.8661,3.8883,3.8029,3.8661,3606599
1983-07-26,3.8029,3.8883,3.7379,3.8883,3401598
1983-07-27,3.9738,3.9943,3.8661,3.9105,3543099
1983-07-28,3.8661,3.9105,3.7601,3.8251,2451600
1983-07-29,3.7601,3.7824,3.6542,3.7174,1777299
1983-08-01,3.6969,3.7601,3.6542,3.7174,1734301
1983-08-02,3.7174,3.7601,3.6747,3.6747,1056699
1983-08-03,3.6969,3.7174,3.6319,3.7174,2310900
1983-08-04,3.6969,3.8661,3.5465,3.6542,2799100
1983-08-05,3.6542,3.6542,3.5892,3.6542,1390601
1983-08-08,3.6542,3.6542,3.5243,3.5687,687599
1983-08-09,3.6097,3.6097,3.5038,3.5687,977802
1983-08-10,3.5687,3.5687,3.3961,3.4610,2771300
1983-08-11,3.4610,3.5243,3.4405,3.4833,1950699
1983-08-12,3.4833,3.5243,3.4610,3.5243,1439201
1983-08-15,3.5038,3.6097,3.4833,3.5687,4421199
1983-08-16,3.4610,3.4815,3.3328,3.3961,3035799
1983-08-17,3.3756,3.3961,3.2474,3.2901,12827700
1983-08-18,3.2901,3.3328,3.2474,3.3123,5496701
1983-08-19,3.3123,3.3961,3.2696,3.3756,3507101
1983-08-22,3.4183,3.4815,3.3756,3.3961,1954199
1983-08-23,3.4610,3.4815,3.4183,3.4388,1715101
1983-08-24,3.4388,3.4610,3.3961,3.3961,2556600
1983-08-25,3.4183,3.4815,3.3961,3.4388,3548799
1983-08-26,3.4183,3.5038,3.4183,3.4815,1359801
1983-08-29,3.5038,3.5038,3.4388,3.4610,560301
1983-08-30,3.4610,3.4815,3.4388,3.4610,391902
