"MacroTrends Data Download"
"ARMK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-12-12,18.2483,21.1049,18.1131,20.4561,6560000
2013-12-13,20.7264,22.1503,20.6724,21.4744,322400
2013-12-16,21.6276,21.6276,20.5102,21.3572,91400
2013-12-17,20.9878,21.3753,20.7805,21.1410,218200
2013-12-18,21.1229,21.6456,20.8256,21.6276,831900
2013-12-19,21.4564,21.6276,21.1860,21.3572,382900
2013-12-20,21.2221,21.5735,21.1770,21.5555,913000
2013-12-23,21.6276,22.2124,21.6096,21.7808,525300
2013-12-24,21.6997,22.4386,21.6997,21.9790,81900
2013-12-26,22.2224,23.0875,22.0692,22.9793,433500
2013-12-27,23.2046,23.8534,23.0154,23.4119,338900
2013-12-30,24.0787,24.0787,23.0785,23.2587,601900
2013-12-31,23.5020,23.6462,23.1055,23.6281,416800
2014-01-02,23.4209,23.4299,22.6189,22.8622,213000
2014-01-03,23.2587,23.3398,22.8441,23.0244,231200
2014-01-06,22.8441,23.0604,21.9430,21.9790,569100
2014-01-07,22.0782,22.3395,21.8620,21.9430,530700
2014-01-08,21.9430,22.1502,21.7267,21.9430,419700
2014-01-09,21.9790,22.3936,21.9250,22.2224,338700
2014-01-10,22.3846,22.7540,22.2314,22.3305,298600
2014-01-13,22.2133,22.8261,22.1503,22.5107,233700
2014-01-14,22.5107,22.5107,22.2584,22.4296,64400
2014-01-15,22.3665,22.6189,22.2584,22.3755,176200
2014-01-16,22.5107,22.5287,22.1052,22.3665,270600
2014-01-17,22.4206,22.4837,21.9881,22.0872,207800
2014-01-21,22.6369,23.7183,22.2984,22.4206,626600
2014-01-22,22.1683,22.7811,22.0782,22.4476,548200
2014-01-23,22.7540,22.7540,22.1232,22.5107,159100
2014-01-24,22.2133,22.7450,21.3663,21.5735,379800
2014-01-27,21.5195,21.5555,21.0869,21.3032,245700
2014-01-28,21.6456,22.0601,21.2140,22.0331,335300
2014-01-29,21.3663,22.0061,21.1770,21.8078,363500
2014-01-30,21.7357,22.4296,21.5465,22.2674,361400
2014-01-31,22.1683,22.3305,21.7808,22.2674,257900
2014-02-03,22.3846,22.4837,21.2761,22.3575,241000
2014-02-04,22.3575,22.7901,22.1412,22.5197,446400
2014-02-05,20.7625,26.7731,20.7625,23.5200,2551600
2014-02-06,24.3310,24.3310,23.0965,23.2947,560800
2014-02-07,23.4479,23.4479,22.7811,23.0784,247400
2014-02-10,23.1956,23.9345,22.5287,23.8354,269500
2014-02-11,23.6912,24.1418,23.4659,24.0787,249900
2014-02-12,24.2319,25.2322,24.0210,24.9078,794300
2014-02-13,24.9203,25.3811,24.4278,25.2998,464300
2014-02-14,25.4624,25.6973,25.2094,25.3450,624700
2014-02-18,25.7245,26.0046,25.3995,25.6341,349200
2014-02-19,25.5076,25.7064,25.4940,25.6431,233300
2014-02-20,25.7516,25.8238,25.4895,25.5708,473300
2014-02-21,25.5708,25.5799,25.4805,25.5257,365900
2014-02-24,25.4805,25.6070,25.4353,25.5347,915900
2014-02-25,25.5708,25.9232,25.4187,25.7154,492800
2014-02-26,25.7787,25.9142,25.6052,25.7696,409200
2014-02-27,25.7245,25.9755,25.4353,25.4895,367200
2014-02-28,25.5166,25.7516,25.3829,25.4443,716800
2014-03-03,25.4443,25.7064,24.6582,25.0829,462500
2014-03-04,25.2727,25.9684,25.1642,25.7154,1531000
2014-03-05,25.7425,25.9684,25.4986,25.7516,932600
2014-03-06,25.8058,25.9684,25.7335,25.7877,325500
2014-03-07,25.9323,26.4925,25.7064,26.3750,317500
2014-03-10,26.4563,27.0075,26.2323,26.7093,258800
2014-03-11,26.7997,26.9623,26.0768,26.1220,399800
2014-03-12,25.9142,26.2666,25.6702,25.8690,820400
2014-03-13,25.8329,26.0497,25.4805,25.5166,431500
2014-03-14,25.5166,25.7154,24.7215,24.7396,398500
2014-03-17,24.8028,24.9926,24.5950,24.8028,168400
2014-03-18,24.8209,25.3721,24.6312,25.2546,208300
2014-03-19,25.5980,25.8419,25.0649,25.3178,387900
2014-03-20,25.2727,26.3479,24.8661,26.0859,367200
2014-03-21,26.2304,27.0888,25.9594,27.0075,1746300
2014-03-24,26.7997,26.8268,25.7787,26.3027,613300
2014-03-25,26.4473,26.4473,25.5980,25.5980,245200
2014-03-26,25.7064,25.7064,25.0558,25.1823,284200
2014-03-27,25.1913,25.9774,24.9474,25.8329,358400
2014-03-28,25.8419,25.9774,25.5437,25.7335,233500
2014-03-31,25.8329,26.1853,25.5618,26.1311,2756500
2014-04-01,26.1401,26.1401,25.8148,25.9232,244700
2014-04-02,25.9865,26.2395,25.9142,26.0949,732000
2014-04-03,26.1130,26.1729,25.6612,25.9142,572200
2014-04-04,25.9594,26.0136,25.1010,25.1733,233900
2014-04-07,25.0649,25.2275,24.5137,24.8841,153900
2014-04-08,24.8390,24.8841,24.4617,24.5950,443300
2014-04-09,24.6402,25.2953,24.5417,25.2546,86100
2014-04-10,25.2365,25.3630,24.5905,24.7305,119500
