"MacroTrends Data Download"
"ASO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-10-02,12.0491,12.9553,11.9993,12.9354,8785631
2020-10-05,13.2739,13.8216,12.9951,13.0947,2035070
2020-10-06,13.0947,13.3038,12.6964,12.9852,899299
2020-10-07,12.9652,13.2640,12.7960,13.1246,1333141
2020-10-08,13.1943,13.4233,13.0449,13.2242,998794
2020-10-09,13.3536,13.6026,13.0648,13.2441,410710
2020-10-12,13.3436,13.6424,13.2640,13.3934,343492
2020-10-13,13.5129,13.5329,13.2441,13.4034,320564
2020-10-14,13.4034,13.5826,12.9453,13.2540,942512
2020-10-15,12.9254,13.9411,12.7462,13.6424,438884
2020-10-16,13.6424,13.8913,13.5129,13.8615,349709
2020-10-19,13.9411,14.1403,13.6425,13.7619,598843
2020-10-20,13.8913,14.5984,13.7420,14.4291,424727
2020-10-21,14.5386,15.6439,14.5386,14.8373,1836838
2020-10-22,14.8672,15.1759,14.2000,14.6979,766448
2020-10-23,14.6581,14.9867,14.3494,14.5187,496779
2020-10-26,14.3594,14.7876,14.2010,14.7378,627977
2020-10-27,15.1759,15.6141,14.8174,14.8174,1186942
2020-10-28,14.9070,15.0465,14.0805,14.3793,722816
2020-10-29,14.7577,14.9369,14.2598,14.5984,631816
2020-10-30,14.4689,14.9369,14.4490,14.6382,728533
2020-11-02,14.9270,15.1361,14.7676,15.0664,691392
2020-11-03,15.2257,15.4448,14.9867,15.3253,637804
2020-11-04,15.3153,15.8132,15.0166,15.6539,528943
2020-11-05,15.9327,16.5302,15.7435,16.4406,525742
2020-11-06,16.7194,17.7152,16.5083,17.4264,1287642
2020-11-09,17.9243,17.9930,15.7136,16.1219,1417575
2020-11-10,16.2713,17.3169,16.1419,16.6397,629741
2020-11-11,17.3965,17.3965,16.1319,16.4107,515792
2020-11-12,16.3509,16.8588,15.9925,16.1817,304657
2020-11-13,16.1817,16.7991,15.9925,16.5999,536533
2020-11-16,16.8488,16.9285,16.0024,16.3609,665687
2020-11-17,16.3609,16.4207,15.8331,16.0323,566156
2020-11-18,16.1518,16.2315,15.0465,15.1560,1023402
2020-11-19,15.3153,15.5045,14.8722,15.1759,753600
2020-11-20,15.3950,15.9327,15.3950,15.7535,2545023
2020-11-23,16.1319,16.3309,15.5543,15.9327,753420
2020-11-24,15.9327,16.9783,15.8332,16.9285,1031620
2020-11-25,16.6696,16.9285,16.2016,16.6298,752464
2020-11-27,16.9285,17.3467,16.3111,16.5103,638295
2020-11-30,17.0779,17.4015,16.1319,16.3808,1108378
2020-12-01,16.7294,16.9484,16.4306,16.8090,990359
2020-12-02,16.5899,17.2472,16.2215,16.3410,1200471
2020-12-03,16.3410,16.6596,15.5145,16.1319,1034749
2020-12-04,16.4007,16.4207,15.5045,15.8132,1068415
2020-12-07,16.1319,16.3211,15.6240,16.1219,1482061
2020-12-08,15.9725,16.1319,15.6340,15.8929,1314166
2020-12-09,16.1020,16.9285,15.6439,16.7791,1693089
2020-12-10,18.4122,18.4222,16.4406,17.4165,3713143
2020-12-11,17.4165,18.2828,17.1277,17.5061,2416691
2020-12-14,17.9143,18.2728,17.2372,17.9243,1187008
2020-12-15,17.9641,18.9998,17.8546,18.4222,2064278
2020-12-16,18.8504,19.2786,18.6712,18.7707,1903117
2020-12-17,18.8504,19.3583,18.4421,18.7309,1900061
2020-12-18,18.6413,19.1491,18.3226,18.3326,4541809
2020-12-21,18.3923,18.9898,17.9326,18.5218,1367016
2020-12-22,18.6612,20.1549,18.6612,19.8960,1400425
2020-12-23,19.8561,21.0810,19.1292,19.4479,1177493
2020-12-24,19.5275,20.1449,19.1690,20.0553,373415
2020-12-28,19.9557,20.9814,19.4842,20.7922,955205
2020-12-29,20.9117,21.1407,20.2644,20.8918,695061
2020-12-30,20.7125,20.9117,20.4038,20.7125,685775
2020-12-31,20.5831,20.8519,20.2644,20.6428,451795
2021-01-04,20.5233,21.6087,20.5034,21.1009,1175835
2021-01-05,21.0710,21.2204,19.7864,20.5831,1084220
2021-01-06,20.7125,21.2801,20.2545,21.0810,939547
2021-01-07,21.1606,21.4096,20.3142,20.4238,508811
2021-01-08,20.5432,20.9914,19.9159,20.6926,517424
2021-01-11,20.4138,22.4054,20.3242,21.7979,905104
2021-01-12,21.8179,23.1124,21.7594,22.4353,619863
2021-01-13,22.5149,23.1423,21.5590,21.9374,707502
2021-01-14,22.0668,22.6742,21.6685,22.4751,909694
2021-01-15,22.4850,22.6195,21.5789,22.0867,769840
2021-01-19,21.8876,22.3556,21.3698,21.4893,622667
2021-01-20,21.4893,22.8535,21.4693,22.4253,608815
2021-01-21,22.5348,22.5647,21.5689,21.7083,590031
2021-01-22,21.6187,22.4054,20.6627,22.3656,750831
2021-01-25,22.8137,24.8451,22.8037,23.5904,1855967
2021-01-26,23.5107,24.8949,22.5448,24.1879,1481139
2021-01-27,24.2675,26.5877,21.4793,21.9871,3098876
2021-01-28,21.4096,22.1066,20.2246,20.9814,7815554
2021-01-29,20.6926,22.8834,20.6926,21.4096,4862412
2021-02-01,21.8378,22.8535,21.1208,22.0071,3633394
2021-02-02,21.9274,22.9033,21.4096,22.6543,2079171
2021-02-03,22.9033,24.2775,22.0967,23.5207,1592811
2021-02-04,23.5207,24.2974,23.1124,23.8294,1516202
2021-02-05,23.8095,24.5264,23.6203,23.8194,1418475
2021-02-08,24.0484,24.4517,23.8194,23.8991,1328717
2021-02-09,24.0883,24.1709,22.9431,23.5107,978367
2021-02-10,23.7970,25.5919,23.5207,25.4525,1586595
2021-02-11,26.0500,26.5378,24.5961,25.2534,1026760
2021-02-12,25.0642,25.5158,24.6957,25.3629,465452
2021-02-16,26.2268,26.5877,25.2036,25.9703,950655
2021-02-17,26.2018,26.2018,24.6758,25.0642,891826
2021-02-18,25.2434,25.2832,24.3472,25.0442,672963
2021-02-19,25.2036,25.8099,24.6957,25.0442,941013
2021-02-22,24.9646,25.1438,24.1082,24.4069,783472
2021-02-23,24.0285,25.5521,23.0875,24.4268,1150403
2021-02-24,24.5862,24.9845,23.9873,24.7853,522220
2021-02-25,24.8949,25.2733,24.0982,24.6310,812789
2021-02-26,24.4766,24.8152,23.2518,23.8592,857229
2021-03-01,24.0186,24.8052,23.9289,24.0484,661816
2021-03-02,24.4766,25.2932,24.3074,24.4567,827198
2021-03-03,25.0044,26.0799,23.9489,25.1040,1882930
2021-03-04,25.7719,26.3886,24.0285,25.5521,2006059
2021-03-05,25.7811,26.2392,23.5008,24.4368,1585232
2021-03-08,24.8849,27.8823,24.3074,26.8466,3115163
2021-03-09,27.0956,27.3844,24.9048,24.9845,2245311
2021-03-10,25.5650,25.5650,23.8692,24.4766,1815239
2021-03-11,24.9646,25.0243,24.1480,24.8949,993429
2021-03-12,24.6459,25.6218,24.6260,25.5919,896422
2021-03-15,25.6218,25.9604,24.9347,25.4226,928711
2021-03-16,25.5421,25.5421,23.9489,24.1480,973634
2021-03-17,24.0484,25.3828,24.0285,25.0542,839640
2021-03-18,25.0044,25.9305,24.8351,24.9845,880511
2021-03-19,24.8098,25.9106,24.6658,25.5521,1769461
2021-03-22,25.5919,26.5877,25.0841,25.6019,904829
2021-03-23,25.8907,25.8907,24.3472,24.3571,962563
2021-03-24,24.4667,24.7654,23.1304,23.4908,1638956
2021-03-25,23.1821,24.1144,22.6942,23.8294,1647478
2021-03-26,23.8194,24.7355,23.5207,24.5463,775574
2021-03-29,24.8750,25.2831,23.9489,24.1679,2386117
2021-03-30,24.6559,27.2848,24.1264,26.7670,4873375
2021-03-31,25.6716,27.5391,24.3970,26.8765,5036257
2021-04-01,26.9661,29.2465,26.5081,28.9179,3609718
2021-04-05,31.0987,33.1102,29.6249,31.5667,6206484
2021-04-06,32.9608,33.5981,30.0033,31.0090,4650566
2021-04-07,31.4173,31.8754,30.2821,30.6506,2363667
2021-04-08,29.3959,29.5651,28.2706,28.9278,7527051
2021-04-09,30.8497,31.8654,29.2166,30.7103,5548871
2021-04-12,29.9963,32.4624,29.9137,32.1542,3405015
2021-04-13,32.1841,32.3335,30.4912,31.5468,2722034
2021-04-14,31.5767,31.8654,30.2230,30.6904,1755357
2021-04-15,30.5908,31.2680,29.6249,30.4116,1909179
2021-04-16,30.5709,30.9294,29.7942,30.6406,1960756
2021-04-19,30.9194,31.8654,30.1231,31.7858,2113376
2021-04-20,31.8654,31.9949,30.1527,31.2680,2019308
2021-04-21,31.3576,31.6563,30.7800,31.0090,1519320
2021-04-22,31.2680,31.4173,30.0232,30.3917,1484857
2021-04-23,30.3618,32.3534,30.1427,31.9750,1695489
2021-04-26,31.8654,32.2936,30.7900,31.2879,1517277
2021-04-27,31.1982,32.2538,30.6207,31.2978,1855877
2021-04-28,31.4173,31.5020,30.7004,30.8497,947398
2021-04-29,31.1883,31.3576,30.1825,30.6705,1345119
2021-04-30,30.5609,30.9493,29.7245,30.6804,1331000
2021-05-03,30.7800,31.5866,30.3717,31.0489,1203776
2021-05-04,30.1029,31.0987,29.0375,30.6705,3489203
2021-05-05,31.0987,33.6081,30.8696,33.1500,5507551
