"MacroTrends Data Download"
"BBY - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1985-04-19,0.1071,0.1082,0.1071,0.1071,13057200
1985-04-22,0.1071,0.1071,0.1071,0.1071,2890809
1985-04-23,0.1071,0.1071,0.1051,0.1051,5718600
1985-04-24,0.1051,0.1061,0.1051,0.1051,2122200
1985-04-25,0.1012,0.1012,0.1001,0.1001,6172200
1985-04-26,0.1001,0.1001,0.0982,0.0982,2381400
1985-04-29,0.0972,0.0972,0.0952,0.0952,2502009
1985-04-30,0.0952,0.0982,0.0952,0.0952,2745009
1985-05-01,0.0923,0.0923,0.0902,0.0902,5029209
1985-05-02,0.0902,0.0913,0.0893,0.0893,1805409
1985-05-03,0.0923,0.0952,0.0923,0.0923,1740609
1985-05-06,0.0942,0.0972,0.0942,0.0942,217809
1985-05-07,0.0952,0.0982,0.0952,0.0952,1983609
1985-05-08,0.0952,0.0982,0.0952,0.0952,307800
1985-05-09,0.1001,0.1051,0.1001,0.1001,1701000
1985-05-10,0.1032,0.1051,0.1032,0.1032,2356209
1985-05-13,0.1042,0.1061,0.1042,0.1042,1247400
1985-05-14,0.1042,0.1061,0.1042,0.1042,437400
1985-05-15,0.1042,0.1051,0.1042,0.1042,1701000
1985-05-16,0.1071,0.1101,0.1071,0.1071,3101409
1985-05-17,0.1151,0.1161,0.1151,0.1151,3101409
1985-05-20,0.1151,0.1151,0.1131,0.1131,1895400
1985-05-21,0.1131,0.1131,0.1082,0.1082,1879200
1985-05-22,0.1101,0.1151,0.1101,0.1101,2948400
1985-05-23,0.1101,0.1131,0.1082,0.1082,2907009
1985-05-24,0.1082,0.1131,0.1082,0.1082,784809
1985-05-28,0.1101,0.1131,0.1101,0.1101,574209
1985-05-29,0.1101,0.1131,0.1101,0.1101,525609
1985-05-30,0.1101,0.1151,0.1101,0.1101,1652400
1985-05-31,0.1151,0.1161,0.1151,0.1151,1303209
1985-06-03,0.1161,0.1210,0.1161,0.1161,1360800
1985-06-04,0.1161,0.1210,0.1161,0.1161,1587600
1985-06-05,0.1161,0.1210,0.1161,0.1161,712800
1985-06-06,0.1180,0.1250,0.1180,0.1180,1837809
1985-06-07,0.1210,0.1250,0.1210,0.1210,826200
1985-06-10,0.1210,0.1250,0.1210,0.1210,486000
1985-06-11,0.1220,0.1260,0.1220,0.1220,2608200
1985-06-12,0.1220,0.1230,0.1210,0.1210,1465209
1985-06-13,0.1161,0.1161,0.1101,0.1101,1717200
1985-06-14,0.1131,0.1161,0.1131,0.1131,113400
1985-06-17,0.1131,0.1161,0.1101,0.1101,761400
1985-06-18,0.1101,0.1161,0.1101,0.1101,558009
1985-06-19,0.1101,0.1161,0.1101,0.1101,307800
1985-06-20,0.1101,0.1151,0.1101,0.1101,1270809
1985-06-21,0.1071,0.1071,0.1032,0.1032,1594809
1985-06-24,0.1032,0.1071,0.1001,0.1001,356400
1985-06-25,0.1071,0.1101,0.1071,0.1071,1449009
1985-06-26,0.1071,0.1082,0.1051,0.1051,720009
1985-06-27,0.1051,0.1071,0.1032,0.1032,428409
1985-06-28,0.1032,0.1051,0.1001,0.1001,736209
1985-07-01,0.1001,0.1032,0.1001,0.1001,810000
1985-07-02,0.1001,0.1032,0.1001,0.1001,930609
1985-07-03,0.1032,0.1051,0.1032,0.1032,1546209
1985-07-05,0.1032,0.1051,0.1032,0.1032,356400
1985-07-08,0.1051,0.1071,0.1051,0.1051,1150200
1985-07-09,0.1051,0.1071,0.1051,0.1051,1724409
1985-07-10,0.1051,0.1071,0.1032,0.1032,259200
1985-07-11,0.1131,0.1161,0.1131,0.1131,2826009
1985-07-12,0.1161,0.1210,0.1161,0.1161,2210409
1985-07-15,0.1161,0.1180,0.1151,0.1151,865809
1985-07-16,0.1210,0.1250,0.1210,0.1210,4649400
1985-07-17,0.1250,0.1260,0.1250,0.1250,3304800
1985-07-18,0.1230,0.1230,0.1210,0.1210,4834809
1985-07-19,0.1210,0.1210,0.1161,0.1161,955800
1985-07-22,0.1161,0.1180,0.1161,0.1161,2291409
1985-07-23,0.1161,0.1180,0.1151,0.1151,1513809
1985-07-24,0.1151,0.1180,0.1151,0.1151,664200
1985-07-25,0.1151,0.1180,0.1151,0.1151,421200
1985-07-26,0.1151,0.1180,0.1151,0.1151,81000
1985-07-29,0.1151,0.1180,0.1151,0.1151,234009
1985-07-30,0.1151,0.1180,0.1151,0.1151,1441800
1985-07-31,0.1161,0.1230,0.1161,0.1161,858600
1985-08-01,0.1180,0.1210,0.1180,0.1180,194400
1985-08-02,0.1180,0.1210,0.1180,0.1180,145800
1985-08-05,0.1180,0.1210,0.1161,0.1161,169209
1985-08-06,0.1161,0.1180,0.1151,0.1151,493209
1985-08-07,0.1151,0.1180,0.1131,0.1131,833409
1985-08-08,0.1151,0.1161,0.1151,0.1151,379809
1985-08-09,0.1161,0.1180,0.1161,0.1161,712800
1985-08-12,0.1161,0.1180,0.1161,0.1161,185409
1985-08-13,0.1161,0.1180,0.1161,0.1161,340200
1985-08-14,0.1210,0.1230,0.1210,0.1210,817209
1985-08-15,0.1230,0.1250,0.1230,0.1230,671409
1985-08-16,0.1230,0.1230,0.1180,0.1180,687609
1985-08-19,0.1180,0.1230,0.1180,0.1180,363609
1985-08-20,0.1210,0.1250,0.1210,0.1210,599400
1985-08-21,0.1210,0.1250,0.1210,0.1210,502200
1985-08-22,0.1210,0.1230,0.1210,0.1210,1270809
1985-08-23,0.1210,0.1230,0.1210,0.1210,405000
1985-08-26,0.1210,0.1230,0.1210,0.1210,72009
1985-08-27,0.1250,0.1260,0.1250,0.1250,1724409
1985-08-28,0.1329,0.1389,0.1329,0.1329,2592000
1985-08-29,0.1339,0.1389,0.1339,0.1339,1465209
1985-08-30,0.1359,0.1428,0.1359,0.1359,1571400
1985-09-03,0.1428,0.1439,0.1428,0.1428,1983609
1985-09-04,0.1398,0.1398,0.1359,0.1359,3587409
1985-09-05,0.1389,0.1428,0.1389,0.1389,891000
1985-09-06,0.1408,0.1439,0.1408,0.1408,1539000
1985-09-09,0.1428,0.1458,0.1428,0.1428,777600
1985-09-10,0.1428,0.1439,0.1408,0.1408,583200
1985-09-11,0.1408,0.1428,0.1389,0.1389,1733400
1985-09-12,0.1389,0.1408,0.1389,0.1389,736209
1985-09-13,0.1389,0.1389,0.1329,0.1329,1733400
1985-09-16,0.1329,0.1339,0.1309,0.1309,599400
1985-09-17,0.1309,0.1339,0.1309,0.1309,444609
1985-09-18,0.1309,0.1339,0.1309,0.1309,243000
1985-09-19,0.1309,0.1339,0.1309,0.1309,648000
1985-09-20,0.1309,0.1339,0.1309,0.1309,477009
1985-09-23,0.1329,0.1359,0.1329,0.1329,810000
1985-09-24,0.1329,0.1359,0.1329,0.1329,486000
1985-09-25,0.1329,0.1359,0.1329,0.1329,995409
