"MacroTrends Data Download"
"CALM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-12-12,1.1920,1.1920,1.1098,1.1196,1984400
1996-12-13,1.1311,1.1920,1.0884,1.1706,996800
1996-12-16,1.1920,1.1920,1.1311,1.1311,122000
1996-12-17,1.1509,1.1920,1.1509,1.1657,239200
1996-12-18,1.1920,1.1920,1.1509,1.1920,216400
1996-12-19,1.1920,1.1920,1.1098,1.1509,112000
1996-12-20,1.1509,1.1706,1.1098,1.1410,138800
1996-12-23,1.1706,1.1920,1.1098,1.1509,347600
1996-12-24,1.1098,1.1706,1.1098,1.1311,208400
1996-12-26,1.1509,1.1920,1.1509,1.1706,644000
1996-12-27,1.1920,1.1920,1.1607,1.1706,219600
1996-12-30,1.1920,1.2331,1.1706,1.2331,646800
1996-12-31,1.2528,1.3778,1.2134,1.3153,453600
1997-01-02,1.3153,1.3769,1.3153,1.3358,339200
1997-01-03,1.3564,1.4180,1.3358,1.4180,560800
1997-01-06,1.4386,1.5413,1.3975,1.4591,964000
1997-01-07,1.4386,1.4591,1.3873,1.3975,158000
1997-01-08,1.4180,1.4180,1.3358,1.3358,182800
1997-01-09,1.3358,1.4180,1.3358,1.3769,220800
1997-01-10,1.3769,1.3975,1.3358,1.3462,134800
1997-01-13,1.3358,1.3975,1.2947,1.3564,190400
1997-01-14,1.3564,1.3975,1.3564,1.3769,173600
1997-01-15,1.3769,1.3975,1.2536,1.3051,144000
1997-01-16,1.3153,1.3256,1.2742,1.2947,226000
1997-01-17,1.3051,1.3153,1.2742,1.3153,128000
1997-01-20,1.3256,1.3256,1.3051,1.3256,42800
1997-01-21,1.3153,1.3564,1.2947,1.3358,162400
1997-01-22,1.3564,1.3564,1.2742,1.2947,562000
1997-01-23,1.3153,1.3256,1.2742,1.3153,138800
1997-01-24,1.3051,1.3358,1.2845,1.3153,187200
1997-01-27,1.3153,1.3358,1.2947,1.3153,103200
1997-01-28,1.3153,1.3358,1.2947,1.3153,211600
1997-01-29,1.3153,1.3564,1.3051,1.3051,76400
1997-01-30,1.2947,1.3153,1.2742,1.2742,48800
1997-01-31,1.3153,1.3153,1.2742,1.2947,190800
1997-02-03,1.2947,1.3153,1.2742,1.3153,127600
1997-02-04,1.2947,1.3153,1.2947,1.3153,160800
1997-02-05,1.2947,1.3153,1.2845,1.3153,114000
1997-02-06,1.2947,1.3153,1.2947,1.2947,190800
1997-02-07,1.2947,1.3358,1.2947,1.3153,131200
1997-02-10,1.3204,1.3204,1.2742,1.3051,144800
1997-02-11,1.3051,1.3153,1.2742,1.3153,207200
1997-02-12,1.3153,1.3153,1.2947,1.3153,34400
1997-02-13,1.3153,1.3153,1.2947,1.2947,42800
1997-02-14,1.3153,1.3153,1.2947,1.2947,17600
1997-02-18,1.3051,1.3153,1.2947,1.2947,269200
1997-02-19,1.2947,1.3564,1.2947,1.3256,266800
1997-02-20,1.3153,1.3564,1.3153,1.3153,235600
1997-02-21,1.3358,1.3358,1.3051,1.3204,184000
1997-02-24,1.3153,1.3358,1.2947,1.3204,163600
