"MacroTrends Data Download"
"COST - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1986-07-09,6.6353,6.8681,6.5577,6.8293,1116801
1986-07-10,6.8681,6.9069,6.6353,6.7905,595600
1986-07-11,6.7517,6.7905,6.5577,6.5577,800400
1986-07-14,6.5965,6.5965,6.2860,6.3637,738000
1986-07-15,6.3249,6.3249,5.7816,6.1696,2059201
1986-07-16,6.1696,6.5189,6.1696,6.2860,1160401
1986-07-17,6.2860,6.3637,6.2084,6.3249,1046002
1986-07-18,6.3249,6.4226,6.2084,6.3637,1420002
1986-07-21,6.3637,6.4025,6.3249,6.3637,322802
1986-07-22,6.3637,6.3838,6.3249,6.3249,390800
1986-07-23,6.3637,6.3637,6.2084,6.2472,1004001
1986-07-24,6.2472,6.2860,6.0920,6.1696,1071599
1986-07-25,6.1696,6.2860,6.1308,6.2472,688401
1986-07-28,6.2472,6.3637,6.1898,6.2860,414802
1986-07-29,6.2084,6.3249,6.2084,6.3249,278401
1986-07-30,6.2472,6.2860,6.1308,6.2860,459199
1986-07-31,6.2860,6.3637,6.2084,6.2472,1213598
1986-08-01,6.2084,6.2860,6.0532,6.0532,1117999
1986-08-04,6.0920,6.0920,5.9182,6.0532,892400
1986-08-05,6.0532,6.0532,5.8980,5.9368,868799
1986-08-06,5.9368,5.9756,5.6652,5.6652,550401
1986-08-07,5.5876,5.6264,5.0444,5.1996,7560000
1986-08-08,5.2384,5.5488,5.1996,5.5100,2801998
1986-08-11,5.5876,5.6652,5.5100,5.6652,1428001
1986-08-12,5.6652,5.8592,5.6652,5.8204,1155199
1986-08-13,5.8592,6.2674,5.8204,6.0144,865601
1986-08-14,6.0532,6.0920,5.8204,5.8980,761998
1986-08-15,5.8980,5.8980,5.7040,5.8204,654400
1986-08-18,5.8592,6.1308,5.7428,6.0144,606801
1986-08-19,6.0532,6.0532,5.8980,5.9368,2743999
1986-08-20,5.9368,5.9368,5.8204,5.8980,500001
1986-08-21,5.8980,5.9368,5.8592,5.8592,353200
1986-08-22,5.8980,5.9368,5.8204,5.8204,285999
1986-08-25,5.8980,5.8980,5.6652,5.7428,766399
