"MacroTrends Data Download"
"DOLE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-07-30,14.5525,14.9406,14.0674,14.0674,8340349
2021-08-02,14.7465,15.3092,14.6398,14.8242,3158492
2021-08-03,14.9697,15.0279,14.5428,14.6107,1431780
2021-08-04,14.5525,15.2219,14.5525,14.6301,1719706
2021-08-05,14.8727,15.0279,14.5622,14.6689,837129
2021-08-06,14.5816,14.9018,14.5816,14.6010,526135
2021-08-09,14.8145,14.9309,14.6641,14.7562,624098
2021-08-10,14.9406,15.0182,14.7950,14.9018,1659342
2021-08-11,15.0376,15.2801,14.8727,14.8727,611879
2021-08-12,14.8921,15.1637,14.7950,14.8048,459005
2021-08-13,14.9697,15.3286,14.8630,15.3092,622670
2021-08-16,15.5227,15.5809,15.3772,15.4839,1012741
2021-08-17,15.4839,15.5421,14.8436,15.1637,1203341
2021-08-18,15.2704,15.3577,15.0279,15.0376,438634
2021-08-19,14.8921,15.0958,14.7756,14.8048,290584
2021-08-20,14.7659,15.4742,14.7659,15.4063,247854
2021-08-23,15.4742,15.6682,15.1201,15.5712,863173
2021-08-24,15.8137,16.0369,15.0376,15.6100,2242870
2021-08-25,15.6100,15.7167,15.3286,15.5809,493715
2021-08-26,15.5615,15.8428,15.5227,15.8331,294459
2021-08-27,15.9593,15.9981,15.7458,15.7846,358981
2021-08-30,15.8525,15.9107,15.4451,15.4548,429511
2021-08-31,15.5421,15.7846,15.4257,15.5712,470592
2021-09-01,15.7652,15.8913,15.6197,15.8719,299568
2021-09-02,15.9593,15.9593,15.7167,15.7458,183376
