"MacroTrends Data Download"
"EDBL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2022-05-05,3.0000,3.0000,2.4600,2.8900,3932290
2022-05-06,2.5700,2.8459,2.5400,2.8300,1701730
2022-05-09,2.7900,2.9700,2.5200,2.6000,1626981
2022-05-10,2.6000,2.8600,2.4800,2.6000,1110421
2022-05-11,2.3800,2.5200,2.1000,2.1400,785754
2022-05-12,2.0500,2.1400,1.8100,1.8700,788442
2022-05-13,1.8500,2.0799,1.6700,1.8300,1562205
2022-05-16,1.8800,2.1300,1.8600,2.0200,1050768
2022-05-17,2.0300,2.0800,1.7800,1.8800,274259
2022-05-18,1.9700,1.9994,1.6200,1.7600,412602
2022-05-19,1.7200,1.8333,1.6200,1.7611,157841
2022-05-20,1.7400,1.7700,1.6000,1.6200,166486
2022-05-23,1.5900,1.7900,1.5200,1.7700,252371
2022-05-24,1.6400,1.7500,1.6200,1.7100,133268
2022-05-25,1.7000,1.8900,1.5800,1.8700,431165
2022-05-26,1.8200,1.9700,1.8000,1.9400,223730
2022-05-27,1.8400,2.0100,1.8400,1.9400,119578
2022-05-31,1.9400,2.0600,1.7600,1.8700,159916
2022-06-01,1.8200,1.8300,1.7000,1.7900,45343
2022-06-02,1.8000,1.8100,1.6000,1.7800,100869
2022-06-03,1.6600,1.7900,1.6600,1.7400,61292
2022-06-06,1.7300,1.8500,1.6700,1.7500,166195
2022-06-07,1.6846,1.7500,1.6300,1.6600,56878
2022-06-08,1.7400,1.8400,1.6300,1.7100,116604
2022-06-09,1.7312,1.7312,1.6000,1.6700,92974
2022-06-10,1.6800,1.6900,1.6088,1.6300,50022
2022-06-13,1.6000,1.7000,1.4300,1.5300,215607
2022-06-14,1.5300,1.6600,1.4600,1.5000,132160
2022-06-15,1.5800,1.6050,1.4515,1.5200,46574
2022-06-16,1.5800,1.6600,1.5202,1.5800,81381
2022-06-17,1.6200,1.7335,1.4200,1.4500,137059
2022-06-21,1.5500,1.8200,1.5200,1.7300,564852
2022-06-22,1.7400,1.7400,1.5600,1.5800,260170
2022-06-23,1.5900,1.6000,1.3801,1.4500,243363
2022-06-24,1.4500,1.5000,1.4000,1.4500,118396
2022-06-27,1.4500,1.4500,1.2901,1.3300,107313
2022-06-28,1.2800,1.4800,1.2700,1.3800,87282
2022-06-29,1.3675,1.3700,1.2700,1.2700,45435
2022-06-30,1.2700,1.4700,1.2500,1.2900,534265
2022-07-01,1.4000,1.4000,1.1800,1.1800,105083
2022-07-05,1.1800,1.1800,1.0600,1.0900,100693
2022-07-06,1.0300,1.1900,1.0300,1.1700,65933
2022-07-07,1.1900,1.1999,1.1400,1.1800,19310
2022-07-08,1.1500,1.2400,1.1400,1.1800,60623
2022-07-11,1.1800,1.2500,1.1600,1.1988,61508
2022-07-12,1.2000,1.3100,1.2000,1.3000,202230
2022-07-13,1.2600,1.3395,1.2600,1.3172,27955
2022-07-14,1.3300,1.3300,1.2400,1.2800,56040
2022-07-15,1.2700,1.3100,1.2500,1.2600,46799
2022-07-18,1.2501,1.2800,1.2000,1.2300,33169
2022-07-19,1.3100,1.3281,1.2001,1.2400,22993
2022-07-20,1.2700,1.3000,1.1800,1.2000,27908
2022-07-21,1.1900,1.2000,1.1550,1.1900,16536
2022-07-22,1.1898,1.1900,1.1100,1.1500,12769
2022-07-25,1.1200,1.1800,1.0900,1.1100,88237
2022-07-26,1.0801,1.1399,1.0500,1.0650,72500
2022-07-27,1.0500,1.1099,1.0400,1.0850,90330
2022-07-28,1.0902,1.2637,1.0902,1.2500,157767
2022-07-29,1.2900,1.3800,1.2100,1.3300,497062
2022-08-01,1.3600,1.3600,1.2142,1.2500,87221
2022-08-02,1.2100,1.4700,1.1812,1.3700,563674
2022-08-03,1.4000,1.5900,1.2700,1.3500,737909
2022-08-04,1.3700,1.4100,1.1500,1.2100,358033
2022-08-05,1.1800,1.2499,1.1200,1.1700,157112
2022-08-08,1.1500,1.2300,1.1500,1.1610,119847
2022-08-09,1.2100,1.2100,1.1400,1.1400,50837
2022-08-10,1.1600,1.2300,1.1400,1.2000,100942
2022-08-11,1.1800,1.2500,1.1500,1.1600,57815
2022-08-12,1.2100,1.2100,1.1400,1.1700,40767
2022-08-15,1.1800,1.2400,1.1500,1.1800,32208
2022-08-16,1.2600,1.2600,1.0400,1.0900,157072
2022-08-17,1.1200,1.1200,1.0500,1.0800,38199
2022-08-18,1.0938,2.1500,1.0700,1.3400,12348002
2022-08-19,1.2400,1.2600,1.1200,1.2200,624743
2022-08-22,1.1600,1.3200,1.1300,1.1800,759862
2022-08-23,1.1500,1.2684,1.0700,1.1000,266542
2022-08-24,1.1200,1.1900,1.0501,1.0700,156261
2022-08-25,1.1000,1.1280,1.0500,1.0750,136258
2022-08-26,1.0701,1.0900,1.0100,1.0200,108616
2022-08-29,1.0000,1.0099,0.8616,0.8951,359687
2022-08-30,0.8951,0.8951,0.8011,0.8400,155443
2022-08-31,0.8370,0.8599,0.8100,0.8221,114059
2022-09-01,0.8600,0.8645,0.7863,0.8000,43022
2022-09-02,0.8500,0.8925,0.7623,0.7982,95905
2022-09-06,0.8343,0.8343,0.7800,0.8100,45113
2022-09-07,0.8268,0.8711,0.7800,0.8300,66386
2022-09-08,0.8000,0.8400,0.8000,0.8030,28946
2022-09-09,0.8400,0.8780,0.8200,0.8200,20031
2022-09-12,0.8500,0.9789,0.8201,0.9320,117329
2022-09-13,0.9900,0.9900,0.8816,0.8949,57157
2022-09-14,0.9396,0.9900,0.8500,0.9484,280341
2022-09-15,0.9100,0.9760,0.8700,0.9100,104824
2022-09-16,0.8755,0.9400,0.8600,0.9072,25410
2022-09-19,0.8300,0.9000,0.8119,0.8400,53679
2022-09-20,0.8500,0.8925,0.8100,0.8600,112898
2022-09-21,0.8584,0.9400,0.8321,0.8327,203640
2022-09-22,0.8316,0.8531,0.8162,0.8289,66329
2022-09-23,0.8235,0.8300,0.7300,0.7322,50204
2022-09-26,0.7322,0.7875,0.7303,0.7306,60684
2022-09-27,0.7500,0.7700,0.7100,0.7100,12928
2022-09-28,0.7299,0.7425,0.6500,0.6843,52792
2022-09-29,0.6800,0.6800,0.6201,0.6580,32610
2022-09-30,0.6222,0.6899,0.6222,0.6300,14520
2022-10-03,0.6721,0.6721,0.6011,0.6201,25234
2022-10-04,0.6655,0.6849,0.6233,0.6674,4619
2022-10-05,0.6700,0.7299,0.6500,0.6928,28170
2022-10-06,0.7500,0.8005,0.6800,0.7800,60738
2022-10-07,0.7566,0.8200,0.6021,0.7387,43158
2022-10-10,0.7756,0.7756,0.6200,0.6200,55332
2022-10-11,0.6200,0.6798,0.6200,0.6502,50882
2022-10-12,0.6502,0.6999,0.6100,0.6598,26815
2022-10-13,0.6000,0.6868,0.6000,0.6551,32503
2022-10-14,0.7350,0.7350,0.6100,0.6338,9075
2022-10-17,0.6022,0.6732,0.5001,0.5956,89737
2022-10-18,0.5669,0.6500,0.5200,0.5810,32682
2022-10-19,0.6543,0.6563,0.5207,0.5955,22047
2022-10-20,0.6252,0.6601,0.5456,0.5504,10086
2022-10-21,0.5779,0.6999,0.5000,0.5110,42988
2022-10-24,0.5500,0.8500,0.4900,0.5710,1460916
2022-10-25,0.6000,0.6918,0.5777,0.6593,153573
2022-10-26,0.6000,0.7303,0.6000,0.6603,65587
2022-10-27,0.6603,0.7800,0.6105,0.6900,39022
2022-10-28,0.6541,0.7409,0.6541,0.7125,22386
