"MacroTrends Data Download"
"GRAB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-12-02,13.0550,13.2900,8.1300,8.7500,35343403
2021-12-03,9.1600,9.5200,8.4500,8.9900,29521758
2021-12-06,8.9500,9.1000,8.2300,9.0000,25316483
2021-12-07,9.0550,9.0600,8.3200,8.8500,25775900
2021-12-08,8.6700,8.9900,8.5500,8.8900,26070592
2021-12-09,8.6136,8.6136,7.6000,8.0800,35998707
2021-12-10,7.9800,7.9800,6.9300,7.1200,39458523
2021-12-13,6.8845,7.2800,6.8500,7.1700,16661149
2021-12-14,7.0600,7.0800,5.9100,6.7900,32710581
2021-12-15,6.8200,7.1699,6.7500,7.1400,26367299
2021-12-16,7.1978,7.5700,7.1500,7.2500,21032222
2021-12-17,7.0400,7.6400,6.9100,7.5700,21838683
2021-12-20,7.2100,7.3200,6.9700,7.3000,9565538
2021-12-21,7.3500,7.4400,7.1100,7.3000,5526357
2021-12-22,7.2500,7.3600,7.2000,7.3400,4340976
2021-12-23,7.3200,7.3800,7.2600,7.3500,13334977
2021-12-27,7.5200,7.5300,7.0300,7.0900,11795311
2021-12-28,7.1000,7.2300,6.8800,6.9800,13883276
2021-12-29,6.9800,7.0100,6.6200,6.9600,7260911
2021-12-30,6.8000,7.2600,6.7900,7.1500,7287319
2021-12-31,7.0200,7.3000,6.9800,7.1300,8801369
2022-01-03,7.1300,7.2500,7.1050,7.2200,4682992
2022-01-04,7.2600,7.3300,7.1900,7.2900,5860358
2022-01-05,7.2500,7.2700,6.7100,6.9000,30493276
2022-01-06,6.6400,6.7800,6.4400,6.6500,18579091
2022-01-07,6.6500,6.8400,6.5200,6.8100,20750243
2022-01-10,6.6600,6.7000,6.1725,6.6000,25127160
2022-01-11,6.5900,6.8100,6.2201,6.5400,32198850
2022-01-12,6.5700,6.6000,6.1700,6.2500,12219347
2022-01-13,6.2400,6.2600,5.9800,6.1100,23924187
2022-01-14,5.9800,6.0600,5.8100,6.0400,14419737
2022-01-18,5.8600,5.8899,5.4000,5.5400,37354971
2022-01-19,5.6500,5.9400,5.5100,5.6500,15732895
2022-01-20,5.7300,5.9700,5.7100,5.9400,19168310
2022-01-21,5.7300,5.8000,5.4950,5.6000,41223555
2022-01-24,5.3900,5.5900,5.1700,5.5600,26701147
2022-01-25,5.4400,6.0100,5.3700,5.8200,23556053
2022-01-26,5.9400,6.2600,5.8000,5.9400,49719974
2022-01-27,5.9900,6.0250,5.5500,5.7100,35916108
2022-01-28,5.6700,5.6900,5.2100,5.5100,34777131
2022-01-31,5.4600,5.9200,5.3500,5.6600,15229712
2022-02-01,5.6700,5.8900,5.6100,5.7000,8849184
2022-02-02,5.7000,5.7623,5.3900,5.4800,7865324
2022-02-03,5.4700,5.5000,4.9600,4.9800,14832867
2022-02-04,5.0800,5.4000,4.9500,5.3200,16122968
2022-02-07,5.3800,5.4900,5.2700,5.3400,8674714
2022-02-08,5.3000,5.3000,5.1000,5.2100,6818085
2022-02-09,5.2600,5.5800,5.2000,5.5500,8183791
2022-02-10,5.8600,6.6100,5.8100,6.3500,60351012
2022-02-11,6.1300,6.3100,5.7600,5.8900,25076148
2022-02-14,5.8200,6.1300,5.7700,5.9200,21785549
