"MacroTrends Data Download"
"GROV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-05-13,9.8500,9.8500,9.8500,9.8500,311
2021-05-14,9.8500,10.0000,9.8500,10.0000,2205
2021-05-17,10.0000,10.0000,9.8490,9.8490,2871
2021-05-18,9.8490,9.8490,9.8490,9.8490,14
2021-05-19,9.8490,9.8490,9.8490,9.8490,0
2021-05-20,9.8490,9.8490,9.8490,9.8490,14
2021-05-21,10.0000,10.1500,9.8500,9.8500,5390
2021-05-24,10.0300,10.0300,9.8400,9.8400,1157
2021-05-25,9.8000,9.8200,9.8000,9.8200,537
2021-05-26,10.3000,10.3000,9.7814,9.8000,12139
2021-05-27,9.8350,9.8350,9.8350,9.8350,348
2021-05-28,9.8350,9.8350,9.8350,9.8350,343
2021-06-01,9.8350,9.8350,9.8350,9.8350,185
2021-06-02,9.9500,9.9500,9.8400,9.8400,1960
2021-06-03,9.8100,9.8100,9.8000,9.8000,2632
2021-06-04,9.8000,9.8000,9.7999,9.8000,672
2021-06-07,9.8000,9.8000,9.8000,9.8000,231
2021-06-08,10.5499,10.5499,9.7600,9.7800,854018
2021-06-09,9.8800,9.8800,9.7800,9.7900,8256
2021-06-10,9.9100,9.9100,9.7700,9.9000,6664
2021-06-11,9.9500,9.9500,9.7500,9.8500,613868
2021-06-14,9.8000,9.8500,9.7700,9.8000,27093
2021-06-15,9.8000,9.8001,9.7900,9.8000,21855
2021-06-16,9.7700,9.7999,9.7700,9.7800,22848
2021-06-17,9.7900,9.8400,9.7700,9.7700,5202
2021-06-18,9.8000,9.8000,9.7700,9.7700,11497
2021-06-21,9.8400,9.8400,9.8000,9.8000,4288
2021-06-22,9.8301,9.8301,9.7800,9.7800,1356
2021-06-23,9.9500,9.9500,9.7700,9.7800,5832
2021-06-24,9.8600,9.8600,9.7800,9.7800,27560
2021-06-25,9.8600,9.8600,9.7600,9.8100,65963
2021-06-28,9.7800,9.8100,9.7700,9.7800,173733
2021-06-29,9.8000,9.8000,9.7500,9.7700,21157
2021-06-30,9.8600,9.8600,9.7700,9.7900,9797
2021-07-01,9.8300,9.8300,9.7600,9.8000,4472
2021-07-02,9.8000,9.8000,9.7700,9.7700,21839
2021-07-06,9.7800,9.7800,9.7200,9.7200,136062
2021-07-07,9.7600,9.7799,9.7600,9.7700,6838
2021-07-08,9.7500,9.7700,9.7500,9.7500,1490
2021-07-09,9.7305,9.7800,9.7300,9.7500,7530
2021-07-12,9.8600,9.8600,9.7500,9.7600,7771
2021-07-13,9.8500,9.8500,9.7900,9.7900,1199
2021-07-14,9.7800,9.7800,9.7200,9.7800,7415
2021-07-15,9.7573,9.7670,9.7573,9.7600,1116
2021-07-16,9.8000,9.8000,9.7500,9.7500,1383
2021-07-19,9.7400,9.7400,9.7400,9.7400,1054
2021-07-20,9.7700,9.7700,9.7700,9.7700,744
2021-07-21,9.7700,9.7700,9.7538,9.7538,967
2021-07-22,9.7800,9.7800,9.7200,9.7400,2399
2021-07-23,9.7200,9.7900,9.7200,9.7200,2321
2021-07-26,9.7500,9.7500,9.7500,9.7500,1751
2021-07-27,9.7100,9.7800,9.7100,9.7700,1297
2021-07-28,9.8500,9.8500,9.7800,9.7800,904
2021-07-29,9.7461,9.7461,9.7461,9.7461,289
2021-07-30,9.8100,9.8100,9.7220,9.7500,13756
2021-08-02,9.7401,9.7401,9.7401,9.7401,571
2021-08-03,9.7200,9.7450,9.7200,9.7201,596
2021-08-04,9.7204,9.7204,9.7204,9.7204,1868
2021-08-05,9.8100,9.8100,9.8099,9.8099,310
2021-08-06,9.7900,9.7900,9.7700,9.7800,5070
2021-08-09,9.7800,9.7880,9.7800,9.7800,3741
2021-08-10,9.8216,9.8216,9.6800,9.7100,461770
2021-08-11,9.7100,9.7500,9.7100,9.7300,2948
2021-08-12,9.7100,9.7200,9.7100,9.7200,1679
2021-08-13,9.7100,9.7300,9.6900,9.6900,24320
2021-08-16,9.7100,9.7100,9.6700,9.6700,1374
2021-08-17,9.7700,9.7700,9.6800,9.6800,1337
2021-08-18,9.6600,9.6800,9.6600,9.6800,2737
2021-08-19,9.7000,9.7000,9.6700,9.6700,9329
2021-08-20,9.6701,9.6701,9.6701,9.6701,182
2021-08-23,9.7000,9.7000,9.6944,9.7000,861
2021-08-24,9.7000,9.7000,9.6600,9.6600,625
2021-08-25,9.6500,9.6900,9.6500,9.6500,4587
2021-08-26,9.6500,9.6500,9.6500,9.6500,205
2021-08-27,9.7200,9.7200,9.6700,9.6700,3624
2021-08-30,9.7200,9.7200,9.6700,9.6700,1145
2021-08-31,9.6600,9.7000,9.6600,9.7000,2153
2021-09-01,9.7100,9.7100,9.6700,9.6700,633
2021-09-02,9.7000,9.7100,9.6700,9.6700,7211
2021-09-03,9.6800,9.7800,9.6700,9.7800,1634130
2021-09-07,9.7300,9.7300,9.7000,9.7000,12282
2021-09-08,9.7800,9.7800,9.7200,9.7300,1719
2021-09-09,9.7425,9.7500,9.6700,9.7500,497019
2021-09-10,9.7700,9.7700,9.7200,9.7700,596
2021-09-13,9.7800,9.7800,9.7300,9.7400,1568
2021-09-14,9.7500,9.7500,9.7250,9.7500,6525
2021-09-15,9.7500,9.7500,9.7000,9.7250,7681
2021-09-16,9.6400,9.7600,9.6400,9.6950,11305
2021-09-17,9.7500,9.7500,9.7000,9.7000,2938
2021-09-20,9.6500,9.7400,9.6500,9.7100,2550
2021-09-21,9.7700,9.7700,9.7200,9.7700,1044
2021-09-22,9.7900,9.7900,9.7400,9.7400,557
2021-09-23,9.6700,9.7500,9.6700,9.7500,2513
2021-09-24,9.7200,9.7500,9.7000,9.7186,7336
2021-09-27,9.7500,9.7500,9.7100,9.7250,7012
2021-09-28,9.7100,9.7350,9.7100,9.7350,353
2021-09-29,9.7500,9.7500,9.7500,9.7500,492
2021-09-30,9.7500,9.7500,9.7100,9.7100,909
2021-10-01,9.7200,9.7400,9.7100,9.7200,3006
2021-10-04,9.7500,9.7500,9.7200,9.7200,3418
2021-10-05,9.7400,9.7500,9.7400,9.7500,1242
2021-10-06,9.7100,9.7500,9.7000,9.7500,532618
2021-10-07,9.7500,9.7500,9.7100,9.7500,1984
2021-10-08,9.7100,9.7500,9.7100,9.7500,1060
2021-10-11,9.7500,9.7500,9.7500,9.7500,236
2021-10-12,9.7500,9.7500,9.7500,9.7500,33
2021-10-13,9.7400,9.7400,9.7400,9.7400,819
2021-10-14,9.7399,9.7399,9.7399,9.7399,1087
2021-10-15,9.7500,9.7500,9.7300,9.7300,27416
2021-10-18,9.7300,9.7500,9.7300,9.7499,22885
2021-10-19,9.7300,9.7332,9.7300,9.7332,294
2021-10-20,9.7500,9.7500,9.7500,9.7500,2755
2021-10-21,9.7200,9.7200,9.7200,9.7200,260
