"MacroTrends Data Download"
"HSY - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1985-07-01,1.8083,1.8319,1.8083,1.8274,979200
1985-07-02,1.8319,1.8510,1.8319,1.8415,465600
1985-07-03,1.8415,1.8464,1.8369,1.8464,434400
1985-07-05,1.8464,1.8510,1.8319,1.8319,225600
1985-07-08,1.8319,1.8464,1.8224,1.8415,708000
1985-07-09,1.8415,1.8510,1.8415,1.8510,933600
1985-07-10,1.8510,1.8560,1.8415,1.8560,266400
1985-07-11,1.8560,1.8655,1.8415,1.8606,249600
1985-07-12,1.8560,1.8560,1.8319,1.8464,412800
1985-07-15,1.8464,1.8751,1.8319,1.8415,979200
1985-07-16,1.8415,1.8464,1.8224,1.8224,638400
1985-07-17,1.8224,1.8319,1.7938,1.8033,1015200
1985-07-18,1.8033,1.8083,1.7938,1.8033,273600
1985-07-19,1.8033,1.8083,1.7938,1.8033,715200
1985-07-22,1.8083,1.8224,1.8083,1.8224,564000
1985-07-23,1.8224,1.8274,1.7606,1.7606,662400
1985-07-24,1.7606,1.7701,1.7461,1.7461,883200
1985-07-25,1.7461,1.7556,1.6984,1.6984,573600
1985-07-26,1.6888,1.6888,1.6602,1.6697,1212000
1985-07-29,1.6888,1.6888,1.6602,1.6697,1212000
1985-07-30,1.6747,1.6938,1.6747,1.6938,849600
1985-07-31,1.6938,1.7174,1.6888,1.7129,823200
1985-08-01,1.7129,1.7365,1.7129,1.7320,746400
1985-08-02,1.7320,1.7415,1.7320,1.7365,460800
1985-08-05,1.7365,1.7365,1.7079,1.7174,307200
1985-08-06,1.7174,1.7320,1.7129,1.7129,434400
1985-08-07,1.7129,1.7174,1.6842,1.6984,338400
1985-08-08,1.6984,1.7079,1.6842,1.6888,283200
1985-08-09,1.6888,1.7079,1.6888,1.7033,770400
1985-08-12,1.7033,1.7320,1.6984,1.7320,753600
1985-08-13,1.7320,1.7320,1.7174,1.7270,168000
1985-08-14,1.7270,1.7270,1.7079,1.7174,559200
1985-08-15,1.7174,1.7174,1.6888,1.6984,552000
1985-08-16,1.6984,1.7033,1.6747,1.6747,789600
1985-08-19,1.6747,1.6793,1.6602,1.6747,542400
1985-08-20,1.6793,1.6938,1.6793,1.6888,204000
1985-08-21,1.6888,1.6938,1.6747,1.6747,319200
1985-08-22,1.6747,1.6747,1.6697,1.6697,160800
1985-08-23,1.6697,1.6747,1.6365,1.6365,796800
1985-08-26,1.6365,1.6556,1.6365,1.6556,734400
1985-08-27,1.6556,1.6602,1.6507,1.6556,345600
1985-08-28,1.6556,1.6556,1.6411,1.6507,648000
1985-08-29,1.6507,1.6507,1.6411,1.6411,585600
1985-08-30,1.6411,1.6793,1.6411,1.6697,856800
1985-09-03,1.6747,1.6938,1.6747,1.6938,340800
