"MacroTrends Data Download"
"JWN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1986-07-09,2.5564,2.7002,2.5404,2.6682,2464000
1986-07-10,2.6842,2.7161,2.6043,2.6682,1504800
1986-07-11,2.7002,2.8440,2.7002,2.7641,1391200
1986-07-14,2.7481,2.7641,2.6203,2.6363,956000
1986-07-15,2.6363,2.6522,2.5244,2.5404,1980000
1986-07-16,2.5404,2.6363,2.5404,2.5723,1939200
1986-07-17,2.5883,2.6842,2.5723,2.6363,792000
1986-07-18,2.6043,2.6363,2.5084,2.5883,1091200
1986-07-21,2.5883,2.5883,2.4765,2.5084,2722400
1986-07-22,2.5084,2.5723,2.4925,2.5244,2160000
1986-07-23,2.5404,2.5564,2.5084,2.5084,1838400
1986-07-24,2.5404,2.5404,2.4765,2.5084,889600
1986-07-25,2.5084,2.5883,2.4765,2.5723,2154400
1986-07-28,2.6043,2.6522,2.5564,2.5723,544800
1986-07-29,2.5723,2.5723,2.5084,2.5244,588800
1986-07-30,2.5244,2.5883,2.5084,2.5723,1020000
1986-07-31,2.5723,2.5723,2.5564,2.5564,520800
1986-08-01,2.5723,2.6043,2.5564,2.5883,2034400
1986-08-04,2.5883,2.5883,2.5244,2.5883,1010400
1986-08-05,2.5883,2.6842,2.5723,2.6363,591200
1986-08-06,2.6203,2.6203,2.5723,2.5723,754400
1986-08-07,2.7161,2.7481,2.6682,2.6842,7485600
1986-08-08,2.7002,2.7161,2.6682,2.7002,3580000
1986-08-11,2.7002,2.7161,2.6842,2.7161,1740000
1986-08-12,2.7161,2.8759,2.7002,2.8759,1915200
1986-08-13,2.8919,3.0676,2.8599,2.9878,3701600
1986-08-14,2.9878,3.0037,2.9238,2.9878,1064800
1986-08-15,2.9878,2.9878,2.8919,2.8919,918400
1986-08-18,2.9238,2.9238,2.7960,2.8759,1572800
1986-08-19,2.8919,2.9238,2.8599,2.8842,1133600
1986-08-20,2.8759,3.0197,2.8759,3.0037,780800
1986-08-21,3.0197,3.0836,3.0037,3.0836,1461600
1986-08-22,3.0676,3.0996,3.0357,3.0836,1480000
1986-08-25,3.0836,3.0996,3.0517,3.0996,907200
1986-08-26,3.0836,3.2114,3.0836,3.1955,1224000
1986-08-27,3.2274,3.2753,3.2114,3.2594,3426400
1986-08-28,3.2594,3.2594,3.1795,3.1795,3918400
1986-08-29,3.1795,3.1955,3.1558,3.1955,3042400
1986-09-02,3.1795,3.2114,3.1475,3.1475,2284800
1986-09-03,3.1475,3.1635,3.0996,3.1635,2845600
1986-09-04,3.1795,3.2114,3.1475,3.1635,1496000
1986-09-05,3.1795,3.1955,3.1315,3.1315,1764800
1986-09-08,3.1315,3.1475,3.0517,3.0836,2910400
1986-09-09,3.0676,3.0996,2.9398,2.9558,2332000
1986-09-10,2.9398,2.9718,2.9079,2.9398,2245600
1986-09-11,2.9079,2.9398,2.7002,2.7002,2044000
1986-09-12,2.7161,2.7161,2.6126,2.7161,2250400
1986-09-15,2.7161,2.7960,2.7002,2.7321,2560800
1986-09-16,2.7481,2.7481,2.6043,2.6522,1746400
1986-09-17,2.6682,2.7960,2.6522,2.7960,4079200
1986-09-18,2.7960,2.8280,2.7800,2.8120,1996000
1986-09-19,2.7960,2.8120,2.6842,2.7481,1429600
1986-09-22,2.7481,2.7641,2.7161,2.7641,565600
