"MacroTrends Data Download"
"LANC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1990-03-26,2.4101,2.4369,2.4101,2.4369,12700
1990-03-27,2.4101,2.4369,2.4101,2.4369,38500
1990-03-28,2.4101,2.4369,2.4101,2.4230,59400
1990-03-29,2.4101,2.4369,2.4101,2.4369,3900
1990-03-30,2.4101,2.4369,2.4101,2.4369,22500
1990-04-02,2.3833,2.3833,2.1959,2.2227,490500
1990-04-03,2.1959,2.2227,2.1156,2.1156,5704200
1990-04-04,2.0888,2.1959,2.0888,2.1691,984700
1990-04-05,2.1691,2.2366,2.1156,2.1295,644100
1990-04-06,2.1691,2.1691,2.1156,2.1423,210300
1990-04-09,2.1156,2.1423,2.1156,2.1295,379300
1990-04-10,2.1295,2.5708,2.1295,2.4637,1133700
1990-04-11,2.4905,2.4905,2.3566,2.4101,591100
1990-04-12,2.3833,2.4101,2.3030,2.3298,386400
1990-04-16,2.3833,2.4101,2.3566,2.4101,945700
1990-04-17,2.4101,2.4369,2.3566,2.3973,2228700
1990-04-18,2.3973,2.4101,2.3566,2.3566,75300
1990-04-19,2.3566,2.3833,2.3566,2.3833,384700
1990-04-20,2.3566,2.3833,2.3566,2.3833,35400
1990-04-23,2.3833,2.3833,2.3298,2.3298,249700
1990-04-24,2.3298,2.3694,2.3298,2.3694,329500
1990-04-25,2.3298,2.3833,2.3298,2.3566,93700
1990-04-26,2.3566,2.3566,2.3030,2.3030,38400
1990-04-27,2.3030,2.3566,2.3030,2.3030,357600
1990-04-30,2.3030,2.3298,2.3030,2.3030,150600
1990-05-01,2.3298,2.3566,2.3030,2.3159,42300
1990-05-02,2.3566,2.3566,2.3030,2.3298,130500
1990-05-03,2.3566,2.3566,2.3030,2.3030,20700
1990-05-04,2.3030,2.3566,2.2494,2.2623,410400
1990-05-07,2.2902,2.3298,2.2494,2.2494,248700
1990-05-08,2.3030,2.3030,2.2762,2.2762,649500
1990-05-09,2.3030,2.3298,2.2762,2.3298,255100
1990-05-10,2.3298,2.3298,2.3030,2.3030,12700
1990-05-11,2.3298,2.3833,2.3298,2.3298,25800
1990-05-14,2.3566,2.4637,2.3566,2.4101,132100
1990-05-15,2.3973,2.4369,2.3833,2.4369,45000
1990-05-16,2.4637,2.4637,2.3833,2.3833,21000
1990-05-17,2.4637,2.5172,2.4369,2.4637,171100
1990-05-18,2.4905,2.4905,2.4101,2.4101,56700
1990-05-21,2.4101,2.4905,2.4101,2.4905,162600
1990-05-22,2.4637,2.5172,2.4637,2.4637,21600
1990-05-23,2.4637,2.4905,2.4369,2.4905,30300
1990-05-24,2.4905,2.4905,2.4369,2.4369,23400
1990-05-25,2.4369,2.4637,2.4369,2.4637,96900
1990-05-29,2.4369,2.4369,2.4101,2.4101,62500
1990-05-30,2.3973,2.4101,2.3833,2.3833,28200
1990-05-31,2.3833,2.3833,2.3833,2.3833,17500
1990-06-01,2.3833,2.4101,2.3833,2.3833,9000
1990-06-04,2.3833,2.4369,2.3833,2.4369,2500
1990-06-05,2.4577,2.4577,2.4037,2.4037,21700
1990-06-06,2.4037,2.4577,2.4037,2.4037,191100
1990-06-07,2.4577,2.4577,2.4037,2.4577,180100
1990-06-08,2.4577,2.4577,2.4037,2.4307,145500
