"MacroTrends Data Download"
"PAR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1988-12-16,4.2771,4.3561,4.1981,4.3561,6701
1988-12-19,4.3561,4.3561,4.1981,4.2771,5801
1988-12-20,4.2771,4.4416,4.2771,4.4416,15000
1988-12-21,4.4416,4.5271,4.3561,4.3561,4901
1988-12-22,4.5271,4.5271,4.3561,4.3561,7301
1988-12-23,4.5271,4.6061,4.3561,4.6061,10800
1988-12-27,4.4416,4.5271,4.2771,4.3561,11100
1988-12-28,4.2771,4.4416,4.2771,4.3561,14400
1988-12-29,4.3561,4.4416,4.2771,4.2771,12401
1988-12-30,4.3561,4.5271,4.3561,4.5271,16500
1989-01-03,4.6061,4.7706,4.5271,4.6061,7301
1989-01-04,4.6061,4.6061,4.6061,4.6061,701
1989-01-05,4.7706,4.8496,4.7706,4.8496,2700
1989-01-06,4.9351,5.1852,4.8496,5.1852,13200
1989-01-09,5.1852,5.1852,5.0207,5.0996,6900
1989-01-10,5.1852,5.1852,5.0207,5.0996,2700
1989-01-11,5.0996,5.0996,5.0996,5.0996,101
1989-01-12,5.0996,5.0996,4.8496,4.8496,2700
1989-01-13,4.7706,4.9351,4.7706,4.9351,2501
1989-01-16,4.9351,4.9351,4.8496,4.8496,900
1989-01-17,4.9351,4.9351,4.9351,4.9351,1200
1989-01-18,4.8496,4.8496,4.6851,4.6851,3701
1989-01-19,4.7706,4.7706,4.7706,4.7706,401
1989-01-20,4.6851,4.7706,4.6851,4.7706,4301
1989-01-23,4.6851,4.7706,4.6851,4.7706,1200
1989-01-24,4.7706,4.7706,4.7706,4.7706,300
1989-01-25,4.7706,4.7706,4.6061,4.6851,4001
1989-01-26,4.6851,4.6851,4.6061,4.6061,3101
1989-01-27,4.6851,4.7706,4.6061,4.6061,3701
1989-01-30,4.6851,4.6851,4.6851,4.6851,101
1989-01-31,4.6061,4.6851,4.5271,4.6851,3900
1989-02-01,4.7706,4.8496,4.6061,4.8496,4500
1989-02-02,4.7706,4.7706,4.7706,4.7706,900
1989-02-03,4.7706,4.7706,4.6851,4.7706,1500
1989-02-06,4.8496,4.8496,4.7706,4.7706,701
