"MacroTrends Data Download"
"PM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2008-03-17,24.9989,26.3238,24.6189,24.6939,1988000
2008-03-18,24.9239,25.9989,23.8740,24.7989,8067600
2008-03-19,24.7989,25.4989,23.4490,25.0489,3007700
2008-03-20,25.0989,25.0989,24.4339,24.5739,3007700
2008-03-24,24.9039,25.4989,24.9039,25.4989,1437000
2008-03-25,25.6989,25.8739,25.2989,25.8739,1100800
2008-03-26,25.8489,26.2339,25.1489,25.1489,2023200
2008-03-27,25.4739,26.0139,24.9989,25.3389,8653300
2008-03-28,25.9089,26.2489,25.2789,25.5289,9961200
2008-03-31,26.2738,27.3488,24.9989,25.2889,19408900
2008-04-01,25.5539,26.0939,24.5039,25.2889,23322500
2008-04-02,25.6189,26.0339,25.0739,25.6039,12944700
2008-04-03,25.4989,25.7489,25.1989,25.5239,12439100
2008-04-04,25.6689,25.7389,25.3989,25.6839,6651000
2008-04-07,25.6489,25.7989,25.2489,25.3339,7099300
2008-04-08,25.1039,25.5039,25.1039,25.2989,8283300
2008-04-09,25.2489,25.2939,24.5739,24.6889,8916200
2008-04-10,24.7439,24.9539,24.2489,24.3289,14321900
2008-04-11,24.2439,24.4439,24.0389,24.1639,11400700
2008-04-14,24.1739,24.1739,23.7140,23.9989,11532500
2008-04-15,23.8890,24.1739,23.8890,24.0989,9603400
2008-04-16,24.2639,24.8039,24.1739,24.7289,14837600
2008-04-17,24.8589,24.9989,24.7089,24.9239,6660700
2008-04-18,25.2439,25.4689,24.6889,24.9789,9630700
2008-04-21,25.0989,25.4439,24.5639,25.3139,6528300
2008-04-22,25.2989,25.4489,24.9589,25.0339,5504900
2008-04-23,25.4989,26.1689,25.4489,25.9989,13532300
2008-04-24,25.9989,26.2139,25.7489,25.9989,5847500
2008-04-25,26.0689,26.0889,25.3739,25.6489,11399700
2008-04-28,25.4689,25.6489,25.3739,25.5339,8382500
2008-04-29,25.7189,26.0989,25.1289,26.0039,12325300
2008-04-30,25.8489,26.0039,25.4518,25.5139,8733100
2008-05-01,25.4139,25.5839,25.3089,25.3739,7120800
2008-05-02,25.4489,25.5489,25.1989,25.5089,9291100
2008-05-05,25.4339,25.8139,25.3139,25.4039,8398500
2008-05-06,25.4489,25.9739,25.4239,25.9389,7588300
2008-05-07,25.9389,26.0989,25.6539,25.8439,6391400
2008-05-08,25.8239,26.1039,25.7489,26.0989,6669700
2008-05-09,25.9039,26.2289,25.7639,25.9139,5491700
2008-05-12,25.9889,26.2688,25.6489,26.2339,5851300
2008-05-13,26.2089,26.4188,26.0189,26.2289,5986600
2008-05-14,26.2538,26.4238,26.1989,26.3338,5381500
2008-05-15,26.2538,26.6538,26.0489,26.6238,8376500
2008-05-16,26.6138,26.7488,26.1739,26.6888,7172600
2008-05-19,26.7438,26.9738,26.4638,26.8138,6580200
2008-05-20,26.6488,26.9688,26.4088,26.4538,6887400
2008-05-21,26.5188,26.5888,25.9139,25.9889,6784200
2008-05-22,25.9089,26.3838,25.8889,26.1389,5135200
2008-05-23,26.0489,26.4888,25.8739,25.8989,5197400
2008-05-27,25.9589,25.9689,25.5589,25.8139,6505400
2008-05-28,25.8489,25.9489,25.4139,25.5789,13524100
2008-05-29,25.4789,26.0789,25.4639,26.0089,7386900
2008-05-30,26.0339,26.4938,25.9039,26.3288,7047800
