"MacroTrends Data Download"
"PTLO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-10-21,26.0000,31.8700,25.7200,29.1000,16621152
2021-10-22,36.1600,44.9999,32.1000,37.4300,9966011
2021-10-25,43.4800,46.0000,38.6400,42.0100,5447984
2021-10-26,43.2900,46.0000,40.5001,41.9900,2989100
2021-10-27,42.1400,42.4400,37.5500,40.3100,3352361
2021-10-28,39.8000,40.0000,37.0810,37.3100,1507310
2021-10-29,37.2400,39.3900,35.5000,38.0000,1502081
2021-11-01,38.6219,41.7802,36.9000,41.7600,1379230
2021-11-02,41.8000,45.8800,40.1700,42.5900,1522011
2021-11-03,42.6600,44.7000,41.8300,42.7300,809763
2021-11-04,43.0000,51.7200,42.7500,51.3900,2112032
2021-11-05,53.0400,53.0400,43.8000,47.0000,2525701
2021-11-08,47.6248,48.4700,44.0000,45.0000,1194062
2021-11-09,44.1200,45.2000,40.2000,45.0900,1519628
2021-11-10,44.4300,45.4900,43.5200,44.1600,654143
2021-11-11,44.4400,45.4400,43.5000,44.8300,880604
2021-11-12,45.0000,49.0000,44.5325,47.9200,1076275
2021-11-15,47.9200,50.5000,47.5000,48.6200,1101204
2021-11-16,48.6200,53.7000,47.7385,53.0700,1370856
2021-11-17,52.6100,57.7251,50.2500,54.2200,1665580
2021-11-18,44.4200,56.1200,42.0000,48.4400,3661071
2021-11-19,48.0000,49.2600,44.0316,44.7200,1506014
2021-11-22,45.7141,45.7141,41.1600,41.4500,1362680
2021-11-23,41.5000,41.5000,38.0500,39.9300,2018614
