"MacroTrends Data Download"
"RUSHA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2003-10-07,2.6781,2.8963,2.6781,2.8169,13050
2003-10-08,2.8169,2.8169,2.8169,2.8169,0
2003-10-09,2.7328,2.8463,2.7286,2.8290,4500
2003-10-10,2.7706,2.8883,2.7706,2.8883,8100
2003-10-13,2.8505,2.9472,2.7332,2.9472,20851
2003-10-14,2.9304,3.2709,2.9300,3.2709,43801
2003-10-15,3.1532,3.2583,2.9682,3.2583,6750
2003-10-16,3.2583,3.2583,3.2583,3.2583,0
2003-10-17,3.1532,3.2583,2.9682,3.2583,2700
2003-10-20,3.1742,3.2583,2.9892,3.2583,2700
2003-10-21,2.9640,3.1280,2.8631,3.1196,13651
2003-10-22,3.0523,3.2583,3.0229,3.2583,28350
2003-10-23,2.8883,3.3214,2.8883,3.3214,3751
2003-10-24,3.0864,3.3844,2.9850,3.3214,28800
2003-10-27,3.3256,3.5316,3.3003,3.5232,19800
2003-10-28,3.3046,3.5400,3.3046,3.4555,12600
2003-10-29,3.5354,3.5358,3.4685,3.4685,5850
2003-10-30,3.5190,3.7254,3.5190,3.6871,31201
2003-10-31,3.6577,3.7754,3.6577,3.7754,14101
2003-11-03,3.7544,4.1412,3.7544,4.1412,38250
2003-11-04,4.1790,4.3514,4.0823,4.0823,12150
2003-11-05,4.0445,4.0865,3.8637,3.8637,7200
2003-11-06,3.8637,3.8637,3.4265,3.5316,54450
2003-11-07,3.3844,3.5526,3.3634,3.5526,8100
2003-11-10,3.5989,3.6577,3.5526,3.5526,16801
2003-11-11,3.5442,3.5442,3.3424,3.5148,2851
2003-11-12,3.5106,3.5106,3.3634,3.3634,5850
2003-11-13,3.5442,3.5526,3.4685,3.4727,19051
2003-11-14,3.4685,3.4685,3.3003,3.4055,9601
2003-11-17,3.3844,3.3844,3.1322,3.1322,42901
2003-11-18,3.1238,3.3634,3.0985,3.1742,33001
2003-11-19,3.3634,3.3634,3.1196,3.1952,3600
2003-11-20,3.3550,3.4013,3.1784,3.2457,21751
2003-11-21,3.1910,3.2877,3.1910,3.1994,1800
2003-11-24,3.1957,3.2877,3.1957,3.2579,601
2003-11-25,3.1868,3.2579,3.0313,3.1578,4050
2003-11-26,3.1578,3.2583,3.1578,3.2583,1501
2003-11-28,3.2583,3.2583,3.2583,3.2583,0
2003-12-01,3.2583,3.3802,3.1957,3.3802,18151
2003-12-02,3.2709,3.2709,3.2709,3.2709,450
2003-12-03,3.2667,3.3634,3.2583,3.2583,19951
2003-12-04,3.1952,3.3970,3.1952,3.3970,2401
2003-12-05,3.2125,3.3924,3.2125,3.3924,1951
2003-12-08,3.2415,3.5736,3.2415,3.5316,24451
2003-12-09,3.5400,3.5736,3.4055,3.5736,24451
2003-12-10,3.5736,3.8343,3.4475,3.7796,13201
2003-12-11,3.6787,3.8889,3.5989,3.8889,27450
2003-12-12,3.8847,4.0992,3.8843,3.9478,22500
2003-12-15,4.0403,4.1076,3.8217,4.1034,9601
2003-12-16,3.9100,4.0739,3.9016,4.0739,19501
2003-12-17,4.0992,4.2043,4.0235,4.2043,6750
2003-12-18,4.1370,4.1370,4.0277,4.0277,1800
2003-12-19,3.7292,4.2673,3.6619,4.0735,704851
2003-12-22,3.9566,4.1412,3.9566,3.9688,2851
2003-12-23,4.0151,4.0151,3.9562,3.9898,26550
2003-12-24,4.0025,4.0109,3.9983,4.0109,1350
2003-12-26,4.0277,4.1076,3.9814,3.9814,6451
2003-12-29,3.9730,4.1034,3.9730,4.0151,8100
