"MacroTrends Data Download"
"SCVL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1993-03-16,2.7760,3.0583,2.6348,2.9171,7061598
1993-03-17,2.9171,3.0112,2.8701,2.8701,1630998
1993-03-18,3.0112,3.0112,2.8701,3.0112,298800
1993-03-19,2.8701,3.0583,2.8701,3.0112,479601
1993-03-22,3.0583,3.1053,2.9171,2.9642,174600
1993-03-23,2.9642,3.1994,2.9642,3.1524,527400
1993-03-24,3.0583,3.1994,2.9642,2.9642,238401
1993-03-25,2.9642,3.1053,2.9642,2.9886,132602
1993-03-26,3.1053,3.1053,2.9642,3.0583,195201
1993-03-29,3.1053,3.1053,3.0112,3.0112,488601
1993-03-30,3.1053,3.1053,3.0112,3.1053,34200
1993-03-31,3.0112,3.1053,3.0112,3.0112,109998
1993-04-01,3.1053,3.1053,3.0112,3.0583,131598
1993-04-02,3.1053,3.1053,2.9171,3.0357,151200
1993-04-05,2.9171,3.0583,2.9171,3.0112,120600
1993-04-06,3.0583,3.0583,2.9171,2.9886,333000
1993-04-07,2.9171,3.0583,2.9171,2.9642,751802
1993-04-08,2.9171,3.0583,2.9171,2.9171,59400
1993-04-12,3.0583,3.0583,2.9171,3.0583,181202
1993-04-13,2.9171,3.0583,2.9171,2.9171,109202
1993-04-14,3.0112,3.1053,2.9642,3.1053,81000
1993-04-15,3.1053,3.1524,2.9642,2.9642,293400
1993-04-16,3.1524,3.1994,3.0112,3.1524,69201
1993-04-19,3.1994,3.2465,3.0583,3.1994,71001
1993-04-20,3.2465,3.2465,3.1053,3.2465,49401
1993-04-21,3.1053,3.2465,3.1053,3.1053,105201
1993-04-22,3.2465,3.2465,3.1053,3.2465,19202
1993-04-23,3.1053,3.2465,3.1053,3.1053,34200
1993-04-26,3.1994,3.2465,3.1053,3.1053,51602
1993-04-27,3.2465,3.2465,2.9642,2.9886,526802
1993-04-28,2.9642,3.1524,2.9642,3.0583,286398
1993-04-29,3.0112,3.1524,3.0112,3.0112,300600
1993-04-30,3.1524,3.1524,3.0112,3.0357,235800
1993-05-03,3.0112,3.2465,3.0112,3.1053,73998
1993-05-04,3.1994,3.2465,3.1053,3.2465,19202
