"MacroTrends Data Download"
"SJM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-10-31,11.0663,11.4781,11.0663,11.2414,32800
1994-11-01,11.2414,11.2414,11.0663,11.0663,13200
1994-11-02,11.0663,11.2414,11.0048,11.2414,7000
1994-11-03,11.2414,11.3030,11.1799,11.1799,5400
1994-11-04,11.1799,11.2414,10.9433,10.9433,9800
1994-11-07,10.9433,11.0048,10.8865,11.0048,7200
1994-11-08,11.0048,11.0048,10.8865,10.8865,2200
1994-11-09,10.9433,11.0048,10.9433,10.9433,5600
1994-11-10,11.0024,11.0024,10.9453,11.0024,82800
1994-11-11,11.0024,11.0643,10.9453,11.0024,16400
1994-11-14,11.0024,11.0643,10.9453,11.0024,54600
1994-11-15,10.9453,10.9453,10.9453,10.9453,1800
1994-11-16,10.9453,11.0024,10.9453,11.0024,4600
1994-11-17,11.0024,11.3641,10.9453,11.3641,10600
1994-11-18,11.3641,11.3641,11.1833,11.2404,8400
1994-11-21,11.2404,11.3641,11.1833,11.3022,7000
1994-11-22,11.3022,11.4212,11.1833,11.1833,14800
1994-11-23,11.1833,11.2404,11.1833,11.2404,8000
1994-11-25,11.1833,11.1833,11.1833,11.1833,2000
1994-11-28,11.1833,11.3022,11.1833,11.1833,1400
1994-11-29,11.1833,11.1833,11.1261,11.1261,1800
1994-11-30,11.1261,11.2404,11.1261,11.1261,6000
1994-12-01,11.1261,11.1833,10.8263,10.8263,35400
1994-12-02,10.8263,10.8263,10.7645,10.8263,12600
1994-12-05,10.8263,10.8263,10.7645,10.7645,5400
1994-12-06,10.7074,10.7074,10.5265,10.5265,16000
1994-12-07,10.5265,10.5884,10.4123,10.5265,11600
1994-12-08,10.5265,10.5884,10.5265,10.5884,6000
1994-12-09,10.5884,10.7074,10.4694,10.4694,9000
1994-12-12,10.4694,10.5884,10.3505,10.5265,7600
1994-12-13,10.5265,10.7645,10.5265,10.7645,4600
1994-12-14,10.8263,11.3641,10.8263,11.3641,10800
1994-12-15,11.3641,11.7781,11.3641,11.7781,13400
1994-12-16,11.7781,11.8400,11.5402,11.6020,20400
1994-12-19,11.6020,11.7162,11.4212,11.4212,10000
1994-12-20,11.4783,11.6020,11.4783,11.6020,8000
1994-12-21,11.6020,11.8400,11.6020,11.8400,7800
1994-12-22,11.8400,11.8971,11.8400,11.8400,9000
1994-12-23,11.8400,11.8971,11.8400,11.8971,5400
