"MacroTrends Data Download"
"SSU - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-09-24,9.9500,10.1500,9.8300,9.8300,8250
2020-09-25,9.8300,9.8500,9.8300,9.8500,53310
2020-09-28,10.0000,10.0000,10.0000,10.0000,210
2020-09-29,9.9000,9.9200,9.9000,9.9200,8447
2020-09-30,9.9200,9.9300,9.9200,9.9300,1654
2020-10-01,9.8700,9.8850,9.8700,9.8700,2780
2020-10-02,9.8600,9.9000,9.8200,9.8700,1019475
2020-10-05,9.8900,10.0200,9.8800,9.9930,66745
2020-10-06,9.9400,9.9550,9.9317,9.9400,51198
2020-10-07,9.8800,9.9250,9.8300,9.8700,81277
2020-10-08,9.9900,9.9900,9.8400,9.8400,5710
2020-10-09,9.8400,9.8400,9.8000,9.8000,652898
2020-10-12,9.9900,9.9900,9.8000,9.8000,52030
2020-10-13,9.9000,9.9000,9.9000,9.9000,2851
2020-10-14,9.8600,9.9400,9.8600,9.9300,4874
2020-10-15,9.9200,9.9400,9.8800,9.9100,5288
2020-10-16,9.9100,9.9300,9.9100,9.9100,3286
2020-10-19,9.9700,9.9700,9.9000,9.9143,1150
2020-10-20,9.9700,9.9700,9.9000,9.9500,4482
2020-10-21,9.9200,9.9250,9.8500,9.8500,411175
2020-10-22,9.8200,9.8500,9.8200,9.8500,6460
2020-10-23,9.9700,9.9700,9.8200,9.8500,3422
2020-10-26,9.8700,9.8700,9.8100,9.8500,9279
2020-10-27,9.8200,9.8500,9.8000,9.8000,1909
2020-10-28,9.8000,9.8700,9.7200,9.7200,68489
2020-10-29,9.7000,9.7300,9.6800,9.6800,152282
2020-10-30,9.7300,9.7300,9.6600,9.6600,10805
2020-11-02,9.7500,9.7500,9.7050,9.7050,1762
2020-11-03,9.7800,9.7800,9.6600,9.6600,52769
2020-11-04,9.6300,9.6600,9.6300,9.6500,30450
2020-11-05,9.7900,9.7900,9.7000,9.7600,18153
2020-11-06,9.8000,9.8000,9.7500,9.8000,91466
2020-11-09,9.8900,9.8900,9.8000,9.8500,3421
2020-11-10,9.8000,9.8600,9.7950,9.8500,164723
2020-11-11,9.8000,9.8300,9.7500,9.8100,89984
2020-11-12,9.9100,9.9100,9.5900,9.5900,398
2020-11-13,9.7500,9.7600,9.7300,9.7600,1709
2020-11-16,9.7600,9.7850,9.7200,9.7300,3230
2020-11-17,9.7300,9.7550,9.7300,9.7547,305
2020-11-18,9.8000,9.8900,9.7500,9.8600,23958
2020-11-19,9.8600,9.8600,9.8600,9.8600,77
2020-11-20,9.8500,9.8500,9.8500,9.8500,100
2020-11-23,9.9700,10.0000,9.8000,9.8100,33874
2020-11-24,9.8000,9.9900,9.8000,9.9700,533905
2020-11-25,9.9100,10.0500,9.9100,10.0500,234126
2020-11-27,9.8100,10.1000,9.8000,10.0500,94578
2020-11-30,10.0000,10.0800,9.9300,10.0800,122946
2020-12-01,9.8600,9.9500,9.8600,9.9200,36576
2020-12-02,9.8500,10.0000,9.8500,9.9500,56272
2020-12-03,9.9100,9.9750,9.8600,9.9500,59069
2020-12-04,10.0000,10.0500,9.9999,10.0400,11559
2020-12-07,10.0000,10.2100,10.0000,10.2000,54995
2020-12-08,10.0500,10.0950,9.9700,10.0000,87821
2020-12-09,10.0000,10.1240,10.0000,10.1000,13073
2020-12-10,10.0100,10.1600,10.0100,10.1000,19676
2020-12-11,10.1500,10.3399,10.1500,10.2500,68878
2020-12-14,10.3700,10.3700,10.0300,10.0300,679132
2020-12-15,10.1200,10.2050,10.0600,10.1000,309754
