"MacroTrends Data Download"
"TGT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1983-04-06,1.4449,1.4557,1.4395,1.4557,1752000
1983-04-07,1.4665,1.5096,1.4665,1.5070,2992800
1983-04-08,1.5070,1.5150,1.5014,1.5042,2265600
1983-04-11,1.5042,1.5258,1.4988,1.5204,945600
1983-04-12,1.5204,1.5420,1.5204,1.5420,1855200
1983-04-13,1.5581,1.5851,1.5581,1.5851,1920000
1983-04-14,1.5797,1.5879,1.5689,1.5743,2805600
1983-04-15,1.5527,1.5527,1.5312,1.5312,2042400
1983-04-18,1.5312,1.5366,1.5232,1.5232,1104000
1983-04-19,1.5096,1.5204,1.4909,1.5096,1329600
1983-04-20,1.5258,1.5607,1.5258,1.5527,1807200
1983-04-21,1.5527,1.5527,1.5042,1.5204,372000
1983-04-22,1.5150,1.5258,1.4503,1.4934,1401600
1983-04-25,1.4881,1.5096,1.4665,1.4773,1980000
1983-04-26,1.4719,1.4881,1.4557,1.4881,1324800
1983-04-27,1.4747,1.4881,1.4611,1.4611,1168800
1983-04-28,1.4611,1.4637,1.4557,1.4637,11100000
1983-04-29,1.4637,1.4691,1.4557,1.4665,3960000
1983-05-02,1.4773,1.4827,1.4691,1.4719,2337600
1983-05-03,1.4691,1.4773,1.4611,1.4665,1468800
1983-05-04,1.4557,1.4691,1.4395,1.4449,5558400
1983-05-05,1.4557,1.4773,1.4341,1.4719,5668800
1983-05-06,1.4773,1.5420,1.4773,1.5366,4298400
1983-05-09,1.5204,1.5312,1.5042,1.5150,1504800
1983-05-10,1.5096,1.5312,1.5096,1.5258,2001600
