"MacroTrends Data Download"
"THCH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-03-11,9.7600,9.7600,9.7200,9.7200,1529
2021-03-12,9.9051,10.7800,9.7700,9.8200,58432
2021-03-15,9.8500,9.8500,9.7350,9.7500,58707
2021-03-16,9.7099,9.7178,9.7099,9.7178,265
2021-03-17,9.7500,9.7500,9.7400,9.7400,1303
2021-03-18,9.7500,9.7700,9.7000,9.7300,72564
2021-03-19,9.7500,9.7500,9.7000,9.7000,1493
2021-03-22,9.7800,9.7800,9.6712,9.7100,8911
2021-03-23,9.6900,9.6900,9.6000,9.6700,67225
2021-03-24,9.6350,9.6500,9.5650,9.6500,27157
2021-03-25,9.6000,9.7000,9.6000,9.7000,76411
2021-03-26,9.7024,9.7024,9.6500,9.6600,21433
2021-03-29,9.6600,9.6600,9.6600,9.6600,42
2021-03-30,9.7200,9.8000,9.7000,9.7500,78221
2021-03-31,9.7900,9.8000,9.6550,9.7000,69860
2021-04-01,9.7000,9.7000,9.6500,9.6500,6907
2021-04-05,9.6800,9.7000,9.6000,9.6500,86450
2021-04-06,9.6300,9.7800,9.6300,9.7500,112914
2021-04-07,9.7900,9.8500,9.6500,9.7100,116089
2021-04-08,9.7700,9.7900,9.7000,9.7400,16980
2021-04-09,9.7500,9.7800,9.7300,9.7800,5718
2021-04-12,9.8000,9.8800,9.8000,9.8400,50540
2021-04-13,9.7200,9.8400,9.7000,9.8400,32600
2021-04-14,9.7650,9.8600,9.7650,9.8000,125006
2021-04-15,9.7400,9.8500,9.6600,9.8200,48436
2021-04-16,9.8500,9.8500,9.7400,9.8500,11608
2021-04-19,9.8500,9.8500,9.8500,9.8500,764
2021-04-20,9.7300,9.8500,9.7000,9.7900,200585
2021-04-21,9.7135,9.7700,9.7000,9.7700,600
2021-04-22,9.7100,9.7800,9.7100,9.7800,35136
2021-04-23,9.7100,9.7600,9.6900,9.7300,4871
2021-04-26,9.7400,9.7700,9.7100,9.7100,1160
2021-04-27,9.7150,9.7600,9.6800,9.6900,2453
2021-04-28,9.7200,9.7700,9.6700,9.7700,72291
2021-04-29,9.7400,9.7800,9.7100,9.7800,8017
2021-04-30,9.7800,9.7800,9.7200,9.7800,1468
2021-05-03,9.7300,9.7400,9.6700,9.7400,27270
2021-05-04,9.7100,9.7400,9.6900,9.7400,10010
2021-05-05,9.7000,9.7100,9.6800,9.6900,29124
2021-05-06,9.6900,9.7000,9.6700,9.6900,65992
