"MacroTrends Data Download"
"USFD - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2016-05-26,24.2500,25.0900,24.0800,24.9100,28800105
2016-05-27,25.0000,25.2500,24.7000,25.0300,2872620
2016-05-31,25.0600,25.0900,24.6000,24.9900,1689357
2016-06-01,24.9900,25.3800,24.7500,25.3500,1415033
2016-06-02,25.0600,25.4350,25.0400,25.2800,786289
2016-06-03,25.1300,25.4500,25.0000,25.2900,418931
2016-06-06,25.3900,25.4500,25.2500,25.3100,488728
2016-06-07,25.4600,25.6400,25.1500,25.4000,635842
2016-06-08,25.3500,25.5900,25.1800,25.2200,303297
2016-06-09,25.1600,25.1800,24.7000,24.9500,459203
2016-06-10,24.5400,24.8950,24.5400,24.7200,589528
2016-06-13,24.4000,24.6200,24.1100,24.2800,1195169
2016-06-14,24.1100,24.1900,23.3200,23.6700,1912102
2016-06-15,23.5000,24.0675,23.5000,23.9900,975020
2016-06-16,23.6600,24.0800,23.5800,23.7400,1154412
2016-06-17,23.7500,24.0500,23.3950,23.9600,884174
2016-06-20,24.5600,24.6500,23.5300,23.5600,1797276
2016-06-21,23.7000,24.1700,23.5800,23.8900,818642
2016-06-22,23.8900,23.9400,23.5014,23.5700,1428101
2016-06-23,23.7200,23.8500,23.0800,23.1800,1753505
2016-06-24,22.8600,23.6400,22.5100,23.3400,4013775
2016-06-27,23.1000,24.2000,23.0600,23.7600,1639893
2016-06-28,23.9700,24.3300,23.7000,24.2300,1474446
2016-06-29,24.1800,24.4199,24.0100,24.3900,927289
2016-06-30,24.3700,24.4600,23.8900,24.2400,841414
2016-07-01,24.1900,24.9100,23.8200,24.4800,852682
2016-07-05,24.4900,24.5850,24.1700,24.2100,330704
