"MacroTrends Data Download"
"UTZ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2018-11-26,9.4900,9.5387,9.3732,9.3732,100700
2018-11-27,9.3732,9.3732,9.3732,9.3732,0
2018-11-28,9.3732,9.3732,9.3732,9.3732,10
2018-11-29,9.3732,9.3732,9.3732,9.3732,809
2018-11-30,9.3440,9.3732,9.3440,9.3732,590200
2018-12-03,9.3732,9.3732,9.3732,9.3732,1201
2018-12-04,9.3440,9.4462,9.3440,9.3732,120200
2018-12-06,9.4900,9.6166,9.3538,9.3732,279400
2018-12-07,9.3732,9.3732,9.3732,9.3732,815
2018-12-10,9.3635,9.3732,9.3440,9.3732,206400
2018-12-11,9.3830,9.3830,9.3732,9.3732,1040
2018-12-12,9.4900,9.4900,9.4900,9.4900,205
2018-12-13,9.3732,9.3732,9.3732,9.3732,451400
2018-12-14,9.3830,9.4316,9.3830,9.3927,13800
2018-12-17,9.3148,9.3927,9.3148,9.3440,599696
2018-12-18,9.4024,9.4024,9.3148,9.3148,5204
2018-12-19,9.3148,9.3148,9.2954,9.2954,9800
2018-12-20,9.2954,9.2954,9.2954,9.2954,0
2018-12-21,9.3830,9.3927,9.3732,9.3830,100366
2018-12-24,9.3830,9.3830,9.3830,9.3830,400
2018-12-26,9.3830,9.3830,9.3830,9.3830,140
2018-12-27,9.3927,9.3927,9.3927,9.3927,805
2018-12-28,9.3440,9.3927,9.3440,9.3927,451
2018-12-31,9.3927,9.3927,9.3927,9.3927,0
2019-01-02,9.3927,9.3927,9.3830,9.3927,538
2019-01-03,9.3732,9.3732,9.3732,9.3732,1700
2019-01-04,9.3830,9.3830,9.3830,9.3830,1511
2019-01-07,9.3830,9.3830,9.3830,9.3830,1000
2019-01-08,9.3732,9.3732,9.3732,9.3732,186586
2019-01-09,9.3732,9.3732,9.3732,9.3732,0
2019-01-10,9.4535,9.4535,9.4535,9.4535,100
2019-01-11,9.4511,9.4511,9.4414,9.4414,593
2019-01-14,9.4414,9.4414,9.4414,9.4414,0
2019-01-15,9.4414,9.4414,9.4414,9.4414,100
2019-01-16,9.4511,9.4511,9.3732,9.3732,200
2019-01-17,9.4414,9.4414,9.4414,9.4414,150000
2019-01-18,9.4706,9.5192,9.4706,9.4900,78247
2019-01-22,9.5095,9.5326,9.5095,9.5326,100100
2019-01-23,9.5377,9.5387,9.5193,9.5193,2000
2019-01-24,9.5095,9.5095,9.4414,9.4414,1001
2019-01-25,9.4414,9.4414,9.4414,9.4414,0
2019-01-28,9.5148,9.5148,9.5095,9.5095,600
2019-01-29,9.5095,9.5095,9.5095,9.5095,1
2019-01-30,9.5095,9.5095,9.5095,9.5095,0
2019-01-31,9.5095,9.5095,9.5095,9.5095,1
2019-02-01,9.4900,9.4900,9.4900,9.4900,92400
2019-02-04,9.4414,9.4414,9.4414,9.4414,100
2019-02-05,9.4900,9.4900,9.4900,9.4900,225120
2019-02-06,9.5387,9.5387,9.4900,9.5387,17471
2019-02-07,9.5318,9.5318,9.5318,9.5318,101
2019-02-08,9.5387,9.5387,9.5387,9.5387,225528
2019-02-11,9.5387,9.5387,9.5387,9.5387,0
2019-02-12,9.5387,9.5387,9.5387,9.5387,0
2019-02-13,9.5387,9.5387,9.5387,9.5387,0
2019-02-14,9.4900,9.4900,9.4900,9.4900,135
2019-02-15,9.4900,9.6360,9.4900,9.4998,26008
2019-02-19,9.4998,9.4998,9.4998,9.4998,0
2019-02-20,9.5387,9.5874,9.5387,9.5874,5100
2019-02-21,9.5776,9.5776,9.5776,9.5776,200
2019-02-22,9.5874,9.5874,9.5874,9.5874,403
2019-02-25,9.5874,9.5874,9.5874,9.5874,0
2019-02-26,9.5874,9.5874,9.5874,9.5874,0
2019-02-27,9.5874,9.5874,9.5874,9.5874,1030
2019-02-28,9.5874,9.5874,9.5874,9.5874,42
2019-03-01,9.5874,9.5874,9.5874,9.5874,0
