"MacroTrends Data Download"
"UVV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1988-01-05,3.3241,3.4442,3.2973,3.3649,54000
1988-01-06,3.3649,3.4850,3.3649,3.4721,58000
1988-01-07,3.4978,3.4978,3.4442,3.4582,15400
1988-01-08,3.4850,3.4850,3.2973,3.2973,42000
1988-01-11,3.2834,3.2834,3.2705,3.2834,16000
1988-01-12,3.2834,3.3113,3.2834,3.2834,24800
1988-01-13,3.3113,3.3241,3.2834,3.2834,13600
1988-01-14,3.2973,3.2973,3.2705,3.2973,15600
1988-01-15,3.2973,3.3241,3.2973,3.3241,17800
1988-01-18,3.3113,3.3113,3.2705,3.2705,27000
1988-01-19,3.2834,3.3241,3.2705,3.2973,20600
1988-01-20,3.3113,3.3113,3.2298,3.2298,32200
1988-01-21,3.2169,3.2169,3.0829,3.0829,48600
1988-01-22,3.0968,3.0968,3.0561,3.0829,158000
1988-01-25,3.1097,3.1365,3.1097,3.1225,18600
1988-01-26,3.1504,3.1901,3.1365,3.1365,18800
1988-01-27,3.1633,3.1633,3.1365,3.1365,56200
1988-01-28,3.1365,3.1901,3.1365,3.1633,4600
1988-01-29,3.1633,3.1762,3.1365,3.1365,8400
1988-02-01,3.1633,3.2040,3.1504,3.1633,27000
1988-02-02,3.1901,3.2040,3.1633,3.2040,63400
1988-02-03,3.2040,3.2437,3.1762,3.1762,23200
1988-02-04,3.1901,3.1901,3.1633,3.1762,9000
1988-02-05,3.2040,3.2298,3.1901,3.2298,33600
1988-02-08,3.2169,3.2298,3.1901,3.1901,10200
1988-02-09,3.2169,3.2169,3.1504,3.1504,117000
1988-02-10,3.1504,3.1762,3.1504,3.1762,9200
1988-02-11,3.1504,3.1901,3.1504,3.1901,54200
1988-02-12,3.2040,3.2040,3.1633,3.1633,9000
1988-02-16,3.1762,3.1762,3.1504,3.1633,19600
1988-02-17,3.1762,3.1762,3.1225,3.1504,56800
1988-02-18,3.1225,3.1633,3.1225,3.1225,10600
1988-02-19,3.1225,3.1633,3.1225,3.1365,22800
1988-02-22,3.1504,3.1633,3.1225,3.1633,11600
1988-02-23,3.1504,3.1901,3.1504,3.1633,27600
